"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Austria","Apples",0.121111111111111,8891388,96720000,"Import_kg",515,"Apples",119,504.19,2788.1,2645.88,117526.68,130.4,0,0,69.61,6.3,0.57,923.84,12724.2,0.26,52.32,97.52,0.41,0.25,1.68,0.36,1456.85,41.92,0.31,350.29,76.35,588.31,0,0,758.99,2.31,89.82
"2","Austria","Apricots",0.03995,8891388,15404000,"Import_kg",526,"Apricots",125,214.23,4336.58,1108.92,49367.6,28.98,0.56,0,73.72,3.44,0.95,1264.84,5926.66,0.34,5.75,103.36,0.1,0.48,3.38,0.23,12.14,43.37,0.33,123.59,737.22,340.42,0,0,371.24,3.43,36.86
"3","Austria","Asparagus",0.0845294117647059,8891388,3078000,"Import_kg",367,"Asparagus",80,8.29,883.43,83.08,1247.03,8.88,0,0,8.6,0.45,0.22,88.77,996.54,0,1.89,34.33,0,0,0.37,0,6.55,5.73,0,18.43,2.05,28.67,0,0,38.02,0.27,19.25
"4","Austria","Barley",0.04775,8891388,226025000,"Import_kg",44,"Barley",3,18321.13,486825.71,74083.48,3969198.3,35.49,0,1.12,2967.96,414.1,134.58,13708.53,440979.78,34.04,1139.27,15570.37,14,6.89,284.67,15.39,2012.36,4134.74,75.69,19325.03,11818.61,44399.65,0,0,625.12,97.53,0
"5","Austria","Beans, green",0.0843965476190476,8891388,1865000,"Import_kg",414,"Beans; green",92,11.86,1133.25,135.31,1859.69,5.7,0,0,15.65,0.54,0.12,72.34,556.88,0,4.12,26.5,0,0.25,0.22,0,2.01,7.46,0,12.1,4.56,23.36,0,0,20.66,0.28,3.08
"6","Austria","Blueberries",0.134028846153846,8891388,6244000,"Import_kg",552,"Blueberries",136,29.87,387.73,172.91,7592.13,5.08,0,0,3.14,0.15,0,40.34,1257.5,0,0.52,6.29,0,0,0.22,0,3.14,3.14,0.18,14.67,24.63,76.5,0,0,44.12,0.13,2.62
"7","Austria","Broad beans, horse beans, dry",0.052,8891388,4391000,"Import_kg",181,"Broad beans; horse beans; dry",32,317.68,22790.9,1508.45,52232.41,2.59,0,0.4,94.11,7.67,3.32,1133.19,18392.7,0.78,17.32,362.29,0.37,0.27,2.5,0.35,90.98,181.87,1.54,239.33,286.34,573.15,0,0,9.9,2.85,25.64
"8","Austria","Cabbages and other brassicas",0.08324,8891388,26794000,"Import_kg",358,"Cabbages and other brassicas",78,97.26,8222.13,1103.4,15866.03,222.01,0.83,0.23,444.27,6.27,1.23,1033.79,7989.47,0.56,142.3,255.24,0.22,0.37,2.81,0.65,89.26,88.39,0.92,124.2,64.89,318.02,0,0,328.87,4,99.92
"9","Austria","Carrots and turnips",0.0830718954248366,8891388,9911000,"Import_kg",426,"Carrots and turnips",96,40.57,1757.04,314.19,7872.28,36.73,0.82,0,89.01,2.08,0.35,390.51,2724.85,0,63.34,159.85,0,0.12,1.04,0.24,140.35,16.33,0.19,43.39,19.68,101.53,0,0,119.76,1.68,30.86
"10","Austria","Cauliflowers and broccoli",0.103835520801038,8891388,7050000,"Import_kg",393,"Cauliflowers and broccoli",84,21.89,2365.38,246.9,3107.14,61.75,0.41,0,33.47,0.83,0.32,226.25,1450.87,0,22.86,82.94,0,0,0.55,0.14,48.36,13.75,0.14,47.53,14.32,24.63,0,0,66.14,0.82,36.65
