"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Austria","Almonds, with shell",0.0296505238073522,8891388,173000,"Import_kg",221,"Almonds; with shell",45,39.07,1391.83,3356.93,1184.9,0.68,0,0,15.93,0.2,0.24,51.67,475.75,0,0.32,31.68,0,0,0.26,0,3.42,21.1,0.14,259.27,2216.39,765.44,0,0,0.33,0.19,4.27
"2","Austria","Anise, badian, fennel, coriander",0.00195,8891388,2619000,"Import_kg",711,"Anise; badian; fennel; coriander",161,5250.37,238866.23,216472.52,705911.63,157.85,0.36,0.18,12284.78,484.79,70.05,22408.81,360682.63,14.17,1117.8,6949.84,4.95,4.56,46.5,7.55,8275.48,4758.19,41.2,12721.74,164452.15,39699.93,0,0,150.47,101.69,0
"3","Austria","Apples",0.121111111111111,8891388,335930000,"Production_kg/Import_kg",515,"Apples",119,1751.17,9683.68,9189.74,408196.21,452.92,0.17,0,241.77,21.88,2,3208.7,44193.96,0.9,181.72,338.7,1.42,0.88,5.84,1.26,5059.95,145.58,1.09,1216.63,265.16,2043.32,0,0,2636.15,8.03,311.96
"4","Austria","Apricots",0.03995,8891388,26914000,"Production_kg/Import_kg",526,"Apricots",125,374.3,7576.91,1937.52,86255.5,50.64,0.97,0,128.81,6.02,1.67,2209.93,10355.1,0.59,10.04,180.58,0.18,0.85,5.91,0.41,21.22,75.77,0.58,215.94,1288.07,594.79,0,0,648.64,5.99,64.4
"5","Austria","Artichokes",0.1,8891388,105000,"Import_kg",366,"Artichokes",79,0.66,30.9,2.07,137.02,0,0,0,0.98,0,0,4.04,29.13,0,1.25,1.16,0,0,0,0,0.41,0.71,0,0.51,0,0.73,0,0,1.02,0,0.71
"6","Austria","Asparagus",0.0845294117647059,8891388,6398000,"Production_kg/Import_kg",367,"Asparagus",80,17.24,1836.31,172.69,2592.11,18.46,0,0,17.88,0.93,0.46,184.51,2071.42,0.13,3.93,71.36,0.11,0.11,0.77,0,13.62,11.92,0.13,38.31,4.26,59.59,0,0,79.02,0.56,40.01
"7","Austria","Avocados",0.048,8891388,10582000,"Import_kg",572,"Avocados",141,361.2,3988.07,34929.52,10760.85,31.72,0,0.14,50.99,2.38,1.2,1264.61,10868.3,0.52,16.36,420.89,0.16,0.35,3.43,0.76,35.21,75,0.35,5929.63,19692.48,4125.82,0,0,190.65,2.91,94.22
"8","Austria","Bananas",0.04075,8891388,140037000,"Import_kg",486,"Bananas",117,3893.47,46988.32,8986.04,902248.59,411.48,1.42,0.72,380.77,30.88,6.38,13133.15,60434.01,3.57,245.3,980.3,2.07,1.95,32.91,13.49,378.77,1095.07,10.44,4290.11,1004.89,2183.71,0,0,2815.36,32.04,1372.06
"9","Austria","Barley",0.04775,8891388,1054155000,"Production_kg/Import_kg",44,"Barley",3,85447.68,2270499.96,345516.97,18511891.31,165.53,0,5.21,13842.24,1931.31,627.68,63935.01,2056679.76,158.74,5313.43,72618.45,65.3,32.12,1327.66,71.76,9385.41,19283.96,352.99,90129.75,55120.67,207074.96,0,0,2915.5,454.87,0
"10","Austria","Beans, dry",0.1145,8891388,1636000,"Import_kg",176,"Beans",30,52.95,3421.59,220.63,9320.58,0.29,0,0,22.48,1.17,0.47,187.9,1993.08,0.14,2.51,62.15,0,0,0.32,0,17.74,27.78,0.21,49.67,22.06,76.42,0,0,1.88,0.61,0
