"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bahamas","Avocados",0.048,385637,1418000,"Production_kg",572,"Avocados",141,1115.95,12321.47,107917.52,33246.51,98,0.26,0.45,157.53,7.36,3.7,3907.12,33578.46,1.62,50.53,1300.37,0.48,1.07,10.61,2.34,108.78,231.73,1.09,18320.05,60841.49,12747.05,0,0,589.04,8.99,291.1
"2","Bahamas","Bananas",0.04075,385637,11763000,"Production_kg",486,"Bananas",117,7540.55,91003.07,17403.43,1747400.19,796.92,2.75,1.4,737.45,59.8,12.35,25435.2,117043.57,6.91,475.09,1898.56,4,3.79,63.73,26.12,733.56,2120.85,20.21,8308.73,1946.19,4229.22,0,0,5452.56,62.05,2657.3
"3","Bahamas","Cabbages and other brassicas",0.08324,385637,1834000,"Production_kg",358,"Cabbages and other brassicas",78,153.49,12975.89,1741.36,25039.22,350.37,1.32,0.36,701.13,9.89,1.95,1631.5,12608.71,0.88,224.57,402.81,0.35,0.59,4.43,1.03,140.87,139.5,1.45,196.01,102.4,501.89,0,0,519.02,6.32,157.69
"4","Bahamas","Cassava",0.108277777777778,385637,203000,"Production_kg",125,"Cassava",17,67.62,888.37,230.76,15092.18,15.65,0,0,18.95,0.59,0.17,182.8,719.51,0,4.47,19.16,0,0,0.28,0,11.52,10.21,0.19,42.3,42.54,21.39,0,0,30.54,0.68,10.21
"5","Bahamas","Coconuts",0.04,385637,3184000,"Production_kg",249,"Coconuts - Incl Copra",58,6553.57,69252.61,580931.07,259727.88,49.52,0,0.4,385.23,59.23,34.05,6747.94,133250.24,10.57,437.2,2172.37,1.3,0.65,13.96,0.85,249.76,598.25,77.4,616118.37,54957.12,14097.92,0,0,1094.67,21.11,856.61
"6","Bahamas","Fruit, tropical fresh nes",0.1073859375,385637,4982000,"Production_kg",603,"Fruit; tropical fresh; nes",146,1126.73,17801.19,14384.02,249805.95,1292.19,0.52,0.2,389.39,21.04,4.51,3021.24,34971.51,1.33,117.98,432.39,3.31,3.52,12.63,1.84,95.28,338.45,2.65,8963.27,19823.73,4532.43,0,0,917.23,9.2,474.65
"7","Bahamas","Grapefruit (inc. pomelos)",0.15,385637,24657000,"Production_kg",507,"Grapefruit",115,1541.87,30020.59,6479.09,342316.18,1677.1,0.41,0.47,791.62,22.15,3.89,8104.95,43099.2,2.06,311.59,888.03,1.64,1.29,11.73,1.68,328.22,326.8,0.62,511.51,490.19,937.76,0,0,3816.8,17.59,1907.49
"8","Bahamas","Lemons and limes",0.0785,385637,1917000,"Production_kg",497,"Lemons; Limes",114,238.92,4800.43,2643.98,52631.95,260.77,0,0,239.54,3.68,1.19,1328.53,8422.2,1.2,28.74,124.26,0.23,0.18,2.85,0.37,32.3,63.32,0.12,213.19,84.43,430.61,0,0,564.45,2.32,221.64
"9","Bahamas","Lettuce and chicory",0.0865961538461538,385637,153000,"Production_kg",372,"Lettuce and chicory",81,7.92,656.77,113.71,1278.59,5.08,0,0,24.34,0.53,0.19,117.63,811.59,0,11.61,30.91,0,0,0.19,0,14.78,6.25,0.11,16.72,3.4,38.45,0,0,42.87,0.48,7.79
"10","Bahamas","Maize",0.0869363057324841,385637,666000,"Production_kg",56,"Maize",4,701.94,17169.32,6799.58,143371.64,1.36,0,0,41.45,6.46,3.56,585.24,10288,0.36,18.56,434.83,0.53,0.24,5.12,0.7,0,217.86,0.48,1175.53,2558.15,4798.95,0,0,24.75,2.49,0
"11","Bahamas","Mangoes, mangosteens, guavas",0.09628125,385637,2636000,"Production_kg",571,"Mangos; mangosteens; guavas",140,435.71,5333.42,1754.66,97944.99,614.21,0.92,0.21,125.5,3.75,0.97,1275.94,18931.88,0.53,75.22,135.93,0.33,0.39,8.21,0.83,53.96,323.03,0.38,1084.8,535.3,1195.55,0,0,589.23,4.21,188.14
"12","Bahamas","Okra",0.0853823529411765,385637,502000,"Production_kg",430,"Okra",97,49.11,2813.14,233.45,9890.41,30.27,0,0.13,110.13,0.92,0.63,340.49,4116.43,0.15,16.34,80.59,0.1,0.1,1.37,0.33,18.75,53.36,1.2,39.64,25.92,41.16,0,0,136.89,1.16,25.16
"13","Bahamas","Onions, dry",0.093304347826087,385637,741000,"Production_kg",403,"Onions",77,81.32,2370.17,289.43,17205.59,18.31,0,0,85.36,1.47,0.81,266.07,2924.33,0,20.69,107.41,0,0,0.5,0.23,12.56,24.58,0.13,70.02,50.11,114.64,0,0,185.79,1.07,16.48
"14","Bahamas","Onions, shallots, green",0.083270092226614,385637,685000,"Production_kg",402,"Onions (inc. shallots); green",89,82.05,3259.67,429.68,16742.44,45.46,0.2,0,97.27,4.01,1.14,457.56,4308.98,0.15,22.03,111.86,0,0.17,0.69,0.34,15.86,89.59,0.85,83.19,73.06,196.78,0,0,190.32,1.55,32.53
"15","Bahamas","Oranges",0.138371428571429,385637,3682000,"Production_kg",490,"Oranges; Mandarines",113,304.97,5473.1,1583.2,68994.95,318.59,0.38,0.17,217.95,3.34,0.43,1159.85,9283.84,0.31,18.62,149.38,0.47,0.29,12.2,0.48,74.98,73.14,0.2,144.9,212.18,224.25,0,0,599.8,2.93,184.92
"16","Bahamas","Papayas",0.151,385637,558000,"Production_kg",600,"Papayas",145,33,717.03,134.66,7389.1,45.58,0,0,20.37,0.56,0.11,163.43,1245.72,0,9.91,14.92,0,0,0.3,0,5.85,16.21,0,57.97,44.08,32.58,0,0,86.01,0.4,30.66
"17","Bahamas","Pigeon peas",0.038,385637,208000,"Production_kg",197,"Pigeon peas",35,456.07,28710.3,2301.18,76877.17,2.44,0,0.65,189.25,9.02,3.54,1974.84,20107.99,1.48,24.13,485.08,0.99,0.24,3.85,0.39,0,259.75,2.54,468.4,15.61,1131.25,0,0,13.18,5.43,0
"18","Bahamas","Plantains and others",0.104,385637,220000,"Production_kg",489,"Plantains",118,65.05,713.11,201.21,15562.16,6.4,0,0,4.93,0.53,0,246.72,836.53,0,1.76,17.79,0,0,0.35,0.16,7.41,20.3,0,88.59,17,35.38,0,0,37.29,0.52,18.92
"19","Bahamas","Pumpkins, squash and gourds",0.100019949494949,385637,2107000,"Production_kg",394,"Pumpkins; squash; and gourds",85,116.93,5553.64,971.02,21883.25,93.91,1.2,0.13,152.24,5.34,1.16,991.35,8612.02,0.56,39.43,346.09,0.2,0.34,4.06,0.73,219.73,121.44,0.33,299.23,72.23,145.67,0,0,509.13,3.07,118.81
"20","Bahamas","Sugar cane",0.00989415983606557,385637,61379000,"Production_kg",156,"Sugar Cane",25,454712.39,321730.46,53621.74,115973108.26,2412.98,0,0,11260.57,975.92,32.17,24934.11,2493411.1,12.87,3217.3,3753.52,16.09,23.33,80.43,0,0,1608.65,40.22,0,0,0,0,0,44264.75,144.78,29491.96
"21","Bahamas","Sweet potatoes",0.10804347826087,385637,2080000,"Production_kg",122,"Sweet Potatoes",19,547.93,6536.92,1202.97,126052.45,119.82,1.89,0.21,169.97,7.18,1.25,1293.11,11192.36,0.46,95.63,202.93,0.44,0.23,3.73,1.18,61.4,99.34,0.64,396.04,68.23,688.91,0,0,353.38,5.1,113.57
"22","Bahamas","Tangerines, mandarins, clementines, satsumas",0.138371428571429,385637,883000,"Production_kg",495,"Oranges; Mandarines",113,73.14,1312.53,379.68,16546.05,76.4,0,0,52.27,0.8,0.1,278.15,2226.41,0,4.47,35.82,0.11,0,2.93,0.12,17.98,17.54,0,34.75,50.88,53.78,0,0,143.84,0.7,44.35
"23","Bahamas","Tomatoes",0.0714285714285714,385637,6572000,"Production_kg",388,"Tomatoes",76,476.38,22739.62,6011.54,86816.34,549.93,1.52,0.53,357.84,24.16,4.56,4677.9,27338.1,1.61,265.95,961.8,1.17,1,19.24,1.97,159.85,310.16,1.36,691.9,727.69,1944.48,0,0,2242.46,12.74,155.08
