"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bahrain","Alfalfa meal and pellets",0.0651708222811671,1569446,375000,"Import_kg",862,"Mixed grain",12,127.67,4191.05,909.25,27019.35,0,0,0,9.01,1.22,0.95,126.36,3874.09,0.17,2.01,115.88,0.15,0,1.58,0.11,11.97,43.46,0.94,161.08,195.22,382.29,0,0,3.94,0.6,0
"2","Bahrain","Almonds shelled",0.0296505238073522,1569446,1095000,"Import_kg",231,"Almonds; with shell",45,1401,49908.68,120374.38,42488.65,24.47,0,0.1,571.12,7.35,8.52,1852.65,17059.78,2.39,11.35,1135.83,0.5,1.8,9.19,0.32,122.6,756.51,4.92,9296.99,79476.21,27447.42,0,0,11.7,6.9,152.95
"3","Bahrain","Almonds, with shell",0.0296505238073522,1569446,86000,"Import_kg",221,"Almonds; with shell",45,110.03,3919.77,9454.06,3337.01,1.92,0,0,44.86,0.58,0.67,145.51,1339.85,0.19,0.89,89.21,0,0.14,0.72,0,9.63,59.42,0.39,730.17,6241.97,2155.69,0,0,0.92,0.54,12.01
"4","Bahrain","Anise, badian, fennel, coriander",0.00195,1569446,1330000,"Import_kg",711,"Anise; badian; fennel; coriander",161,15105.31,687217.29,622790.67,2030905.27,454.14,1.03,0.51,35343.28,1394.73,201.54,64470.08,1037682.66,40.77,3215.9,19994.67,14.25,13.13,133.79,21.73,23808.52,13689.3,118.54,36600.4,473128.24,114216.56,0,0,432.92,292.55,0
"5","Bahrain","Apples",0.121111111111111,1569446,8116000,"Import_kg",515,"Apples",119,239.69,1325.43,1257.82,55870.87,61.99,0,0,33.09,2.99,0.27,439.18,6048.94,0.12,24.87,46.36,0.19,0.12,0.8,0.17,692.57,19.93,0.15,166.52,36.29,279.67,0,0,360.82,1.1,42.7
"6","Bahrain","Apricots",0.03995,1569446,919000,"Import_kg",526,"Apricots",125,72.41,1465.72,374.81,16685.81,9.8,0.19,0,24.92,1.16,0.32,427.5,2003.16,0.11,1.94,34.93,0,0.16,1.14,0,4.1,14.66,0.11,41.77,249.17,115.06,0,0,125.48,1.16,12.46
"7","Bahrain","Apricots, dry",0.03995,1569446,95000,"Import_kg",527,"Apricots",125,7.48,151.52,38.74,1724.87,1.01,0,0,2.58,0.12,0,44.19,207.07,0,0.2,3.61,0,0,0.12,0,0.42,1.52,0,4.32,25.76,11.89,0,0,12.97,0.12,1.29
"8","Bahrain","Artichokes",0.1,1569446,9000,"Import_kg",366,"Artichokes",79,0.32,15.01,1,66.53,0,0,0,0.48,0,0,1.96,14.15,0,0.61,0.56,0,0,0,0,0.2,0.34,0,0.25,0,0.36,0,0,0.49,0,0.34
"9","Bahrain","Asparagus",0.0845294117647059,1569446,15000,"Import_kg",367,"Asparagus",80,0.23,24.39,2.29,34.43,0.25,0,0,0.24,0,0,2.45,27.51,0,0,0.95,0,0,0,0,0.18,0.16,0,0.51,0,0.79,0,0,1.05,0,0.53
"10","Bahrain","Avocados",0.048,1569446,909000,"Import_kg",572,"Avocados",141,175.78,1940.81,16998.55,5236.8,15.44,0,0,24.81,1.16,0.58,615.43,5289.09,0.25,7.96,204.83,0,0.17,1.67,0.37,17.13,36.5,0.17,2885.67,9583.4,2007.84,0,0,92.78,1.42,45.85
"11","Bahrain","Bananas",0.04075,1569446,4202000,"Import_kg",486,"Bananas",117,661.87,7987.78,1527.58,153377.85,69.95,0.24,0.12,64.73,5.25,1.08,2232.57,10273.49,0.61,41.7,166.65,0.35,0.33,5.59,2.29,64.39,186.16,1.77,729.3,170.83,371.22,0,0,478.6,5.45,233.24
"12","Bahrain","Barley",0.04775,1569446,1702000,"Import_kg",44,"Barley",3,781.59,20768.24,3160.44,169328.11,1.51,0,0,126.61,17.67,5.74,584.81,18812.43,1.45,48.6,664.24,0.6,0.29,12.14,0.66,85.85,176.39,3.23,824.42,504.19,1894.11,0,0,26.67,4.16,0
"13","Bahrain","Beans, dry",0.1145,1569446,828000,"Import_kg",176,"Beans",30,151.83,9810.65,632.59,26724.73,0.84,0,0.19,64.47,3.36,1.35,538.76,5714.72,0.4,7.2,178.2,0.21,0.1,0.92,0.18,50.87,79.66,0.6,142.43,63.24,219.12,0,0,5.4,1.76,0
"14","Bahrain","Beans, green",0.0843965476190476,1569446,556000,"Import_kg",414,"Beans; green",92,20.03,1914.01,228.53,3140.94,9.62,0,0,26.43,0.91,0.19,122.18,940.55,0,6.96,44.75,0,0.42,0.37,0,3.4,12.59,0,20.43,7.7,39.46,0,0,34.89,0.48,5.21
"15","Bahrain","Blueberries",0.134028846153846,1569446,49000,"Import_kg",552,"Blueberries",136,1.33,17.24,7.69,337.54,0.23,0,0,0.14,0,0,1.79,55.91,0,0,0.28,0,0,0,0,0.14,0.14,0,0.65,1.09,3.4,0,0,1.96,0,0.12
"16","Bahrain","Bran, maize",0.0538461538461538,1569446,8000,"Import_kg",59,"Corn Flour",223,3.37,80.44,31.05,690.49,0,0,0,0.27,0,0,2.02,42.39,0,0,1.86,0,0,0,0,0,0.54,0,2.79,10.11,16.79,0,0,0,0,0
"17","Bahrain","Bran, wheat",0.0374838709677419,1569446,1805000,"Import_kg",17,"Wheat Flour",222,1060.12,35198.35,4641.27,218295.03,0.57,0,0,122.69,8.35,3.94,527.73,4029.59,0.3,99.04,567.67,1.07,0.41,7.02,0.37,31.91,139.09,2.58,475.57,266.94,1267.17,0,0,35.54,2.93,0
"18","Bahrain","Brazil nuts, shelled",0.0297575757575758,1569446,2000,"Import_kg",229,"Brazil nuts; with shell",42,2.8,64.45,291.29,44.84,0,0,0,0.7,0,0,2.82,32.12,0,0,3.26,0,0,0,0,0.12,1.61,0,69.09,102.26,104.49,0,0,0,0,0.21
