"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Barbados","Avocados",0.048,286641,1057000,"Production_kg/Import_kg",572,"Avocados",141,1119.14,12356.67,108225.87,33341.5,98.28,0.26,0.45,157.98,7.38,3.71,3918.29,33674.41,1.62,50.68,1304.08,0.48,1.08,10.64,2.34,109.09,232.39,1.09,18372.4,61015.33,12783.47,0,0,590.72,9.02,291.93
"2","Barbados","Bananas",0.04075,286641,3800000,"Production_kg/Import_kg",486,"Bananas",117,3277.24,39551.41,7563.81,759448.39,346.36,1.19,0.61,320.51,25.99,5.37,11054.55,50869.03,3,206.48,825.14,1.74,1.65,27.7,11.35,318.82,921.75,8.78,3611.11,845.85,1838.09,0,0,2369.77,26.97,1154.9
"3","Barbados","Beans, dry",0.1145,286641,158000,"Production_kg/Import_kg",176,"Beans",30,158.63,10250.21,660.94,27922.1,0.87,0,0.2,67.36,3.51,1.41,562.9,5970.76,0.42,7.52,186.19,0.22,0.11,0.96,0.19,53.15,83.23,0.63,148.81,66.08,228.94,0,0,5.64,1.84,0
"4","Barbados","Cabbages and other brassicas",0.08324,286641,980000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,110.35,9328.34,1251.86,18000.64,251.88,0.95,0.26,504.04,7.11,1.4,1172.88,9064.37,0.64,161.45,289.58,0.25,0.42,3.18,0.74,101.27,100.29,1.04,140.91,73.62,360.81,0,0,373.12,4.54,113.36
"5","Barbados","Carrots and turnips",0.0830718954248366,286641,963000,"Production_kg/Import_kg",426,"Carrots and turnips",96,122.27,5295.67,946.96,23726.88,110.71,2.46,0,268.27,6.27,1.04,1177,8212.64,0.24,190.91,481.78,0.21,0.38,3.14,0.74,423.02,49.2,0.58,130.76,59.32,306.01,0,0,360.94,5.07,93.02
"6","Barbados","Cassava",0.108277777777778,286641,486000,"Production_kg",125,"Cassava",17,217.79,2861.39,743.27,48610.76,50.42,0,0,61.05,1.91,0.53,588.77,2317.5,0.16,14.41,61.71,0,0,0.9,0.14,37.11,32.88,0.6,136.23,137.01,68.9,0,0,98.38,2.2,32.88
"7","Barbados","Chillies and peppers, green",0.0664142191142191,286641,740000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,152.34,6921.02,2583.23,26851.97,448.27,0.48,0.11,107.45,6.32,1.21,1095.89,12495.92,0.6,27.57,396.02,0.49,0.47,4.61,1.38,31.39,140.24,0.92,162.09,69.36,709.3,0,0,343.11,3.44,64.35
"8","Barbados","Coconuts",0.04,286641,2642000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,7316.08,77310.11,648522.04,289947.06,55.28,0,0.45,430.06,66.12,38.01,7533.06,148753.82,11.79,488.07,2425.12,1.45,0.73,15.59,0.95,278.82,667.86,86.41,687803.37,61351.35,15738.21,0,0,1222.03,23.57,956.27
"9","Barbados","Cucumbers and gherkins",0.0675,286641,936000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,67.53,3121.7,571.98,12240.7,47.82,0,0,77.4,2.15,0.93,689.63,3155.99,0.26,32.11,175.47,0.13,0.15,0.92,0.19,29.03,60.47,0.38,162.06,12.09,125.78,0,0,463.24,2.01,74.98
"10","Barbados","Fruit, fresh nes",0.107099201828105,286641,1553000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,455.31,7726.3,3853.3,97496.93,197.31,0.25,0,271.37,18.45,1.27,1409.24,17567.81,0.57,56.47,211.65,0.32,0.29,5.06,0.45,353.23,161.44,1.06,619.2,426.62,589.63,0,0,382.93,4.61,140.8
