"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Belgium","Almonds, with shell",0.0296505238073522,11482178,245000,"Import_kg",221,"Almonds; with shell",45,42.85,1526.34,3681.36,1299.41,0.75,0,0,17.47,0.22,0.26,56.66,521.73,0,0.35,34.74,0,0,0.28,0,3.75,23.14,0.15,284.33,2430.59,839.41,0,0,0.36,0.21,4.68
"2","Belgium","Anise, badian, fennel, coriander",0.00195,11482178,1055000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1637.77,74510.42,67525.07,220197.6,49.24,0.11,0,3832.04,151.22,21.85,6990.06,112509.06,4.42,348.68,2167.89,1.55,1.42,14.51,2.36,2581.4,1484.24,12.85,3968.34,51298.16,12383.74,0,0,46.94,31.72,0
"3","Belgium","Apples",0.121111111111111,11482178,113581000,"Import_kg",515,"Apples",119,458.49,2535.38,2406.06,106873.78,118.58,0,0,63.3,5.73,0.52,840.1,11570.85,0.24,47.58,88.68,0.37,0.23,1.53,0.33,1324.79,38.12,0.29,318.54,69.43,534.98,0,0,690.2,2.1,81.68
"4","Belgium","Apricots",0.03995,11482178,7577000,"Import_kg",526,"Apricots",125,81.6,1651.8,422.39,18804.04,11.04,0.21,0,28.08,1.31,0.36,481.77,2257.45,0.13,2.19,39.37,0,0.18,1.29,0,4.63,16.52,0.13,47.08,280.81,129.67,0,0,141.41,1.3,14.04
"5","Belgium","Artichokes",0.1,11482178,2038000,"Import_kg",366,"Artichokes",79,9.85,464.5,31.06,2059.36,1.47,0,0,14.79,0.24,0,60.76,437.81,0,18.84,17.39,0,0,0.1,0,6.11,10.65,0,7.63,1.33,11,0,0,15.3,0.23,10.65
"6","Belgium","Asparagus",0.0845294117647059,11482178,6691000,"Import_kg",367,"Asparagus",80,13.96,1487.09,139.85,2099.16,14.95,0,0,14.48,0.75,0.37,149.42,1677.49,0.1,3.18,57.79,0,0,0.62,0,11.03,9.65,0.11,31.02,3.45,48.26,0,0,64,0.45,32.4
"7","Belgium","Avocados",0.048,11482178,31646000,"Import_kg",572,"Avocados",141,836.46,9235.48,80888.9,24919.71,73.45,0.19,0.33,118.08,5.52,2.77,2928.56,25168.53,1.21,37.88,974.68,0.36,0.8,7.95,1.75,81.53,173.69,0.82,13731.68,45603.36,9554.47,0,0,441.51,6.74,218.19
"8","Belgium","Bambara beans",0.028,11482178,6000,"Import_kg",203,"Bambara beans",37,0.64,33.1,10.51,101.03,0,0,0,0,0,0,2.34,8.96,0,0,0.48,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0
"9","Belgium","Bananas",0.04075,11482178,1145764000,"Import_kg",486,"Bananas",117,24668.03,297705.98,56933.28,5716416.63,2607.04,8.99,4.57,2412.47,195.62,40.4,83208.3,382894.43,22.59,1554.19,6210.9,13.09,12.38,208.5,85.46,2399.77,6938.11,66.12,27181.05,6366.73,13835.4,0,0,17837.42,202.97,8693.04
"10","Belgium","Barley",0.04775,11482178,2011363000,"Import_kg",44,"Barley",3,126250.05,3354692.9,510505.77,27351557.55,244.57,0,7.7,20452.09,2853.54,927.41,94464.81,3038770.8,234.54,7850.67,107294.7,96.48,47.45,1961.64,106.02,13867.07,28492.3,521.54,133167.86,81441.5,305955.92,0,0,4307.7,672.08,0
"11","Belgium","Beans, dry",0.1145,11482178,30368000,"Import_kg",176,"Beans",30,761.14,49181.97,3171.27,133974.22,4.19,0,0.94,323.19,16.84,6.75,2700.88,28648.56,2.01,36.08,893.35,1.04,0.51,4.62,0.9,255.01,399.36,3.01,714,317.05,1098.47,0,0,27.08,8.83,0
"12","Belgium","Beans, green",0.0843965476190476,11482178,88381000,"Import_kg",414,"Beans; green",92,435.13,41586.38,4965.33,68244.13,209.03,0.28,0.58,574.2,19.81,4.23,2654.61,20435.73,0.46,151.25,972.28,1.16,9.08,7.98,1.27,73.87,273.61,0.78,443.86,167.21,857.31,0,0,758.04,10.36,113.09
"13","Belgium","Blueberries",0.134028846153846,11482178,2642000,"Import_kg",552,"Blueberries",136,9.79,127.04,56.65,2487.59,1.67,0,0,1.03,0,0,13.22,412.02,0,0.17,2.06,0,0,0,0,1.03,1.03,0,4.81,8.07,25.06,0,0,14.46,0,0.86
"14","Belgium","Broad beans, horse beans, dry",0.052,11482178,5951000,"Import_kg",181,"Broad beans; horse beans; dry",32,333.39,23918.47,1583.08,54816.57,2.71,0,0.42,98.77,8.05,3.48,1189.26,19302.66,0.82,18.17,380.21,0.39,0.29,2.63,0.37,95.48,190.87,1.62,251.17,300.5,601.51,0,0,10.39,2.99,26.91
"15","Belgium","Buckwheat",0.0421111111111111,11482178,2209000,"Import_kg",89,"Buckwheat",9,150.65,4859.75,1233.5,31477.05,0,0,0,19.19,3.23,1.22,187.77,4248.72,0.29,2.76,160.35,0.18,0.13,2.61,0,0,104.62,0.59,338.53,475.13,474.67,0,0,6.09,1.01,0
"16","Belgium","Cabbages and other brassicas",0.08324,11482178,37256000,"Import_kg",358,"Cabbages and other brassicas",78,104.72,8852.96,1188.06,17083.31,239.04,0.9,0.24,478.36,6.75,1.33,1113.11,8602.44,0.6,153.22,274.82,0.24,0.4,3.02,0.7,96.11,95.18,0.99,133.73,69.86,342.42,0,0,354.11,4.31,107.58
"17","Belgium","Carrots and turnips",0.0830718954248366,11482178,264880000,"Import_kg",426,"Carrots and turnips",96,839.59,36362.84,6502.32,162921.15,760.19,16.9,0.61,1842.06,43.08,7.17,8081.9,56392.27,1.63,1310.85,3308.18,1.43,2.59,21.53,5.06,2904.71,337.86,3.97,897.89,407.29,2101.24,0,0,2478.41,34.85,638.7
"18","Belgium","Cashew nuts, with shell",0.0289438420348059,11482178,327000,"Import_kg",217,"Cashew nuts; with shell",43,53.55,1807.93,4141.06,2379.28,0.16,0,0,3.96,0.6,0.51,64.01,261.73,0.21,9.09,46.29,0,0,0.13,0,0,29.78,0.13,765.8,2341.47,771.9,0,0,0.98,0.22,2.76
"19","Belgium","Cauliflowers and broccoli",0.103835520801038,11482178,28485000,"Import_kg",393,"Cauliflowers and broccoli",84,68.48,7400.72,772.5,9721.51,193.21,1.29,0.14,104.73,2.6,1,707.88,4539.41,0.1,71.52,259.5,0.26,0.26,1.71,0.43,151.31,43,0.44,148.73,44.8,77.05,0,0,206.94,2.58,114.68
"20","Belgium","Cherries",0.1289,11482178,4297000,"Import_kg",531,"Cherries",127,13.24,315.97,50.32,3023.28,3.63,0,0,8.01,0.15,0,72.15,304.84,0,0.44,6.79,0,0,0.2,0,1.77,3.19,0,11.03,13.65,15.1,0,0,23.92,0.2,2.32
"21","Belgium","Cherries, sour",0.028,11482178,817000,"Import_kg",530,"Sour cherries",126,12.03,279.53,67.77,2827.51,2.54,0,0,3.47,0.1,0,43.96,304.94,0,1.4,4.19,0,0,0.1,0,1.55,2.29,0,17.28,20.84,22.87,0,0,22.11,0.1,2.8
"22","Belgium","Chestnut",0.059,11482178,519000,"Import_kg",220,"Chestnuts",44,20.07,390.46,223.45,3989.13,1.35,0,0,2.86,0.13,0,50.07,942.32,0,1.43,9.69,0,0,0,0,0,5.67,0,64.12,117.6,134.68,0,0,2.6,0.16,1.53
"23","Belgium","Chick peas",0.04575,11482178,9265000,"Import_kg",191,"Chick peas",33,621.28,34293.53,8878.3,102853.63,3.7,0,0.66,240.51,12.22,6.08,1426.85,13463.08,1.62,35.38,547.46,0.7,0.31,3.11,0.94,258.65,174.61,19.86,1087.33,2404.83,4692.38,0,0,18.52,5.24,0
"24","Belgium","Chillies and peppers, dry",4e-04,11482178,3162000,"Import_kg",689,"Pimento",156,16554.77,705522.16,614517.82,2825247.24,5193.27,46.74,3.77,14283.05,502.57,181.93,125437.09,1529754.2,45.42,31238.79,12799.77,19.22,29.99,379.82,118.67,3545.56,10567.83,149.92,182441.43,117152.64,424457.45,0,0,1929.63,411.97,0
