"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Belgium","Apples",0.121111111111111,11482178,113581000,"Import_kg",515,"Apples",119,458.49,2535.38,2406.06,106873.78,118.58,0,0,63.3,5.73,0.52,840.1,11570.85,0.24,47.58,88.68,0.37,0.23,1.53,0.33,1324.79,38.12,0.29,318.54,69.43,534.98,0,0,690.2,2.1,81.68
"2","Belgium","Asparagus",0.0845294117647059,11482178,6691000,"Import_kg",367,"Asparagus",80,13.96,1487.09,139.85,2099.16,14.95,0,0,14.48,0.75,0.37,149.42,1677.49,0.1,3.18,57.79,0,0,0.62,0,11.03,9.65,0.11,31.02,3.45,48.26,0,0,64,0.45,32.4
"3","Belgium","Barley",0.04775,11482178,2011363000,"Import_kg",44,"Barley",3,126250.05,3354692.9,510505.77,27351557.55,244.57,0,7.7,20452.09,2853.54,927.41,94464.81,3038770.8,234.54,7850.67,107294.7,96.48,47.45,1961.64,106.02,13867.07,28492.3,521.54,133167.86,81441.5,305955.92,0,0,4307.7,672.08,0
"4","Belgium","Beans, green",0.0843965476190476,11482178,88381000,"Import_kg",414,"Beans; green",92,435.13,41586.38,4965.33,68244.13,209.03,0.28,0.58,574.2,19.81,4.23,2654.61,20435.73,0.46,151.25,972.28,1.16,9.08,7.98,1.27,73.87,273.61,0.78,443.86,167.21,857.31,0,0,758.04,10.36,113.09
"5","Belgium","Blueberries",0.134028846153846,11482178,2642000,"Import_kg",552,"Blueberries",136,9.79,127.04,56.65,2487.59,1.67,0,0,1.03,0,0,13.22,412.02,0,0.17,2.06,0,0,0,0,1.03,1.03,0,4.81,8.07,25.06,0,0,14.46,0,0.86
"6","Belgium","Broad beans, horse beans, dry",0.052,11482178,5951000,"Import_kg",181,"Broad beans; horse beans; dry",32,333.39,23918.47,1583.08,54816.57,2.71,0,0.42,98.77,8.05,3.48,1189.26,19302.66,0.82,18.17,380.21,0.39,0.29,2.63,0.37,95.48,190.87,1.62,251.17,300.5,601.51,0,0,10.39,2.99,26.91
"7","Belgium","Cabbages and other brassicas",0.08324,11482178,37256000,"Import_kg",358,"Cabbages and other brassicas",78,104.72,8852.96,1188.06,17083.31,239.04,0.9,0.24,478.36,6.75,1.33,1113.11,8602.44,0.6,153.22,274.82,0.24,0.4,3.02,0.7,96.11,95.18,0.99,133.73,69.86,342.42,0,0,354.11,4.31,107.58
"8","Belgium","Carrots and turnips",0.0830718954248366,11482178,264880000,"Import_kg",426,"Carrots and turnips",96,839.59,36362.84,6502.32,162921.15,760.19,16.9,0.61,1842.06,43.08,7.17,8081.9,56392.27,1.63,1310.85,3308.18,1.43,2.59,21.53,5.06,2904.71,337.86,3.97,897.89,407.29,2101.24,0,0,2478.41,34.85,638.7
"9","Belgium","Cauliflowers and broccoli",0.103835520801038,11482178,28485000,"Import_kg",393,"Cauliflowers and broccoli",84,68.48,7400.72,772.5,9721.51,193.21,1.29,0.14,104.73,2.6,1,707.88,4539.41,0.1,71.52,259.5,0.26,0.26,1.71,0.43,151.31,43,0.44,148.73,44.8,77.05,0,0,206.94,2.58,114.68
"10","Belgium","Cherries",0.1289,11482178,4297000,"Import_kg",531,"Cherries",127,13.24,315.97,50.32,3023.28,3.63,0,0,8.01,0.15,0,72.15,304.84,0,0.44,6.79,0,0,0.2,0,1.77,3.19,0,11.03,13.65,15.1,0,0,23.92,0.2,2.32
