"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Botswana","Cabbages and other brassicas",0.08324,2254068,14357000,"Production_kg",358,"Cabbages and other brassicas",78,205.57,17378.54,2332.19,33534.89,469.24,1.76,0.48,939.02,13.24,2.61,2185.05,16886.77,1.18,300.77,539.48,0.46,0.79,5.93,1.38,188.66,186.83,1.94,262.52,137.14,672.18,0,0,695.12,8.46,211.19
"2","Botswana","Carrots and turnips",0.0830718954248366,2254068,3890000,"Production_kg",426,"Carrots and turnips",96,62.81,2720.29,486.44,12188.08,56.87,1.26,0,137.8,3.22,0.54,604.6,4218.69,0.12,98.06,247.48,0.11,0.19,1.61,0.38,217.3,25.28,0.3,67.17,30.47,157.19,0,0,185.41,2.61,47.78
"3","Botswana","Cereals nes",0.0486257263475995,2254068,4440000,"Production_kg",108,"Cereals; nes",13,1410.72,52760.13,18644.64,297704.56,4.35,0,0,588.15,89.83,15.4,1729.73,12789.22,3.28,31.6,1541.86,1.45,1.07,5.91,1.95,53.07,745.36,37.43,1818.85,2385.97,4338.5,0,0,44.21,15.88,0
"4","Botswana","Fruit, fresh nes",0.107099201828105,2254068,5051000,"Production_kg",619,"Fresh fruit; nes",147,188.31,3195.57,1593.71,40324.42,81.61,0.1,0,112.24,7.63,0.52,582.86,7265.99,0.24,23.36,87.54,0.13,0.12,2.09,0.19,146.09,66.77,0.44,256.1,176.45,243.87,0,0,158.38,1.91,58.24
"5","Botswana","Groundnuts, with shell",0.028,2254068,88000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,76.5,3285.46,6121.83,2374.09,0.2,0,0,8.35,0.49,0.39,97.11,1158.56,0.15,1.43,54.47,0.11,0,2,0,19.28,26.15,0.2,875.48,3405.73,2169.26,0,0,1.18,0.38,0
"6","Botswana","Maize",0.0869363057324841,2254068,7278000,"Production_kg",56,"Maize",4,1312.35,32099.81,12712.52,268048.11,2.55,0,0,77.49,12.09,6.66,1094.17,19234.48,0.67,34.71,812.96,0.99,0.44,9.58,1.32,0,407.31,0.9,2197.77,4782.73,8972.14,0,0,46.28,4.66,0
"7","Botswana","Mangoes, mangosteens, guavas",0.09628125,2254068,129000,"Production_kg",571,"Mangos; mangosteens; guavas",140,3.65,44.65,14.69,820.05,5.14,0,0,1.05,0,0,10.68,158.51,0,0.63,1.14,0,0,0,0,0.45,2.7,0,9.08,4.48,10.01,0,0,4.93,0,1.58
"8","Botswana","Millet",0.0477,2254068,902000,"Production_kg",79,"Millet",7,288.01,7771.94,3156.9,59071.09,0.23,0,0,49.98,6.04,1.9,217.48,4671.66,0.85,9.07,211.04,0.25,0.1,2.01,0.81,627.51,110.53,0.91,606.54,648.49,1790.26,0,0,9.09,1.96,0
"9","Botswana","Onions, dry",0.093304347826087,2254068,9007000,"Production_kg",403,"Onions",77,169.11,4928.93,601.89,35780.25,38.08,0,0,177.51,3.05,1.69,553.32,6081.34,0.12,43.02,223.37,0.14,0.16,1.03,0.47,26.12,51.11,0.28,145.61,104.21,238.4,0,0,386.37,2.22,34.26
"10","Botswana","Oranges",0.138371428571429,2254068,4005000,"Production_kg",490,"Oranges; Mandarines",113,56.75,1018.51,294.62,12839.49,59.29,0,0,40.56,0.62,0,215.84,1727.66,0,3.47,27.8,0,0,2.27,0,13.95,13.61,0,26.97,39.49,41.73,0,0,111.62,0.55,34.41
