"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bulgaria","Almonds, with shell",0.0296505238073522,7051608,16000,"Import_kg",221,"Almonds; with shell",45,4.56,162.31,391.47,138.18,0,0,0,1.86,0,0,6.03,55.48,0,0,3.69,0,0,0,0,0.4,2.46,0,30.23,258.46,89.26,0,0,0,0,0.5
"2","Bulgaria","Anise, badian, fennel, coriander",0.00195,7051608,920000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2325.54,105800.69,95881.87,312668.46,69.92,0.16,0,5441.28,214.73,31.03,9925.5,159756.66,6.28,495.1,3078.28,2.19,2.02,20.6,3.35,3665.45,2107.54,18.25,5634.82,72840.56,17584.23,0,0,66.65,45.04,0
"3","Bulgaria","Apples",0.121111111111111,7051608,67991000,"Import_kg",515,"Apples",119,446.9,2471.29,2345.24,104172.48,115.59,0,0,61.7,5.58,0.51,818.87,11278.39,0.23,46.37,86.44,0.36,0.23,1.49,0.32,1291.31,37.15,0.28,310.49,67.67,521.46,0,0,672.75,2.05,79.61
"4","Bulgaria","Apricots",0.03995,7051608,4734000,"Import_kg",526,"Apricots",125,83.01,1680.44,429.71,19130.14,11.23,0.22,0,28.57,1.33,0.37,490.13,2296.6,0.13,2.23,40.05,0,0.19,1.31,0,4.71,16.8,0.13,47.89,285.67,131.91,0,0,143.86,1.33,14.28
"5","Bulgaria","Artichokes",0.1,7051608,9000,"Import_kg",366,"Artichokes",79,0,3.34,0.22,14.81,0,0,0,0.11,0,0,0.44,3.15,0,0.14,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"6","Bulgaria","Asparagus",0.0845294117647059,7051608,1e+05,"Import_kg",367,"Asparagus",80,0.34,36.19,3.4,51.08,0.36,0,0,0.35,0,0,3.64,40.82,0,0,1.41,0,0,0,0,0.27,0.23,0,0.75,0,1.17,0,0,1.56,0,0.79
"7","Bulgaria","Avocados",0.048,7051608,2290000,"Import_kg",572,"Avocados",141,98.56,1088.21,9531.07,2936.27,8.65,0,0,13.91,0.65,0.33,345.07,2965.59,0.14,4.46,114.85,0,0,0.94,0.21,9.61,20.47,0,1617.99,5373.41,1125.8,0,0,52.02,0.79,25.71
"8","Bulgaria","Bambara beans",0.028,7051608,20000,"Import_kg",203,"Bambara beans",37,3.46,179.68,57.02,548.34,0,0,0,0.5,0,0,12.71,48.62,0,0.29,2.61,0,0,0,0,0,1.92,0,0,0,0,0,0,0.17,0,0.25
"9","Bulgaria","Bananas",0.04075,7051608,47196000,"Import_kg",486,"Bananas",117,1654.55,19967.96,3818.67,383415.8,174.86,0.6,0.31,161.81,13.12,2.71,5581.01,25681.78,1.52,104.24,416.58,0.88,0.83,13.98,5.73,160.96,465.36,4.43,1823.11,427.03,927.98,0,0,1196.41,13.61,583.07
"10","Bulgaria","Barley",0.04775,7051608,1713000,"Import_kg",44,"Barley",3,175.08,4652.17,707.95,37930.2,0.34,0,0,28.36,3.96,1.29,131,4214.06,0.33,10.89,148.79,0.13,0,2.72,0.15,19.23,39.51,0.72,184.67,112.94,424.29,0,0,5.97,0.93,0
"11","Bulgaria","Beans, dry",0.1145,7051608,18881000,"Import_kg",176,"Beans",30,770.57,49791,3210.54,135633.24,4.24,0,0.96,327.19,17.05,6.83,2734.33,29003.32,2.04,36.53,904.41,1.06,0.52,4.67,0.91,258.17,404.3,3.05,722.85,320.98,1112.07,0,0,27.42,8.93,0
"12","Bulgaria","Beans, green",0.0843965476190476,7051608,77000,"Import_kg",414,"Beans; green",92,0.62,59,7.04,96.81,0.3,0,0,0.81,0,0,3.77,28.99,0,0.21,1.38,0,0,0,0,0.1,0.39,0,0.63,0.24,1.22,0,0,1.08,0,0.16
"13","Bulgaria","Blueberries",0.134028846153846,7051608,39000,"Import_kg",552,"Blueberries",136,0.24,3.05,1.36,59.79,0,0,0,0,0,0,0.32,9.9,0,0,0,0,0,0,0,0,0,0,0.12,0.19,0.6,0,0,0.35,0,0
"14","Bulgaria","Broad beans, horse beans, dry",0.052,7051608,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,6.54,0.43,15,0,0,0,0,0,0,0.33,5.28,0,0,0.1,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0
"15","Bulgaria","Buckwheat",0.0421111111111111,7051608,114000,"Import_kg",89,"Buckwheat",9,12.66,408.38,103.65,2645.08,0,0,0,1.61,0.27,0.1,15.78,357.03,0,0.23,13.47,0,0,0.22,0,0,8.79,0,28.45,39.93,39.89,0,0,0.51,0,0
"16","Bulgaria","Cabbages and other brassicas",0.08324,7051608,8779000,"Import_kg",358,"Cabbages and other brassicas",78,40.18,3396.83,455.85,6554.76,91.72,0.34,0,183.54,2.59,0.51,427.09,3300.71,0.23,58.79,105.45,0,0.15,1.16,0.27,36.88,36.52,0.38,51.31,26.81,131.39,0,0,135.87,1.65,41.28
"17","Bulgaria","Carrots and turnips",0.0830718954248366,7051608,17834000,"Import_kg",426,"Carrots and turnips",96,92.05,3986.52,712.86,17861.3,83.34,1.85,0,201.95,4.72,0.79,886.03,6182.37,0.18,143.71,362.68,0.16,0.28,2.36,0.56,318.45,37.04,0.44,98.44,44.65,230.36,0,0,271.71,3.82,70.02
"18","Bulgaria","Cauliflowers and broccoli",0.103835520801038,7051608,1071000,"Import_kg",393,"Cauliflowers and broccoli",84,4.19,453.09,47.29,595.17,11.83,0,0,6.41,0.16,0,43.34,277.91,0,4.38,15.89,0,0,0.1,0,9.26,2.63,0,9.11,2.74,4.72,0,0,12.67,0.16,7.02
"19","Bulgaria","Cherries",0.1289,7051608,3983000,"Import_kg",531,"Cherries",127,19.98,476.9,75.95,4563.09,5.49,0,0,12.09,0.22,0,108.89,460.11,0,0.66,10.25,0,0,0.3,0,2.67,4.82,0,16.65,20.6,22.79,0,0,36.1,0.3,3.51
"20","Bulgaria","Cherries, sour",0.028,7051608,576000,"Import_kg",530,"Sour cherries",126,13.81,320.9,77.79,3245.95,2.92,0,0,3.99,0.12,0,50.47,350.07,0,1.6,4.81,0,0,0.12,0,1.78,2.63,0,19.84,23.92,26.26,0,0,25.38,0.12,3.21
"21","Bulgaria","Chestnut",0.059,7051608,115000,"Import_kg",220,"Chestnuts",44,7.24,140.88,80.62,1439.28,0.49,0,0,1.03,0,0,18.06,339.99,0,0.52,3.5,0,0,0,0,0,2.05,0,23.14,42.43,48.59,0,0,0.94,0,0.55
"22","Bulgaria","Chick peas",0.04575,7051608,248000,"Import_kg",191,"Chick peas",33,27.08,1494.7,386.97,4482.93,0.16,0,0,10.48,0.53,0.27,62.19,586.8,0,1.54,23.86,0,0,0.14,0,11.27,7.61,0.87,47.39,104.82,204.52,0,0,0.81,0.23,0
"23","Bulgaria","Chillies and peppers, dry",4e-04,7051608,2799000,"Import_kg",689,"Pimento",156,23861.64,1016922.39,885750.95,4072242.25,7485.45,67.37,5.43,20587.24,724.4,262.22,180801.95,2204950.28,65.47,45026.83,18449.27,27.7,43.22,547.47,171.05,5110.48,15232.22,216.1,262966.62,168860.95,611802.58,0,0,2781.33,593.81,0
"24","Bulgaria","Chillies and peppers, green",0.0664142191142191,7051608,29087000,"Import_kg",401,"Chillies and peppers; green",88,243.41,11058.28,4127.44,42903.58,716.23,0.77,0.18,171.69,10.09,1.94,1750.99,19965.75,0.96,44.06,632.75,0.79,0.75,7.37,2.2,50.15,224.07,1.47,258.99,110.81,1133.31,0,0,548.22,5.49,102.82
"25","Bulgaria","Cinnamon (cannella)",0.00115555555555556,7051608,101000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bulgaria","Cloves",0.0013,7051608,3000,"Import_kg",698,"Cloves",157,7.84,141.48,305.44,1478.44,0,0,0,18.35,0.28,0,33.38,701.97,0,9.07,2.66,0,0,0,0,1.22,8.48,1.97,129.33,45.59,118.01,0,0,1.09,0.14,0
"27","Bulgaria","Cocoa, beans",0.0115,7051608,18038000,"Import_kg",661,"Cocoa Beans",153,5071.51,358920.5,919811.64,1287896.44,0,0,0.71,2385.83,112.86,151.48,22321.31,823008.09,84.26,183.51,13045.46,3.77,4.4,41.07,2.62,266.92,11099.49,85.35,511988.88,353504.22,19129.38,0,0,86.3,88.48,0
"28","Bulgaria","Coconuts",0.04,7051608,131000,"Import_kg",249,"Coconuts - Incl Copra",58,14.75,155.82,1307.11,584.4,0.11,0,0,0.87,0.13,0,15.18,299.82,0,0.98,4.89,0,0,0,0,0.56,1.35,0.17,1386.29,123.66,31.72,0,0,2.46,0,1.93
"29","Bulgaria","Coffee, green",0.00312,7051608,32859000,"Import_kg",656,"Coffee",152,27672.35,1688344.33,2228009.79,5406549.17,149.35,0.6,2.59,15389.75,516.04,79.25,332434.45,0,30.85,5311.71,42450.62,21.5,74.62,1656.01,3.48,6432.45,27906.08,56.9,4948.04,37110.28,2474.02,0,0,784.47,865.79,0
"30","Bulgaria","Cranberries",0.0513333333333333,7051608,207000,"Import_kg",554,"Cranberries",137,2.63,22.3,7.43,697.66,0.76,0,0,0.46,0,0,4.86,263.05,0,0.11,0.74,0,0,0,0,0.31,0.34,0,0.63,1.03,3.15,0,0,4.98,0,0.11
"31","Bulgaria","Cucumbers and gherkins",0.0675,7051608,24549000,"Import_kg",397,"Cucumbers and gherkins",86,72,3328.12,609.8,13050.12,50.98,0,0,82.52,2.3,0.99,735.23,3364.68,0.28,34.23,187.07,0.14,0.16,0.98,0.21,30.95,64.47,0.41,172.78,12.89,134.1,0,0,493.87,2.14,79.94
"32","Bulgaria","Currants",0.038,7051608,49000,"Import_kg",550,"Currants",135,2.29,32.92,4.62,546.67,1.85,0,0,1.25,0,0,5.46,48.46,0,0,1.3,0,0,0,0,0.14,0.34,0,0.47,0.79,2.44,0,0,1.22,0,0
"33","Bulgaria","Dates",0.0393863636363636,7051608,1552000,"Import_kg",577,"Dates",121,111.09,982.09,164.15,28476.53,3.78,0,0,23.19,0.92,0.17,337.24,2760.48,0.13,1.12,44.91,0,0,0.92,0,4.53,22.54,0.16,8.94,10.06,5.31,0,0,21.12,0.75,9.69
"34","Bulgaria","Eggplants (aubergines)",0.082,7051608,3459000,"Import_kg",399,"Eggplants (aubergines)",87,16.32,690.48,432.9,3164.86,3.95,0,0,10.24,0.36,0.11,120.13,1239.99,0,3.21,26.2,0,0,0.77,0,17.62,7.68,0.14,16.15,7.78,34.7,0,0,54.9,0.72,12.26
"35","Bulgaria","Figs",0.0504615384615385,7051608,931000,"Import_kg",569,"Figs",139,14.17,265.3,54.94,3261.88,2.21,0,0,12.22,0.23,0.1,57.87,575.6,0,0.58,6.34,0,0,0.11,0,1.23,4.45,0,12.21,13.61,29.13,0,0,21.92,0.19,1.96
"36","Bulgaria","Fruit, fresh nes",0.107099201828105,7051608,1373000,"Import_kg",619,"Fresh fruit; nes",147,16.36,277.66,138.48,3503.81,7.09,0,0,9.75,0.66,0,50.64,631.35,0,2.03,7.61,0,0,0.18,0,12.69,5.8,0,22.25,15.33,21.19,0,0,13.76,0.17,5.06
"37","Bulgaria","Garlic",0.00732,7051608,355000,"Import_kg",406,"Garlic",90,83.89,3494.5,172.15,17569.63,9.14,0,0,35.35,0.96,0.8,303.64,1091.8,0.33,11.98,139.48,0,0,0.37,0.7,15.96,26.82,0.92,61.55,7.22,164.72,0,0,44.98,1,8.94
"38","Bulgaria","Ginger",0.02852,7051608,683000,"Import_kg",720,"Ginger",162,66.11,1657.87,714.03,13831.43,0.95,0,0,24.15,1.87,0.61,306.67,2004.81,0.19,8.35,29.8,0,0,1.33,0.16,13.99,49.82,11.31,882.65,162.67,315.5,0,0,15.81,0.76,0
"39","Bulgaria","Grapefruit (inc. pomelos)",0.15,7051608,16090000,"Import_kg",507,"Grapefruit",115,55.02,1071.34,231.22,12216.13,59.85,0,0,28.25,0.79,0.14,289.24,1538.07,0,11.12,31.69,0,0,0.42,0,11.71,11.66,0,18.25,17.49,33.47,0,0,136.21,0.63,68.07
"40","Bulgaria","Grapes",0.1235,7051608,7642000,"Import_kg",560,"Grapes",122,53.98,471.06,207.81,12817.04,4.51,0,0,13.12,0.54,0,159,1855.31,0,2.82,17.84,0,0.12,0.19,0,4.91,23.69,0.61,104.72,11.99,81.9,0,0,73.05,0.42,12.29
"41","Bulgaria","Hazelnuts, with shell",0.03,7051608,1000,"Import_kg",225,"Hazelnuts; with shell",49,0.28,7.38,26.03,9.88,0,0,0,0,0,0,0.32,3.62,0,0,0.15,0,0,0,0,0,0,0,1.76,12.68,10.14,0,0,0,0,0
"42","Bulgaria","Kiwi fruit",0.145,7051608,4123000,"Import_kg",592,"Kiwi fruit",144,24.73,425.41,272.18,5542.45,36.61,0,0,12.91,0.23,0,134.22,1008.09,0,1.78,17.91,0,0,0.15,0,2.58,6.25,0,25.27,24.6,93.28,0,0,33.3,0.26,10.08
"43","Bulgaria","Leeks, other alliaceous vegetables",0.083270092226614,7051608,1694000,"Import_kg",407,"Leeks; other alliaceous veg.",91,13.74,618.02,85.91,2769.54,5.51,0,0,17.91,0.76,0.17,53.62,536.6,0,3.87,21.33,0,0,0.66,0,2.12,16.73,0.18,21.73,10.48,48.37,0,0,24.77,0.25,8.08
"44","Bulgaria","Lemons and limes",0.0785,7051608,28941000,"Import_kg",497,"Lemons; Limes",114,197.26,3963.35,2182.93,43454.16,215.3,0,0,197.77,3.04,0.98,1096.86,6953.56,0.99,23.73,102.59,0.19,0.15,2.36,0.3,26.66,52.28,0,176.02,69.71,355.52,0,0,466.03,1.91,182.99
"45","Bulgaria","Lentils",0.0454634146341463,7051608,3982000,"Import_kg",201,"Lentils",36,407.8,28698.36,1298.75,69704.21,2.13,0,0.34,85.62,11.62,3.6,1035.9,14315.02,1.45,14.25,405.3,0.49,0.29,2.71,0.76,245.56,95.23,1.49,176.38,219.23,544.03,0,0,14.28,3.36,0
"46","Bulgaria","Lettuce and chicory",0.0865961538461538,7051608,3848000,"Import_kg",372,"Lettuce and chicory",81,10.89,903.33,156.39,1758.6,6.99,0.11,0,33.48,0.73,0.26,161.79,1116.28,0,15.97,42.52,0,0,0.26,0,20.32,8.6,0.15,23,4.67,52.88,0,0,58.96,0.66,10.71
"47","Bulgaria","Linseed",0.0178426203877423,7051608,1728000,"Import_kg",333,"Oilcrops; Other",62,716.23,26259.84,53405.85,37378.22,3.17,0,0.1,465.4,23.6,5.95,988.85,16961.49,1.66,45.39,758.15,0.68,0.42,4.34,0.73,60.09,457,4.02,6036.43,13819.49,36261.53,0,0,7.9,5.97,31.86
"48","Bulgaria","Maize",0.0869363057324841,7051608,26524000,"Import_kg",56,"Maize",4,1528.81,37394.55,14809.4,312261.59,2.97,0,0.1,90.28,14.08,7.76,1274.65,22407.13,0.78,40.43,947.05,1.15,0.51,11.16,1.53,0,474.49,1.05,2560.28,5571.62,10452.05,0,0,53.91,5.43,0
