"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bulgaria","Almonds, with shell",0.0296505238073522,7051608,16000,"Import_kg",221,"Almonds; with shell",45,4.56,162.31,391.47,138.18,0,0,0,1.86,0,0,6.03,55.48,0,0,3.69,0,0,0,0,0.4,2.46,0,30.23,258.46,89.26,0,0,0,0,0.5
"2","Bulgaria","Apples",0.121111111111111,7051608,67991000,"Import_kg",515,"Apples",119,446.9,2471.29,2345.24,104172.48,115.59,0,0,61.7,5.58,0.51,818.87,11278.39,0.23,46.37,86.44,0.36,0.23,1.49,0.32,1291.31,37.15,0.28,310.49,67.67,521.46,0,0,672.75,2.05,79.61
"3","Bulgaria","Apricots",0.03995,7051608,4734000,"Import_kg",526,"Apricots",125,83.01,1680.44,429.71,19130.14,11.23,0.22,0,28.57,1.33,0.37,490.13,2296.6,0.13,2.23,40.05,0,0.19,1.31,0,4.71,16.8,0.13,47.89,285.67,131.91,0,0,143.86,1.33,14.28
"4","Bulgaria","Artichokes",0.1,7051608,9000,"Import_kg",366,"Artichokes",79,0,3.34,0.22,14.81,0,0,0,0.11,0,0,0.44,3.15,0,0.14,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"5","Bulgaria","Barley",0.04775,7051608,1713000,"Import_kg",44,"Barley",3,175.08,4652.17,707.95,37930.2,0.34,0,0,28.36,3.96,1.29,131,4214.06,0.33,10.89,148.79,0.13,0,2.72,0.15,19.23,39.51,0.72,184.67,112.94,424.29,0,0,5.97,0.93,0
"6","Bulgaria","Beans, green",0.0843965476190476,7051608,77000,"Import_kg",414,"Beans; green",92,0.62,59,7.04,96.81,0.3,0,0,0.81,0,0,3.77,28.99,0,0.21,1.38,0,0,0,0,0.1,0.39,0,0.63,0.24,1.22,0,0,1.08,0,0.16
"7","Bulgaria","Broad beans, horse beans, dry",0.052,7051608,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,6.54,0.43,15,0,0,0,0,0,0,0.33,5.28,0,0,0.1,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0
"8","Bulgaria","Cabbages and other brassicas",0.08324,7051608,8779000,"Import_kg",358,"Cabbages and other brassicas",78,40.18,3396.83,455.85,6554.76,91.72,0.34,0,183.54,2.59,0.51,427.09,3300.71,0.23,58.79,105.45,0,0.15,1.16,0.27,36.88,36.52,0.38,51.31,26.81,131.39,0,0,135.87,1.65,41.28
"9","Bulgaria","Carrots and turnips",0.0830718954248366,7051608,17834000,"Import_kg",426,"Carrots and turnips",96,92.05,3986.52,712.86,17861.3,83.34,1.85,0,201.95,4.72,0.79,886.03,6182.37,0.18,143.71,362.68,0.16,0.28,2.36,0.56,318.45,37.04,0.44,98.44,44.65,230.36,0,0,271.71,3.82,70.02
"10","Bulgaria","Cauliflowers and broccoli",0.103835520801038,7051608,1071000,"Import_kg",393,"Cauliflowers and broccoli",84,4.19,453.09,47.29,595.17,11.83,0,0,6.41,0.16,0,43.34,277.91,0,4.38,15.89,0,0,0.1,0,9.26,2.63,0,9.11,2.74,4.72,0,0,12.67,0.16,7.02
