"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bulgaria","Almonds, with shell",0.0296505238073522,7051608,736000,"Production_kg/Import_kg",221,"Almonds; with shell",45,209.59,7466.17,18007.61,6356.16,3.66,0,0,85.44,1.1,1.27,277.15,2552.09,0.36,1.7,169.92,0,0.27,1.37,0,18.34,113.17,0.74,1390.8,11889.38,4106.04,0,0,1.75,1.03,22.88
"2","Bulgaria","Apples",0.121111111111111,7051608,111611000,"Production_kg/Import_kg",515,"Apples",119,733.62,4056.77,3849.84,171004.91,189.74,0,0,101.28,9.16,0.84,1344.22,18514.1,0.38,76.13,141.89,0.59,0.37,2.45,0.53,2119.76,60.99,0.46,509.68,111.08,856,0,0,1104.36,3.36,130.69
"3","Bulgaria","Apricots",0.03995,7051608,24974000,"Production_kg/Import_kg",526,"Apricots",125,437.94,8865.09,2266.93,100920.19,59.25,1.13,0,150.71,7.04,1.95,2585.65,12115.62,0.69,11.75,211.28,0.21,0.99,6.91,0.48,24.82,88.65,0.68,252.66,1507.07,695.91,0,0,758.92,7,75.35
"4","Bulgaria","Artichokes",0.1,7051608,189000,"Production_kg/Import_kg",366,"Artichokes",79,1.49,70.14,4.69,310.97,0.22,0,0,2.23,0,0,9.18,66.11,0,2.84,2.63,0,0,0,0,0.92,1.61,0,1.15,0.2,1.66,0,0,2.31,0,1.61
"5","Bulgaria","Barley",0.04775,7051608,564863000,"Production_kg/Import_kg",44,"Barley",3,57732.5,1534057.21,233447.61,12507509.67,111.84,0,3.52,9352.47,1304.89,424.09,43197.52,1389590.16,107.25,3590.01,49064.46,44.12,21.7,897.03,48.48,6341.23,13029.16,238.5,60895.92,37242.13,139909.64,0,0,1969.85,307.33,0
"6","Bulgaria","Beans, green",0.0843965476190476,7051608,1247000,"Production_kg/Import_kg",414,"Beans; green",92,10,955.42,114.08,1567.87,4.8,0,0,13.19,0.46,0,60.99,469.5,0,3.47,22.34,0,0.21,0.18,0,1.7,6.29,0,10.2,3.84,19.7,0,0,17.42,0.24,2.6
"7","Bulgaria","Berries nes",0.109406559397488,7051608,1680000,"Production_kg",558,"Berries; nes",138,12.33,202.67,98.15,2793.21,10.08,0,0,7.98,0.33,0,36,627.15,0,1.32,4.9,0,0,0.11,0,2.13,3.54,0.21,3.92,9.15,47.53,0,0,18.7,0.11,0.17
"8","Bulgaria","Broad beans, horse beans, dry",0.052,7051608,1861000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,169.77,12179.4,806.11,27912.86,1.38,0,0.21,50.29,4.1,1.77,605.58,9829.01,0.42,9.25,193.6,0.2,0.15,1.34,0.19,48.62,97.19,0.83,127.9,153.02,306.29,0,0,5.29,1.52,13.7
"9","Bulgaria","Cabbages and other brassicas",0.08324,7051608,55339000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,253.29,21412.12,2873.49,41318.38,578.16,2.17,0.59,1156.97,16.32,3.22,2692.21,20806.21,1.46,370.58,664.69,0.57,0.97,7.31,1.7,232.45,230.2,2.39,323.45,168.98,828.2,0,0,856.46,10.43,260.21
"10","Bulgaria","Carrots and turnips",0.0830718954248366,7051608,38244000,"Production_kg/Import_kg",426,"Carrots and turnips",96,197.39,8548.86,1528.69,38302.55,178.72,3.97,0.14,433.06,10.13,1.69,1900.04,13257.75,0.38,308.18,777.75,0.34,0.61,5.06,1.19,682.89,79.43,0.93,211.09,95.75,494,0,0,582.67,8.19,150.16
"11","Bulgaria","Cauliflowers and broccoli",0.103835520801038,7051608,4861000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,19.03,2056.46,214.66,2701.34,53.69,0.36,0,29.1,0.72,0.28,196.7,1261.38,0,19.87,72.11,0,0,0.48,0.12,42.05,11.95,0.12,41.33,12.45,21.41,0,0,57.5,0.72,31.87
"12","Bulgaria","Cereals nes",0.0486257263475995,7051608,6410000,"Production_kg",108,"Cereals; nes",13,651.02,24347.8,8604.15,137385.03,2.01,0,0,271.42,41.45,7.11,798.24,5901.98,1.51,14.58,711.54,0.67,0.5,2.73,0.9,24.49,343.97,17.27,839.36,1101.08,2002.13,0,0,20.4,7.33,0
"13","Bulgaria","Cherries",0.1289,7051608,58943000,"Production_kg/Import_kg",531,"Cherries",127,295.62,7057.54,1124.02,67527.54,81.19,0.19,0,178.98,3.29,0.45,1611.45,6808.95,0.39,9.73,151.74,0.14,0.19,4.48,0.32,39.56,71.33,0.45,246.42,304.78,337.21,0,0,534.18,4.41,51.88
"14","Bulgaria","Cherries, sour",0.028,7051608,5726000,"Production_kg/Import_kg",530,"Sour cherries",126,137.27,3190.05,773.35,32267.86,29,0.14,0,39.63,1.18,0.48,501.71,3480.06,0.3,15.95,47.85,0,0,1.16,0.13,17.69,26.1,0.32,197.2,237.8,261,0,0,252.33,1.16,31.9
"15","Bulgaria","Chillies and peppers, green",0.0664142191142191,7051608,93067000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,778.81,35382.17,13206.2,137274.64,2291.66,2.48,0.59,549.33,32.3,6.2,5602.5,63882.58,3.09,140.96,2024.55,2.51,2.39,23.59,7.05,160.47,716.93,4.7,828.67,354.56,3626.16,0,0,1754.1,17.56,329
"16","Bulgaria","Cucumbers and gherkins",0.0675,7051608,97519000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,286.01,13220.72,2422.39,51840.58,202.51,0,0.19,327.81,9.12,3.93,2920.66,13365.91,1.11,135.99,743.11,0.54,0.65,3.91,0.82,122.93,256.1,1.62,686.34,51.22,532.69,0,0,1961.87,8.51,317.56
"17","Bulgaria","Eggplants (aubergines)",0.082,7051608,14639000,"Production_kg/Import_kg",399,"Eggplants (aubergines)",87,69.05,2922.22,1832.09,13394.15,16.7,0,0,43.33,1.54,0.48,508.42,5247.82,0.25,13.58,110.87,0.13,0.23,3.26,0.22,74.56,32.49,0.59,68.36,32.91,146.84,0,0,232.33,3.03,51.9
"18","Bulgaria","Figs",0.0504615384615385,7051608,951000,"Production_kg/Import_kg",569,"Figs",139,14.48,271,56.12,3331.95,2.26,0,0,12.48,0.23,0.1,59.11,587.97,0,0.59,6.48,0,0,0.11,0,1.26,4.54,0,12.47,13.9,29.75,0,0,22.39,0.2,2
"19","Bulgaria","Fruit, pome nes",0.133610628019324,7051608,210000,"Production_kg",542,"Pome fruit; nes",131,1.37,15.66,4.29,343.22,0.41,0,0,0.51,0,0,2.96,61.29,0,0,0.26,0,0,0,0,0.1,0.15,0,0.4,0.98,1.39,0,0,1.86,0,0.45
"20","Bulgaria","Garlic",0.00732,7051608,2575000,"Production_kg/Import_kg",406,"Garlic",90,608.5,25347.42,1248.68,127441.69,66.27,0,0,256.41,6.93,5.81,2202.46,7919.39,2.41,86.9,1011.71,0.7,0.4,2.67,5.05,115.74,194.56,6.66,446.48,52.38,1194.77,0,0,326.29,7.23,64.85
"21","Bulgaria","Grapes",0.1235,7051608,186172000,"Production_kg/Import_kg",560,"Grapes",122,1315.12,11475.89,5062.61,312244.73,109.86,0,0,319.54,13.18,1.53,3873.62,45198.39,2.08,68.76,434.68,0.92,2.86,4.66,2.1,119.71,577.2,14.76,2551.06,292.16,1995.24,0,0,1779.68,10.13,299.29
"22","Bulgaria","Hazelnuts, with shell",0.03,7051608,431000,"Production_kg/Import_kg",225,"Hazelnuts; with shell",49,120.68,3179.98,11220.76,4258.08,0.74,0,0,38.66,0.96,0.84,135.96,1558.58,0.35,1.31,64.92,0.11,0,0.8,0.11,9.29,33.21,1.26,760.34,5465.42,4372.18,0,0,1.26,0.54,11.92
"23","Bulgaria","Kiwi fruit",0.145,7051608,4153000,"Production_kg/Import_kg",592,"Kiwi fruit",144,24.91,428.51,274.16,5582.78,36.87,0,0,13.01,0.24,0,135.19,1015.42,0,1.8,18.04,0,0,0.15,0,2.6,6.3,0,25.45,24.78,93.96,0,0,33.54,0.26,10.15
"24","Bulgaria","Leeks, other alliaceous vegetables",0.083270092226614,7051608,2574000,"Production_kg/Import_kg",407,"Leeks; other alliaceous veg.",91,20.88,939.07,130.53,4208.26,8.37,0,0,27.22,1.15,0.25,81.48,815.35,0,5.88,32.42,0,0,1.01,0,3.22,25.42,0.27,33.02,15.93,73.5,0,0,37.64,0.38,12.27
"25","Bulgaria","Lettuce and chicory",0.0865961538461538,7051608,7918000,"Production_kg/Import_kg",372,"Lettuce and chicory",81,22.41,1858.77,321.81,3618.65,14.39,0.23,0,68.89,1.51,0.53,332.92,2296.95,0,32.86,87.49,0,0,0.54,0.11,41.82,17.69,0.3,47.33,9.62,108.81,0,0,121.33,1.36,22.04
"26","Bulgaria","Maize",0.0869363057324841,7051608,4086314000,"Production_kg/Import_kg",56,"Maize",4,235530.68,5761041.76,2281551.37,48107332.89,457.07,14.71,15.52,13907.99,2169.02,1196.1,196373.59,3452065.17,120.28,6229.35,145903.52,177.76,78.92,1719.32,236.21,0,73100.6,161.64,394439.74,858368.85,1610253.98,0,0,8306.08,836.71,0
"27","Bulgaria","Melons, other (inc.cantaloupes)",0.179843076923077,7051608,31168000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,70.03,1330.1,373.77,15813.06,57.06,0.12,0,37.51,1.31,0.28,628.55,1685.27,0,29.85,40.34,0,0,1.17,0.23,18.68,26.54,0,93.39,6.55,146.64,0,0,227.27,1.18,117.15
"28","Bulgaria","Oats",0.0434605263157895,7051608,31662000,"Production_kg/Import_kg",75,"Oats",6,3774.47,141080.43,63731.24,669778.53,1.03,0,0.46,608.37,54.66,35.26,4210.01,45716.03,6.47,248.36,3754.24,5.39,1.29,12.91,1.23,0,1828.64,50.79,12278.76,22666.88,25699.12,0,0,108.98,20.68,0
"29","Bulgaria","Oilseeds nes",0.0178426203877423,7051608,5684000,"Production_kg/Import_kg",339,"Oilcrops; Other",62,2355.93,86377.85,175670.62,122950.11,10.44,0,0.33,1530.87,77.62,19.58,3252.67,55792.3,5.46,149.31,2493.84,2.22,1.37,14.27,2.41,197.64,1503.23,13.21,19855.96,45457.17,119276.93,0,0,25.98,19.64,104.81
"30","Bulgaria","Onions, dry",0.093304347826087,7051608,64297000,"Production_kg/Import_kg",403,"Onions",77,385.87,11247.13,1373.44,81645.59,86.89,0,0.13,405.06,6.96,3.85,1262.59,13876.79,0.27,98.16,509.7,0.33,0.36,2.35,1.07,59.61,116.62,0.63,332.26,237.79,544,0,0,881.64,5.08,78.18
"31","Bulgaria","Peaches and nectarines",0.105333333333333,7051608,57115000,"Production_kg/Import_kg",534,"Peaches and nectarines",128,369.7,6393.79,1330.28,86189.3,112.73,0.27,0,79.29,4.96,1.21,1607.1,9073.57,0.59,10.28,190.19,0.23,0.32,5.41,0.19,47.29,69.21,0.44,129.18,422.92,490.59,0,0,650.49,4.39,65.36
"32","Bulgaria","Pears",0.04975,7051608,9187000,"Production_kg/Import_kg",521,"Pears",123,135.77,1187.16,784.17,33078.43,11.24,0,0,30.3,4.96,0.59,282.82,5150.19,0.21,8.97,34.27,0,0.11,0.54,0,13.36,18.33,0.13,54.99,214.74,240.92,0,0,222.22,0.75,30.12
"33","Bulgaria","Peas, dry",0.0623254069051863,7051608,40837000,"Production_kg/Import_kg",187,"Cow peas; dry",34,3075.59,201325.68,13748.7,523029.87,8.9,0,3.74,897.55,71.83,38.97,9266.59,98570.67,8.07,239.55,3772.82,5,1.43,25.24,3.29,1378.44,1885.18,11.74,3075.59,984.93,5036.16,0,0,108.38,32.62,0
