"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cabo Verde","Bananas",0.04075,543767,86000,"Import_kg",486,"Bananas",117,39.1,471.85,90.24,9060.22,4.13,0,0,3.82,0.31,0,131.88,606.87,0,2.46,9.84,0,0,0.33,0.14,3.8,11,0.1,43.08,10.09,21.93,0,0,28.27,0.32,13.78
"2","Cabo Verde","Cabbages and other brassicas",0.08324,543767,268000,"Import_kg",358,"Cabbages and other brassicas",78,15.91,1344.74,180.46,2594.91,36.31,0.14,0,72.66,1.02,0.2,169.08,1306.69,0,23.27,41.74,0,0,0.46,0.11,14.6,14.46,0.15,20.31,10.61,52.01,0,0,53.79,0.65,16.34
"3","Cabo Verde","Carrots and turnips",0.0830718954248366,543767,1472000,"Import_kg",426,"Carrots and turnips",96,98.52,4267.05,763.02,19118.22,89.21,1.98,0,216.16,5.05,0.84,948.38,6617.43,0.19,153.82,388.2,0.17,0.3,2.53,0.59,340.86,39.65,0.47,105.36,47.79,246.57,0,0,290.83,4.09,74.95
"4","Cabo Verde","Cauliflowers and broccoli",0.103835520801038,543767,52000,"Import_kg",393,"Cauliflowers and broccoli",84,2.64,285.28,29.78,374.74,7.45,0,0,4.04,0.1,0,27.29,174.98,0,2.76,10,0,0,0,0,5.83,1.66,0,5.73,1.73,2.97,0,0,7.98,0,4.42
"5","Cabo Verde","Chillies and peppers, dry",4e-04,543767,6000,"Import_kg",689,"Pimento",156,663.32,28269.07,24622.68,113202.83,208.09,1.87,0.15,572.3,20.14,7.29,5026.05,61294.64,1.82,1251.69,512.86,0.77,1.2,15.22,4.76,142.06,423.44,6.01,7310.12,4694.11,17007.28,0,0,77.32,16.51,0
"6","Cabo Verde","Coconuts",0.04,543767,29000,"Import_kg",249,"Coconuts - Incl Copra",58,42.33,447.33,3752.45,1677.68,0.32,0,0,2.49,0.38,0.22,43.59,860.71,0,2.82,14.03,0,0,0,0,1.61,3.86,0.5,3979.74,354.99,91.06,0,0,7.07,0.14,5.53
"7","Cabo Verde","Cucumbers and gherkins",0.0675,543767,61000,"Import_kg",397,"Cucumbers and gherkins",86,2.32,107.24,19.65,420.52,1.64,0,0,2.66,0,0,23.69,108.42,0,1.1,6.03,0,0,0,0,1,2.08,0,5.57,0.42,4.32,0,0,15.91,0,2.58
"8","Cabo Verde","Fruit, fresh nes",0.107099201828105,543767,36000,"Import_kg",619,"Fresh fruit; nes",147,5.56,94.41,47.09,1191.37,2.41,0,0,3.32,0.23,0,17.22,214.67,0,0.69,2.59,0,0,0,0,4.32,1.97,0,7.57,5.21,7.21,0,0,4.68,0,1.72
"9","Cabo Verde","Garlic",0.00732,543767,758000,"Import_kg",406,"Garlic",90,2322.89,96761.16,4766.72,486495.48,252.99,0,0,978.83,26.47,22.2,8407.68,30231.45,9.19,331.74,3862.11,2.69,1.53,10.2,19.28,441.81,742.69,25.44,1704.39,199.96,4560.9,0,0,1245.6,27.61,247.56
"10","Cabo Verde","Lettuce and chicory",0.0865961538461538,543767,28000,"Import_kg",372,"Lettuce and chicory",81,1.03,85.24,14.76,165.95,0.66,0,0,3.16,0,0,15.27,105.33,0,1.51,4.01,0,0,0,0,1.92,0.81,0,2.17,0.44,4.99,0,0,5.56,0,1.01
