"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cameroon","Almonds shelled",0.0296505238073522,25216267,1000,"Import_kg",231,"Almonds; with shell",45,0,2.84,6.84,2.42,0,0,0,0,0,0,0.11,0.97,0,0,0,0,0,0,0,0,0,0,0.53,4.52,1.56,0,0,0,0,0
"2","Cameroon","Anise, badian, fennel, coriander",0.00195,25216267,24000,"Import_kg",711,"Anise; badian; fennel; coriander",161,16.97,771.83,699.47,2280.95,0.51,0,0,39.69,1.57,0.23,72.41,1165.44,0,3.61,22.46,0,0,0.15,0,26.74,15.37,0.13,41.11,531.38,128.28,0,0,0.49,0.33,0
"3","Cameroon","Apples",0.121111111111111,25216267,7278000,"Import_kg",515,"Apples",119,13.38,73.98,70.2,3118.32,3.46,0,0,1.85,0.17,0,24.51,337.61,0,1.39,2.59,0,0,0,0,38.65,1.11,0,9.29,2.03,15.61,0,0,20.14,0,2.38
"4","Cameroon","Beans, dry",0.1145,25216267,893000,"Import_kg",176,"Beans",30,10.19,658.54,42.46,1793.91,0,0,0,4.33,0.23,0,36.16,383.6,0,0.48,11.96,0,0,0,0,3.41,5.35,0,9.56,4.25,14.71,0,0,0.36,0.12,0
"5","Cameroon","Cake, cottonseed",0.014,25216267,126000,"Import_kg",332,"Cottonseed Oil",67,32.02,0,3567.93,0.71,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.27,666.53,1872.9,0,0,0,0,0
"6","Cameroon","Cake, soybeans",0.014,25216267,71596000,"Import_kg",238,"Soyabean Oil",63,18133.5,0,2025826.33,169,0,0,0,31.55,5.86,6.62,0,0,0,31.55,0.72,0,0,0,0,4.06,0,0,536719.21,474385.46,918605.04,0,0,0.18,0,0
"7","Cameroon","Cereal preparations nes",0.0486257263475995,25216267,7000,"Import_kg",113,"Cereals; nes",13,0.2,7.44,2.63,41.96,0,0,0,0,0,0,0.24,1.8,0,0,0.22,0,0,0,0,0,0.11,0,0.26,0.34,0.61,0,0,0,0,0
"8","Cameroon","Chick peas",0.04575,25216267,4000,"Import_kg",191,"Chick peas",33,0.12,6.74,1.75,20.22,0,0,0,0,0,0,0.28,2.65,0,0,0.11,0,0,0,0,0,0,0,0.21,0.47,0.92,0,0,0,0,0
"9","Cameroon","Chillies and peppers, dry",4e-04,25216267,1000,"Import_kg",689,"Pimento",156,2.38,101.6,88.49,406.85,0.75,0,0,2.06,0,0,18.06,220.29,0,4.5,1.84,0,0,0,0,0.51,1.52,0,26.27,16.87,61.12,0,0,0.28,0,0
"10","Cameroon","Chillies and peppers, green",0.0664142191142191,25216267,5000,"Import_kg",401,"Chillies and peppers; green",88,0,0.53,0.2,2.06,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Cameroon","Chocolate products nes",0.0115,25216267,990000,"Import_kg",666,"Cocoa Beans",153,77.84,5508.74,14117.35,19766.74,0,0,0,36.62,1.73,2.32,342.59,12631.6,1.29,2.82,200.22,0,0,0.63,0,4.1,170.36,1.31,7858.05,5425.61,293.6,0,0,1.32,1.36,0
"12","Cameroon","Cider etc",0.0683571428571429,25216267,129000,"Import_kg",517,"Fruit juice; nes",149,0.37,1.86,1.01,91.03,0.56,0,0,0,0,0,0.81,2.13,0,0,0,0,0,0,0,0,0,0,0.19,0.26,0.46,0,0,0.66,0,0
"13","Cameroon","Cinnamon (cannella)",0.00115555555555556,25216267,130000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Cameroon","Cloves",0.0013,25216267,3000,"Import_kg",698,"Cloves",157,2.19,39.57,85.41,413.44,0,0,0,5.13,0,0,9.33,196.3,0,2.53,0.74,0,0,0,0,0.34,2.37,0.55,36.17,12.75,33,0,0,0.3,0,0
"15","Cameroon","Cocoa, beans",0.0115,25216267,120000,"Import_kg",661,"Cocoa Beans",153,9.43,667.73,1711.19,2395.97,0,0,0,4.44,0.21,0.28,41.53,1531.1,0.16,0.34,24.27,0,0,0,0,0.5,20.65,0.16,952.49,657.65,35.59,0,0,0.16,0.16,0
"16","Cameroon","Cocoa, butter",0.0115,25216267,9000,"Import_kg",664,"Cocoa Beans",153,0.71,50.08,128.34,179.7,0,0,0,0.33,0,0,3.11,114.83,0,0,1.82,0,0,0,0,0,1.55,0,71.44,49.32,2.67,0,0,0,0,0
"17","Cameroon","Cocoa, paste",0.0115,25216267,15000,"Import_kg",662,"Cocoa Beans",153,1.18,83.47,213.9,299.5,0,0,0,0.55,0,0,5.19,191.39,0,0,3.03,0,0,0,0,0,2.58,0,119.06,82.21,4.45,0,0,0,0,0
"18","Cameroon","Cocoa, powder & cake",0.0115,25216267,247000,"Import_kg",665,"Cocoa Beans",153,19.42,1374.4,3522.21,4931.7,0,0,0,9.14,0.43,0.58,85.47,3151.52,0.32,0.7,49.95,0,0,0.16,0,1.02,42.5,0.33,1960.54,1353.66,73.25,0,0,0.33,0.34,0
"19","Cameroon","Coconuts",0.04,25216267,48000,"Import_kg",249,"Coconuts - Incl Copra",58,1.51,15.97,133.93,59.88,0,0,0,0,0,0,1.56,30.72,0,0.1,0.5,0,0,0,0,0,0.14,0,142.05,12.67,3.25,0,0,0.25,0,0.2
"20","Cameroon","Coffee, extracts",0.00312,25216267,857000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,392.15,14852.53,3529.32,85422.5,0,0,0,121.6,8.12,0.56,2661.15,25380.57,0.23,90.41,398.85,0.45,0.1,19.24,0.81,14.6,265.79,1.2,656.84,387.79,1334.39,0,0,6.6,8.87,0
"21","Cameroon","Coffee, green",0.00312,25216267,9000,"Import_kg",656,"Coffee",152,2.12,129.32,170.65,414.11,0,0,0,1.18,0,0,25.46,0,0,0.41,3.25,0,0,0.13,0,0.49,2.14,0,0.38,2.84,0.19,0,0,0,0,0
"22","Cameroon","Coffee, roasted",0.00312,25216267,40000,"Import_kg",657,"Coffee",152,9.42,574.74,758.46,1840.49,0,0,0,5.24,0.18,0,113.17,0,0,1.81,14.45,0,0,0.56,0,2.19,9.5,0,1.68,12.63,0.84,0,0,0.27,0.29,0
"23","Cameroon","Dates",0.0393863636363636,25216267,146000,"Import_kg",577,"Dates",121,2.92,25.84,4.32,749.13,0,0,0,0.61,0,0,8.87,72.62,0,0,1.18,0,0,0,0,0.12,0.59,0,0.24,0.26,0.14,0,0,0.56,0,0.25
"24","Cameroon","Flour, cereals",0.057,25216267,67000,"Import_kg",111,"Millet Flour",224,1.69,36.16,14.38,350.94,0,0,0,0.31,0,0,1.04,11.11,0,0,1.06,0,0,0,0,0,0.55,0,2.5,4.31,12.2,0,0,0,0,0
"25","Cameroon","Flour, maize",0.0538461538461538,25216267,36011000,"Import_kg",58,"Corn Flour",223,942.96,22537.4,8700.11,193450.95,0.97,0,0,74.37,10.04,3.52,564.62,11875.05,0.42,18.91,522.18,0.71,0.27,4.74,0.55,0,152.69,0.15,783.05,2833.83,4704.27,0,0,27.64,3.06,0
"26","Cameroon","Flour, mustard",0.0841,25216267,158000,"Import_kg",295,"Rape and Mustardseed",56,3.91,171.66,284.01,194.05,0,0,0,2.82,0,0,5.5,52.9,0,0,5.69,0,0,0,0,1.24,2.76,0,14.82,167.77,75.16,0,0,0,0,0
"27","Cameroon","Flour, potatoes",0.133867924528302,25216267,1000,"Import_kg",117,"Potatoes",18,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Cameroon","Flour, pulses",0.0619285714285714,25216267,1000,"Import_kg",212,"Flour of pulses",41,0,1.89,0.59,2.48,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.15,0.23,0,0,0,0,0
"29","Cameroon","Flour, wheat",0.0374838709677419,25216267,22469000,"Import_kg",16,"Wheat Flour",222,821.35,27270.58,3595.91,169128.18,0.44,0,0,95.06,6.47,3.05,408.87,3122,0.23,76.73,439.81,0.83,0.32,5.44,0.29,24.72,107.76,2,368.46,206.81,981.77,0,0,27.54,2.27,0
"30","Cameroon","Fructose and syrup, other",0.0196884037015616,25216267,6056000,"Import_kg",166,"Sweeteners; Other",28,362.29,778.94,183.79,93442.02,1.68,0,0,138.12,4.6,1.66,377.17,0,0,54.76,77.54,0,0.19,1.03,0.1,4.15,24.6,1.55,5.25,9.15,14.27,0,0,30.84,2.48,0
"31","Cameroon","Fruit, cooked, homogenized preparations",0.107099201828105,25216267,64000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,0.13,0.85,0.38,33.11,0,0,0,0,0,0,0.29,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0
"32","Cameroon","Fruit, dried nes",0.107099201828105,25216267,3000,"Import_kg",620,"Fruit dried; nes",148,0,0.34,0,7.97,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Cameroon","Fruit, fresh nes",0.107099201828105,25216267,10000,"Import_kg",619,"Fresh fruit; nes",147,0,0.57,0.28,7.14,0,0,0,0,0,0,0.1,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Cameroon","Fruit, prepared nes",0.107099201828105,25216267,274000,"Import_kg",623,"Fruit; prepared; nes",150,0.56,7.37,2.42,142.29,0.11,0,0,0.15,0,0,1.82,25.56,0,0,0.18,0,0,0,0,0,0.11,0,0.26,0.36,0.77,0,0,0.86,0,0
"35","Cameroon","Garlic",0.00732,25216267,1139000,"Import_kg",406,"Garlic",90,75.27,3135.36,154.46,15763.96,8.2,0,0,31.72,0.86,0.72,272.43,979.59,0.3,10.75,125.14,0,0,0.33,0.62,14.32,24.07,0.82,55.23,6.48,147.79,0,0,40.36,0.89,8.02
"36","Cameroon","Ginger",0.02852,25216267,1000,"Import_kg",720,"Ginger",162,0,0.68,0.29,5.66,0,0,0,0,0,0,0.13,0.82,0,0,0,0,0,0,0,0,0,0,0.36,0,0.13,0,0,0,0,0
"37","Cameroon","Glucose and dextrose",0.0196884037015616,25216267,5084000,"Import_kg",172,"Sweeteners; Other",28,304.14,653.92,154.29,78444.39,1.41,0,0,115.95,3.86,1.39,316.63,0,0,45.97,65.1,0,0.16,0.87,0,3.48,20.65,1.3,4.4,7.68,11.98,0,0,25.89,2.08,0
"38","Cameroon","Grain, mixed",0.0651708222811671,25216267,51000,"Import_kg",103,"Mixed grain",12,1.08,35.48,7.7,228.71,0,0,0,0,0,0,1.07,32.79,0,0,0.98,0,0,0,0,0.1,0.37,0,1.36,1.65,3.24,0,0,0,0,0
"39","Cameroon","Grapefruit (inc. pomelos)",0.15,25216267,32000,"Import_kg",507,"Grapefruit",115,0,0.6,0.13,6.79,0,0,0,0,0,0,0.16,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Cameroon","Grapes",0.1235,25216267,388000,"Import_kg",560,"Grapes",122,0.77,6.69,2.95,181.98,0,0,0,0.19,0,0,2.26,26.34,0,0,0.25,0,0,0,0,0,0.34,0,1.49,0.17,1.16,0,0,1.04,0,0.17
"41","Cameroon","Juice, apple, concentrated",0.0683571428571429,25216267,104000,"Import_kg",519,"Fruit juice; nes",149,0.3,1.5,0.82,73.39,0.45,0,0,0,0,0,0.65,1.72,0,0,0,0,0,0,0,0,0,0,0.15,0.21,0.37,0,0,0.53,0,0
