"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Canada","Almonds, with shell",0.0296505238073522,37074562,1187000,"Import_kg",221,"Almonds; with shell",45,64.29,2290.25,5523.84,1949.75,1.12,0,0,26.21,0.34,0.39,85.02,782.85,0.11,0.52,52.12,0,0,0.42,0,5.63,34.72,0.23,426.63,3647.07,1259.53,0,0,0.54,0.32,7.02
"2","Canada","Anise, badian, fennel, coriander",0.00195,37074562,17506000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,8416.57,382912.65,347014.59,1131606.15,253.04,0.58,0.28,19693.03,777.13,112.29,35922.28,578189.49,22.72,1791.88,11140.89,7.94,7.32,74.55,12.11,13265.94,7627.58,66.05,20393.49,263623.73,63640.66,0,0,241.22,163.01,0
"3","Canada","Apples",0.121111111111111,37074562,582569000,"Production_kg/Import_kg",515,"Apples",119,728.32,4027.47,3822.04,169770.05,188.37,0,0,100.55,9.1,0.83,1334.51,18380.4,0.38,75.58,140.86,0.59,0.37,2.43,0.52,2104.45,60.55,0.45,506,110.28,849.82,0,0,1096.38,3.34,129.74
"4","Canada","Apricots",0.03995,37074562,4478000,"Production_kg/Import_kg",526,"Apricots",125,14.94,302.34,77.31,3441.8,2.02,0,0,5.14,0.24,0,88.18,413.19,0,0.4,7.21,0,0,0.24,0,0.85,3.02,0,8.62,51.4,23.73,0,0,25.88,0.24,2.57
"5","Canada","Artichokes",0.1,37074562,1346000,"Import_kg",366,"Artichokes",79,2.01,95.01,6.35,421.23,0.3,0,0,3.02,0,0,12.43,89.55,0,3.85,3.56,0,0,0,0,1.25,2.18,0,1.56,0.27,2.25,0,0,3.13,0,2.18
"6","Canada","Asparagus",0.0845294117647059,37074562,33659000,"Production_kg/Import_kg",367,"Asparagus",80,21.75,2316.84,217.88,3270.43,23.29,0,0,22.55,1.17,0.58,232.8,2613.48,0.16,4.96,90.04,0.13,0.14,0.97,0,17.18,15.04,0.17,48.33,5.37,75.18,0,0,99.7,0.7,50.48
"7","Canada","Avocados",0.048,37074562,94963000,"Import_kg",572,"Avocados",141,777.37,8583.08,75174.89,23159.38,68.26,0.18,0.31,109.74,5.13,2.57,2721.68,23390.62,1.13,35.2,905.83,0.34,0.75,7.39,1.63,75.77,161.42,0.76,12761.67,42381.93,8879.54,0,0,410.32,6.26,202.78
"8","Canada","Bambara beans",0.028,37074562,5000,"Import_kg",203,"Bambara beans",37,0.16,8.54,2.71,26.07,0,0,0,0,0,0,0.6,2.31,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Canada","Bananas",0.04075,37074562,580764000,"Import_kg",486,"Bananas",117,3872.46,46734.79,8937.56,897380.52,409.26,1.41,0.72,378.72,30.71,6.34,13062.29,60107.93,3.55,243.98,975.01,2.06,1.94,32.73,13.42,376.72,1089.17,10.38,4266.96,999.47,2171.92,0,0,2800.17,31.86,1364.66
"10","Canada","Barley",0.04775,37074562,10424491000,"Production_kg/Import_kg",44,"Barley",3,202648.88,5384748.43,819432.72,43903051.86,392.57,0.15,12.37,32828.45,4580.33,1488.62,151629.15,4877649.53,376.47,12601.41,172222.9,154.87,76.17,3148.7,170.18,22258.57,45734.1,837.15,213752.93,130724.93,491101.78,0,0,6914.45,1078.78,0
