"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Chad","Anise, badian, fennel, coriander",0.00195,15477729,47000,"Import_kg",711,"Anise; badian; fennel; coriander",161,54.13,2462.52,2231.66,7277.38,1.63,0,0,126.65,5,0.72,231.02,3718.35,0.15,11.52,71.65,0,0,0.48,0,85.31,49.05,0.42,131.15,1695.37,409.27,0,0,1.55,1.05,0
"2","Chad","Apples",0.121111111111111,15477729,162000,"Import_kg",515,"Apples",119,0.49,2.68,2.55,113.08,0.13,0,0,0,0,0,0.89,12.24,0,0,0,0,0,0,0,1.4,0,0,0.34,0,0.57,0,0,0.73,0,0
"3","Chad","Beans, dry",0.1145,15477729,152903000,"Production_kg",176,"Beans",30,2843.04,183705.75,11845.41,500423.94,15.65,0,3.53,1207.18,62.91,25.2,10088.41,107008.83,7.53,134.77,3336.87,3.9,1.9,17.24,3.34,952.52,1491.69,11.24,2666.97,1184.25,4103.03,0,0,101.15,32.96,0
"4","Chad","Cassava",0.108277777777778,15477729,296976000,"Production_kg",125,"Cassava",17,2464.68,32381.17,8411.31,550108.82,570.6,0.18,0.45,690.85,21.57,6.02,6662.89,26226.27,1.77,163.03,698.35,1.1,0.99,10.17,1.56,419.97,372.13,6.8,1541.68,1550.54,779.7,0,0,1113.34,24.91,372.13
"5","Chad","Cereals nes",0.0486257263475995,15477729,528373000,"Production_kg",108,"Cereals; nes",13,24448.85,914372.72,323125.57,5159444.1,75.47,0,0,10193.01,1556.81,266.9,29977.48,221646.82,56.87,547.6,26721.54,25.2,18.62,102.35,33.84,919.68,12917.7,648.69,31521.99,41350.67,75189.42,0,0,766.21,275.16,0
"6","Chad","Chillies and peppers, dry",4e-04,15477729,1000,"Import_kg",689,"Pimento",156,3.88,165.53,144.17,662.84,1.22,0,0,3.35,0.12,0,29.43,358.9,0,7.33,3,0,0,0,0,0.83,2.48,0,42.8,27.49,99.58,0,0,0.45,0,0
"7","Chad","Chocolate products nes",0.0115,15477729,269000,"Import_kg",666,"Cocoa Beans",153,34.46,2438.61,6249.48,8750.36,0,0,0,16.21,0.77,1.03,151.66,5591.77,0.57,1.25,88.63,0,0,0.28,0,1.81,75.41,0.58,3478.61,2401.81,129.97,0,0,0.59,0.6,0
"8","Chad","Cider etc",0.0683571428571429,15477729,1000,"Import_kg",517,"Fruit juice; nes",149,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Chad","Cinnamon (cannella)",0.00115555555555556,15477729,14000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Chad","Cloves",0.0013,15477729,5000,"Import_kg",698,"Cloves",157,5.96,107.43,231.93,1122.62,0,0,0,13.93,0.21,0,25.35,533.02,0,6.88,2.02,0,0,0,0,0.93,6.44,1.49,98.21,34.62,89.61,0,0,0.83,0.1,0
"11","Chad","Coffee, extracts",0.00312,15477729,47000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,35.04,1327.06,315.34,7632.43,0,0,0,10.86,0.73,0,237.77,2267.73,0,8.08,35.64,0,0,1.72,0,1.3,23.75,0.11,58.69,34.65,119.23,0,0,0.59,0.79,0
"12","Chad","Coffee, roasted",0.00312,15477729,16000,"Import_kg",657,"Coffee",152,6.14,374.55,494.27,1199.41,0,0,0,3.41,0.11,0,73.75,0,0,1.18,9.42,0,0,0.37,0,1.43,6.19,0,1.1,8.23,0.55,0,0,0.17,0.19,0
"13","Chad","Dates",0.0393863636363636,15477729,21758000,"Production_kg/Import_kg",577,"Dates",121,709.55,6272.8,1048.44,181884.32,24.12,0,0,148.12,5.9,1.09,2153.99,17631.64,0.82,7.14,286.87,0.25,0.43,5.87,0.64,28.91,143.96,1,57.11,64.24,33.91,0,0,134.89,4.78,61.87
"14","Chad","Flour, maize",0.0538461538461538,15477729,16000,"Import_kg",58,"Corn Flour",223,0.68,16.31,6.3,140.03,0,0,0,0,0,0,0.41,8.6,0,0,0.38,0,0,0,0,0,0.11,0,0.57,2.05,3.41,0,0,0,0,0
"15","Chad","Flour, mixed grain",0.057,15477729,1000,"Import_kg",104,"Millet Flour",224,0,0.88,0.35,8.53,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0
"16","Chad","Flour, mustard",0.0841,15477729,9000,"Import_kg",295,"Rape and Mustardseed",56,0.36,15.93,26.36,18.01,0,0,0,0.26,0,0,0.51,4.91,0,0,0.53,0,0,0,0,0.12,0.26,0,1.38,15.57,6.98,0,0,0,0,0
"17","Chad","Flour, wheat",0.0374838709677419,15477729,7264000,"Import_kg",16,"Wheat Flour",222,432.61,14363.49,1893.98,89080.29,0.23,0,0,50.07,3.41,1.61,215.35,1644.37,0.12,40.42,231.65,0.44,0.17,2.87,0.15,13.02,56.76,1.05,194.07,108.93,517.1,0,0,14.5,1.2,0
"18","Chad","Fruit, dried nes",0.107099201828105,15477729,1000,"Import_kg",620,"Fruit dried; nes",148,0,0.18,0,4.33,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Chad","Fruit, fresh nes",0.107099201828105,15477729,69116000,"Production_kg",619,"Fresh fruit; nes",147,375.27,6368.1,3175.93,80358,162.62,0.21,0,223.66,15.21,1.05,1161.51,14479.57,0.47,46.55,174.45,0.26,0.24,4.17,0.37,291.14,133.06,0.87,510.35,351.63,485.98,0,0,315.61,3.8,116.05
"20","Chad","Fruit, prepared nes",0.107099201828105,15477729,66000,"Import_kg",623,"Fruit; prepared; nes",150,0.22,2.89,0.95,55.84,0,0,0,0,0,0,0.72,10.03,0,0,0,0,0,0,0,0,0,0,0.1,0.14,0.3,0,0,0.34,0,0
"21","Chad","Grapes",0.1235,15477729,7000,"Import_kg",560,"Grapes",122,0,0.2,0,5.35,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Chad","Groundnuts, prepared",0.028,15477729,1000,"Import_kg",246,"Groundnuts (Shelled Eq)",54,0.13,5.44,10.13,3.93,0,0,0,0,0,0,0.16,1.92,0,0,0,0,0,0,0,0,0,0,1.45,5.64,3.59,0,0,0,0,0
"23","Chad","Groundnuts, with shell",0.028,15477729,939252000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,118909.4,5106880.87,9515687.04,3690261.63,307.76,0.19,25.25,12982.55,765.46,603.47,150939.43,1800853.72,235.74,2223.75,84663.88,165.44,36.67,3106.23,117.12,29962.77,40643.32,317.94,1360840.86,5293820.5,3371868.48,0,0,1829.57,592.7,0
"24","Chad","Juice, apple, concentrated",0.0683571428571429,15477729,183000,"Import_kg",519,"Fruit juice; nes",149,0.86,4.3,2.34,210.4,1.3,0,0,0.18,0,0,1.87,4.92,0,0.13,0.14,0,0,0,0,0,0.13,0,0.43,0.59,1.07,0,0,1.52,0,0
