"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","China, Hong Kong SAR","Beans, green",0.0843965476190476,7371730,3e+05,"Production_kg",414,"Beans; green",92,2.3,219.87,26.25,360.81,1.11,0,0,3.04,0.1,0,14.04,108.05,0,0.8,5.14,0,0,0,0,0.39,1.45,0,2.35,0.88,4.53,0,0,4.01,0,0.6
"2","China, Hong Kong SAR","Cabbages and other brassicas",0.08324,7371730,621000,"Production_kg",358,"Cabbages and other brassicas",78,2.72,229.85,30.85,443.53,6.21,0,0,12.42,0.18,0,28.9,223.34,0,3.98,7.14,0,0,0,0,2.5,2.47,0,3.47,1.81,8.89,0,0,9.19,0.11,2.79
"3","China, Hong Kong SAR","Cucumbers and gherkins",0.0675,7371730,1873000,"Production_kg",397,"Cucumbers and gherkins",86,5.25,242.9,44.51,952.44,3.72,0,0,6.02,0.17,0,53.66,245.56,0,2.5,13.65,0,0,0,0,2.26,4.71,0,12.61,0.94,9.79,0,0,36.04,0.16,5.83
"4","China, Hong Kong SAR","Eggplants (aubergines)",0.082,7371730,264000,"Production_kg",399,"Eggplants (aubergines)",87,1.19,50.41,31.61,231.06,0.29,0,0,0.75,0,0,8.77,90.53,0,0.23,1.91,0,0,0,0,1.29,0.56,0,1.18,0.57,2.53,0,0,4.01,0,0.9
"5","China, Hong Kong SAR","Fruit, fresh nes",0.107099201828105,7371730,5115000,"Production_kg",619,"Fresh fruit; nes",147,58.31,989.5,493.49,12486.31,25.27,0,0,34.75,2.36,0.16,180.48,2249.89,0,7.23,27.11,0,0,0.65,0,45.24,20.68,0.14,79.3,54.64,75.51,0,0,49.04,0.59,18.03
"6","China, Hong Kong SAR","Lettuce and chicory",0.0865961538461538,7371730,4324000,"Production_kg",372,"Lettuce and chicory",81,11.71,970.99,168.11,1890.32,7.52,0.12,0,35.99,0.79,0.28,173.91,1199.89,0,17.17,45.7,0,0,0.28,0,21.84,9.24,0.16,24.72,5.02,56.84,0,0,63.38,0.71,11.52
"7","China, Hong Kong SAR","Mushrooms and truffles",0.0389236263736264,7371730,14000,"Production_kg",449,"Mushrooms and truffles",99,0.15,13.07,1.85,24.67,0,0,0,0,0,0,1.57,11.71,0,0,0.51,0,0,0,0,0.16,0,0,0.21,0,4.39,0,0,0.44,0,0
"8","China, Hong Kong SAR","Onions, shallots, green",0.083270092226614,7371730,4180000,"Production_kg",402,"Onions (inc. shallots); green",89,26.19,1040.56,137.16,5344.58,14.51,0,0,31.05,1.28,0.36,146.06,1375.53,0,7.03,35.71,0,0,0.22,0.11,5.06,28.6,0.27,26.56,23.32,62.82,0,0,60.76,0.49,10.38
"9","China, Hong Kong SAR","Peas, green",0.0753287037037037,7371730,416000,"Production_kg",417,"Peas; green",93,4.81,588.55,29.22,841.53,2.38,0,0,2.74,0.15,0,16.24,244.22,0,0.76,10.07,0,0,0.14,0,1.72,2.27,0,4.49,2.4,10.64,0,0,5.31,0,3.05
"10","China, Hong Kong SAR","Pumpkins, squash and gourds",0.100019949494949,7371730,242000,"Production_kg",394,"Pumpkins; squash; and gourds",85,0.7,33.37,5.83,131.48,0.56,0,0,0.91,0,0,5.96,51.74,0,0.24,2.08,0,0,0,0,1.32,0.73,0,1.8,0.43,0.88,0,0,3.06,0,0.71
"11","China, Hong Kong SAR","Spices nes",0.00767204314204314,7371730,1e+06,"Production_kg",723,"Spices; nes",163,416.88,17543.13,12384.88,68440.83,72.47,0.39,0.29,1304.66,44.29,5.61,1966.04,29670.45,1.29,103.66,347.27,0.42,0.62,8.57,1.56,257.6,456.95,10.36,3018.16,5445.17,3422.11,0,0,65.43,9.87,17.83
"12","China, Hong Kong SAR","Spinach",0.0856063829787234,7371730,12548000,"Production_kg",373,"Spinach",82,46.86,5110.13,893.53,5633.23,75.27,0.69,0.33,254.75,8.14,1.08,972.57,4016.52,0.15,201.31,105.1,0.14,0.37,1.36,0.38,38.38,129.91,1.39,92.46,19.88,173.98,0,0,181.16,3.64,55.67
"13","China, Hong Kong SAR","Sweet potatoes",0.10804347826087,7371730,58000,"Production_kg",122,"Sweet Potatoes",19,0.8,9.54,1.75,183.88,0.17,0,0,0.25,0,0,1.89,16.33,0,0.14,0.3,0,0,0,0,0,0.14,0,0.58,0,1,0,0,0.52,0,0.17
"14","China, Hong Kong SAR","Tomatoes",0.0714285714285714,7371730,37000,"Production_kg",388,"Tomatoes",76,0.14,6.7,1.77,25.57,0.16,0,0,0.11,0,0,1.38,8.05,0,0,0.28,0,0,0,0,0,0,0,0.2,0.21,0.57,0,0,0.66,0,0
"15","China, Hong Kong SAR","Vegetables, fresh nes",0.075156077445368,7371730,10325000,"Production_kg",463,"Vegetables; fresh; nes",101,88.18,5947.14,1244.17,14901.5,88.39,0.58,0.14,368.99,7.64,1.04,726.46,8811.57,0.3,88.51,147.3,0.17,0.37,1.92,0.41,40.72,95.83,1.2,127.68,122.05,243.26,0,0,157.99,3.04,46.65
