"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","China, Taiwan Province of","Apples",0.121111111111111,23726460,1178000,"Production_kg",515,"Apples",119,2.3,12.73,12.08,536.42,0.6,0,0,0.32,0,0,4.22,58.08,0,0.24,0.45,0,0,0,0,6.65,0.19,0,1.6,0.35,2.69,0,0,3.46,0,0.41
"2","China, Taiwan Province of","Apricots",0.03995,23726460,8270000,"Production_kg",526,"Apricots",125,43.1,872.48,223.11,9932.32,5.83,0.11,0,14.83,0.69,0.19,254.47,1192.39,0,1.16,20.79,0,0,0.68,0,2.44,8.72,0,24.87,148.32,68.49,0,0,74.69,0.69,7.42
"3","China, Taiwan Province of","Asparagus",0.0845294117647059,23726460,2681000,"Production_kg",367,"Asparagus",80,2.71,288.36,27.12,407.05,2.9,0,0,2.81,0.15,0,28.97,325.28,0,0.62,11.21,0,0,0.12,0,2.14,1.87,0,6.02,0.67,9.36,0,0,12.41,0,6.28
"4","China, Taiwan Province of","Bananas",0.04075,23726460,342629000,"Production_kg",486,"Bananas",117,3569.89,43083.19,8239.23,827264.05,377.28,1.3,0.66,349.13,28.31,5.85,12041.68,55411.43,3.27,224.92,898.82,1.89,1.79,30.17,12.37,347.29,1004.06,9.57,3933.57,921.38,2002.22,0,0,2581.38,29.37,1258.03
"5","China, Taiwan Province of","Beans, dry",0.1145,23726460,12136000,"Production_kg",176,"Beans",30,147.2,9511.67,613.32,25910.27,0.81,0,0.18,62.5,3.26,1.3,522.34,5540.56,0.39,6.98,172.77,0.2,0,0.89,0.17,49.32,77.23,0.58,138.09,61.32,212.44,0,0,5.24,1.71,0
"6","China, Taiwan Province of","Beans, green",0.0843965476190476,23726460,13079000,"Production_kg",414,"Beans; green",92,31.16,2978.23,355.59,4887.34,14.97,0,0,41.12,1.42,0.3,190.11,1463.51,0,10.83,69.63,0,0.65,0.57,0,5.29,19.59,0,31.79,11.97,61.4,0,0,54.29,0.74,8.1
"7","China, Taiwan Province of","Cabbages and other brassicas",0.08324,23726460,637439000,"Production_kg",358,"Cabbages and other brassicas",78,867.11,73303.07,9837.22,141450.95,1979.29,7.44,2.02,3960.83,55.86,11.01,9216.61,71228.79,5,1268.66,2275.52,1.95,3.32,25.01,5.82,795.77,788.06,8.18,1107.3,578.48,2835.28,0,0,2932.03,35.7,890.81
"8","China, Taiwan Province of","Carrots and turnips",0.0830718954248366,23726460,103898000,"Production_kg",426,"Carrots and turnips",96,159.37,6902.51,1234.29,30926.22,144.3,3.21,0.11,349.66,8.18,1.36,1534.13,10704.56,0.31,248.83,627.97,0.27,0.49,4.09,0.96,551.38,64.13,0.75,170.44,77.31,398.86,0,0,470.46,6.61,121.24
"9","China, Taiwan Province of","Cassava",0.108277777777778,23726460,11085000,"Production_kg",125,"Cassava",17,60.01,788.46,204.81,13394.83,13.89,0,0,16.82,0.53,0.15,162.24,638.59,0,3.97,17,0,0,0.25,0,10.23,9.06,0.17,37.54,37.75,18.99,0,0,27.11,0.61,9.06
"10","China, Taiwan Province of","Cauliflowers and broccoli",0.103835520801038,23726460,69103000,"Production_kg",393,"Cauliflowers and broccoli",84,80.4,8688.52,906.92,11413.15,226.83,1.52,0.17,122.96,3.05,1.18,831.05,5329.32,0.12,83.96,304.66,0.31,0.3,2.01,0.5,177.64,50.49,0.51,174.61,52.59,90.46,0,0,242.94,3.03,134.64
