"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Colombia","Alfalfa meal and pellets",0.0651708222811671,49661048,3494000,"Import_kg",862,"Mixed grain",12,37.59,1234.08,267.74,7956.04,0,0,0,2.65,0.36,0.28,37.21,1140.75,0,0.59,34.12,0,0,0.46,0,3.52,12.8,0.28,47.43,57.48,112.57,0,0,1.16,0.18,0
"2","Colombia","Almonds shelled",0.0296505238073522,49661048,2201000,"Import_kg",231,"Almonds; with shell",45,89,3170.39,7646.64,2699.04,1.55,0,0,36.28,0.47,0.54,117.69,1083.7,0.15,0.72,72.15,0,0.11,0.58,0,7.79,48.06,0.31,590.58,5048.63,1743.56,0,0,0.74,0.44,9.72
"3","Colombia","Anise, badian, fennel, coriander",0.00195,49661048,1612000,"Import_kg",711,"Anise; badian; fennel; coriander",161,578.59,26323.16,23855.36,77791.75,17.4,0,0,1353.79,53.42,7.72,2469.46,39747.37,1.56,123.18,765.88,0.55,0.5,5.12,0.83,911.96,524.35,4.54,1401.94,18122.69,4374.95,0,0,16.58,11.21,0
"4","Colombia","Apples",0.121111111111111,49661048,104848000,"Production_kg/Import_kg",515,"Apples",119,97.86,541.13,513.53,22810.46,25.31,0,0,13.51,1.22,0.11,179.31,2469.61,0,10.15,18.93,0,0,0.33,0,282.76,8.14,0,67.99,14.82,114.18,0,0,147.31,0.45,17.43
"5","Colombia","Apricots",0.03995,49661048,1000,"Import_kg",526,"Apricots",125,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Colombia","Apricots, dry",0.03995,49661048,42000,"Import_kg",527,"Apricots",125,0.1,2.12,0.54,24.1,0,0,0,0,0,0,0.62,2.89,0,0,0,0,0,0,0,0,0,0,0,0.36,0.17,0,0,0.18,0,0
"7","Colombia","Asparagus",0.0845294117647059,49661048,12189000,"Production_kg/Import_kg",367,"Asparagus",80,5.88,626.36,58.9,884.16,6.3,0,0,6.1,0.32,0.16,62.94,706.55,0,1.34,24.34,0,0,0.26,0,4.65,4.07,0,13.07,1.45,20.33,0,0,26.96,0.19,13.65
"8","Colombia","Avocados",0.048,49661048,535064000,"Production_kg/Import_kg",572,"Avocados",141,3269.93,36103.95,316216.3,97417.81,287.14,0.76,1.31,461.6,21.56,10.83,11448.52,98390.49,4.74,148.07,3810.29,1.41,3.15,31.08,6.85,318.74,679.01,3.19,53680.8,178275.71,37350.97,0,0,1725.99,26.34,852.97
"9","Colombia","Bananas",0.04075,49661048,2916497000,"Production_kg/Import_kg",486,"Bananas",117,14518.08,175211.38,33507.42,3364330.33,1534.34,5.29,2.69,1419.83,115.13,23.78,48971.28,225348.05,13.29,914.7,3655.35,7.71,7.29,122.71,50.3,1412.36,4083.34,38.91,15997.09,3747.07,8142.66,0,0,10498.01,119.46,5116.19
"10","Colombia","Barley",0.04775,49661048,325119000,"Production_kg/Import_kg",44,"Barley",3,4718.37,125375.61,19079.23,1022215.24,9.14,0,0.29,764.36,106.65,34.66,3530.45,113568.59,8.77,293.4,4009.95,3.61,1.77,73.31,3.96,518.26,1064.85,19.49,4976.91,3043.73,11434.55,0,0,160.99,25.12,0
"11","Colombia","Beans, dry",0.1145,49661048,86267000,"Production_kg/Import_kg",176,"Beans",30,499.92,32303,2082.91,87995.03,2.75,0,0.62,212.27,11.06,4.43,1773.96,18816.54,1.32,23.7,586.76,0.69,0.33,3.03,0.59,167.49,262.3,1.98,468.96,208.24,721.48,0,0,17.79,5.8,0
"12","Colombia","Bran, maize",0.0538461538461538,49661048,33000,"Import_kg",59,"Corn Flour",223,0.44,10.49,4.05,90.01,0,0,0,0,0,0,0.26,5.53,0,0,0.24,0,0,0,0,0,0,0,0.36,1.32,2.19,0,0,0,0,0
"13","Colombia","Bran, wheat",0.0374838709677419,49661048,9410000,"Import_kg",17,"Wheat Flour",222,174.66,5799.16,764.68,35965.56,0,0,0,20.21,1.38,0.65,86.95,663.9,0,16.32,93.53,0.18,0,1.16,0,5.26,22.92,0.43,78.35,43.98,208.78,0,0,5.86,0.48,0
"14","Colombia","Brazil nuts, shelled",0.0297575757575758,49661048,778000,"Import_kg",229,"Brazil nuts; with shell",42,34.4,792.32,3580.99,551.2,0,0,0,8.61,0.13,0.21,34.69,394.85,0,0.16,40.08,0,0,0.1,0,1.52,19.79,0,849.39,1257.14,1284.51,0,0,0.17,0.2,2.58
"15","Colombia","Broad beans, horse beans, dry",0.052,49661048,7289000,"Production_kg",181,"Broad beans; horse beans; dry",32,94.42,6773.6,448.32,15523.81,0.77,0,0.12,27.97,2.28,0.99,336.79,5466.43,0.23,5.15,107.67,0.11,0,0.74,0.1,27.04,54.05,0.46,71.13,85.1,170.34,0,0,2.94,0.85,7.62
"16","Colombia","Cabbages and other brassicas",0.08324,49661048,53182000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,34.56,2921.9,392.12,5638.31,78.9,0.3,0,157.88,2.23,0.44,367.38,2839.22,0.2,50.57,90.7,0,0.13,1,0.23,31.72,31.41,0.33,44.14,23.06,113.02,0,0,116.87,1.42,35.51
"17","Colombia","Cake, copra",0.0131048387096774,49661048,11000,"Import_kg",253,"Coconut Oil",70,1.34,1.77,149.73,0.74,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,146.2,9.8,3.04,0,0,0,0,0
"18","Colombia","Cake, cottonseed",0.014,49661048,336000,"Import_kg",332,"Cottonseed Oil",67,43.36,0,4831.15,0.97,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.02,902.52,2535.99,0,0,0,0,0
"19","Colombia","Cake, soybeans",0.014,49661048,1519787000,"Import_kg",238,"Soyabean Oil",63,195452.21,0,21835396.94,1821.62,0,0,0,340.04,63.15,71.41,0,0,0,340.04,7.81,0,0,0,0,43.72,0,0,5785035.38,5113170.22,9901197.05,0,0,1.99,0,0
"20","Colombia","Carrots and turnips",0.0830718954248366,49661048,257125000,"Production_kg/Import_kg",426,"Carrots and turnips",96,188.44,8161.34,1459.39,36566.3,170.62,3.79,0.14,413.43,9.67,1.61,1813.92,12656.78,0.37,294.21,742.49,0.32,0.58,4.83,1.14,651.94,75.83,0.89,201.52,91.41,471.61,0,0,556.26,7.82,143.35
"21","Colombia","Cashew nuts, shelled",0.0289438420348059,49661048,182000,"Import_kg",230,"Cashew nuts; with shell",43,6.89,232.66,532.9,306.18,0,0,0,0.51,0,0,8.24,33.68,0,1.17,5.96,0,0,0,0,0,3.83,0,98.55,301.32,99.33,0,0,0.13,0,0.35
"22","Colombia","Cashew nuts, with shell",0.0289438420348059,49661048,4112000,"Production_kg",217,"Cashew nuts; with shell",43,155.69,5256.48,12039.97,6917.67,0.47,0,0,11.52,1.73,1.48,186.09,760.96,0.61,26.44,134.6,0.15,0,0.37,0.12,0,86.59,0.38,2226.53,6807.74,2244.26,0,0,2.84,0.65,8.01
"23","Colombia","Cassava",0.108277777777778,49661048,1026643000,"Production_kg",125,"Cassava",17,2655.53,34888.48,9062.6,592704.28,614.78,0.2,0.49,744.34,23.25,6.49,7178.8,28256.99,1.91,175.65,752.42,1.19,1.06,10.95,1.68,452.49,400.94,7.33,1661.05,1670.6,840.07,0,0,1199.55,26.84,400.94
"24","Colombia","Cauliflowers and broccoli",0.103835520801038,49661048,59291000,"Production_kg",393,"Cauliflowers and broccoli",84,32.96,3561.68,371.77,4678.59,92.99,0.62,0,50.4,1.25,0.48,340.67,2184.64,0,34.42,124.89,0.13,0.12,0.82,0.21,72.82,20.7,0.21,71.58,21.56,37.08,0,0,99.59,1.24,55.19
"25","Colombia","Cereal preparations nes",0.0486257263475995,49661048,2011000,"Import_kg",113,"Cereals; nes",13,29,1084.64,383.3,6120.2,0,0,0,12.09,1.85,0.32,35.56,262.92,0,0.65,31.7,0,0,0.12,0,1.09,15.32,0.77,37.39,49.05,89.19,0,0,0.91,0.33,0
"26","Colombia","Cereals nes",0.0486257263475995,49661048,6316000,"Production_kg",108,"Cereals; nes",13,91.09,3406.56,1203.83,19221.88,0.28,0,0,37.97,5.8,0.99,111.68,825.76,0.21,2.04,99.55,0,0,0.38,0.13,3.43,48.13,2.42,117.44,154.05,280.12,0,0,2.85,1.03,0
"27","Colombia","Cherries",0.1289,49661048,142000,"Import_kg",531,"Cherries",127,0.1,2.41,0.38,23.1,0,0,0,0,0,0,0.55,2.33,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0,0,0.18,0,0
"28","Colombia","Cherries, sour",0.028,49661048,5000,"Import_kg",530,"Sour cherries",126,0,0.4,0,4,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Colombia","Chick peas",0.04575,49661048,12314000,"Production_kg/Import_kg",191,"Chick peas",33,190.92,10538.39,2728.3,31606.89,1.14,0,0.2,73.91,3.76,1.87,438.47,4137.2,0.5,10.87,168.23,0.21,0,0.96,0.29,79.48,53.66,6.1,334.14,739,1441.97,0,0,5.69,1.61,0
"30","Colombia","Chillies and peppers, dry",4e-04,49661048,271000,"Import_kg",689,"Pimento",156,328.05,13980.62,12177.28,55985.08,102.91,0.93,0,283.03,9.96,3.61,2485.66,30313.6,0.9,619.03,253.64,0.38,0.59,7.53,2.35,70.26,209.41,2.97,3615.26,2321.5,8411.05,0,0,38.24,8.16,0
"31","Colombia","Chillies and peppers, green",0.0664142191142191,49661048,132753000,"Production_kg",401,"Chillies and peppers; green",88,157.74,7166.47,2674.85,27804.25,464.16,0.5,0.12,111.26,6.54,1.26,1134.76,12939.08,0.63,28.55,410.06,0.51,0.48,4.78,1.43,32.5,145.21,0.95,167.84,71.81,734.46,0,0,355.28,3.56,66.64
"32","Colombia","Chocolate products nes",0.0115,49661048,10752000,"Import_kg",666,"Cocoa Beans",153,429.25,30378.86,77852.41,109006.93,0,0,0,201.94,9.55,12.82,1889.27,69659,7.13,15.53,1104.16,0.32,0.37,3.48,0.22,22.59,939.46,7.22,43334.49,29920.42,1619.1,0,0,7.3,7.49,0
"33","Colombia","Cider etc",0.0683571428571429,49661048,2098000,"Import_kg",517,"Fruit juice; nes",149,3.08,15.35,8.38,751.78,4.64,0,0,0.63,0,0,6.68,17.59,0,0.48,0.51,0,0,0,0,0.17,0.46,0,1.55,2.11,3.84,0,0,5.44,0,0
"34","Colombia","Cinnamon (cannella)",0.00115555555555556,49661048,1065000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Colombia","Cloves",0.0013,49661048,158000,"Import_kg",698,"Cloves",157,58.66,1058.08,2284.2,11056.36,0,0,0,137.22,2.11,0.57,249.63,5249.59,0,67.79,19.91,0,0,0.19,0,9.15,63.39,14.72,967.2,340.92,882.52,0,0,8.15,1.03,0
"36","Colombia","Cocoa, beans",0.0115,49661048,102556000,"Production_kg/Import_kg",661,"Cocoa Beans",153,4094.32,289763.21,742581.07,1039742.79,0,0,0.57,1926.13,91.12,122.29,18020.41,664429.76,68.02,148.15,10531.84,3.04,3.55,33.15,2.12,215.49,8960.82,68.9,413338.16,285390.54,15443.5,0,0,69.68,71.44,0
"37","Colombia","Cocoa, butter",0.0115,49661048,13000,"Import_kg",664,"Cocoa Beans",153,0.52,36.73,94.13,131.8,0,0,0,0.24,0,0,2.28,84.22,0,0,1.34,0,0,0,0,0,1.14,0,52.39,36.18,1.96,0,0,0,0,0
"38","Colombia","Cocoa, paste",0.0115,49661048,17000,"Import_kg",662,"Cocoa Beans",153,0.68,48.03,123.09,172.35,0,0,0,0.32,0,0,2.99,110.14,0,0,1.75,0,0,0,0,0,1.49,0,68.52,47.31,2.56,0,0,0,0,0
