"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Congo","Avocados",0.048,5244359,10326000,"Production_kg",572,"Avocados",141,597.57,6597.88,57787.53,17802.8,52.47,0.14,0.24,84.36,3.94,1.98,2092.18,17980.55,0.87,27.06,696.32,0.26,0.58,5.68,1.25,58.25,124.09,0.58,9810,32579.32,6825.77,0,0,315.42,4.81,155.88
"2","Congo","Bananas",0.04075,5244359,85057000,"Production_kg",486,"Bananas",117,4009.42,48387.63,9253.65,929117.47,423.73,1.46,0.74,392.11,31.79,6.57,13524.26,62233.72,3.67,252.61,1009.49,2.13,2.01,33.89,13.89,390.05,1127.68,10.75,4417.87,1034.82,2248.74,0,0,2899.2,32.99,1412.92
"3","Congo","Beans, dry",0.1145,5244359,12288000,"Production_kg/Import_kg",176,"Beans",30,674.31,43571.53,2809.51,118691.09,3.71,0,0.84,286.32,14.92,5.98,2392.78,25380.47,1.78,31.96,791.44,0.92,0.45,4.09,0.79,225.92,353.8,2.67,632.55,280.88,973.16,0,0,23.99,7.82,0
"4","Congo","Beans, green",0.0843965476190476,5244359,4246000,"Production_kg",414,"Beans; green",92,45.77,4374.25,522.28,7178.24,21.99,0,0,60.4,2.08,0.44,279.22,2149.53,0,15.91,102.27,0.12,0.96,0.84,0.13,7.77,28.78,0,46.69,17.59,90.18,0,0,79.73,1.09,11.9
"5","Congo","Cabbages and other brassicas",0.08324,5244359,1688000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,10.39,878.21,117.85,1694.65,23.71,0,0,47.45,0.67,0.13,110.42,853.36,0,15.2,27.26,0,0,0.3,0,9.53,9.44,0,13.27,6.93,33.97,0,0,35.13,0.43,10.67
"6","Congo","Carrots and turnips",0.0830718954248366,5244359,661000,"Production_kg/Import_kg",426,"Carrots and turnips",96,4.59,198.67,35.53,890.15,4.15,0,0,10.06,0.24,0,44.16,308.11,0,7.16,18.07,0,0,0.12,0,15.87,1.85,0,4.91,2.23,11.48,0,0,13.54,0.19,3.49
"7","Congo","Cassava",0.108277777777778,5244359,1457028000,"Production_kg",125,"Cassava",17,35688.04,468871.6,121793.72,7965443.8,8262.13,2.63,6.54,10003.36,312.4,87.24,96477.05,379750.07,25.66,2360.61,10111.9,15.97,14.28,147.2,22.58,6081.13,5388.35,98.53,22323.15,22451.44,11289.87,0,0,16120.9,360.66,5388.35
"8","Congo","Cereals nes",0.0486257263475995,5244359,2545000,"Production_kg",108,"Cereals; nes",13,347.55,12998.26,4593.39,73344.05,1.07,0,0,144.9,22.13,3.79,426.14,3150.82,0.81,7.78,379.86,0.36,0.26,1.46,0.48,13.07,183.63,9.22,448.1,587.82,1068.85,0,0,10.89,3.91,0
"9","Congo","Cocoa, beans",0.0115,5244359,4e+06,"Production_kg",661,"Cocoa Beans",153,1512.18,107020.17,274262.39,384015.1,0,0,0.21,711.39,33.65,45.17,6655.6,245398.25,25.12,54.72,3889.79,1.12,1.31,12.25,0.78,79.59,3309.56,25.45,152660.92,105405.18,5703.85,0,0,25.73,26.38,0
"10","Congo","Coconuts",0.04,5244359,3e+06,"Production_kg",249,"Coconuts - Incl Copra",58,454.06,4798.11,40249.37,17995.05,3.43,0,0,26.69,4.1,2.36,467.53,9232.14,0.73,30.29,150.51,0,0,0.97,0,17.3,41.45,5.36,42687.3,3807.66,976.76,0,0,75.84,1.46,59.35
