"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cook Islands","Avocados",0.048,17518,3000,"Production_kg",572,"Avocados",141,51.97,573.85,5026.1,1548.41,4.56,0,0,7.34,0.34,0.17,181.97,1563.87,0,2.35,60.56,0,0,0.49,0.11,5.07,10.79,0,853.23,2833.6,593.68,0,0,27.43,0.42,13.56
"2","Cook Islands","Bananas",0.04075,17518,14000,"Production_kg",486,"Bananas",117,197.56,2384.3,455.97,45782.18,20.88,0,0,19.32,1.57,0.32,666.41,3066.56,0.18,12.45,49.74,0.1,0,1.67,0.68,19.22,55.57,0.53,217.69,50.99,110.81,0,0,142.86,1.63,69.62
"3","Cook Islands","Cassava",0.108277777777778,17518,718000,"Production_kg",125,"Cassava",17,5264.86,69170.09,17967.57,1175098.89,1218.87,0.39,0.97,1475.74,46.09,12.87,14232.74,56022.48,3.79,348.25,1491.75,2.36,2.11,21.72,3.33,897.12,794.91,14.54,3293.21,3312.14,1665.53,0,0,2378.23,53.21,794.91
"4","Cook Islands","Chillies and peppers, green",0.0664142191142191,17518,14000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,47.16,2142.5,799.68,8312.4,138.77,0.15,0,33.26,1.96,0.38,339.25,3868.28,0.19,8.54,122.59,0.15,0.14,1.43,0.43,9.72,43.41,0.28,50.18,21.47,219.57,0,0,106.22,1.06,19.92
"5","Cook Islands","Coconuts",0.04,17518,1599000,"Production_kg",249,"Coconuts - Incl Copra",58,72451.55,765606.69,6422353.13,2871363.31,547.43,0.13,4.44,4258.87,654.81,376.45,74600.38,1473118.13,116.8,4833.36,24016.14,14.33,7.23,154.35,9.43,2761.15,6613.83,855.73,6811358.46,607566.15,155856.4,0,0,12101.85,233.38,9470.05
"6","Cook Islands","Fruit, fresh nes",0.107099201828105,17518,243000,"Production_kg",619,"Fresh fruit; nes",147,1165.72,19781.54,9865.55,249620.09,505.17,0.64,0.19,694.77,47.24,3.25,3608.06,44978.63,1.46,144.59,541.9,0.81,0.74,12.95,1.16,904.37,413.34,2.71,1585.32,1092.28,1509.62,0,0,980.41,11.81,360.5
"7","Cook Islands","Grapefruit (inc. pomelos)",0.15,17518,7000,"Production_kg",507,"Grapefruit",115,9.64,187.62,40.49,2139.34,10.48,0,0,4.95,0.14,0,50.65,269.35,0,1.95,5.55,0,0,0,0,2.05,2.04,0,3.2,3.06,5.86,0,0,23.85,0.11,11.92
"8","Cook Islands","Mangoes, mangosteens, guavas",0.09628125,17518,156000,"Production_kg",571,"Mangos; mangosteens; guavas",140,567.64,6948.3,2285.94,127601.45,800.18,1.19,0.27,163.5,4.88,1.26,1662.28,24664.2,0.69,98,177.09,0.43,0.51,10.69,1.08,70.29,420.83,0.49,1413.26,697.38,1557.54,0,0,767.65,5.48,245.1
"9","Cook Islands","Oranges",0.138371428571429,17518,38000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,69.29,1243.45,359.69,15675.13,72.38,0,0,49.52,0.76,0,263.51,2109.22,0,4.23,33.94,0.11,0,2.77,0.11,17.04,16.62,0,32.92,48.21,50.95,0,0,136.27,0.67,42.01
"10","Cook Islands","Papayas",0.151,17518,541000,"Production_kg",600,"Papayas",145,704.37,15303.67,2874.11,157706.31,972.8,1.72,0.63,434.84,11.85,2.25,3488.09,26587.6,0.45,211.51,318.5,0.46,0.61,6.3,0.59,124.76,345.98,0.82,1237.35,940.79,695.37,0,0,1835.68,8.54,654.46
"11","Cook Islands","Pineapples",0.1096,17518,33000,"Production_kg/Import_kg",574,"Pineapples",120,81.25,790.15,365.17,18995.89,38.24,0,0,61.63,1.03,0.16,275.76,1431.17,0.19,7.97,16.48,0.12,0,0.53,0.17,280.59,20.34,1.59,33.52,45.55,103.13,0,0,149.73,0.55,70.47
"12","Cook Islands","Roots and tubers nes",0.125770747489689,17518,1348000,"Production_kg",149,"Roots and tubers; nes",23,6256.72,118601.67,46886.03,1327233.24,886.17,1.75,4.78,2041.63,174.69,18.56,29704,108840.07,7.78,919.57,4079.26,4.48,4.41,73.69,10.08,1333.77,2630.84,10.96,1254.24,260.02,2768.5,0,0,4417.2,63.5,1335.81
"13","Cook Islands","Sweet potatoes",0.10804347826087,17518,175000,"Production_kg",122,"Sweet Potatoes",19,1014.82,12107.15,2228.03,233464.13,221.92,3.5,0.39,314.81,13.29,2.32,2394.99,20729.58,0.86,177.12,375.86,0.81,0.42,6.9,2.19,113.73,184,1.19,733.52,126.36,1275.95,0,0,654.51,9.44,210.35
