"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Costa Rica","Asparagus",0.0845294117647059,4999441,108000,"Import_kg",367,"Asparagus",80,0.52,55.13,5.18,77.82,0.55,0,0,0.54,0,0,5.54,62.19,0,0.12,2.14,0,0,0,0,0.41,0.36,0,1.15,0.13,1.79,0,0,2.37,0,1.2
"2","Costa Rica","Avocados",0.048,4999441,7654000,"Import_kg",572,"Avocados",141,464.64,5130.17,44932.59,13842.53,40.8,0.11,0.19,65.59,3.06,1.54,1626.77,13980.74,0.67,21.04,541.42,0.2,0.45,4.42,0.97,45.29,96.48,0.45,7627.74,25331.99,5307.37,0,0,245.25,3.74,121.2
"3","Costa Rica","Bananas",0.04075,4999441,17396000,"Import_kg",486,"Bananas",117,860.18,10381.13,1985.29,199333.79,90.91,0.31,0.16,84.12,6.82,1.41,2901.51,13351.69,0.79,54.2,216.58,0.46,0.43,7.27,2.98,83.68,241.93,2.31,947.81,222.01,482.45,0,0,622,7.08,303.13
"4","Costa Rica","Beans, dry",0.1145,4999441,39208000,"Import_kg",176,"Beans",30,2256.98,145836.84,9403.61,397267.06,12.43,0,2.8,958.34,49.95,20,8008.79,84950.14,5.97,106.99,2649.01,3.09,1.51,13.69,2.66,756.17,1184.19,8.92,2117.2,940.13,3257.23,0,0,80.3,26.17,0
"5","Costa Rica","Cabbages and other brassicas",0.08324,4999441,21000,"Import_kg",358,"Cabbages and other brassicas",78,0.14,11.46,1.54,22.12,0.31,0,0,0.62,0,0,1.44,11.14,0,0.2,0.36,0,0,0,0,0.12,0.12,0,0.17,0,0.44,0,0,0.46,0,0.14
"6","Costa Rica","Carrots and turnips",0.0830718954248366,4999441,199000,"Import_kg",426,"Carrots and turnips",96,1.45,62.74,11.22,281.12,1.31,0,0,3.18,0,0,13.95,97.3,0,2.26,5.71,0,0,0,0,5.01,0.58,0,1.55,0.7,3.63,0,0,4.28,0,1.1
"7","Costa Rica","Cauliflowers and broccoli",0.103835520801038,4999441,10000,"Import_kg",393,"Cauliflowers and broccoli",84,0,5.97,0.62,7.84,0.16,0,0,0,0,0,0.57,3.66,0,0,0.21,0,0,0,0,0.12,0,0,0.12,0,0,0,0,0.17,0,0
"8","Costa Rica","Chillies and peppers, green",0.0664142191142191,4999441,59000,"Import_kg",401,"Chillies and peppers; green",88,0.7,31.64,11.81,122.75,2.05,0,0,0.49,0,0,5.01,57.12,0,0.13,1.81,0,0,0,0,0.14,0.64,0,0.74,0.32,3.24,0,0,1.57,0,0.29
"9","Costa Rica","Cocoa, beans",0.0115,4999441,95000,"Import_kg",661,"Cocoa Beans",153,37.67,2666.25,6832.83,9567.16,0,0,0,17.72,0.84,1.13,165.81,6113.73,0.63,1.36,96.91,0,0,0.31,0,1.98,82.45,0.63,3803.32,2626.01,142.1,0,0,0.64,0.66,0
"10","Costa Rica","Coconuts",0.04,4999441,12000,"Import_kg",249,"Coconuts - Incl Copra",58,1.91,20.13,168.88,75.51,0,0,0,0.11,0,0,1.96,38.74,0,0.13,0.63,0,0,0,0,0,0.17,0,179.11,15.98,4.1,0,0,0.32,0,0.25
"11","Costa Rica","Coffee, green",0.00312,4999441,13953000,"Import_kg",656,"Coffee",152,16573.95,1011209.15,1334433.88,3238173.57,89.45,0.36,1.55,9217.46,309.08,47.47,199106.75,0,18.48,3181.37,25425.18,12.88,44.69,991.84,2.08,3852.62,16713.94,34.08,2963.55,22226.66,1481.78,0,0,469.85,518.55,0
"12","Costa Rica","Cucumbers and gherkins",0.0675,4999441,186000,"Import_kg",397,"Cucumbers and gherkins",86,0.77,35.57,6.52,139.46,0.54,0,0,0.88,0,0,7.86,35.96,0,0.37,2,0,0,0,0,0.33,0.69,0,1.85,0.14,1.43,0,0,5.28,0,0.85
"13","Costa Rica","Fruit, fresh nes",0.107099201828105,4999441,1242000,"Import_kg",619,"Fresh fruit; nes",147,20.88,354.27,176.68,4470.52,9.05,0,0,12.44,0.85,0,64.62,805.54,0,2.59,9.7,0,0,0.23,0,16.2,7.4,0,28.39,19.56,27.04,0,0,17.56,0.21,6.46
"14","Costa Rica","Ginger",0.02852,4999441,15000,"Import_kg",720,"Ginger",162,2.05,51.36,22.12,428.45,0,0,0,0.75,0,0,9.5,62.1,0,0.26,0.92,0,0,0,0,0.43,1.54,0.35,27.34,5.04,9.77,0,0,0.49,0,0
"15","Costa Rica","Grapefruit (inc. pomelos)",0.15,4999441,24000,"Import_kg",507,"Grapefruit",115,0.12,2.25,0.49,25.7,0.13,0,0,0,0,0,0.61,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.14
"16","Costa Rica","Leeks, other alliaceous vegetables",0.083270092226614,4999441,1000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0,0.51,0,2.31,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Costa Rica","Lemons and limes",0.0785,4999441,634000,"Import_kg",497,"Lemons; Limes",114,6.1,122.46,67.45,1342.68,6.65,0,0,6.11,0,0,33.89,214.86,0,0.73,3.17,0,0,0,0,0.82,1.62,0,5.44,2.15,10.99,0,0,14.4,0,5.65
"18","Costa Rica","Lettuce and chicory",0.0865961538461538,4999441,652000,"Import_kg",372,"Lettuce and chicory",81,2.6,215.89,37.38,420.29,1.67,0,0,8,0.18,0,38.67,266.78,0,3.82,10.16,0,0,0,0,4.86,2.05,0,5.5,1.12,12.64,0,0,14.09,0.16,2.56
"19","Costa Rica","Maize",0.0869363057324841,4999441,941159000,"Import_kg",56,"Maize",4,76514.8,1871539.52,741187.74,15628210.72,148.49,4.78,5.04,4518.17,704.63,388.57,63794.18,1121442.38,39.07,2023.68,47398.41,57.75,25.64,558.54,76.74,0,23747.56,52.51,128138.21,278850.82,523109.2,0,0,2698.32,271.81,0
"20","Costa Rica","Mangoes, mangosteens, guavas",0.09628125,4999441,121000,"Import_kg",571,"Mangos; mangosteens; guavas",140,1.54,18.88,6.21,346.8,2.17,0,0,0.44,0,0,4.52,67.03,0,0.27,0.48,0,0,0,0,0.19,1.14,0,3.84,1.9,4.23,0,0,2.09,0,0.67
"21","Costa Rica","Nuts nes",0.0310679900238414,4999441,294000,"Import_kg",234,"Nuts; nes",51,104.89,2742.75,8261.21,5986.8,0.34,0,0,23.11,0.85,0.64,89.06,710.44,0.17,6.87,95.65,0,0,0.34,0,9.11,38.05,0.93,2279.88,6179.01,3902.72,0,0,1.28,0.47,10.41
"22","Costa Rica","Oilseeds nes",0.0178426203877423,4999441,1516000,"Import_kg",339,"Oilcrops; Other",62,886.29,32494.83,66086.23,46253.09,3.93,0,0.12,575.9,29.2,7.36,1223.63,20988.73,2.05,56.17,938.17,0.84,0.52,5.37,0.91,74.35,565.51,4.97,7469.69,17100.71,44871.26,0,0,9.77,7.39,39.43
