"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Costa Rica","Almonds, with shell",0.0296505238073522,4999441,2000,"Import_kg",221,"Almonds; with shell",45,0.8,28.62,69.02,24.36,0,0,0,0.33,0,0,1.06,9.78,0,0,0.65,0,0,0,0,0,0.43,0,5.33,45.57,15.74,0,0,0,0,0
"2","Costa Rica","Anise, badian, fennel, coriander",0.00195,4999441,226000,"Import_kg",711,"Anise; badian; fennel; coriander",161,805.77,36658.59,33221.85,108335.65,24.23,0,0,1885.34,74.4,10.75,3439.06,55353.65,2.18,171.55,1066.59,0.76,0.7,7.14,1.16,1270.03,730.24,6.32,1952.39,25238.33,6092.71,0,0,23.09,15.61,0
"3","Costa Rica","Apples",0.121111111111111,4999441,18859000,"Import_kg",515,"Apples",119,174.84,966.85,917.53,40755.57,45.22,0,0,24.14,2.18,0.2,320.37,4412.46,0,18.14,33.82,0.14,0,0.58,0.13,505.2,14.54,0.11,121.47,26.47,204.01,0,0,263.2,0.8,31.15
"4","Costa Rica","Artichokes",0.1,4999441,18000,"Production_kg",366,"Artichokes",79,0.2,9.42,0.63,41.77,0,0,0,0.3,0,0,1.23,8.88,0,0.38,0.35,0,0,0,0,0.12,0.22,0,0.15,0,0.22,0,0,0.31,0,0.22
"5","Costa Rica","Asparagus",0.0845294117647059,4999441,265000,"Production_kg/Import_kg",367,"Asparagus",80,1.27,135.27,12.72,190.94,1.36,0,0,1.32,0,0,13.59,152.59,0,0.29,5.26,0,0,0,0,1,0.88,0,2.82,0.31,4.39,0,0,5.82,0,2.95
"6","Costa Rica","Avocados",0.048,4999441,24400000,"Production_kg/Import_kg",572,"Avocados",141,1481.21,16354.35,143239.5,44128.27,130.07,0.34,0.59,209.09,9.77,4.91,5185.94,44568.87,2.15,67.07,1725.98,0.64,1.43,14.08,3.1,144.38,307.58,1.44,24316.3,80755.24,16919.22,0,0,781.84,11.93,386.38
"7","Costa Rica","Bananas",0.04075,4999441,2454777000,"Production_kg/Import_kg",486,"Bananas",117,121381.96,1464897.59,280146.98,28128305.8,12828.24,44.26,22.49,11870.82,962.56,198.81,409436.31,1884077.43,111.16,7647.56,30561.49,64.42,60.93,1025.95,420.52,11808.35,34139.78,325.33,133747.59,31328.26,68078.73,0,0,87771.16,998.76,42775.13
"8","Costa Rica","Barley",0.04775,4999441,46000,"Import_kg",44,"Barley",3,6.63,176.21,26.81,1436.65,0,0,0,1.07,0.15,0,4.96,159.61,0,0.41,5.64,0,0,0.1,0,0.73,1.5,0,6.99,4.28,16.07,0,0,0.23,0,0
"9","Costa Rica","Beans, dry",0.1145,4999441,47560000,"Production_kg/Import_kg",176,"Beans",30,2737.75,176902.67,11406.74,481892,15.07,0,3.4,1162.48,60.58,24.26,9714.81,103046.03,7.25,129.78,3213.3,3.75,1.83,16.61,3.22,917.24,1436.45,10.82,2568.2,1140.4,3951.08,0,0,97.41,31.74,0
"10","Costa Rica","Beans, green",0.0843965476190476,4999441,541000,"Production_kg",414,"Beans; green",92,6.12,584.65,69.81,959.41,2.94,0,0,8.07,0.28,0,37.32,287.3,0,2.13,13.67,0,0.13,0.11,0,1.04,3.85,0,6.24,2.35,12.05,0,0,10.66,0.15,1.59
"11","Costa Rica","Berries nes",0.109406559397488,4999441,838000,"Production_kg",558,"Berries; nes",138,8.67,142.59,69.05,1965.19,7.09,0,0,5.61,0.24,0,25.33,441.24,0,0.93,3.45,0,0,0,0,1.5,2.49,0.15,2.76,6.43,33.44,0,0,13.15,0,0.12
"12","Costa Rica","Cabbages and other brassicas",0.08324,4999441,28827000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,186.1,15732.38,2111.28,30358.35,424.8,1.6,0.43,850.08,11.99,2.36,1978.08,15287.2,1.07,272.28,488.38,0.42,0.71,5.37,1.25,170.79,169.13,1.76,237.65,124.15,608.51,0,0,629.28,7.66,191.19
"13","Costa Rica","Carrots and turnips",0.0830718954248366,4999441,28502000,"Production_kg/Import_kg",426,"Carrots and turnips",96,207.49,8986.42,1606.93,40263.03,187.87,4.18,0.15,455.23,10.65,1.77,1997.3,13936.34,0.4,323.95,817.56,0.35,0.64,5.32,1.25,717.85,83.5,0.98,221.9,100.65,519.28,0,0,612.49,8.61,157.84
"14","Costa Rica","Cassava",0.108277777777778,4999441,159861000,"Production_kg",125,"Cassava",17,4107.41,53963.43,14017.5,916759.82,950.91,0.3,0.75,1151.31,35.95,10.04,11103.75,43706.24,2.95,271.69,1163.8,1.84,1.64,16.94,2.6,699.89,620.16,11.34,2569.22,2583.98,1299.37,0,0,1855.39,41.51,620.16
"15","Costa Rica","Cauliflowers and broccoli",0.103835520801038,4999441,321000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,1.77,191.54,19.99,251.61,5,0,0,2.71,0,0,18.32,117.49,0,1.85,6.72,0,0,0,0,3.92,1.11,0,3.85,1.16,1.99,0,0,5.36,0,2.97
"16","Costa Rica","Cherries",0.1289,4999441,35000,"Import_kg",531,"Cherries",127,0.25,5.91,0.94,56.56,0,0,0,0.15,0,0,1.35,5.7,0,0,0.13,0,0,0,0,0,0,0,0.21,0.26,0.28,0,0,0.45,0,0
"17","Costa Rica","Chick peas",0.04575,4999441,1639000,"Import_kg",191,"Chick peas",33,252.42,13933.13,3607.17,41788.42,1.5,0,0.27,97.72,4.96,2.47,579.72,5469.92,0.66,14.37,222.43,0.28,0.13,1.26,0.38,105.09,70.94,8.07,441.77,977.06,1906.47,0,0,7.52,2.13,0
"18","Costa Rica","Chillies and peppers, dry",4e-04,4999441,666000,"Import_kg",689,"Pimento",156,8008.26,341291.8,297269.03,1366695.14,2512.21,22.61,1.82,6909.33,243.12,88.01,60679.38,740008.73,21.97,15111.56,6191.8,9.3,14.51,183.74,57.41,1715.14,5112.12,72.52,88254.87,56671.84,205328.56,0,0,933.45,199.29,0
