"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Czechia","Apples",0.121111111111111,10665677,161789000,"Production_kg/Import_kg",515,"Apples",119,703.09,3887.96,3689.65,163889.19,181.85,0,0,97.07,8.78,0.8,1288.28,17743.7,0.36,72.96,135.99,0.57,0.35,2.34,0.51,2031.55,58.45,0.44,488.47,106.46,820.39,0,0,1058.4,3.22,125.25
"2","Czechia","Apricots",0.03995,10665677,13537000,"Production_kg/Import_kg",526,"Apricots",125,156.94,3177,812.4,36166.97,21.23,0.41,0,54.01,2.52,0.7,926.63,4341.9,0.25,4.21,75.72,0,0.35,2.48,0.17,8.9,31.77,0.24,90.54,540.09,249.39,0,0,271.97,2.51,27
"3","Czechia","Barley",0.04775,10665677,1830606000,"Production_kg/Import_kg",44,"Barley",3,123700.61,3286949.58,500196.82,26799231.18,239.63,0,7.55,20039.09,2795.92,908.68,92557.22,2977407.08,229.81,7692.13,105128.03,94.53,46.5,1922.03,103.88,13587.04,27916.94,511.01,130478.72,79796.91,299777.57,0,0,4220.71,658.5,0
"4","Czechia","Berries nes",0.109406559397488,10665677,10000,"Production_kg",558,"Berries; nes",138,0,0.8,0.39,10.99,0,0,0,0,0,0,0.14,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0
"5","Czechia","Broad beans, horse beans, dry",0.052,10665677,888000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,53.56,3842.31,254.31,8805.84,0.44,0,0,15.87,1.29,0.56,191.04,3100.82,0.13,2.92,61.08,0,0,0.42,0,15.34,30.66,0.26,40.35,48.27,96.63,0,0,1.67,0.48,4.32
"6","Czechia","Cabbages and other brassicas",0.08324,10665677,85245000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,257.96,21807.05,2926.49,42080.48,588.82,2.21,0.6,1178.31,16.62,3.28,2741.86,21189.97,1.49,377.42,676.95,0.58,0.99,7.44,1.73,236.74,234.44,2.43,329.41,172.09,843.47,0,0,872.25,10.62,265.01
"7","Czechia","Carrots and turnips",0.0830718954248366,10665677,67977000,"Production_kg/Import_kg",426,"Carrots and turnips",96,231.96,10046.31,1796.46,45011.78,210.03,4.67,0.17,508.92,11.9,1.98,2232.86,15580.03,0.45,362.16,913.98,0.39,0.71,5.95,1.4,802.51,93.34,1.1,248.07,112.53,580.53,0,0,684.73,9.63,176.46
"8","Czechia","Cauliflowers and broccoli",0.103835520801038,10665677,26635000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,68.94,7449.83,777.62,9786.02,194.49,1.3,0.14,105.43,2.61,1.01,712.57,4569.53,0.1,71.99,261.22,0.26,0.26,1.72,0.43,152.32,43.29,0.44,149.71,45.09,77.56,0,0,208.31,2.6,115.44
"9","Czechia","Cereals nes",0.0486257263475995,10665677,6530000,"Production_kg",108,"Cereals; nes",13,438.48,16398.9,5795.12,92532.5,1.35,0,0,182.81,27.92,4.79,537.63,3975.14,1.02,9.82,479.24,0.45,0.33,1.84,0.61,16.49,231.67,11.63,565.33,741.61,1348.49,0,0,13.74,4.93,0
"10","Czechia","Cherries",0.1289,10665677,2904000,"Production_kg/Import_kg",531,"Cherries",127,9.63,229.89,36.61,2199.61,2.64,0,0,5.83,0.11,0,52.49,221.79,0,0.32,4.94,0,0,0.15,0,1.29,2.32,0,8.03,9.93,10.98,0,0,17.4,0.14,1.69
