"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Czechia","Apples",0.121111111111111,10665677,99500000,"Production_kg",515,"Apples",119,432.4,2391.09,2269.13,100791.61,111.84,0,0,59.7,5.4,0.49,792.29,10912.35,0.22,44.87,83.63,0.35,0.22,1.44,0.31,1249.4,35.95,0.27,300.41,65.47,504.54,0,0,650.92,1.98,77.03
"2","Czechia","Apricots",0.03995,10665677,2870000,"Production_kg",526,"Apricots",125,33.27,673.56,172.24,7667.81,4.5,0,0,11.45,0.53,0.15,196.46,920.53,0,0.89,16.05,0,0,0.53,0,1.89,6.74,0,19.2,114.51,52.87,0,0,57.66,0.53,5.73
"3","Czechia","Barley",0.04775,10665677,1718060000,"Production_kg",44,"Barley",3,116095.47,3084867.3,469444.63,25151609.42,224.9,0,7.08,18807.08,2624.03,852.81,86866.79,2794355.53,215.68,7219.22,98664.74,88.72,43.64,1803.86,97.49,12751.71,26200.6,479.59,122456.87,74890.98,281347.18,0,0,3961.22,618.02,0
"4","Czechia","Berries nes",0.109406559397488,10665677,10000,"Production_kg",558,"Berries; nes",138,0,0.8,0.39,10.99,0,0,0,0,0,0,0.14,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0
"5","Czechia","Broad beans, horse beans, dry",0.052,10665677,810000,"Production_kg",181,"Broad beans; horse beans; dry",32,48.85,3504.81,231.97,8032.35,0.4,0,0,14.47,1.18,0.51,174.26,2828.45,0.12,2.66,55.71,0,0,0.38,0,13.99,27.97,0.24,36.8,44.03,88.14,0,0,1.52,0.44,3.94
"6","Czechia","Cabbages and other brassicas",0.08324,10665677,41330000,"Production_kg",358,"Cabbages and other brassicas",78,125.07,10572.88,1418.87,20402.21,285.48,1.07,0.29,571.29,8.06,1.59,1329.36,10273.7,0.72,182.99,328.21,0.28,0.48,3.61,0.84,114.78,113.67,1.18,159.71,83.44,408.95,0,0,422.9,5.15,128.49
"7","Czechia","Carrots and turnips",0.0830718954248366,10665677,28880000,"Production_kg",426,"Carrots and turnips",96,98.55,4268.17,763.22,19123.23,89.23,1.98,0,216.22,5.06,0.84,948.63,6619.17,0.19,153.86,388.3,0.17,0.3,2.53,0.59,340.95,39.66,0.47,105.39,47.81,246.64,0,0,290.91,4.09,74.97
"8","Czechia","Cauliflowers and broccoli",0.103835520801038,10665677,4690000,"Production_kg",393,"Cauliflowers and broccoli",84,12.14,1311.8,136.93,1723.16,34.25,0.23,0,18.56,0.46,0.18,125.47,804.62,0,12.68,46,0,0,0.3,0,26.82,7.62,0,26.36,7.94,13.66,0,0,36.68,0.46,20.33
"9","Czechia","Cereals nes",0.0486257263475995,10665677,6530000,"Production_kg",108,"Cereals; nes",13,438.48,16398.9,5795.12,92532.5,1.35,0,0,182.81,27.92,4.79,537.63,3975.14,1.02,9.82,479.24,0.45,0.33,1.84,0.61,16.49,231.67,11.63,565.33,741.61,1348.49,0,0,13.74,4.93,0
"10","Czechia","Cherries",0.1289,10665677,2650000,"Production_kg",531,"Cherries",127,8.79,209.78,33.41,2007.22,2.41,0,0,5.32,0,0,47.9,202.39,0,0.29,4.51,0,0,0.13,0,1.18,2.12,0,7.32,9.06,10.02,0,0,15.88,0.13,1.54
"11","Czechia","Cherries, sour",0.028,10665677,5340000,"Production_kg",530,"Sour cherries",126,84.64,1966.92,476.83,19895.73,17.88,0,0,24.44,0.73,0.3,309.34,2145.73,0.19,9.83,29.5,0,0,0.72,0,10.91,16.09,0.2,121.59,146.63,160.93,0,0,155.58,0.72,19.67
"12","Czechia","Chillies and peppers, green",0.0664142191142191,10665677,11330000,"Production_kg",401,"Chillies and peppers; green",88,62.69,2847.86,1062.95,11049.03,184.45,0.2,0,44.21,2.6,0.5,450.94,5141.81,0.25,11.35,162.95,0.2,0.19,1.9,0.57,12.92,57.7,0.38,66.7,28.54,291.86,0,0,141.18,1.41,26.48
"13","Czechia","Cucumbers and gherkins",0.0675,10665677,15230000,"Production_kg",397,"Cucumbers and gherkins",86,29.53,1365.1,250.12,5352.79,20.91,0,0,33.85,0.94,0.41,301.57,1380.09,0.11,14.04,76.73,0,0,0.4,0,12.69,26.44,0.17,70.87,5.29,55,0,0,202.57,0.88,32.79
"14","Czechia","Currants",0.038,10665677,980000,"Production_kg",550,"Currants",135,30.29,435.24,61.05,7228.57,24.42,0,0,16.5,0.73,0,72.18,640.77,0,0.4,17.17,0,0,0,0,1.84,4.47,0,6.17,10.4,32.28,0,0,16.07,0.28,0.48
"15","Czechia","Garlic",0.00732,10665677,1640000,"Production_kg",406,"Garlic",90,256.23,10673.33,525.8,53663.36,27.91,0,0,107.97,2.92,2.45,927.42,3334.71,1.01,36.59,426.01,0.3,0.17,1.13,2.13,48.73,81.92,2.81,188,22.06,503.09,0,0,137.4,3.05,27.31
"16","Czechia","Grain, mixed",0.0651708222811671,10665677,1760000,"Production_kg",103,"Mixed grain",12,88.17,2894.42,627.95,18660.11,0,0,0,6.23,0.84,0.66,87.27,2675.53,0.12,1.39,80.03,0.1,0,1.09,0,8.27,30.01,0.65,111.25,134.82,264.02,0,0,2.72,0.42,0
"17","Czechia","Grapes",0.1235,10665677,67960000,"Production_kg",560,"Grapes",122,317.4,2769.65,1221.84,75358.78,26.51,0,0,77.12,3.18,0.37,934.88,10908.42,0.5,16.6,104.91,0.22,0.69,1.12,0.51,28.89,139.3,3.56,615.69,70.51,481.54,0,0,429.52,2.45,72.23
"18","Czechia","Leeks, other alliaceous vegetables",0.083270092226614,10665677,150000,"Production_kg",407,"Leeks; other alliaceous veg.",91,0.8,36.18,5.03,162.14,0.32,0,0,1.05,0,0,3.14,31.41,0,0.23,1.25,0,0,0,0,0.12,0.98,0,1.27,0.61,2.83,0,0,1.45,0,0.47
"19","Czechia","Lettuce and chicory",0.0865961538461538,10665677,15420000,"Production_kg",372,"Lettuce and chicory",81,28.85,2393.29,414.35,4659.24,18.53,0.3,0.13,88.7,1.94,0.68,428.66,2957.47,0.12,42.31,112.65,0,0.13,0.69,0.14,53.84,22.78,0.39,60.94,12.38,140.1,0,0,156.22,1.75,28.38
