"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Democratic People's Republic of Korea","Apples",0.121111111111111,25549604,42032000,"Import_kg",515,"Apples",119,76.25,421.65,400.15,17774.02,19.72,0,0,10.53,0.95,0,139.72,1924.33,0,7.91,14.75,0,0,0.25,0,220.32,6.34,0,52.98,11.55,88.97,0,0,114.79,0.35,13.58
"2","Democratic People's Republic of Korea","Asparagus",0.0845294117647059,25549604,1000,"Import_kg",367,"Asparagus",80,0,0,0,0.14,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Democratic People's Republic of Korea","Bananas",0.04075,25549604,7714000,"Import_kg",486,"Bananas",117,74.64,900.77,172.26,17296.11,7.89,0,0,7.3,0.59,0.12,251.76,1158.52,0,4.7,18.79,0,0,0.63,0.26,7.26,20.99,0.2,82.24,19.26,41.86,0,0,53.97,0.61,26.3
"4","Democratic People's Republic of Korea","Beans, green",0.0843965476190476,25549604,1000,"Import_kg",414,"Beans; green",92,0,0.21,0,0.35,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Democratic People's Republic of Korea","Buckwheat",0.0421111111111111,25549604,292000,"Import_kg",89,"Buckwheat",9,8.95,288.7,73.28,1869.91,0,0,0,1.14,0.19,0,11.15,252.4,0,0.16,9.53,0,0,0.15,0,0,6.21,0,20.11,28.23,28.2,0,0,0.36,0,0
"6","Democratic People's Republic of Korea","Cabbages and other brassicas",0.08324,25549604,54000,"Import_kg",358,"Cabbages and other brassicas",78,0,5.77,0.77,11.13,0.16,0,0,0.31,0,0,0.73,5.6,0,0,0.18,0,0,0,0,0,0,0,0,0,0.22,0,0,0.23,0,0
"7","Democratic People's Republic of Korea","Carrots and turnips",0.0830718954248366,25549604,374000,"Import_kg",426,"Carrots and turnips",96,0.53,23.07,4.13,103.38,0.48,0,0,1.17,0,0,5.13,35.78,0,0.83,2.1,0,0,0,0,1.84,0.21,0,0.57,0.26,1.33,0,0,1.57,0,0.41
"8","Democratic People's Republic of Korea","Chillies and peppers, dry",4e-04,25549604,8689000,"Import_kg",689,"Pimento",156,20444.25,871281.91,758896.44,3489028.31,6413.41,57.72,4.65,17638.8,620.65,224.67,154908.06,1889164.11,56.09,38578.23,15807.02,23.73,37.03,469.06,146.55,4378.58,13050.71,185.15,225305.35,144677.21,524182.11,0,0,2382.99,508.76,0
"9","Democratic People's Republic of Korea","Chillies and peppers, green",0.0664142191142191,25549604,603000,"Import_kg",401,"Chillies and peppers; green",88,1.39,63.27,23.62,245.48,4.1,0,0,0.98,0,0,10.02,114.24,0,0.25,3.62,0,0,0,0,0.29,1.28,0,1.48,0.63,6.48,0,0,3.14,0,0.59
"10","Democratic People's Republic of Korea","Coconuts",0.04,25549604,2000,"Import_kg",249,"Coconuts - Incl Copra",58,0,0.66,5.51,2.46,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,5.84,0.52,0.13,0,0,0,0,0
"11","Democratic People's Republic of Korea","Coffee, green",0.00312,25549604,3731000,"Import_kg",656,"Coffee",152,867.2,52909.78,69821.95,169431.85,4.68,0,0,482.29,16.17,2.48,10417.92,0,0.97,166.46,1330.33,0.67,2.34,51.9,0.11,201.58,874.53,1.78,155.06,1162.97,77.53,0,0,24.58,27.13,0
"12","Democratic People's Republic of Korea","Cucumbers and gherkins",0.0675,25549604,18000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.67,0.12,2.64,0,0,0,0,0,0,0.15,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Democratic People's Republic of Korea","Eggplants (aubergines)",0.082,25549604,36000,"Import_kg",399,"Eggplants (aubergines)",87,0,1.98,1.24,9.09,0,0,0,0,0,0,0.35,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0
"14","Democratic People's Republic of Korea","Fruit, fresh nes",0.107099201828105,25549604,325000,"Import_kg",619,"Fresh fruit; nes",147,1.07,18.14,9.05,228.91,0.46,0,0,0.64,0,0,3.31,41.25,0,0.13,0.5,0,0,0,0,0.83,0.38,0,1.45,1,1.38,0,0,0.9,0,0.33
"15","Democratic People's Republic of Korea","Fruit, tropical fresh nes",0.1073859375,25549604,10000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0,0.54,0.44,7.57,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0.27,0.6,0.14,0,0,0,0,0
"16","Democratic People's Republic of Korea","Garlic",0.00732,25549604,1282000,"Import_kg",406,"Garlic",90,83.61,3482.96,171.58,17511.62,9.11,0,0,35.23,0.95,0.8,302.64,1088.19,0.33,11.94,139.02,0,0,0.37,0.69,15.9,26.73,0.92,61.35,7.2,164.17,0,0,44.84,0.99,8.91
"17","Democratic People's Republic of Korea","Ginger",0.02852,25549604,26000,"Import_kg",720,"Ginger",162,0.69,17.42,7.5,145.32,0,0,0,0.25,0,0,3.22,21.06,0,0,0.31,0,0,0,0,0.15,0.52,0.12,9.27,1.71,3.31,0,0,0.17,0,0
"18","Democratic People's Republic of Korea","Grapefruit (inc. pomelos)",0.15,25549604,64000,"Import_kg",507,"Grapefruit",115,0,1.18,0.25,13.41,0,0,0,0,0,0,0.32,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
"19","Democratic People's Republic of Korea","Grapes",0.1235,25549604,1093000,"Import_kg",560,"Grapes",122,2.13,18.6,8.2,505.95,0.18,0,0,0.52,0,0,6.28,73.24,0,0.11,0.7,0,0,0,0,0.19,0.94,0,4.13,0.47,3.23,0,0,2.88,0,0.48
"20","Democratic People's Republic of Korea","Kiwi fruit",0.145,25549604,14000,"Import_kg",592,"Kiwi fruit",144,0,0.4,0.26,5.19,0,0,0,0,0,0,0.13,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Democratic People's Republic of Korea","Leeks, other alliaceous vegetables",0.083270092226614,25549604,2000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0,0.2,0,0.9,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Democratic People's Republic of Korea","Maize",0.0869363057324841,25549604,3e+08,"Import_kg",56,"Maize",4,4772.45,116733.24,46229.99,974775.91,9.26,0.3,0.31,281.81,43.95,24.24,3979.02,69947.55,2.44,126.22,2956.37,3.6,1.6,34.84,4.79,0,1481.2,3.28,7992.34,17392.72,32627.81,0,0,168.3,16.95,0
"23","Democratic People's Republic of Korea","Mangoes, mangosteens, guavas",0.09628125,25549604,5000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0,0.15,0,2.8,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Democratic People's Republic of Korea","Maté",0.0019,25549604,16000,"Import_kg",671,"Tea",154,0.21,123.6,14.83,61.61,0.74,0,0,5.52,0.31,0,7.6,0,0,0.62,3.25,0,0,0,0,0,0.62,0,0.41,0.21,0.82,0,0,0.53,0.15,0
"25","Democratic People's Republic of Korea","Melons, other (inc.cantaloupes)",0.179843076923077,25549604,938000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0.58,11.05,3.1,131.35,0.47,0,0,0.31,0,0,5.22,14,0,0.25,0.34,0,0,0,0,0.16,0.22,0,0.78,0,1.22,0,0,1.89,0,0.97
"26","Democratic People's Republic of Korea","Mushrooms and truffles",0.0389236263736264,25549604,2000,"Import_kg",449,"Mushrooms and truffles",99,0,0.54,0,1.02,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0
"27","Democratic People's Republic of Korea","Oats",0.0434605263157895,25549604,350000,"Import_kg",75,"Oats",6,11.52,430.43,194.44,2043.45,0,0,0,1.86,0.17,0.11,12.84,139.48,0,0.76,11.45,0,0,0,0,0,5.58,0.15,37.46,69.16,78.41,0,0,0.33,0,0
"28","Democratic People's Republic of Korea","Oilseeds nes",0.0178426203877423,25549604,7000,"Import_kg",339,"Oilcrops; Other",62,0.8,29.36,59.71,41.79,0,0,0,0.52,0,0,1.11,18.96,0,0,0.85,0,0,0,0,0,0.51,0,6.75,15.45,40.54,0,0,0,0,0
"29","Democratic People's Republic of Korea","Onions, dry",0.093304347826087,25549604,5716000,"Import_kg",403,"Onions",77,9.47,275.96,33.7,2003.26,2.13,0,0,9.94,0.17,0,30.98,340.48,0,2.41,12.51,0,0,0,0,1.46,2.86,0,8.15,5.83,13.35,0,0,21.63,0.12,1.92
