"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Denmark","Apples",0.121111111111111,5752126,50897000,"Import_kg",515,"Apples",119,410.12,2267.9,2152.23,95599.04,106.07,0,0,56.62,5.12,0.47,751.47,10350.17,0.21,42.56,79.32,0.33,0.21,1.37,0.29,1185.03,34.09,0.26,284.93,62.1,478.54,0,0,617.38,1.88,73.06
"2","Denmark","Asparagus",0.0845294117647059,5752126,2586000,"Import_kg",367,"Asparagus",80,10.77,1147.28,107.89,1619.49,11.53,0,0,11.17,0.58,0.29,115.28,1294.18,0,2.46,44.59,0,0,0.48,0,8.51,7.45,0,23.93,2.66,37.23,0,0,49.37,0.35,25
"3","Denmark","Barley",0.04775,5752126,103776000,"Import_kg",44,"Barley",3,13002.71,345505.63,52577.87,2816984.24,25.19,0,0.79,2106.4,293.89,95.52,9729.09,312968.26,24.16,808.55,11050.47,9.94,4.89,202.03,10.92,1428.19,2934.47,53.71,13715.19,8387.8,31510.93,0,0,443.66,69.22,0
"4","Denmark","Blueberries",0.134028846153846,5752126,2093000,"Import_kg",552,"Blueberries",136,15.47,200.9,89.59,3933.79,2.63,0,0,1.63,0,0,20.9,651.56,0,0.27,3.26,0,0,0.11,0,1.63,1.63,0,7.6,12.76,39.64,0,0,22.86,0,1.36
"5","Denmark","Broad beans, horse beans, dry",0.052,5752126,24809000,"Import_kg",181,"Broad beans; horse beans; dry",32,2774.43,199043.75,13174.05,456170.35,22.59,0,3.51,821.92,66.98,28.96,9896.71,160632.12,6.82,151.23,3164.02,3.21,2.4,21.85,3.05,794.59,1588.35,13.49,2090.15,2500.72,5005.58,0,0,86.48,24.92,223.94
"6","Denmark","Cabbages and other brassicas",0.08324,5752126,12564000,"Import_kg",358,"Cabbages and other brassicas",78,70.5,5959.59,799.77,11500.05,160.92,0.6,0.16,322.02,4.54,0.9,749.32,5790.95,0.41,103.14,185,0.16,0.27,2.03,0.47,64.7,64.07,0.67,90.02,47.03,230.51,0,0,238.38,2.9,72.42
"7","Denmark","Carrots and turnips",0.0830718954248366,5752126,13872000,"Import_kg",426,"Carrots and turnips",96,87.77,3801.4,679.76,17031.91,79.47,1.77,0,192.57,4.5,0.75,844.89,5895.29,0.17,137.04,345.84,0.15,0.27,2.25,0.53,303.66,35.32,0.42,93.87,42.58,219.67,0,0,259.09,3.64,66.77
"8","Denmark","Cauliflowers and broccoli",0.103835520801038,5752126,16816000,"Import_kg",393,"Cauliflowers and broccoli",84,80.7,8721.2,910.33,11456.08,227.69,1.53,0.17,123.42,3.06,1.18,834.18,5349.36,0.12,84.28,305.8,0.31,0.3,2.02,0.51,178.31,50.68,0.51,175.26,52.79,90.8,0,0,243.86,3.04,135.14
"9","Denmark","Cherries",0.1289,5752126,2504000,"Import_kg",531,"Cherries",127,15.4,367.55,58.54,3516.76,4.23,0,0,9.32,0.17,0,83.92,354.6,0,0.51,7.9,0,0,0.23,0,2.06,3.71,0,12.83,15.87,17.56,0,0,27.82,0.23,2.7
"10","Denmark","Cherries, sour",0.028,5752126,98000,"Import_kg",530,"Sour cherries",126,2.88,66.93,16.23,677.03,0.61,0,0,0.83,0,0,10.53,73.02,0,0.33,1,0,0,0,0,0.37,0.55,0,4.14,4.99,5.48,0,0,5.29,0,0.67
