"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Dominica","Almonds shelled",0.0296505238073522,71625,1000,"Import_kg",231,"Almonds; with shell",45,28.04,998.72,2408.81,850.24,0.49,0,0,11.43,0.15,0.17,37.07,341.38,0,0.23,22.73,0,0,0.18,0,2.45,15.14,0,186.04,1590.39,549.25,0,0,0.23,0.14,3.06
"2","Dominica","Anise, badian, fennel, coriander",0.00195,71625,23000,"Import_kg",711,"Anise; badian; fennel; coriander",161,5723.84,260406.62,235993.5,769569.07,172.09,0.39,0.19,13392.6,528.5,76.37,24429.59,393208.14,15.45,1218.6,7576.56,5.4,4.98,50.7,8.23,9021.74,5187.27,44.92,13868.96,179282.05,43279.97,0,0,164.04,110.86,0
"3","Dominica","Apples",0.121111111111111,71625,26000,"Import_kg",515,"Apples",119,16.83,93.04,88.29,3921.92,4.35,0,0,2.32,0.21,0,30.83,424.61,0,1.75,3.25,0,0,0,0,48.62,1.4,0,11.69,2.55,19.63,0,0,25.33,0,3
"4","Dominica","Beans, dry",0.1145,71625,232000,"Import_kg",176,"Beans",30,932.17,60233.4,3883.87,164078.87,5.13,0,1.16,395.81,20.63,8.26,3307.78,35086.03,2.47,44.19,1094.09,1.28,0.62,5.65,1.1,312.31,489.09,3.68,874.44,388.29,1345.3,0,0,33.17,10.81,0
"5","Dominica","Chocolate products nes",0.0115,71625,48000,"Import_kg",666,"Cocoa Beans",153,1328.66,94031.78,240976.83,337409.52,0,0,0.19,625.05,29.57,39.68,5847.85,215615.75,22.07,48.08,3417.71,0.99,1.15,10.76,0.69,69.93,2907.9,22.36,134133.39,92612.79,5011.61,0,0,22.61,23.18,0
"6","Dominica","Cider etc",0.0683571428571429,71625,137000,"Import_kg",517,"Fruit juice; nes",149,139.37,695.03,379.31,34037.32,209.89,0,0,28.34,0.74,0.21,302.34,796.4,0.12,21.72,22.97,0,0,1.21,0,7.67,20.83,0,70.19,95.6,173.72,0,0,246.18,0.78,0
"7","Dominica","Cocoa, butter",0.0115,71625,1000,"Import_kg",664,"Cocoa Beans",153,27.68,1959,5020.35,7029.36,0,0,0,13.02,0.62,0.83,121.83,4491.99,0.46,1,71.2,0,0,0.22,0,1.46,60.58,0.47,2794.45,1929.43,104.41,0,0,0.47,0.48,0
"8","Dominica","Coconuts",0.04,71625,222000,"Import_kg",249,"Coconuts - Incl Copra",58,2460.21,25997.41,218081.38,97501.78,18.59,0,0.15,144.62,22.24,12.78,2533.18,50022.11,3.97,164.12,815.51,0.49,0.25,5.24,0.32,93.76,224.58,29.06,231290.68,20630.89,5292.36,0,0,410.94,7.92,321.57
"9","Dominica","Coffee, extracts",0.00312,71625,4000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,644.38,24405.96,5799.44,140367.83,0,0,0,199.81,13.34,0.91,4372.85,41705.82,0.37,148.57,655.39,0.74,0.17,31.62,1.34,23.99,436.75,1.97,1079.34,637.22,2192.69,0,0,10.85,14.57,0
"10","Dominica","Coffee, green",0.00312,71625,1000,"Import_kg",656,"Coffee",152,82.91,5058.6,6675.54,16199.04,0.45,0,0,46.11,1.55,0.24,996.04,0,0,15.91,127.19,0,0.22,4.96,0,19.27,83.61,0.17,14.83,111.19,7.41,0,0,2.35,2.59,0
"11","Dominica","Flour, maize",0.0538461538461538,71625,171000,"Import_kg",58,"Corn Flour",223,1576.42,37677.39,14544.6,323405.92,1.62,0,0,124.32,16.78,5.89,943.91,19852.37,0.7,31.62,872.97,1.19,0.46,7.92,0.93,0,255.26,0.25,1309.08,4737.52,7864.47,0,0,46.2,5.11,0
"12","Dominica","Flour, mixed grain",0.057,71625,2000,"Import_kg",104,"Millet Flour",224,17.73,380.07,151.13,3688.15,0,0,0,3.28,0.93,0.14,10.97,116.75,0,0.56,11.17,0,0,0.1,0,0,5.83,0,26.26,45.26,128.25,0,0,0.55,0,0
"13","Dominica","Flour, mustard",0.0841,71625,1000,"Import_kg",295,"Rape and Mustardseed",56,8.71,382.49,632.84,432.38,0,0,0,6.28,0.14,0,12.25,117.87,0,0.22,12.68,0,0,0,0,2.77,6.14,0,33.02,373.83,167.47,0,0,0.11,0,0
"14","Dominica","Flour, wheat",0.0374838709677419,71625,2343000,"Import_kg",16,"Wheat Flour",222,30153.19,1001149.83,132012.12,6208985.99,16.29,0,2.18,3489.78,237.57,111.99,15010.38,114614.14,8.55,2817.06,16146.34,30.55,11.57,199.8,10.65,907.6,3956.22,73.39,13526.8,7592.46,36042.36,0,0,1010.88,83.41,0
"15","Dominica","Fruit, cooked, homogenized preparations",0.107099201828105,71625,25000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,18.07,116.67,51.88,4553.92,8.89,0,0,2.02,0,0,40.33,589.23,0,0.63,3.75,0,0,0.1,0,1.42,2.42,0,7.56,7.38,14.25,0,0,27.76,0.1,0
"16","Dominica","Fruit, dried nes",0.107099201828105,71625,15000,"Import_kg",620,"Fruit dried; nes",148,56.9,591.92,126.3,14026.24,7.2,0,0,10.75,0.43,0,170.98,1666.45,0,2.88,19.46,0,0,0.3,0,3.14,9.35,0,37.97,30.99,48.43,0,0,4.12,0.42,2.8
"17","Dominica","Fruit, fresh nes",0.107099201828105,71625,115000,"Import_kg",619,"Fresh fruit; nes",147,134.93,2289.66,1141.91,28892.89,58.47,0,0,80.42,5.47,0.38,417.62,5206.16,0.17,16.74,62.72,0,0,1.5,0.13,104.68,47.84,0.31,183.5,126.43,174.74,0,0,113.48,1.37,41.73
"18","Dominica","Fruit, prepared nes",0.107099201828105,71625,62000,"Import_kg",623,"Fruit; prepared; nes",150,44.62,587.04,193.13,11335.15,9.11,0,0,11.97,0.48,0.12,145.29,2036.32,0,3.74,14.53,0,0,0.43,0,4.24,9,0.23,20.4,28.81,61.55,0,0,68.33,0.38,0.98
"19","Dominica","Ginger",0.02852,71625,2000,"Import_kg",720,"Ginger",162,19.06,477.95,205.85,3987.49,0.27,0,0,6.96,0.54,0.18,88.41,577.97,0,2.41,8.59,0,0,0.38,0,4.03,14.36,3.26,254.46,46.9,90.96,0,0,4.56,0.22,0
"20","Dominica","Grapes",0.1235,71625,45000,"Import_kg",560,"Grapes",122,31.3,273.09,120.47,7430.48,2.61,0,0,7.6,0.31,0,92.18,1075.58,0,1.64,10.34,0,0,0.11,0,2.85,13.74,0.35,60.71,6.95,47.48,0,0,42.35,0.24,7.12
"21","Dominica","Groundnuts, prepared",0.028,71625,24000,"Import_kg",246,"Groundnuts (Shelled Eq)",54,656.58,28198.59,52542.64,20376.47,1.7,0,0.14,71.69,4.23,3.33,833.44,9943.75,1.3,12.28,467.49,0.91,0.2,17.15,0.65,165.45,224.42,1.76,7514.14,29230.82,18618.4,0,0,10.1,3.27,0
"22","Dominica","Juice, apple, concentrated",0.0683571428571429,71625,4000,"Import_kg",519,"Fruit juice; nes",149,4.07,20.29,11.07,993.79,6.13,0,0,0.83,0,0,8.83,23.25,0,0.63,0.67,0,0,0,0,0.22,0.61,0,2.05,2.79,5.07,0,0,7.19,0,0
"23","Dominica","Juice, apple, single strength",0.0683571428571429,71625,189000,"Import_kg",518,"Fruit juice; nes",149,192.26,958.83,523.28,46956.59,289.56,0,0,39.1,1.02,0.28,417.1,1098.68,0.16,29.96,31.69,0,0.11,1.67,0,10.58,28.74,0.13,96.83,131.89,239.66,0,0,339.62,1.07,0
"24","Dominica","Juice, fruit nes",0.0683571428571429,71625,457000,"Import_kg",622,"Fruit juice; nes",149,464.89,2318.44,1265.28,113540.55,700.15,0.15,0,94.54,2.46,0.68,1008.54,2656.6,0.39,72.44,76.64,0.16,0.27,4.03,0.23,25.59,69.49,0.32,234.13,318.91,579.49,0,0,821.2,2.59,0
"25","Dominica","Juice, grape",0.0683571428571429,71625,5000,"Import_kg",562,"Fruit juice; nes",149,5.09,25.37,13.84,1242.24,7.66,0,0,1.03,0,0,11.03,29.07,0,0.79,0.84,0,0,0,0,0.28,0.76,0,2.56,3.49,6.34,0,0,8.98,0,0
"26","Dominica","Juice, grapefruit",0.0683571428571429,71625,2000,"Import_kg",509,"Fruit juice; nes",149,2.03,10.15,5.54,496.9,3.06,0,0,0.41,0,0,4.41,11.63,0,0.32,0.34,0,0,0,0,0.11,0.3,0,1.02,1.4,2.54,0,0,3.59,0,0
"27","Dominica","Juice, lemon, single strength",0.0683571428571429,71625,22000,"Import_kg",498,"Fruit juice; nes",149,22.38,111.61,60.91,5465.85,33.71,0,0,4.55,0.12,0,48.55,127.89,0,3.49,3.69,0,0,0.19,0,1.23,3.35,0,11.27,15.35,27.9,0,0,39.53,0.12,0
"28","Dominica","Juice, orange, single strength",0.0683571428571429,71625,17000,"Import_kg",491,"Fruit juice; nes",149,17.29,86.24,47.07,4223.61,26.05,0,0,3.52,0,0,37.52,98.82,0,2.69,2.85,0,0,0.15,0,0.95,2.58,0,8.71,11.86,21.56,0,0,30.55,0,0
"29","Dominica","Juice, pineapple",0.0683571428571429,71625,7000,"Import_kg",576,"Fruit juice; nes",149,7.12,35.51,19.38,1739.13,10.72,0,0,1.45,0,0,15.45,40.69,0,1.11,1.17,0,0,0,0,0.39,1.06,0,3.59,4.88,8.88,0,0,12.58,0,0
"30","Dominica","Lentils",0.0454634146341463,71625,179000,"Import_kg",201,"Lentils",36,1804.76,127008.36,5747.81,308485.2,9.42,0,1.48,378.9,51.42,15.92,4584.5,63353.01,6.4,63.06,1793.72,2.15,1.29,12.01,3.35,1086.76,421.44,6.58,780.58,970.22,2407.69,0,0,63.18,14.86,0
"31","Dominica","Lettuce and chicory",0.0865961538461538,71625,4000,"Import_kg",372,"Lettuce and chicory",81,1.11,92.45,16.01,179.98,0.72,0,0,3.43,0,0,16.56,114.24,0,1.63,4.35,0,0,0,0,2.08,0.88,0,2.35,0.48,5.41,0,0,6.03,0,1.1
"32","Dominica","Maize",0.0869363057324841,71625,75000,"Import_kg",56,"Maize",4,425.6,10410.08,4122.71,86928.93,0.83,0,0,25.13,3.92,2.16,354.84,6237.81,0.22,11.26,263.64,0.32,0.14,3.11,0.43,0,132.09,0.29,712.74,1551.05,2909.69,0,0,15.01,1.51,0
