"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ecuador","Anise, badian, fennel, coriander",0.00195,17084358,12000,"Production_kg",711,"Anise; badian; fennel; coriander",161,12.52,569.6,516.2,1683.32,0.38,0,0,29.29,1.16,0.17,53.44,860.09,0,2.67,16.57,0,0,0.11,0,19.73,11.35,0,30.34,392.15,94.67,0,0,0.36,0.24,0
"2","Ecuador","Apples",0.121111111111111,17084358,4658000,"Production_kg",515,"Apples",119,12.64,69.88,66.32,2945.71,3.27,0,0,1.74,0.16,0,23.16,318.92,0,1.31,2.44,0,0,0,0,36.51,1.05,0,8.78,1.91,14.75,0,0,19.02,0,2.25
"3","Ecuador","Apricots",0.03995,17084358,358000,"Production_kg",526,"Apricots",125,2.59,52.45,13.41,597.12,0.35,0,0,0.89,0,0,15.3,71.69,0,0,1.25,0,0,0,0,0.15,0.52,0,1.49,8.92,4.12,0,0,4.49,0,0.45
"4","Ecuador","Asparagus",0.0845294117647059,17084358,1474000,"Production_kg",367,"Asparagus",80,2.07,220.18,20.71,310.8,2.21,0,0,2.14,0.11,0,22.12,248.37,0,0.47,8.56,0,0,0,0,1.63,1.43,0,4.59,0.51,7.14,0,0,9.48,0,4.8
"5","Ecuador","Avocados",0.048,17084358,26408000,"Production_kg",572,"Avocados",141,469.12,5179.67,45366.08,13976.08,41.2,0.11,0.19,66.22,3.09,1.55,1642.47,14115.62,0.68,21.24,546.65,0.2,0.45,4.46,0.98,45.73,97.41,0.46,7701.33,25576.39,5358.57,0,0,247.62,3.78,122.37
"6","Ecuador","Bananas",0.04075,17084358,6583477000,"Production_kg",486,"Bananas",117,95262.11,1149670.33,219862.93,22075453.6,10067.76,34.73,17.65,9316.37,755.43,156.03,321330.85,1478648.03,87.24,6001.9,23985.05,50.56,47.82,805.18,330.03,9267.34,26793.33,255.32,104966.82,24586.82,53429.06,0,0,68883.93,783.84,33570.47
"7","Ecuador","Barley",0.04775,17084358,13450000,"Production_kg",44,"Barley",3,567.4,15076.84,2294.34,122924.8,1.1,0,0,91.92,12.82,4.17,424.55,13657,1.05,35.28,482.21,0.43,0.21,8.82,0.48,62.32,128.05,2.34,598.49,366.02,1375.04,0,0,19.36,3.02,0
"8","Ecuador","Beans, dry",0.1145,17084358,14743000,"Production_kg",176,"Beans",30,248.35,16047.27,1034.73,43713.59,1.37,0,0.31,105.45,5.5,2.2,881.25,9347.56,0.66,11.77,291.49,0.34,0.17,1.51,0.29,83.21,130.3,0.98,232.97,103.45,358.41,0,0,8.84,2.88,0
"9","Ecuador","Beans, green",0.0843965476190476,17084358,12748000,"Production_kg",414,"Beans; green",92,42.18,4031.44,481.35,6615.67,20.26,0,0,55.66,1.92,0.41,257.34,1981.07,0,14.66,94.25,0.11,0.88,0.77,0.12,7.16,26.52,0,43.03,16.21,83.11,0,0,73.48,1,10.96
"10","Ecuador","Berries nes",0.109406559397488,17084358,5369000,"Production_kg",558,"Berries; nes",138,16.26,267.34,129.47,3684.48,13.3,0,0,10.53,0.44,0.12,47.49,827.26,0,1.73,6.46,0,0,0.14,0,2.81,4.67,0.27,5.17,12.06,62.69,0,0,24.66,0.15,0.23
"11","Ecuador","Broad beans, horse beans, dry",0.052,17084358,1661000,"Production_kg",181,"Broad beans; horse beans; dry",32,62.54,4486.82,296.97,10282.94,0.51,0,0,18.53,1.51,0.65,223.09,3620.95,0.15,3.41,71.32,0,0,0.49,0,17.91,35.8,0.3,47.12,56.37,112.84,0,0,1.95,0.56,5.05
"12","Ecuador","Cabbages and other brassicas",0.08324,17084358,11007000,"Production_kg",358,"Cabbages and other brassicas",78,20.79,1757.87,235.9,3392.11,47.46,0.18,0,94.98,1.34,0.26,221.02,1708.13,0.12,30.42,54.57,0,0,0.6,0.14,19.08,18.9,0.2,26.55,13.87,67.99,0,0,70.31,0.86,21.36
"13","Ecuador","Carrots and turnips",0.0830718954248366,17084358,43288000,"Production_kg",426,"Carrots and turnips",96,92.22,3993.94,714.19,17894.58,83.5,1.86,0,202.32,4.73,0.79,887.68,6193.89,0.18,143.98,363.36,0.16,0.28,2.36,0.56,319.04,37.11,0.44,98.62,44.73,230.79,0,0,272.22,3.83,70.15
"14","Ecuador","Cassava",0.108277777777778,17084358,69863000,"Production_kg",125,"Cassava",17,525.29,6901.24,1792.66,117241.96,121.61,0,0,147.24,4.6,1.28,1420.03,5589.47,0.38,34.75,148.84,0.24,0.21,2.17,0.33,89.51,79.31,1.45,328.57,330.46,166.17,0,0,237.28,5.31,79.31
"15","Ecuador","Castor oil seed",0.0178426203877423,17084358,2700000,"Production_kg",265,"Oilcrops Oil; Other",75,781.85,110.57,80515.97,48.08,0,0,0,1.52,0.17,0,1.59,0,0,0.41,1.53,0,0,0,0,3.81,0.33,0,20036.25,32636.43,29075.49,0,0,7.03,0.16,0
"16","Ecuador","Cauliflowers and broccoli",0.103835520801038,17084358,144032000,"Production_kg",393,"Cauliflowers and broccoli",84,232.73,25150.25,2625.21,33037.11,656.6,4.4,0.49,355.92,8.82,3.41,2405.61,15426.52,0.35,243.04,881.87,0.89,0.88,5.82,1.46,514.22,146.15,1.48,505.42,152.24,261.84,0,0,703.24,8.77,389.72
"17","Ecuador","Chillies and peppers, green",0.0664142191142191,17084358,8101000,"Production_kg",401,"Chillies and peppers; green",88,27.98,1271.21,474.47,4932,82.33,0,0,19.74,1.16,0.22,201.29,2295.17,0.11,5.06,72.74,0,0,0.85,0.25,5.77,25.76,0.17,29.77,12.74,130.28,0,0,63.02,0.63,11.82
"18","Ecuador","Cocoa, beans",0.0115,17084358,283680000,"Production_kg",661,"Cocoa Beans",153,32920.55,2329850.74,5970747.89,8360086.64,0,0.48,4.62,15487.1,732.63,983.28,144893.73,5342369.7,546.94,1191.2,84681.61,24.47,28.55,266.58,17.04,1732.66,72049.8,554.02,3323459.31,2294692.17,124174,0,0,560.23,574.38,0
"19","Ecuador","Coconuts",0.04,17084358,13241000,"Production_kg",249,"Coconuts - Incl Copra",58,615.19,6500.76,54532.12,24380.71,4.65,0,0,36.16,5.56,3.2,633.43,12508.23,0.99,41.04,203.92,0.12,0,1.31,0,23.44,56.16,7.27,57835.16,5158.84,1323.37,0,0,102.76,1.98,80.41
"20","Ecuador","Coffee, green",0.00312,17084358,8141000,"Production_kg",656,"Coffee",152,2829.82,172652.92,227840.02,552882.79,15.27,0,0.26,1573.78,52.77,8.1,33995.3,0,3.15,543.18,4341.07,2.2,7.63,169.35,0.36,657.79,2853.72,5.82,505.99,3794.96,253,0,0,80.22,88.54,0
"21","Ecuador","Cucumbers and gherkins",0.0675,17084358,5186000,"Production_kg",397,"Cucumbers and gherkins",86,6.28,290.19,53.17,1137.9,4.45,0,0,7.2,0.2,0,64.11,293.38,0,2.98,16.31,0,0,0,0,2.7,5.62,0,15.07,1.12,11.69,0,0,43.06,0.19,6.97
"22","Ecuador","Figs",0.0504615384615385,17084358,39000,"Production_kg",569,"Figs",139,0.25,4.59,0.95,56.4,0,0,0,0.21,0,0,1,9.95,0,0,0.11,0,0,0,0,0,0,0,0.21,0.24,0.5,0,0,0.38,0,0
"23","Ecuador","Fruit, citrus nes",0.125066666666667,17084358,17522000,"Production_kg",512,"Citrus; Other",116,52.89,897.96,258.32,12136.83,28.95,0,0,50.3,0.62,0.16,152.53,5330.36,0,5.33,7.38,0,0,0.17,0,6.89,16.4,0.11,84.47,126.29,140.23,0,0,68.65,0.42,5.74
"24","Ecuador","Fruit, fresh nes",0.107099201828105,17084358,233923000,"Production_kg",619,"Fresh fruit; nes",147,1150.66,19525.97,9738.09,246395.09,498.64,0.63,0.19,685.8,46.63,3.21,3561.45,44397.52,1.44,142.72,534.9,0.8,0.73,12.79,1.14,892.69,408,2.68,1564.84,1078.17,1490.12,0,0,967.74,11.66,355.84
"25","Ecuador","Fruit, tropical fresh nes",0.1073859375,17084358,28729000,"Production_kg",603,"Fruit; tropical fresh; nes",146,146.66,2317.11,1872.31,32516.19,168.2,0,0,50.69,2.74,0.59,393.26,4552.09,0.17,15.36,56.28,0.43,0.46,1.64,0.24,12.4,44.06,0.34,1166.71,2580.37,589.97,0,0,119.39,1.2,61.78
"26","Ecuador","Garlic",0.00732,17084358,1349000,"Production_kg",406,"Garlic",90,131.58,5480.98,270.01,27557.24,14.33,0,0,55.45,1.5,1.26,476.25,1712.44,0.52,18.79,218.77,0.15,0,0.58,1.09,25.03,42.07,1.44,96.54,11.33,258.35,0,0,70.56,1.56,14.02
"27","Ecuador","Grapefruit (inc. pomelos)",0.15,17084358,4732000,"Production_kg",507,"Grapefruit",115,6.68,130.05,28.07,1482.9,7.27,0,0,3.43,0,0,35.11,186.7,0,1.35,3.85,0,0,0,0,1.42,1.42,0,2.22,2.12,4.06,0,0,16.53,0,8.26
"28","Ecuador","Grapes",0.1235,17084358,522000,"Production_kg",560,"Grapes",122,1.52,13.28,5.86,361.36,0.13,0,0,0.37,0,0,4.48,52.31,0,0,0.5,0,0,0,0,0.14,0.67,0,2.95,0.34,2.31,0,0,2.06,0,0.35
"29","Ecuador","Groundnuts, with shell",0.028,17084358,24823000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,2847.06,122274.65,227835.22,88356.37,7.37,0,0.6,310.84,18.33,14.45,3613.96,43118.05,5.64,53.24,2027.12,3.96,0.88,74.37,2.8,717.4,973.13,7.61,32582.77,126750.57,80733.05,0,0,43.81,14.19,0
"30","Ecuador","Lemons and limes",0.0785,17084358,19672000,"Production_kg",497,"Lemons; Limes",114,55.34,1111.95,612.44,12191.46,60.4,0,0,55.49,0.85,0.28,307.73,1950.89,0.28,6.66,28.78,0,0,0.66,0,7.48,14.67,0,49.38,19.56,99.74,0,0,130.75,0.54,51.34
"31","Ecuador","Lentils",0.0454634146341463,17084358,3046000,"Production_kg",201,"Lentils",36,128.75,9060.98,410.06,22007.83,0.67,0,0.11,27.03,3.67,1.14,327.07,4519.71,0.46,4.5,127.97,0.15,0,0.86,0.24,77.53,30.07,0.47,55.69,69.22,171.77,0,0,4.51,1.06,0
"32","Ecuador","Lettuce and chicory",0.0865961538461538,17084358,18238000,"Production_kg",372,"Lettuce and chicory",81,21.3,1767.17,305.95,3440.31,13.68,0.22,0,65.49,1.43,0.5,316.52,2183.75,0,31.24,83.18,0,0,0.51,0.1,39.76,16.82,0.29,45,9.14,103.45,0,0,115.35,1.29,20.96
"33","Ecuador","Linseed",0.0178426203877423,17084358,62000,"Production_kg",333,"Oilcrops; Other",62,10.61,388.89,790.91,553.55,0,0,0,6.89,0.35,0,14.64,251.19,0,0.67,11.23,0,0,0,0,0.89,6.77,0,89.4,204.66,537.01,0,0,0.12,0,0.47
"34","Ecuador","Lupins",0.042,17084358,1358000,"Production_kg",210,"Lupins",39,70.21,5595.85,2255.31,7640.3,0.52,0,0,19.93,0.93,0.9,191.72,3576.96,0.19,2.84,82.9,0,0,0.49,0,0,37.47,0.45,218.78,745.67,461.6,0,0,1.53,0.6,0
"35","Ecuador","Maize",0.0869363057324841,17084358,1479770000,"Production_kg",56,"Maize",4,35204.6,861098.84,341021.87,7190569.05,68.32,2.2,2.32,2078.82,324.2,178.78,29351.82,515977.74,17.98,931.1,21808.1,26.57,11.8,256.99,35.31,0,10926.3,24.16,58956.63,128299.79,240683.52,0,0,1241.5,125.06,0
