"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","El Salvador","Apples",0.121111111111111,6420746,16590000,"Import_kg",515,"Apples",119,119.76,662.25,628.47,27915.84,30.97,0,0,16.53,1.5,0.14,219.44,3022.35,0,12.43,23.16,0,0,0.4,0,346.04,9.96,0,83.2,18.13,139.74,0,0,180.28,0.55,21.33
"2","El Salvador","Avocados",0.048,6420746,13225000,"Import_kg",572,"Avocados",141,625.11,6902,60451.15,18623.39,54.89,0.15,0.25,88.24,4.12,2.07,2188.62,18809.34,0.91,28.31,728.41,0.27,0.6,5.94,1.31,60.93,129.81,0.61,10262.17,34081.01,7140.4,0,0,329.96,5.04,163.06
"3","El Salvador","Bananas",0.04075,6420746,70010000,"Import_kg",486,"Bananas",117,2695.49,32530.54,6221.14,624636.8,284.87,0.98,0.5,263.61,21.38,4.42,9092.23,41839.14,2.47,169.83,678.67,1.43,1.35,22.78,9.34,262.22,758.13,7.22,2970.09,695.7,1511.8,0,0,1949.11,22.18,949.89
"4","El Salvador","Beans, dry",0.1145,6420746,27601000,"Import_kg",176,"Beans",30,1237.12,79938.01,5154.43,217755.25,6.81,0,1.53,525.3,27.38,10.96,4389.88,46563.99,3.27,58.64,1452.01,1.7,0.83,7.5,1.46,414.48,649.09,4.89,1160.51,515.32,1785.4,0,0,44.02,14.34,0
"5","El Salvador","Cabbages and other brassicas",0.08324,6420746,64361000,"Import_kg",358,"Cabbages and other brassicas",78,323.52,27349.78,3670.32,52776.12,738.48,2.78,0.75,1477.81,20.84,4.11,3438.77,26575.85,1.86,473.34,849.01,0.73,1.24,9.33,2.17,296.91,294.03,3.05,413.14,215.83,1057.86,0,0,1093.96,13.32,332.36
"6","El Salvador","Cashew nuts, with shell",0.0289438420348059,6420746,56000,"Import_kg",217,"Cashew nuts; with shell",43,16.4,553.68,1268.21,728.66,0,0,0,1.21,0.18,0.16,19.6,80.15,0,2.79,14.18,0,0,0,0,0,9.12,0,234.53,717.08,236.4,0,0,0.3,0,0.84
"7","El Salvador","Chillies and peppers, green",0.0664142191142191,6420746,12292000,"Import_kg",401,"Chillies and peppers; green",88,112.97,5132.32,1915.61,19912.23,332.41,0.36,0,79.68,4.68,0.9,812.66,9266.42,0.45,20.45,293.67,0.36,0.35,3.42,1.02,23.28,103.99,0.68,120.2,51.43,525.99,0,0,254.44,2.55,47.72
"8","El Salvador","Cocoa, beans",0.0115,6420746,1007000,"Import_kg",661,"Cocoa Beans",153,310.94,22006.05,56395.27,78963.19,0,0,0,146.28,6.92,9.29,1368.56,50460.07,5.17,11.25,799.84,0.23,0.27,2.52,0.16,16.37,680.53,5.23,31390.94,21673.96,1172.86,0,0,5.29,5.43,0
"9","El Salvador","Coconuts",0.04,6420746,3874000,"Import_kg",249,"Coconuts - Incl Copra",58,478.91,5060.76,42452.61,18980.09,3.62,0,0,28.15,4.33,2.49,493.12,9737.51,0.77,31.95,158.75,0,0,1.02,0,18.25,43.72,5.66,45023.98,4016.09,1030.23,0,0,79.99,1.54,62.6
"10","El Salvador","Coffee, green",0.00312,6420746,141000,"Import_kg",656,"Coffee",152,130.41,7956.62,10499.88,25479.31,0.7,0,0,72.53,2.43,0.37,1566.66,0,0.15,25.03,200.06,0.1,0.35,7.8,0,30.31,131.51,0.27,23.32,174.89,11.66,0,0,3.7,4.08,0
