"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Finland","Alfalfa meal and pellets",0.0651708222811671,5522576,191000,"Import_kg",862,"Mixed grain",12,18.48,606.64,131.61,3910.94,0,0,0,1.3,0.18,0.14,18.29,560.76,0,0.29,16.77,0,0,0.23,0,1.73,6.29,0.14,23.32,28.26,55.34,0,0,0.57,0,0
"2","Finland","Almonds shelled",0.0296505238073522,5522576,967000,"Import_kg",231,"Almonds; with shell",45,351.61,12525.44,30210.03,10663.26,6.14,0,0,143.33,1.84,2.14,464.96,4281.45,0.6,2.85,285.06,0.13,0.45,2.31,0,30.77,189.86,1.23,2333.24,19945.93,6888.4,0,0,2.94,1.73,38.39
"3","Finland","Almonds, with shell",0.0296505238073522,5522576,32000,"Import_kg",221,"Almonds; with shell",45,11.64,414.49,999.71,352.87,0.2,0,0,4.74,0,0,15.39,141.68,0,0,9.43,0,0,0,0,1.02,6.28,0,77.21,660.05,227.95,0,0,0,0,1.27
"4","Finland","Anise, badian, fennel, coriander",0.00195,5522576,157000,"Import_kg",711,"Anise; badian; fennel; coriander",161,506.74,23054.03,20892.71,68130.62,15.23,0,0,1185.66,46.79,6.76,2162.77,34811.06,1.37,107.88,670.76,0.48,0.44,4.49,0.73,798.7,459.23,3.98,1227.83,15872,3831.61,0,0,14.52,9.81,0
"5","Finland","Apples",0.121111111111111,5522576,42125000,"Import_kg",515,"Apples",119,353.55,1955.06,1855.34,82411.53,91.44,0,0,48.81,4.42,0.4,647.81,8922.4,0.18,36.69,68.38,0.29,0.18,1.18,0.25,1021.56,29.39,0.22,245.63,53.53,412.53,0,0,532.22,1.62,62.98
"6","Finland","Apricots",0.03995,5522576,732000,"Import_kg",526,"Apricots",125,16.39,331.78,84.84,3777,2.22,0,0,5.64,0.26,0,96.77,453.44,0,0.44,7.91,0,0,0.26,0,0.93,3.32,0,9.46,56.4,26.04,0,0,28.4,0.26,2.82
"7","Finland","Apricots, dry",0.03995,5522576,289000,"Import_kg",527,"Apricots",125,6.47,130.99,33.5,1491.19,0.88,0,0,2.23,0.1,0,38.21,179.02,0,0.17,3.12,0,0,0.1,0,0.37,1.31,0,3.73,22.27,10.28,0,0,11.21,0.1,1.11
"8","Finland","Artichokes",0.1,5522576,16000,"Import_kg",366,"Artichokes",79,0.16,7.58,0.51,33.61,0,0,0,0.24,0,0,0.99,7.15,0,0.31,0.28,0,0,0,0,0,0.17,0,0.12,0,0.18,0,0,0.25,0,0.17
"9","Finland","Asparagus",0.0845294117647059,5522576,1367000,"Import_kg",367,"Asparagus",80,5.93,631.68,59.4,891.67,6.35,0,0,6.15,0.32,0.16,63.47,712.56,0,1.35,24.55,0,0,0.26,0,4.69,4.1,0,13.18,1.46,20.5,0,0,27.18,0.19,13.76
"10","Finland","Avocados",0.048,5522576,7767000,"Import_kg",572,"Avocados",141,426.84,4712.77,41276.8,12716.28,37.48,0,0.17,60.25,2.81,1.41,1494.41,12843.25,0.62,19.33,497.37,0.18,0.41,4.06,0.89,41.61,88.63,0.42,7007.14,23270.94,4875.55,0,0,225.3,3.44,111.34
