"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Grenada","Alfalfa meal and pellets",0.0651708222811671,111454,31000,"Import_kg",862,"Mixed grain",12,148.62,4878.7,1058.44,31452.56,0,0,0,10.49,1.42,1.11,147.09,4509.73,0.2,2.33,134.89,0.17,0,1.83,0.13,13.93,50.59,1.1,187.51,227.25,445.02,0,0,4.59,0.7,0
"2","Grenada","Anise, badian, fennel, coriander",0.00195,111454,1000,"Import_kg",711,"Anise; badian; fennel; coriander",161,159.93,7276.01,6593.88,21502.49,4.81,0,0,374.2,14.77,2.13,682.59,10986.61,0.43,34.05,211.7,0.15,0.14,1.42,0.23,252.08,144.94,1.26,387.51,5009.31,1209.28,0,0,4.58,3.1,0
"3","Grenada","Apples",0.121111111111111,111454,154000,"Import_kg",515,"Apples",119,64.04,354.15,336.09,14928.45,16.56,0,0,8.84,0.8,0,117.35,1616.25,0,6.65,12.39,0,0,0.21,0,185.05,5.32,0,44.49,9.7,74.73,0,0,96.41,0.29,11.41
"4","Grenada","Apricots",0.03995,111454,28000,"Import_kg",526,"Apricots",125,31.07,628.85,160.81,7158.8,4.2,0,0,10.69,0.5,0.14,183.41,859.43,0,0.83,14.99,0,0,0.49,0,1.76,6.29,0,17.92,106.9,49.36,0,0,53.83,0.5,5.35
"5","Grenada","Artichokes",0.1,111454,14000,"Import_kg",366,"Artichokes",79,6.97,328.73,21.98,1457.42,1.04,0,0,10.46,0.17,0,43,309.84,0,13.33,12.31,0,0,0,0,4.32,7.54,0,5.4,0.94,7.79,0,0,10.83,0.16,7.54
"6","Grenada","Asparagus",0.0845294117647059,111454,1000,"Import_kg",367,"Asparagus",80,0.21,22.9,2.15,32.32,0.23,0,0,0.22,0,0,2.3,25.83,0,0,0.89,0,0,0,0,0.17,0.15,0,0.48,0,0.74,0,0,0.99,0,0.5
"7","Grenada","Avocados",0.048,111454,2000,"Import_kg",572,"Avocados",141,5.45,60.13,526.66,162.25,0.48,0,0,0.77,0,0,19.07,163.87,0,0.25,6.35,0,0,0,0,0.53,1.13,0,89.41,296.92,62.21,0,0,2.87,0,1.42
"8","Grenada","Bananas",0.04075,111454,3000,"Import_kg",486,"Bananas",117,6.65,80.3,15.36,1541.98,0.7,0,0,0.65,0,0,22.45,103.28,0,0.42,1.68,0,0,0,0,0.65,1.87,0,7.33,1.72,3.73,0,0,4.81,0,2.34
"9","Grenada","Beans, dry",0.1145,111454,34000,"Import_kg",176,"Beans",30,87.79,5672.8,365.78,15452.99,0.48,0,0.11,37.28,1.94,0.78,311.53,3304.41,0.23,4.16,103.04,0.12,0,0.53,0.1,29.41,46.06,0.35,82.36,36.57,126.7,0,0,3.12,1.02,0
"10","Grenada","Bran, wheat",0.0374838709677419,111454,203000,"Import_kg",17,"Wheat Flour",222,1678.9,55743.19,7350.33,345711.16,0.91,0,0.12,194.31,13.23,6.24,835.77,6381.62,0.48,156.85,899.01,1.7,0.64,11.12,0.59,50.53,220.28,4.09,753.16,422.74,2006.81,0,0,56.28,4.64,0
"11","Grenada","Cabbages and other brassicas",0.08324,111454,1000,"Import_kg",358,"Cabbages and other brassicas",78,0.29,24.48,3.29,47.24,0.66,0,0,1.32,0,0,3.08,23.79,0,0.42,0.76,0,0,0,0,0.27,0.26,0,0.37,0.19,0.95,0,0,0.98,0,0.3
"12","Grenada","Cake, soybeans",0.014,111454,3016000,"Import_kg",238,"Soyabean Oil",63,172826.13,0,19307672.51,1610.74,0,0,0,300.67,55.84,63.14,0,0,0,300.67,6.9,0,0,0,0,38.66,0,0,5115344.08,4521255.85,8755007.78,0,0,1.76,0,0
