"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Guatemala","Anise, badian, fennel, coriander",0.00195,17247849,2326000,"Production_kg",711,"Anise; badian; fennel; coriander",161,2403.8,109361.28,99108.66,323190.94,72.27,0.16,0,5624.4,221.95,32.07,10259.54,165133.07,6.49,511.77,3181.88,2.27,2.09,21.29,3.46,3788.8,2178.47,18.86,5824.46,75291.92,18176.01,0,0,68.89,46.56,0
"2","Guatemala","Apples",0.121111111111111,17247849,25226000,"Production_kg",515,"Apples",119,67.79,374.86,355.74,15801.68,17.53,0,0,9.36,0.85,0,124.21,1710.79,0,7.03,13.11,0,0,0.23,0,195.88,5.64,0,47.1,10.26,79.1,0,0,102.05,0.31,12.08
"3","Guatemala","Avocados",0.048,17247849,137204000,"Production_kg",572,"Avocados",141,2414.24,26656.1,233467.39,71925.08,212,0.56,0.96,340.8,15.92,8,8452.62,72643.22,3.5,109.32,2813.2,1.04,2.32,22.95,5.06,235.33,501.32,2.35,39633.37,131623.72,27576.8,0,0,1274.32,19.45,629.76
"4","Guatemala","Bananas",0.04075,17247849,4341564000,"Production_kg",486,"Bananas",117,62226.42,750979.24,143617.25,14419966.22,6576.39,22.69,11.53,6085.57,493.45,101.92,209897.38,965871.64,56.98,3920.52,15667.34,33.03,31.24,525.95,215.58,6053.54,17501.74,166.78,68565.66,16060.42,34900.54,0,0,44995.85,512.01,21928.66
"5","Guatemala","Barley",0.04775,17247849,29000,"Production_kg",44,"Barley",3,1.21,32.2,4.9,262.53,0,0,0,0.2,0,0,0.91,29.17,0,0,1.03,0,0,0,0,0.13,0.27,0,1.28,0.78,2.94,0,0,0,0,0
"6","Guatemala","Beans, dry",0.1145,17247849,263432000,"Production_kg",176,"Beans",30,4395.49,284019.12,18313.65,773682.73,24.2,0,5.45,1866.37,97.27,38.96,15597.23,165441.49,11.63,208.36,5158.98,6.03,2.94,26.66,5.17,1472.64,2306.23,17.37,4123.28,1830.92,6343.51,0,0,156.39,50.96,0
"7","Guatemala","Beans, green",0.0843965476190476,17247849,36656000,"Production_kg",414,"Beans; green",92,120.14,11482.24,1370.96,18842.6,57.71,0,0.16,158.54,5.47,1.17,732.95,5642.42,0.13,41.76,268.45,0.32,2.51,2.2,0.35,20.4,75.55,0.22,122.55,46.17,236.71,0,0,209.3,2.86,31.23
"8","Guatemala","Broad beans, horse beans, dry",0.052,17247849,31530000,"Production_kg",181,"Broad beans; horse beans; dry",32,1175.93,84363.91,5583.77,193346.01,9.57,0,1.49,348.37,28.39,12.28,4194.68,68083.29,2.89,64.1,1341.06,1.36,1.02,9.26,1.29,336.78,673.22,5.72,885.9,1059.92,2121.6,0,0,36.65,10.56,94.92
"9","Guatemala","Cabbages and other brassicas",0.08324,17247849,75029000,"Production_kg",358,"Cabbages and other brassicas",78,140.4,11868.91,1592.8,22903.11,320.48,1.2,0.33,641.32,9.04,1.78,1492.31,11533.05,0.81,205.42,368.44,0.32,0.54,4.05,0.94,128.85,127.6,1.32,179.29,93.66,459.08,0,0,474.74,5.78,144.24
"10","Guatemala","Carrots and turnips",0.0830718954248366,17247849,101633000,"Production_kg",426,"Carrots and turnips",96,214.46,9288.23,1660.9,41615.24,194.18,4.32,0.15,470.52,11,1.83,2064.37,14404.38,0.42,334.83,845.01,0.36,0.66,5.5,1.29,741.95,86.3,1.01,229.35,104.03,536.72,0,0,633.06,8.9,163.14
