"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Guinea-Bissau","Apples",0.121111111111111,1874303,253000,"Import_kg",515,"Apples",119,6.26,34.6,32.83,1458.38,1.62,0,0,0.86,0,0,11.46,157.89,0,0.65,1.21,0,0,0,0,18.08,0.52,0,4.35,0.95,7.3,0,0,9.42,0,1.11
"2","Guinea-Bissau","Beans, dry",0.1145,1874303,28000,"Import_kg",176,"Beans",30,4.3,277.8,17.91,756.74,0,0,0,1.83,0,0,15.26,161.82,0,0.2,5.05,0,0,0,0,1.44,2.26,0,4.03,1.79,6.2,0,0,0.15,0,0
"3","Guinea-Bissau","Cabbages and other brassicas",0.08324,1874303,14000,"Import_kg",358,"Cabbages and other brassicas",78,0.24,20.38,2.73,39.33,0.55,0,0,1.1,0,0,2.56,19.8,0,0.35,0.63,0,0,0,0,0.22,0.22,0,0.31,0.16,0.79,0,0,0.82,0,0.25
"4","Guinea-Bissau","Carrots and turnips",0.0830718954248366,1874303,8000,"Import_kg",426,"Carrots and turnips",96,0.16,6.73,1.2,30.14,0.14,0,0,0.34,0,0,1.5,10.43,0,0.24,0.61,0,0,0,0,0.54,0,0,0.17,0,0.39,0,0,0.46,0,0.12
"5","Guinea-Bissau","Chestnut",0.059,1874303,1000,"Import_kg",220,"Chestnuts",44,0.24,4.61,2.64,47.09,0,0,0,0,0,0,0.59,11.12,0,0,0.11,0,0,0,0,0,0,0,0.76,1.39,1.59,0,0,0,0,0
"6","Guinea-Bissau","Chick peas",0.04575,1874303,36000,"Import_kg",191,"Chick peas",33,14.79,816.31,211.34,2448.28,0,0,0,5.72,0.29,0.14,33.96,320.47,0,0.84,13.03,0,0,0,0,6.16,4.16,0.47,25.88,57.24,111.7,0,0,0.44,0.12,0
"7","Guinea-Bissau","Chillies and peppers, green",0.0664142191142191,1874303,1000,"Import_kg",401,"Chillies and peppers; green",88,0,1.43,0.53,5.55,0,0,0,0,0,0,0.23,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
"8","Guinea-Bissau","Cinnamon (cannella)",0.00115555555555556,1874303,1000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Guinea-Bissau","Coconuts",0.04,1874303,2000,"Import_kg",249,"Coconuts - Incl Copra",58,0.85,8.95,75.08,33.57,0,0,0,0,0,0,0.87,17.22,0,0,0.28,0,0,0,0,0,0,0,79.63,7.1,1.82,0,0,0.14,0,0.11
"10","Guinea-Bissau","Coffee, green",0.00312,1874303,3000,"Import_kg",656,"Coffee",152,9.51,579.93,765.3,1857.1,0,0,0,5.29,0.18,0,114.19,0,0,1.82,14.58,0,0,0.57,0,2.21,9.59,0,1.7,12.75,0.85,0,0,0.27,0.3,0
"11","Guinea-Bissau","Cucumbers and gherkins",0.0675,1874303,3000,"Import_kg",397,"Cucumbers and gherkins",86,0,1.53,0.28,6,0,0,0,0,0,0,0.34,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0
"12","Guinea-Bissau","Dates",0.0393863636363636,1874303,6000,"Import_kg",577,"Dates",121,1.62,14.28,2.39,414.19,0,0,0,0.34,0,0,4.91,40.15,0,0,0.65,0,0,0,0,0,0.33,0,0.13,0.15,0,0,0,0.31,0,0.14
"13","Guinea-Bissau","Grapes",0.1235,1874303,6000,"Import_kg",560,"Grapes",122,0.16,1.39,0.61,37.86,0,0,0,0,0,0,0.47,5.48,0,0,0,0,0,0,0,0,0,0,0.31,0,0.24,0,0,0.22,0,0
"14","Guinea-Bissau","Kiwi fruit",0.145,1874303,1000,"Import_kg",592,"Kiwi fruit",144,0,0.39,0.25,5.06,0,0,0,0,0,0,0.12,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Guinea-Bissau","Maize",0.0869363057324841,1874303,2000,"Import_kg",56,"Maize",4,0.43,10.61,4.2,88.58,0,0,0,0,0,0,0.36,6.36,0,0,0.27,0,0,0,0,0,0.13,0,0.73,1.58,2.97,0,0,0,0,0
