"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Haiti","Avocados",0.048,11123178,231719000,"Production_kg",572,"Avocados",141,6322.39,69806.78,611402.43,188356.78,555.19,1.47,2.52,892.49,41.7,20.94,22135.64,190237.45,9.16,286.29,7367.18,2.74,6.08,60.1,13.24,616.28,1312.86,6.16,103791.53,344695.07,72217.9,0,0,3337.18,50.93,1649.21
"2","Haiti","Bananas",0.04075,11123178,252442000,"Production_kg",486,"Bananas",117,5610.43,67709.47,12948.76,1300126.77,592.94,2.05,1.04,548.68,44.49,9.19,18924.68,87084.5,5.14,353.48,1412.59,2.98,2.82,47.42,19.44,545.8,1577.98,15.04,6181.99,1448.03,3146.69,0,0,4056.9,46.16,1977.12
"3","Haiti","Beans, dry",0.1145,11123178,123001000,"Production_kg/Import_kg",176,"Beans",30,3182.39,205633.44,13259.31,560156.1,17.52,0,3.95,1351.28,70.42,28.2,11292.59,119781.74,8.42,150.85,3735.17,4.36,2.13,19.3,3.74,1066.21,1669.74,12.58,2985.31,1325.61,4592.78,0,0,113.22,36.9,0
"4","Haiti","Cabbages and other brassicas",0.08324,11123178,18453000,"Production_kg",358,"Cabbages and other brassicas",78,53.54,4526.42,607.44,8734.5,122.22,0.46,0.12,244.58,3.45,0.68,569.12,4398.33,0.31,78.34,140.51,0.12,0.2,1.54,0.36,49.14,48.66,0.51,68.38,35.72,175.08,0,0,181.05,2.2,55.01
"5","Haiti","Cassava",0.108277777777778,11123178,507856000,"Production_kg",125,"Cassava",17,5864.88,77053.1,20015.25,1309019.74,1357.78,0.43,1.08,1643.93,51.34,14.34,15854.78,62407.11,4.22,387.94,1661.76,2.62,2.35,24.19,3.71,999.36,885.51,16.19,3668.53,3689.61,1855.35,0,0,2649.27,59.27,885.51
"6","Haiti","Castor oil seed",0.0178426203877423,11123178,1546000,"Production_kg",265,"Oilcrops Oil; Other",75,687.6,97.25,70810.48,42.29,0,0,0,1.34,0.15,0,1.4,0,0,0.36,1.34,0,0,0,0,3.35,0.29,0,17621.05,28702.4,25570.7,0,0,6.18,0.14,0
"7","Haiti","Chicory roots",0.0013,11123178,2e+05,"Production_kg",459,"Chicory roots",100,99.58,1936.36,276.62,24218.31,6.92,0,0,56.71,1.11,0.46,401.1,2074.67,0.11,69.16,84.37,0,0,0.55,0.33,0,30.43,0.32,66.39,5.53,120.33,0,0,110.65,1.23,24.9
"8","Haiti","Cocoa, beans",0.0115,11123178,16876000,"Production_kg",661,"Cocoa Beans",153,3008,212881.87,545555.96,763873.34,0,0,0.42,1415.08,66.94,89.84,13239.15,488140.13,49.97,108.84,7737.48,2.24,2.61,24.36,1.56,158.32,6583.3,50.62,303669.34,209669.38,11345.96,0,0,51.19,52.48,0
"9","Haiti","Coconuts",0.04,11123178,28082000,"Production_kg",249,"Coconuts - Incl Copra",58,2003.93,21175.85,177635.35,79418.81,15.14,0,0.12,117.8,18.11,10.41,2063.37,40744.86,3.23,133.69,664.26,0.4,0.2,4.27,0.26,76.37,182.93,23.67,188394.81,16804.62,4310.82,0,0,334.72,6.46,261.93
"10","Haiti","Coffee, green",0.00312,11123178,20700000,"Production_kg",656,"Coffee",152,11051.5,674273.83,889799.94,2159212.74,59.65,0.24,1.03,6146.2,206.09,31.65,132764.3,0,12.32,2121.34,16953.5,8.59,29.8,661.36,1.39,2568.93,11144.85,22.73,1976.1,14820.73,988.05,0,0,313.29,345.77,0
"11","Haiti","Cow peas, dry",0.0623254069051863,11123178,30741000,"Production_kg",195,"Cow peas; dry",34,1467.75,96077.7,6561.23,249603.07,4.25,0,1.79,428.33,34.28,18.6,4422.25,47040.41,3.85,114.32,1800.49,2.39,0.68,12.05,1.57,657.83,899.65,5.6,1467.75,470.03,2403.38,0,0,51.72,15.56,0
"12","Haiti","Eggplants (aubergines)",0.082,11123178,858000,"Production_kg",399,"Eggplants (aubergines)",87,2.57,108.58,68.07,497.68,0.62,0,0,1.61,0,0,18.89,194.99,0,0.5,4.12,0,0,0.12,0,2.77,1.21,0,2.54,1.22,5.46,0,0,8.63,0.11,1.93
"13","Haiti","Fruit, fresh nes",0.107099201828105,11123178,67399000,"Production_kg",619,"Fresh fruit; nes",147,509.21,8640.98,4309.47,109039.12,220.67,0.28,0,303.49,20.64,1.42,1576.07,19647.58,0.64,63.16,236.71,0.35,0.32,5.66,0.51,395.05,180.55,1.19,692.5,477.13,659.43,0,0,428.26,5.16,157.47
"14","Haiti","Fruit, tropical fresh nes",0.1073859375,11123178,2855000,"Production_kg",603,"Fruit; tropical fresh; nes",146,22.39,353.67,285.78,4963.12,25.67,0,0,7.74,0.42,0,60.03,694.81,0,2.34,8.59,0,0,0.25,0,1.89,6.72,0,178.08,393.86,90.05,0,0,18.22,0.18,9.43
"15","Haiti","Garlic",0.00732,11123178,15487000,"Production_kg/Import_kg",406,"Garlic",90,2320.13,96645.83,4761.04,485915.62,252.69,0,0,977.67,26.44,22.17,8397.66,30195.42,9.18,331.34,3857.51,2.68,1.53,10.19,19.26,441.28,741.81,25.41,1702.36,199.72,4555.47,0,0,1244.11,27.57,247.27
