"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Honduras","Alfalfa meal and pellets",0.0651708222811671,9587522,219000,"Import_kg",862,"Mixed grain",12,12.21,400.66,86.92,2583.02,0,0,0,0.86,0.12,0,12.08,370.36,0,0.19,11.08,0,0,0.15,0,1.14,4.15,0,15.4,18.66,36.55,0,0,0.38,0,0
"2","Honduras","Almonds shelled",0.0296505238073522,9587522,77000,"Import_kg",231,"Almonds; with shell",45,16.13,574.5,1385.64,489.09,0.28,0,0,6.57,0,0,21.33,196.38,0,0.13,13.07,0,0,0.11,0,1.41,8.71,0,107.02,914.86,315.95,0,0,0.13,0,1.76
"3","Honduras","Almonds, with shell",0.0296505238073522,9587522,50000,"Import_kg",221,"Almonds; with shell",45,10.47,373.05,899.77,317.59,0.18,0,0,4.27,0,0,13.85,127.52,0,0,8.49,0,0,0,0,0.92,5.65,0,69.49,594.06,205.16,0,0,0,0,1.14
"4","Honduras","Anise, badian, fennel, coriander",0.00195,9587522,721000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1340.46,60984.25,55266.98,180224.28,40.3,0,0,3136.39,123.77,17.88,5721.13,92084.85,3.62,285.38,1774.34,1.26,1.17,11.87,1.93,2112.79,1214.8,10.52,3247.95,41985.81,10135.68,0,0,38.42,25.96,0
"5","Honduras","Apples",0.121111111111111,9587522,12809000,"Import_kg",515,"Apples",119,61.92,342.43,324.96,14434.4,16.02,0,0,8.55,0.77,0,113.46,1562.76,0,6.43,11.98,0,0,0.21,0,178.93,5.15,0,43.02,9.38,72.25,0,0,93.22,0.28,11.03
"6","Honduras","Avocados",0.048,9587522,10958000,"Import_kg",572,"Avocados",141,346.88,3829.92,33544.35,10334.12,30.46,0,0.14,48.97,2.29,1.15,1214.46,10437.3,0.5,15.71,404.2,0.15,0.33,3.3,0.73,33.81,72.03,0.34,5694.48,18911.55,3962.21,0,0,183.09,2.79,90.48
"7","Honduras","Bananas",0.04075,9587522,70292000,"Import_kg",486,"Bananas",117,1812.44,21873.39,4183.07,420003.11,191.55,0.66,0.34,177.25,14.37,2.97,6113.58,28132.46,1.66,114.19,456.33,0.96,0.91,15.32,6.28,176.32,509.76,4.86,1997.08,467.78,1016.53,0,0,1310.57,14.91,638.7
"8","Honduras","Beans, dry",0.1145,9587522,15507000,"Import_kg",176,"Beans",30,465.47,30077.06,1939.38,81931.47,2.56,0,0.58,197.65,10.3,4.13,1651.72,17519.93,1.23,22.06,546.33,0.64,0.31,2.82,0.55,155.95,244.23,1.84,436.65,193.89,671.76,0,0,16.56,5.4,0
"9","Honduras","Beans, green",0.0843965476190476,9587522,71000,"Import_kg",414,"Beans; green",92,0.42,40.01,4.78,65.66,0.2,0,0,0.55,0,0,2.55,19.66,0,0.15,0.94,0,0,0,0,0,0.26,0,0.43,0.16,0.82,0,0,0.73,0,0.11
"10","Honduras","Bran, wheat",0.0374838709677419,9587522,11214000,"Import_kg",17,"Wheat Flour",222,1078.15,35796.92,4720.2,222007.27,0.58,0,0,124.78,8.49,4,536.71,4098.12,0.31,100.73,577.33,1.09,0.41,7.14,0.38,32.45,141.46,2.62,483.66,271.47,1288.72,0,0,36.14,2.98,0
"11","Honduras","Brazil nuts, shelled",0.0297575757575758,9587522,2000,"Import_kg",229,"Brazil nuts; with shell",42,0.46,10.55,47.68,7.34,0,0,0,0.11,0,0,0.46,5.26,0,0,0.53,0,0,0,0,0,0.26,0,11.31,16.74,17.1,0,0,0,0,0
"12","Honduras","Broad beans, horse beans, dry",0.052,9587522,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,4.81,0.32,11.03,0,0,0,0,0,0,0.24,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0
"13","Honduras","Cabbages and other brassicas",0.08324,9587522,1414000,"Import_kg",358,"Cabbages and other brassicas",78,4.76,402.4,54,776.5,10.87,0,0,21.74,0.31,0,50.6,391.01,0,6.96,12.49,0,0,0.14,0,4.37,4.33,0,6.08,3.18,15.56,0,0,16.1,0.2,4.89
"14","Honduras","Cake, groundnuts",0.014,9587522,2375000,"Import_kg",245,"Groundnut Oil",64,1588.17,0,176916.02,0,0,0,0,5.31,1.31,0.22,0,0,0,1.55,0,0,0,0,0,0.18,0,0,30197.98,77441.31,60749.85,0,0,0,0,0
"15","Honduras","Cake, palm kernel",0.012,9587522,8371000,"Import_kg",259,"Palmkernel Oil",68,6410.11,0,727595.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,592989.95,82945.83,11641.52,0,0,0,0,0
"16","Honduras","Cake, soybeans",0.014,9587522,246932000,"Import_kg",238,"Soyabean Oil",63,164491.98,0,18376603.58,1533.07,0,0,0,286.17,53.15,60.1,0,0,0,286.17,6.57,0,0,0,0,36.79,0,0,4868668.16,4303228.49,8332817.28,0,0,1.67,0,0
"17","Honduras","Carrots and turnips",0.0830718954248366,9587522,7326000,"Import_kg",426,"Carrots and turnips",96,27.81,1204.46,215.38,5396.51,25.18,0.56,0,61.02,1.43,0.24,267.7,1867.91,0,43.42,109.58,0,0,0.71,0.17,96.21,11.19,0.13,29.74,13.49,69.6,0,0,82.09,1.15,21.16
"18","Honduras","Cashew nuts, shelled",0.0289438420348059,9587522,81000,"Import_kg",230,"Cashew nuts; with shell",43,15.89,536.34,1228.48,705.83,0,0,0,1.18,0.18,0.15,18.99,77.64,0,2.7,13.73,0,0,0,0,0,8.83,0,227.18,694.62,228.99,0,0,0.29,0,0.82
"19","Honduras","Cassava dried",0.108277777777778,9587522,10000,"Import_kg",128,"Cassava",17,0.13,1.76,0.46,29.9,0,0,0,0,0,0,0.36,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Honduras","Cauliflowers and broccoli",0.103835520801038,9587522,2653000,"Import_kg",393,"Cauliflowers and broccoli",84,7.64,825.49,86.17,1084.36,21.55,0.14,0,11.68,0.29,0.11,78.96,506.34,0,7.98,28.95,0,0,0.19,0,16.88,4.8,0,16.59,5,8.59,0,0,23.08,0.29,12.79
"21","Honduras","Cereal preparations nes",0.0486257263475995,9587522,4253000,"Import_kg",113,"Cereals; nes",13,317.7,11881.71,4198.82,67043.79,0.98,0,0,132.45,20.23,3.47,389.54,2880.16,0.74,7.12,347.23,0.33,0.24,1.33,0.44,11.95,167.86,8.43,409.61,537.33,977.04,0,0,9.96,3.58,0
"22","Honduras","Cherries",0.1289,9587522,10000,"Import_kg",531,"Cherries",127,0,0.88,0.14,8.43,0,0,0,0,0,0,0.2,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Honduras","Chillies and peppers, dry",4e-04,9587522,91000,"Import_kg",689,"Pimento",156,570.59,24316.89,21180.29,97376.44,178.99,1.61,0.13,492.29,17.32,6.27,4323.38,52725.3,1.57,1076.69,441.16,0.66,1.03,13.09,4.09,122.2,364.24,5.17,6288.12,4037.84,14629.57,0,0,66.51,14.2,0
"24","Honduras","Chillies and peppers, green",0.0664142191142191,9587522,33000,"Import_kg",401,"Chillies and peppers; green",88,0.2,9.23,3.44,35.8,0.6,0,0,0.14,0,0,1.46,16.66,0,0,0.53,0,0,0,0,0,0.19,0,0.22,0,0.95,0,0,0.46,0,0
"25","Honduras","Chocolate products nes",0.0115,9587522,5406000,"Import_kg",666,"Cocoa Beans",153,1117.91,79116.62,202753.49,283890.19,0,0,0.16,525.91,24.88,33.39,4920.27,181415.15,18.57,40.45,2875.6,0.83,0.97,9.05,0.58,58.84,2446.65,18.81,112857.38,77922.71,4216.68,0,0,19.02,19.5,0
"26","Honduras","Cider etc",0.0683571428571429,9587522,279000,"Import_kg",517,"Fruit juice; nes",149,2.12,10.57,5.77,517.84,3.19,0,0,0.43,0,0,4.6,12.12,0,0.33,0.35,0,0,0,0,0.12,0.32,0,1.07,1.45,2.64,0,0,3.75,0,0
"27","Honduras","Cinnamon (cannella)",0.00115555555555556,9587522,233000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Honduras","Cloves",0.0013,9587522,4000,"Import_kg",698,"Cloves",157,7.69,138.75,299.53,1449.85,0,0,0,17.99,0.28,0,32.73,688.39,0,8.89,2.61,0,0,0,0,1.2,8.31,1.93,126.83,44.71,115.73,0,0,1.07,0.14,0
"29","Honduras","Cocoa, beans",0.0115,9587522,3000,"Import_kg",661,"Cocoa Beans",153,0.62,43.9,112.52,157.54,0,0,0,0.29,0,0,2.73,100.67,0,0,1.6,0,0,0,0,0,1.36,0,62.63,43.24,2.34,0,0,0,0,0
"30","Honduras","Cocoa, butter",0.0115,9587522,6000,"Import_kg",664,"Cocoa Beans",153,1.24,87.81,225.03,315.08,0,0,0,0.58,0,0,5.46,201.35,0,0,3.19,0,0,0,0,0,2.72,0,125.26,86.48,4.68,0,0,0,0,0
"31","Honduras","Cocoa, powder & cake",0.0115,9587522,174000,"Import_kg",665,"Cocoa Beans",153,35.98,2546.48,6525.92,9137.42,0,0,0,16.93,0.8,1.07,158.37,5839.11,0.6,1.3,92.56,0,0,0.29,0,1.89,78.75,0.61,3632.48,2508.06,135.72,0,0,0.61,0.63,0
"32","Honduras","Coconuts",0.04,9587522,86000,"Import_kg",249,"Coconuts - Incl Copra",58,7.12,75.24,631.14,282.17,0,0,0,0.42,0,0,7.33,144.77,0,0.47,2.36,0,0,0,0,0.27,0.65,0,669.36,59.71,15.32,0,0,1.19,0,0.93
"33","Honduras","Coconuts, desiccated",0.04,9587522,28000,"Import_kg",250,"Coconuts - Incl Copra",58,2.32,24.5,205.49,91.87,0,0,0,0.14,0,0,2.39,47.13,0,0.15,0.77,0,0,0,0,0,0.21,0,217.93,19.44,4.99,0,0,0.39,0,0.3
"34","Honduras","Coffee, extracts",0.00312,9587522,606000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,729.31,27622.74,6563.82,158868.76,0,0,0.11,226.15,15.09,1.03,4949.2,47202.78,0.42,168.15,741.77,0.84,0.19,35.78,1.51,27.15,494.31,2.23,1221.6,721.21,2481.69,0,0,12.28,16.49,0
"35","Honduras","Coffee, green",0.00312,9587522,1e+05,"Import_kg",656,"Coffee",152,61.94,3779.1,4987.06,12101.73,0.33,0,0,34.45,1.16,0.18,744.1,0,0,11.89,95.02,0,0.17,3.71,0,14.4,62.46,0.13,11.08,83.07,5.54,0,0,1.76,1.94,0
"36","Honduras","Coffee, roasted",0.00312,9587522,15000,"Import_kg",657,"Coffee",152,9.29,566.87,748.06,1815.26,0,0,0,5.17,0.17,0,111.62,0,0,1.78,14.25,0,0,0.56,0,2.16,9.37,0,1.66,12.46,0.83,0,0,0.26,0.29,0
"37","Honduras","Coffee, substitutes containing coffee",0.00312,9587522,1691000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,2035.1,77079.3,18315.87,443311.99,0,0,0.29,631.05,42.12,2.88,13810.4,131716.01,1.18,469.2,2069.86,2.33,0.54,99.86,4.22,75.75,1379.34,6.22,3408.79,2012.48,6924.98,0,0,34.26,46.02,0
"38","Honduras","Cucumbers and gherkins",0.0675,9587522,189000,"Import_kg",397,"Cucumbers and gherkins",86,0.41,18.85,3.45,73.9,0.29,0,0,0.47,0,0,4.16,19.05,0,0.19,1.06,0,0,0,0,0.18,0.37,0,0.98,0,0.76,0,0,2.8,0,0.45
