"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Hungary","Almonds, with shell",0.0296505238073522,9707499,1000,"Import_kg",221,"Almonds; with shell",45,0.21,7.37,17.77,6.27,0,0,0,0,0,0,0.27,2.52,0,0,0.17,0,0,0,0,0,0.11,0,1.37,11.73,4.05,0,0,0,0,0
"2","Hungary","Anise, badian, fennel, coriander",0.00195,9707499,468000,"Import_kg",711,"Anise; badian; fennel; coriander",161,859.34,39095.55,35430.34,115537.48,25.84,0,0,2010.67,79.35,11.47,3667.68,59033.4,2.32,182.95,1137.49,0.81,0.75,7.61,1.24,1354.46,778.78,6.74,2082.18,26916.1,6497.74,0,0,24.63,16.64,0
"3","Hungary","Apples",0.121111111111111,9707499,42420000,"Import_kg",515,"Apples",119,202.54,1120.02,1062.89,47212.07,52.39,0,0,27.96,2.53,0.23,371.12,5111.48,0.1,21.02,39.17,0.16,0.1,0.68,0.15,585.23,16.84,0.13,140.72,30.67,236.33,0,0,304.9,0.93,36.08
"4","Hungary","Apricots",0.03995,9707499,1877000,"Import_kg",526,"Apricots",125,23.91,483.99,123.76,5509.79,3.23,0,0,8.23,0.38,0.11,141.16,661.46,0,0.64,11.54,0,0,0.38,0,1.36,4.84,0,13.79,82.28,37.99,0,0,41.43,0.38,4.11
"5","Hungary","Artichokes",0.1,9707499,3000,"Import_kg",366,"Artichokes",79,0,0.81,0,3.59,0,0,0,0,0,0,0.11,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Hungary","Asparagus",0.0845294117647059,9707499,213000,"Import_kg",367,"Asparagus",80,0.53,55.99,5.27,79.04,0.56,0,0,0.55,0,0,5.63,63.16,0,0.12,2.18,0,0,0,0,0.42,0.36,0,1.17,0.13,1.82,0,0,2.41,0,1.22
"7","Hungary","Avocados",0.048,9707499,4717000,"Import_kg",572,"Avocados",141,147.47,1628.26,14261.1,4393.46,12.95,0,0,20.82,0.97,0.49,516.32,4437.33,0.21,6.68,171.84,0,0.14,1.4,0.31,14.37,30.62,0.14,2420.96,8040.09,1684.5,0,0,77.84,1.19,38.47
"8","Hungary","Bananas",0.04075,9707499,41170000,"Import_kg",486,"Bananas",117,1048.42,12652.9,2419.74,242955.36,110.8,0.38,0.19,102.53,8.31,1.72,3536.46,16273.53,0.96,66.06,263.97,0.56,0.53,8.86,3.63,101.99,294.88,2.81,1155.23,270.59,588.02,0,0,758.11,8.63,369.47
"9","Hungary","Barley",0.04775,9707499,20713000,"Import_kg",44,"Barley",3,1537.8,40862.25,6218.28,333158.99,2.98,0,0,249.12,34.76,11.3,1150.64,37014.12,2.86,95.63,1306.92,1.18,0.58,23.89,1.29,168.91,347.05,6.35,1622.07,992.01,3726.73,0,0,52.47,8.19,0
"10","Hungary","Beans, dry",0.1145,9707499,12176000,"Import_kg",176,"Beans",30,360.97,23324.44,1503.97,63536.98,1.99,0,0.45,153.27,7.99,3.2,1280.89,13586.52,0.96,17.11,423.67,0.49,0.24,2.19,0.42,120.94,189.39,1.43,338.62,150.36,520.95,0,0,12.84,4.19,0
"11","Hungary","Beans, green",0.0843965476190476,9707499,68000,"Import_kg",414,"Beans; green",92,0.4,37.85,4.52,62.11,0.19,0,0,0.52,0,0,2.42,18.6,0,0.14,0.88,0,0,0,0,0,0.25,0,0.4,0.15,0.78,0,0,0.69,0,0.1
"12","Hungary","Broad beans, horse beans, dry",0.052,9707499,2902000,"Import_kg",181,"Broad beans; horse beans; dry",32,192.3,13796.14,913.12,31618.13,1.57,0,0.24,56.97,4.64,2.01,685.96,11133.75,0.47,10.48,219.3,0.22,0.17,1.51,0.21,55.07,110.09,0.93,144.87,173.33,346.95,0,0,5.99,1.73,15.52
"13","Hungary","Buckwheat",0.0421111111111111,9707499,284000,"Import_kg",89,"Buckwheat",9,22.91,739.02,187.58,4786.67,0,0,0,2.92,0.49,0.19,28.55,646.1,0,0.42,24.38,0,0,0.4,0,0,15.91,0,51.48,72.25,72.18,0,0,0.93,0.15,0
"14","Hungary","Cabbages and other brassicas",0.08324,9707499,11691000,"Import_kg",358,"Cabbages and other brassicas",78,38.87,3285.95,440.97,6340.81,88.73,0.33,0,177.55,2.5,0.49,413.15,3192.97,0.22,56.87,102,0,0.15,1.12,0.26,35.67,35.33,0.37,49.64,25.93,127.1,0,0,131.43,1.6,39.93
"15","Hungary","Carrots and turnips",0.0830718954248366,9707499,7905000,"Import_kg",426,"Carrots and turnips",96,29.64,1283.59,229.53,5751.05,26.83,0.6,0,65.02,1.52,0.25,285.29,1990.62,0,46.27,116.78,0,0,0.76,0.18,102.53,11.93,0.14,31.7,14.38,74.17,0,0,87.49,1.23,22.55
"16","Hungary","Cashew nuts, with shell",0.0289438420348059,9707499,1000,"Import_kg",217,"Cashew nuts; with shell",43,0.19,6.54,14.98,8.61,0,0,0,0,0,0,0.23,0.95,0,0,0.17,0,0,0,0,0,0.11,0,2.77,8.47,2.79,0,0,0,0,0
"17","Hungary","Cauliflowers and broccoli",0.103835520801038,9707499,10306000,"Import_kg",393,"Cauliflowers and broccoli",84,29.31,3167.12,330.59,4160.3,82.68,0.55,0,44.82,1.11,0.43,302.93,1942.63,0,30.6,111.05,0.11,0.11,0.73,0.18,64.75,18.4,0.19,63.65,19.17,32.97,0,0,88.56,1.1,49.08
"18","Hungary","Cherries",0.1289,9707499,2063000,"Import_kg",531,"Cherries",127,7.52,179.43,28.58,1716.84,2.06,0,0,4.55,0,0,40.97,173.11,0,0.25,3.86,0,0,0.11,0,1.01,1.81,0,6.27,7.75,8.57,0,0,13.58,0.11,1.32
"19","Hungary","Cherries, sour",0.028,9707499,4154000,"Import_kg",530,"Sour cherries",126,72.34,1681.1,407.54,17004.59,15.28,0,0,20.89,0.62,0.25,264.39,1833.93,0.16,8.41,25.22,0,0,0.61,0,9.32,13.75,0.17,103.92,125.32,137.54,0,0,132.98,0.61,16.81
"20","Hungary","Chestnut",0.059,9707499,1760000,"Import_kg",220,"Chestnuts",44,80.51,1566.17,896.27,16000.77,5.43,0,0,11.47,0.51,0.14,200.82,3779.71,0.2,5.73,38.87,0,0,0.33,0.2,0,22.74,0.4,257.2,471.7,540.22,0,0,10.43,0.63,6.15
"21","Hungary","Chick peas",0.04575,9707499,2044000,"Import_kg",191,"Chick peas",33,162.12,8948.8,2316.77,26839.35,0.97,0,0.17,62.76,3.19,1.59,372.33,3513.15,0.42,9.23,142.86,0.18,0,0.81,0.25,67.49,45.56,5.18,283.74,627.53,1224.46,0,0,4.83,1.37,0
"22","Hungary","Chillies and peppers, dry",4e-04,9707499,4433000,"Import_kg",689,"Pimento",156,27452.13,1169939.62,1019030.7,4684996.23,8611.8,77.5,6.25,23685.02,833.4,301.68,208007.39,2536731.14,75.32,51802.06,21225.35,31.87,49.72,629.84,196.79,5879.46,17524.22,248.61,302535.44,194269.61,703861.07,0,0,3199.84,683.16,0
"23","Hungary","Chillies and peppers, green",0.0664142191142191,9707499,13247000,"Import_kg",401,"Chillies and peppers; green",88,80.53,3658.37,1365.46,14193.61,236.95,0.26,0,56.8,3.34,0.64,579.27,6605.19,0.32,14.58,209.33,0.26,0.25,2.44,0.73,16.59,74.13,0.49,85.68,36.66,374.93,0,0,181.37,1.82,34.02
"24","Hungary","Cinnamon (cannella)",0.00115555555555556,9707499,225000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Hungary","Cloves",0.0013,9707499,28000,"Import_kg",698,"Cloves",157,53.18,959.24,2070.83,10023.55,0,0,0,124.4,1.91,0.51,226.31,4759.21,0,61.46,18.05,0,0,0.17,0,8.3,57.47,13.34,876.85,309.07,800.08,0,0,7.39,0.93,0
"26","Hungary","Cocoa, beans",0.0115,9707499,32000,"Import_kg",661,"Cocoa Beans",153,6.54,462.53,1185.34,1659.68,0,0,0,3.07,0.15,0.2,28.76,1060.59,0.11,0.24,16.81,0,0,0,0,0.34,14.3,0.11,659.79,455.55,24.65,0,0,0.11,0.11,0
"27","Hungary","Coconuts",0.04,9707499,267000,"Import_kg",249,"Coconuts - Incl Copra",58,21.83,230.7,1935.24,865.22,0.16,0,0,1.28,0.2,0.11,22.48,443.89,0,1.46,7.24,0,0,0,0,0.83,1.99,0.26,2052.46,183.08,46.96,0,0,3.65,0,2.85
"28","Hungary","Coffee, green",0.00312,9707499,3790000,"Import_kg",656,"Coffee",152,2318.52,141457.73,186673.54,452987.1,12.51,0,0.22,1289.43,43.24,6.64,27852.98,0,2.58,445.04,3556.72,1.8,6.25,138.75,0.29,538.94,2338.11,4.77,414.57,3109.28,207.29,0,0,65.73,72.54,0
"29","Hungary","Cucumbers and gherkins",0.0675,9707499,19981000,"Import_kg",397,"Cucumbers and gherkins",86,42.57,1967.72,360.54,7715.76,30.14,0,0,48.79,1.36,0.58,434.7,1989.33,0.16,20.24,110.6,0,0,0.58,0.12,18.3,38.12,0.24,102.15,7.62,79.28,0,0,292,1.27,47.26
"30","Hungary","Currants",0.038,9707499,22000,"Import_kg",550,"Currants",135,0.75,10.74,1.51,178.29,0.6,0,0,0.41,0,0,1.78,15.8,0,0,0.42,0,0,0,0,0,0.11,0,0.15,0.26,0.8,0,0,0.4,0,0
"31","Hungary","Dates",0.0393863636363636,9707499,1059000,"Import_kg",577,"Dates",121,55.06,486.79,81.36,14114.72,1.87,0,0,11.49,0.46,0,167.16,1368.26,0,0.55,22.26,0,0,0.46,0,2.24,11.17,0,4.43,4.99,2.63,0,0,10.47,0.37,4.8
