"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Hungary","Almonds, with shell",0.0296505238073522,9707499,130000,"Production_kg",221,"Almonds; with shell",45,26.89,957.95,2310.48,815.53,0.47,0,0,10.96,0.14,0.16,35.56,327.45,0,0.22,21.8,0,0,0.18,0,2.35,14.52,0,178.45,1525.48,526.83,0,0,0.22,0.13,2.94
"2","Hungary","Apples",0.121111111111111,9707499,498330000,"Production_kg",515,"Apples",119,2379.36,13157.42,12486.3,554624.97,615.4,0.23,0,328.49,29.72,2.71,4359.74,60047.28,1.23,246.9,460.19,1.93,1.2,7.94,1.71,6875.06,197.8,1.48,1653.07,360.28,2776.3,0,0,3581.8,10.9,423.86
"3","Hungary","Apricots",0.03995,9707499,25490000,"Production_kg",526,"Apricots",125,324.69,6572.73,1680.74,74823.94,43.93,0.84,0,111.74,5.22,1.45,1917.05,8982.73,0.51,8.71,156.65,0.15,0.73,5.13,0.35,18.4,65.73,0.51,187.32,1117.36,515.96,0,0,562.67,5.19,55.87
"4","Hungary","Artichokes",0.1,9707499,40000,"Production_kg",366,"Artichokes",79,0.23,10.78,0.72,47.81,0,0,0,0.34,0,0,1.41,10.16,0,0.44,0.4,0,0,0,0,0.14,0.25,0,0.18,0,0.26,0,0,0.36,0,0.25
"5","Hungary","Asparagus",0.0845294117647059,9707499,5850000,"Production_kg",367,"Asparagus",80,14.44,1537.87,144.62,2170.84,15.46,0,0,14.97,0.78,0.38,154.53,1734.77,0.11,3.29,59.77,0,0,0.64,0,11.41,9.98,0.11,32.08,3.56,49.9,0,0,66.18,0.47,33.51
"6","Hungary","Barley",0.04775,9707499,1383260000,"Production_kg",44,"Barley",3,102697.97,2728871.29,415270.36,22249094.72,198.94,0,6.27,16636.73,2321.21,754.4,76842.29,2471884.8,190.79,6386.12,87278.75,78.48,38.6,1595.69,86.24,11280.15,23177.03,424.25,108325.25,66248.5,248879.51,0,0,3504.09,546.7,0
"7","Hungary","Beans, green",0.0843965476190476,9707499,14980000,"Production_kg",414,"Beans; green",92,87.23,8337.21,995.45,13681.54,41.91,0,0.12,115.12,3.97,0.85,532.19,4096.94,0,30.32,194.92,0.23,1.82,1.6,0.25,14.81,54.85,0.16,88.98,33.52,171.87,0,0,151.97,2.08,22.67
"8","Hungary","Berries nes",0.109406559397488,9707499,17460000,"Production_kg",558,"Berries; nes",138,93.05,1530.07,740.96,21087.19,76.13,0.12,0,60.24,2.53,0.7,271.8,4734.63,0.19,9.93,36.99,0,0,0.8,0,16.06,26.71,1.56,29.59,69.05,358.8,0,0,141.14,0.83,1.32
"9","Hungary","Blueberries",0.134028846153846,9707499,40000,"Production_kg",552,"Blueberries",136,0.18,2.28,1.01,44.55,0,0,0,0,0,0,0.24,7.38,0,0,0,0,0,0,0,0,0,0,0,0.14,0.45,0,0,0.26,0,0
"10","Hungary","Broad beans, horse beans, dry",0.052,9707499,1540000,"Production_kg",181,"Broad beans; horse beans; dry",32,102.05,7321.18,484.56,16778.75,0.83,0,0.13,30.23,2.46,1.07,364.02,5908.33,0.25,5.56,116.38,0.12,0,0.8,0.11,29.23,58.42,0.5,76.88,91.98,184.11,0,0,3.18,0.92,8.24
