"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","India","Almonds, with shell",0.0296505238073522,1352642280,161652000,"Import_kg",221,"Almonds; with shell",45,239.98,8548.82,20618.85,7277.85,4.19,0,0,97.83,1.26,1.46,317.34,2922.16,0.41,1.94,194.56,0,0.31,1.57,0,21,129.58,0.84,1592.48,13613.43,4701.45,0,0,2,1.18,26.2
"2","India","Anise, badian, fennel, coriander",0.00195,1352642280,24361000,"Import_kg",711,"Anise; badian; fennel; coriander",161,321.02,14604.98,13235.76,43161.5,9.65,0,0,751.13,29.64,4.28,1370.14,22053.19,0.87,68.35,424.93,0.3,0.28,2.84,0.46,505.99,290.93,2.52,777.84,10055.09,2427.37,0,0,9.2,6.22,0
"3","India","Apples",0.121111111111111,1352642280,242713000,"Import_kg",515,"Apples",119,8.32,45.99,43.64,1938.65,2.15,0,0,1.15,0.1,0,15.24,209.89,0,0.86,1.61,0,0,0,0,24.03,0.69,0,5.78,1.26,9.7,0,0,12.52,0,1.48
"4","India","Apricots",0.03995,1352642280,339000,"Import_kg",526,"Apricots",125,0,0.63,0.16,7.14,0,0,0,0,0,0,0.18,0.86,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0
"5","India","Asparagus",0.0845294117647059,1352642280,407000,"Import_kg",367,"Asparagus",80,0,0.77,0,1.08,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","India","Avocados",0.048,1352642280,381000,"Import_kg",572,"Avocados",141,0,0.94,8.27,2.55,0,0,0,0,0,0,0.3,2.57,0,0,0,0,0,0,0,0,0,0,1.4,4.66,0.98,0,0,0,0,0
"7","India","Barley",0.04775,1352642280,256369000,"Import_kg",44,"Barley",3,136.6,3629.69,552.35,29593.64,0.26,0,0,22.13,3.09,1,102.21,3287.87,0.25,8.49,116.09,0.1,0,2.12,0.11,15,30.83,0.56,144.08,88.12,331.04,0,0,4.66,0.73,0
"8","India","Beans, dry",0.1145,1352642280,520965000,"Import_kg",176,"Beans",30,110.84,7162.09,461.81,19509.89,0.61,0,0.14,47.06,2.45,0.98,393.31,4171.92,0.29,5.25,130.09,0.15,0,0.67,0.13,37.14,58.16,0.44,103.98,46.17,159.96,0,0,3.94,1.29,0
"9","India","Broad beans, horse beans, dry",0.052,1352642280,2656000,"Import_kg",181,"Broad beans; horse beans; dry",32,1.26,90.62,6,207.68,0,0,0,0.37,0,0,4.51,73.13,0,0,1.44,0,0,0,0,0.36,0.72,0,0.95,1.14,2.28,0,0,0,0,0.1
"10","India","Buckwheat",0.0421111111111111,1352642280,990000,"Import_kg",89,"Buckwheat",9,0.57,18.49,4.69,119.75,0,0,0,0,0,0,0.71,16.16,0,0,0.61,0,0,0,0,0,0.4,0,1.29,1.81,1.81,0,0,0,0,0
