"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Indonesia","Almonds shelled",0.0296505238073522,267670543,2715000,"Import_kg",231,"Almonds; with shell",45,20.37,725.57,1749.99,617.7,0.36,0,0,8.3,0.11,0.12,26.93,248.01,0,0.17,16.51,0,0,0.13,0,1.78,11,0,135.16,1155.42,399.03,0,0,0.17,0.1,2.22
"2","Indonesia","Almonds, with shell",0.0296505238073522,267670543,118000,"Import_kg",221,"Almonds; with shell",45,0.89,31.53,76.06,26.85,0,0,0,0.36,0,0,1.17,10.78,0,0,0.72,0,0,0,0,0,0.48,0,5.87,50.22,17.34,0,0,0,0,0
"3","Indonesia","Anise, badian, fennel, coriander",0.00195,267670543,25963000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1728.93,78658.04,71283.85,232454.9,51.98,0.12,0,4045.35,159.64,23.07,7379.17,118771.87,4.67,368.09,2288.57,1.63,1.5,15.31,2.49,2725.09,1566.86,13.57,4189.24,54153.67,13073.09,0,0,49.55,33.49,0
"4","Indonesia","Apples",0.121111111111111,267670543,169085000,"Import_kg",515,"Apples",119,29.28,161.91,153.65,6824.87,7.57,0,0,4.04,0.37,0,53.65,738.9,0,3.04,5.66,0,0,0,0,84.6,2.43,0,20.34,4.43,34.16,0,0,44.08,0.13,5.22
"5","Indonesia","Apricots",0.03995,267670543,1000,"Import_kg",526,"Apricots",125,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Indonesia","Apricots, dry",0.03995,267670543,22000,"Import_kg",527,"Apricots",125,0,0.21,0,2.34,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Indonesia","Asparagus",0.0845294117647059,267670543,1000,"Import_kg",367,"Asparagus",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Indonesia","Avocados",0.048,267670543,461740000,"Production_kg/Import_kg",572,"Avocados",141,523.53,5780.45,50628.06,15597.16,45.97,0.12,0.21,73.9,3.45,1.73,1832.97,15752.89,0.76,23.71,610.05,0.23,0.5,4.98,1.1,51.03,108.71,0.51,8594.61,28542.97,5980.11,0,0,276.34,4.22,136.56
"9","Indonesia","Bananas",0.04075,267670543,7280660000,"Production_kg/Import_kg",486,"Bananas",117,6724.09,81149.68,15519.06,1558199.81,710.63,2.45,1.25,657.6,53.32,11.01,22681.19,104370.63,6.16,423.65,1692.99,3.57,3.38,56.83,23.3,654.14,1891.21,18.02,7409.1,1735.47,3771.3,0,0,4862.18,55.33,2369.58
"10","Indonesia","Barley",0.04775,267670543,4000,"Import_kg",44,"Barley",3,0,0.29,0,2.33,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Indonesia","Beans, dry",0.1145,267670543,239785000,"Production_kg/Import_kg",176,"Beans",30,257.81,16658.48,1074.14,45378.56,1.42,0,0.32,109.47,5.71,2.28,914.82,9703.59,0.68,12.22,302.59,0.35,0.17,1.56,0.3,86.37,135.27,1.02,241.84,107.39,372.06,0,0,9.17,2.99,0
"12","Indonesia","Beans, green",0.0843965476190476,267670543,949163000,"Production_kg/Import_kg",414,"Beans; green",92,200.46,19158.29,2287.46,31439.15,96.3,0.13,0.27,264.53,9.13,1.95,1222.94,9414.47,0.21,69.68,447.92,0.53,4.18,3.67,0.58,34.03,126.05,0.36,204.48,77.03,394.95,0,0,349.22,4.77,52.1
"13","Indonesia","Bran, wheat",0.0374838709677419,267670543,6982000,"Import_kg",17,"Wheat Flour",222,24.04,798.31,105.27,4950.99,0,0,0,2.78,0.19,0,11.97,91.39,0,2.25,12.87,0,0,0.16,0,0.72,3.15,0,10.79,6.05,28.74,0,0,0.81,0,0
