"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Iran (Islamic Republic of)","Almonds, with shell",0.0296505238073522,81800188,177015000,"Production_kg",221,"Almonds; with shell",45,4345.38,154797.54,373355.11,131783.48,75.9,0,0.32,1771.41,22.8,26.42,5746.22,52912.88,7.41,35.21,3522.9,1.56,5.6,28.5,1,380.24,2346.41,15.25,28835.7,246504.69,85131.35,0,0,36.3,21.41,474.39
"2","Iran (Islamic Republic of)","Anise, badian, fennel, coriander",0.00195,81800188,67797000,"Production_kg",711,"Anise; badian; fennel; coriander",161,14773.4,672117.17,609106.18,1986280.5,444.16,1.01,0.5,34566.69,1364.08,197.11,63053.49,1014881.81,39.88,3145.24,19555.33,13.94,12.84,130.85,21.25,23285.37,13388.51,115.93,35796.19,462732.27,111706.89,0,0,423.4,286.12,0
"3","Iran (Islamic Republic of)","Apples",0.121111111111111,81800188,2241124000,"Production_kg",515,"Apples",119,1269.88,7022.19,6664.01,296006.55,328.44,0.12,0,175.32,15.86,1.45,2326.82,32047.58,0.66,131.77,245.61,1.03,0.64,4.24,0.91,3669.26,105.57,0.79,882.25,192.29,1481.73,0,0,1911.63,5.82,226.22
"4","Iran (Islamic Republic of)","Apricots",0.03995,81800188,329638000,"Production_kg",526,"Apricots",125,498.3,10087.1,2579.41,114831.51,67.42,1.29,0,171.48,8.01,2.22,2942.07,13785.7,0.79,13.37,240.41,0.24,1.13,7.87,0.54,28.24,100.87,0.78,287.48,1714.81,791.84,0,0,863.53,7.97,85.74
"5","Iran (Islamic Republic of)","Artichokes",0.1,81800188,19451000,"Production_kg",366,"Artichokes",79,13.2,622.29,41.61,2758.92,1.97,0,0,19.81,0.32,0,81.4,586.54,0,25.24,23.3,0,0,0.14,0,8.18,14.27,0,10.22,1.78,14.74,0,0,20.5,0.3,14.27
"6","Iran (Islamic Republic of)","Asparagus",0.0845294117647059,81800188,25696000,"Production_kg",367,"Asparagus",80,7.53,801.65,75.39,1131.59,8.06,0,0,7.8,0.41,0.2,80.55,904.28,0,1.72,31.15,0,0,0.33,0,5.95,5.2,0,16.72,1.86,26.01,0,0,34.5,0.24,17.47
"7","Iran (Islamic Republic of)","Bananas",0.04075,81800188,138647000,"Production_kg",486,"Bananas",117,419.01,5056.77,967.06,97097.75,44.28,0.15,0,40.98,3.32,0.69,1413.36,6503.76,0.38,26.4,105.5,0.22,0.21,3.54,1.45,40.76,117.85,1.12,461.69,108.14,235,0,0,302.98,3.45,147.66
"8","Iran (Islamic Republic of)","Barley",0.04775,81800188,3.6e+09,"Production_kg",44,"Barley",3,31718.57,842819.91,128257.47,6871698.24,61.44,0,1.94,5138.3,716.91,233,23732.97,763448.88,58.93,1972.37,26956.3,24.24,11.92,492.83,26.64,3483.91,7158.29,131.03,33456.57,20461.04,76867.17,0,0,1082.25,168.85,0
"9","Iran (Islamic Republic of)","Beans, dry",0.1145,81800188,122789000,"Production_kg",176,"Beans",30,432,27913.81,1799.89,76038.66,2.38,0,0.54,183.43,9.56,3.83,1532.92,16259.83,1.14,20.48,507.03,0.59,0.29,2.62,0.51,144.73,226.66,1.71,405.24,179.95,623.45,0,0,15.37,5.01,0
"10","Iran (Islamic Republic of)","Beans, green",0.0843965476190476,81800188,67693000,"Production_kg",414,"Beans; green",92,46.78,4471.01,533.83,7337.03,22.47,0,0,61.73,2.13,0.45,285.4,2197.08,0,16.26,104.53,0.12,0.98,0.86,0.14,7.94,29.42,0,47.72,17.98,92.17,0,0,81.5,1.11,12.16
"11","Iran (Islamic Republic of)","Berries nes",0.109406559397488,81800188,12223000,"Production_kg",558,"Berries; nes",138,7.73,127.11,61.56,1751.88,6.32,0,0,5,0.21,0,22.58,393.34,0,0.82,3.07,0,0,0,0,1.33,2.22,0.13,2.46,5.74,29.81,0,0,11.73,0,0.11
"12","Iran (Islamic Republic of)","Broad beans, horse beans, dry",0.052,81800188,17449000,"Production_kg",181,"Broad beans; horse beans; dry",32,137.22,9844.28,651.56,22561.21,1.12,0,0.17,40.65,3.31,1.43,489.47,7944.52,0.34,7.48,156.49,0.16,0.12,1.08,0.15,39.3,78.56,0.67,103.37,123.68,247.57,0,0,4.28,1.23,11.08
"13","Iran (Islamic Republic of)","Cabbages and other brassicas",0.08324,81800188,322354000,"Production_kg",358,"Cabbages and other brassicas",78,127.19,10752.15,1442.93,20748.13,290.32,1.09,0.3,580.98,8.19,1.61,1351.9,10447.89,0.73,186.09,333.78,0.29,0.49,3.67,0.85,116.72,115.59,1.2,162.42,84.85,415.88,0,0,430.07,5.24,130.66
"14","Iran (Islamic Republic of)","Carrots and turnips",0.0830718954248366,81800188,337614000,"Production_kg",426,"Carrots and turnips",96,150.21,6505.78,1163.35,29148.67,136.01,3.02,0.11,329.57,7.71,1.28,1445.95,10089.3,0.29,234.53,591.88,0.25,0.46,3.85,0.91,519.69,60.45,0.71,160.64,72.87,375.94,0,0,443.42,6.23,114.27
"15","Iran (Islamic Republic of)","Castor oil seed",0.0178426203877423,81800188,111000,"Production_kg",265,"Oilcrops Oil; Other",75,6.71,0.95,691.33,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.04,280.22,249.65,0,0,0,0,0
"16","Iran (Islamic Republic of)","Cauliflowers and broccoli",0.103835520801038,81800188,66615000,"Production_kg",393,"Cauliflowers and broccoli",84,22.48,2429.4,253.58,3191.24,63.42,0.42,0,34.38,0.85,0.33,232.37,1490.13,0,23.48,85.18,0,0,0.56,0.14,49.67,14.12,0.14,48.82,14.71,25.29,0,0,67.93,0.85,37.65
"17","Iran (Islamic Republic of)","Cherries",0.1289,81800188,128354000,"Production_kg",531,"Cherries",127,55.49,1324.84,211,12676.28,15.24,0,0,33.6,0.62,0,302.5,1278.18,0,1.83,28.49,0,0,0.84,0,7.43,13.39,0,46.26,57.21,63.3,0,0,100.28,0.83,9.74
"18","Iran (Islamic Republic of)","Cherries, sour",0.028,81800188,124807000,"Production_kg",530,"Sour cherries",126,257.93,5994.04,1453.1,60630.58,54.49,0.27,0,74.47,2.22,0.9,942.7,6538.95,0.57,29.97,89.91,0.14,0.16,2.18,0.24,33.24,49.04,0.61,370.54,446.83,490.42,0,0,474.13,2.18,59.94
"19","Iran (Islamic Republic of)","Chick peas",0.04575,81800188,200679000,"Production_kg",191,"Chick peas",33,1888.91,104265.04,26993.33,312713.13,11.26,0,1.99,731.23,37.15,18.49,4338.15,40932.73,4.92,107.57,1664.48,2.12,0.94,9.45,2.87,786.39,530.87,60.37,3305.9,7311.59,14266.58,0,0,56.3,15.92,0
"20","Iran (Islamic Republic of)","Chillies and peppers, dry",4e-04,81800188,3968000,"Production_kg",689,"Pimento",156,2916.1,124276.91,108246.6,497664.01,914.79,8.23,0.66,2515.94,88.53,32.05,22095.6,269464.42,8,5502.68,2254.66,3.39,5.28,66.91,20.9,624.55,1861.51,26.41,32136.85,20636.3,74767.68,0,0,339.9,72.57,0
"21","Iran (Islamic Republic of)","Chillies and peppers, green",0.0664142191142191,81800188,96264000,"Production_kg",401,"Chillies and peppers; green",88,69.44,3154.91,1177.55,12240.31,204.34,0.22,0,48.98,2.88,0.55,499.56,5696.19,0.28,12.57,180.52,0.22,0.21,2.1,0.63,14.31,63.93,0.42,73.89,31.62,323.33,0,0,156.41,1.57,29.34
"22","Iran (Islamic Republic of)","Cucumbers and gherkins",0.0675,81800188,871692000,"Production_kg",397,"Cucumbers and gherkins",86,220.39,10187.38,1866.6,39946.39,156.05,0,0.15,252.6,7.03,3.03,2250.55,10299.27,0.85,104.79,572.61,0.41,0.5,3.01,0.63,94.72,197.34,1.25,528.87,39.47,410.47,0,0,1511.74,6.56,244.7
"23","Iran (Islamic Republic of)","Dates",0.0393863636363636,81800188,1307908000,"Production_kg",577,"Dates",121,8070.37,71346.45,11924.9,2068742.46,274.31,0.18,0.8,1684.71,67.08,12.38,24499.33,200541.36,9.31,81.19,3262.86,2.79,4.91,66.77,7.23,328.82,1637.35,11.33,649.53,730.72,385.66,0,0,1534.25,54.4,703.65
"24","Iran (Islamic Republic of)","Eggplants (aubergines)",0.082,81800188,670158000,"Production_kg",399,"Eggplants (aubergines)",87,272.51,11532.21,7230.16,52858.51,65.91,0,0.27,170.99,6.08,1.91,2006.41,20709.92,1,53.58,437.52,0.5,0.91,12.87,0.87,294.24,128.22,2.32,269.76,129.88,579.48,0,0,916.86,11.95,204.82
"25","Iran (Islamic Republic of)","Figs",0.0504615384615385,81800188,130328000,"Production_kg",569,"Figs",139,171.02,3201.55,663.04,39363.15,26.72,0,0,147.49,2.73,1.22,698.3,6946.17,0.25,6.99,76.57,0.15,0.23,1.33,0.35,14.84,53.67,0.4,147.34,164.18,351.52,0,0,264.52,2.32,23.68
"26","Iran (Islamic Republic of)","Fruit, citrus nes",0.125066666666667,81800188,619300000,"Production_kg",512,"Citrus; Other",116,390.45,6628.56,1906.85,89591.52,213.69,0.16,0.1,371.28,4.56,1.15,1125.95,39347.63,0.58,39.35,54.48,0.4,0.39,1.27,0.22,50.85,121.07,0.82,623.51,932.24,1035.15,0,0,506.75,3.07,42.37
"27","Iran (Islamic Republic of)","Fruit, fresh nes",0.107099201828105,81800188,1682769000,"Production_kg",619,"Fresh fruit; nes",147,1728.79,29336.52,14630.85,370192.82,749.17,0.95,0.29,1030.37,70.06,4.82,5350.84,66704.42,2.17,214.43,803.65,1.2,1.1,19.21,1.72,1341.2,612.99,4.02,2351.07,1619.88,2238.81,0,0,1453.97,17.51,534.62
"28","Iran (Islamic Republic of)","Fruit, stone nes",0.110582805429864,81800188,137154000,"Production_kg",541,"Stone fruit; nes",130,73.28,1549.09,439.71,17896.63,12.26,0,0,15.16,0.45,0.2,303.75,2602.87,0.11,1.01,30.58,0,0,0.88,0,7.38,13.9,0.11,49.02,148.59,116.75,0,0,131.01,0.74,11.12
"29","Iran (Islamic Republic of)","Fruit, tropical fresh nes",0.1073859375,81800188,810065000,"Production_kg",603,"Fruit; tropical fresh; nes",146,863.69,13645.5,11026.07,191488.77,990.53,0.4,0.15,298.49,16.13,3.45,2315.93,26807.41,1.02,90.44,331.44,2.54,2.7,9.68,1.41,73.04,259.44,2.03,6870.79,15195.88,3474.33,0,0,703.1,7.05,363.84
"30","Iran (Islamic Republic of)","Garlic",0.00732,81800188,58582000,"Production_kg",406,"Garlic",90,1193.39,49711.24,2448.91,249938.03,129.98,0,0,502.88,13.6,11.4,4319.46,15531.47,4.72,170.43,1984.17,1.38,0.79,5.24,9.91,226.98,381.56,13.07,875.63,102.73,2343.17,0,0,639.93,14.18,127.19
"31","Iran (Islamic Republic of)","Grapefruit (inc. pomelos)",0.15,81800188,87461000,"Production_kg",507,"Grapefruit",115,25.78,502.02,108.35,5724.35,28.05,0,0,13.24,0.37,0,135.53,720.72,0,5.21,14.85,0,0,0.2,0,5.49,5.46,0,8.55,8.2,15.68,0,0,63.83,0.29,31.9
"32","Iran (Islamic Republic of)","Grapes",0.1235,81800188,1945930000,"Production_kg",560,"Grapes",122,1184.98,10340.3,4561.64,281346.7,98.99,0,0,287.92,11.87,1.38,3490.31,40725.8,1.87,61.96,391.66,0.83,2.58,4.2,1.89,107.87,520.08,13.3,2298.62,263.25,1797.81,0,0,1603.57,9.13,269.67
"33","Iran (Islamic Republic of)","Groundnuts, with shell",0.028,81800188,16386000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,392.52,16857.75,31411.16,12181.5,1.02,0,0,42.86,2.53,1.99,498.25,5944.59,0.78,7.34,279.47,0.55,0.12,10.25,0.39,98.91,134.16,1.05,4492.12,17474.83,11130.49,0,0,6.04,1.96,0
"34","Iran (Islamic Republic of)","Hazelnuts, with shell",0.03,81800188,16121000,"Production_kg",225,"Hazelnuts; with shell",49,389.12,10253.52,36180.2,13729.75,2.4,0,0,124.65,3.09,2.72,438.39,5025.48,1.13,4.22,209.34,0.37,0.2,2.58,0.37,29.96,107.08,4.06,2451.65,17622.7,14097.63,0,0,4.07,1.74,38.43
