"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Iraq","Alfalfa meal and pellets",0.0651708222811671,38433600,3078000,"Import_kg",862,"Mixed grain",12,42.79,1404.74,304.76,9056.23,0,0,0,3.02,0.41,0.32,42.35,1298.5,0,0.67,38.84,0,0,0.53,0,4.01,14.57,0.32,53.99,65.43,128.13,0,0,1.32,0.2,0
"2","Iraq","Almonds shelled",0.0296505238073522,38433600,5006000,"Import_kg",231,"Almonds; with shell",45,261.55,9317.26,22472.23,7932.04,4.57,0,0,106.62,1.37,1.59,345.86,3184.82,0.45,2.12,212.04,0,0.34,1.72,0,22.89,141.23,0.92,1735.62,14837.11,5124.05,0,0,2.18,1.29,28.55
"3","Iraq","Almonds, with shell",0.0296505238073522,38433600,563000,"Import_kg",221,"Almonds; with shell",45,29.42,1047.87,2527.34,892.08,0.51,0,0,11.99,0.15,0.18,38.9,358.18,0,0.24,23.85,0,0,0.19,0,2.57,15.88,0.1,195.2,1668.66,576.28,0,0,0.25,0.14,3.21
"4","Iraq","Anise, badian, fennel, coriander",0.00195,38433600,1466000,"Import_kg",711,"Anise; badian; fennel; coriander",161,679.9,30932.26,28032.36,91412.86,20.44,0,0,1590.83,62.78,9.07,2901.86,46707.02,1.84,144.75,899.98,0.64,0.59,6.02,0.98,1071.64,616.17,5.34,1647.42,21295.93,5140.99,0,0,19.49,13.17,0
"5","Iraq","Apples",0.121111111111111,38433600,2.7e+08,"Import_kg",515,"Apples",119,325.61,1800.59,1708.74,75900.12,84.22,0,0,44.95,4.07,0.37,596.63,8217.44,0.17,33.79,62.98,0.26,0.16,1.09,0.23,940.85,27.07,0.2,226.22,49.3,379.94,0,0,490.17,1.49,58.01
"6","Iraq","Apricots",0.03995,38433600,35863000,"Import_kg",526,"Apricots",125,115.38,2335.71,597.27,26589.71,15.61,0.3,0,39.71,1.86,0.51,681.25,3192.14,0.18,3.09,55.67,0,0.26,1.82,0.13,6.54,23.36,0.18,66.57,397.07,183.35,0,0,199.95,1.85,19.85
"7","Iraq","Apricots, dry",0.03995,38433600,5906000,"Import_kg",527,"Apricots",125,19,384.65,98.36,4378.85,2.57,0,0,6.54,0.31,0,112.19,525.69,0,0.51,9.17,0,0,0.3,0,1.08,3.85,0,10.96,65.39,30.2,0,0,32.93,0.3,3.27
"8","Iraq","Artichokes",0.1,38433600,10000,"Import_kg",366,"Artichokes",79,0,0.68,0,3.02,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Iraq","Asparagus",0.0845294117647059,38433600,7000,"Import_kg",367,"Asparagus",80,0,0.46,0,0.66,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Iraq","Avocados",0.048,38433600,134000,"Import_kg",572,"Avocados",141,1.06,11.68,102.33,31.52,0,0,0,0.15,0,0,3.7,31.84,0,0,1.23,0,0,0,0,0.1,0.22,0,17.37,57.69,12.09,0,0,0.56,0,0.28
"11","Iraq","Bambara beans",0.028,38433600,2000,"Import_kg",203,"Bambara beans",37,0,3.3,1.05,10.06,0,0,0,0,0,0,0.23,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Iraq","Bananas",0.04075,38433600,227827000,"Import_kg",486,"Bananas",117,1465.41,17685.23,3382.12,339583.91,154.87,0.53,0.27,143.31,11.62,2.4,4942.99,22745.86,1.34,92.33,368.96,0.78,0.74,12.39,5.08,142.56,412.16,3.93,1614.69,378.22,821.89,0,0,1059.63,12.06,516.41
"13","Iraq","Barley",0.04775,38433600,45533000,"Import_kg",44,"Barley",3,853.85,22688.29,3452.63,184982.69,1.65,0,0,138.32,19.3,6.27,638.88,20551.66,1.59,53.1,725.65,0.65,0.32,13.27,0.72,93.79,192.7,3.53,900.63,550.8,2069.23,0,0,29.13,4.55,0
"14","Iraq","Beans, dry",0.1145,38433600,71143000,"Import_kg",176,"Beans",30,532.71,34421.92,2219.54,93767.09,2.93,0,0.66,226.2,11.79,4.72,1890.32,20050.81,1.41,25.25,625.25,0.73,0.36,3.23,0.63,178.48,279.51,2.11,499.72,221.9,768.81,0,0,18.95,6.18,0
"15","Iraq","Beans, green",0.0843965476190476,38433600,208000,"Import_kg",414,"Beans; green",92,0.31,29.24,3.49,47.98,0.15,0,0,0.4,0,0,1.87,14.37,0,0.11,0.68,0,0,0,0,0,0.19,0,0.31,0.12,0.6,0,0,0.53,0,0
"16","Iraq","Beet pulp",0.125770747489689,38433600,127000,"Import_kg",169,"Roots and tubers; nes",23,0.27,5.09,2.01,56.99,0,0,0,0,0,0,1.28,4.67,0,0,0.18,0,0,0,0,0,0.11,0,0,0,0.12,0,0,0.19,0,0
"17","Iraq","Blueberries",0.134028846153846,38433600,12000,"Import_kg",552,"Blueberries",136,0,0.17,0,3.38,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Iraq","Bran, maize",0.0538461538461538,38433600,5709000,"Import_kg",59,"Corn Flour",223,98.08,2344.22,904.94,20121.74,0.1,0,0,7.74,1.04,0.37,58.73,1235.18,0,1.97,54.31,0,0,0.49,0,0,15.88,0,81.45,294.76,489.31,0,0,2.87,0.32,0
"19","Iraq","Bran, wheat",0.0374838709677419,38433600,7.9e+07,"Import_kg",17,"Wheat Flour",222,1894.71,62908.23,8295.11,390147.7,1.02,0,0.14,219.28,14.93,7.04,943.19,7201.89,0.54,177.01,1014.57,1.92,0.73,12.55,0.67,57.03,248.59,4.61,849.97,477.08,2264.76,0,0,63.52,5.24,0
"20","Iraq","Brazil nuts, shelled",0.0297575757575758,38433600,35000,"Import_kg",229,"Brazil nuts; with shell",42,2,46.06,208.16,32.04,0,0,0,0.5,0,0,2.02,22.95,0,0,2.33,0,0,0,0,0,1.15,0,49.37,73.08,74.67,0,0,0,0,0.15
"21","Iraq","Broad beans, horse beans, dry",0.052,38433600,988000,"Import_kg",181,"Broad beans; horse beans; dry",32,16.54,1186.35,78.52,2718.89,0.13,0,0,4.9,0.4,0.17,58.99,957.41,0,0.9,18.86,0,0,0.13,0,4.74,9.47,0,12.46,14.9,29.83,0,0,0.52,0.15,1.33
"22","Iraq","Cabbages and other brassicas",0.08324,38433600,2e+07,"Import_kg",358,"Cabbages and other brassicas",78,16.8,1419.83,190.54,2739.8,38.34,0.14,0,76.72,1.08,0.21,178.52,1379.65,0,24.57,44.08,0,0,0.48,0.11,15.41,15.26,0.16,21.45,11.2,54.92,0,0,56.79,0.69,17.25
"23","Iraq","Cake, copra",0.0131048387096774,38433600,1000,"Import_kg",253,"Coconut Oil",70,0.16,0.21,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,1.15,0.36,0,0,0,0,0
"24","Iraq","Cake, soybeans",0.014,38433600,614933000,"Import_kg",238,"Soyabean Oil",63,102185.78,0,11415921.67,952.37,0,0,0,177.78,33.02,37.33,0,0,0,177.78,4.08,0,0,0,0,22.86,0,0,3024516.15,2673253.47,5176516.38,0,0,1.04,0,0
"25","Iraq","Cake, sunflower",0.0244,38433600,368000,"Import_kg",269,"Sunflowerseed Oil",65,35.11,0,3906.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.71,1156.58,2241.55,0,0,0,0,0
"26","Iraq","Carrots and turnips",0.0830718954248366,38433600,5.3e+07,"Import_kg",426,"Carrots and turnips",96,50.19,2173.69,388.69,9739.07,45.44,1.01,0,110.11,2.57,0.43,483.12,3371.01,0,78.36,197.76,0,0.15,1.29,0.3,173.64,20.2,0.24,53.67,24.35,125.61,0,0,148.15,2.08,38.18
