"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ireland","Alfalfa meal and pellets",0.0651708222811671,4818690,34000,"Import_kg",862,"Mixed grain",12,3.77,123.76,26.85,797.88,0,0,0,0.27,0,0,3.73,114.4,0,0,3.42,0,0,0,0,0.35,1.28,0,4.76,5.76,11.29,0,0,0.12,0,0
"2","Ireland","Almonds shelled",0.0296505238073522,4818690,2043000,"Import_kg",231,"Almonds; with shell",45,851.36,30328.27,73148.55,25819.31,14.87,0,0,347.06,4.47,5.18,1125.81,10366.81,1.45,6.9,690.21,0.31,1.1,5.58,0.2,74.5,459.71,2.99,5649.55,48295.74,16679.12,0,0,7.11,4.2,92.94
"3","Ireland","Almonds, with shell",0.0296505238073522,4818690,139000,"Import_kg",221,"Almonds; with shell",45,57.92,2063.45,4976.82,1756.67,1.01,0,0,23.61,0.3,0.35,76.6,705.33,0,0.47,46.96,0,0,0.38,0,5.07,31.28,0.2,384.38,3285.91,1134.8,0,0,0.48,0.29,6.32
"4","Ireland","Anise, badian, fennel, coriander",0.00195,4818690,163000,"Import_kg",711,"Anise; badian; fennel; coriander",161,602.95,27431.37,24859.68,81066.8,18.13,0,0,1410.78,55.67,8.04,2573.43,41420.75,1.63,128.37,798.12,0.57,0.52,5.34,0.87,950.35,546.43,4.73,1460.96,18885.66,4559.13,0,0,17.28,11.68,0
"5","Ireland","Apples",0.121111111111111,4818690,83185000,"Production_kg/Import_kg",515,"Apples",119,800.14,4424.63,4198.95,186511.57,206.95,0,0,110.47,10,0.91,1466.11,20192.95,0.41,83.03,154.76,0.65,0.4,2.67,0.57,2311.97,66.52,0.5,555.9,121.16,933.63,0,0,1204.5,3.67,142.54
"6","Ireland","Apricots",0.03995,4818690,331000,"Import_kg",526,"Apricots",125,8.49,171.94,43.97,1957.39,1.15,0,0,2.92,0.14,0,50.15,234.99,0,0.23,4.1,0,0,0.13,0,0.48,1.72,0,4.9,29.23,13.5,0,0,14.72,0.14,1.46
"7","Ireland","Apricots, dry",0.03995,4818690,231000,"Import_kg",527,"Apricots",125,5.93,120,30.68,1366.03,0.8,0,0,2.04,0,0,35,163.99,0,0.16,2.86,0,0,0,0,0.34,1.2,0,3.42,20.4,9.42,0,0,10.27,0,1.02
"8","Ireland","Artichokes",0.1,4818690,103000,"Import_kg",366,"Artichokes",79,1.19,55.94,3.74,248,0.18,0,0,1.78,0,0,7.32,52.73,0,2.27,2.09,0,0,0,0,0.74,1.28,0,0.92,0.16,1.33,0,0,1.84,0,1.28
"9","Ireland","Asparagus",0.0845294117647059,4818690,1172000,"Import_kg",367,"Asparagus",80,5.83,620.68,58.37,876.15,6.24,0,0,6.04,0.31,0.15,62.37,700.15,0,1.33,24.12,0,0,0.26,0,4.6,4.03,0,12.95,1.44,20.14,0,0,26.71,0.19,13.52
"10","Ireland","Avocados",0.048,4818690,6104000,"Import_kg",572,"Avocados",141,384.45,4244.73,37177.48,11453.39,33.76,0,0.15,54.27,2.54,1.27,1346,11567.75,0.56,17.41,447.98,0.17,0.37,3.65,0.81,37.47,79.83,0.37,6311.24,20959.83,4391.35,0,0,202.92,3.1,100.28
"11","Ireland","Bananas",0.04075,4818690,93608000,"Import_kg",486,"Bananas",117,4802.28,57956.3,11083.56,1112850.83,507.53,1.75,0.89,469.65,38.08,7.87,16198.68,74540.47,4.4,302.56,1209.12,2.55,2.41,40.59,16.64,467.18,1350.68,12.87,5291.51,1239.45,2693.42,0,0,3472.52,39.51,1692.33
"12","Ireland","Barley",0.04775,4818690,1617960000,"Production_kg/Import_kg",44,"Barley",3,241993.77,6430213.33,978528.02,52426959.76,468.79,0.18,14.77,39202.19,5469.62,1777.63,181068.39,5824659.67,449.57,15048.01,205660.49,184.94,90.96,3760.03,203.22,26580.14,54613.51,999.69,255253.7,156105.57,586450.64,0,0,8256.91,1288.22,0
"13","Ireland","Barley, pearled",0.04775,4818690,449000,"Import_kg",46,"Barley",3,67.16,1784.45,271.55,14549,0.13,0,0,10.88,1.52,0.49,50.25,1616.4,0.12,4.18,57.07,0,0,1.04,0,7.38,15.16,0.28,70.84,43.32,162.75,0,0,2.29,0.36,0
"14","Ireland","Beans, dry",0.1145,4818690,4417000,"Import_kg",176,"Beans",30,263.8,17045.6,1099.11,46433.1,1.45,0,0.33,112.01,5.84,2.34,936.08,9929.09,0.7,12.5,309.62,0.36,0.18,1.6,0.31,88.38,138.41,1.04,247.46,109.88,380.71,0,0,9.39,3.06,0
"15","Ireland","Beans, green",0.0843965476190476,4818690,2166000,"Import_kg",414,"Beans; green",92,25.41,2428.54,289.96,3985.29,12.21,0,0,33.53,1.16,0.25,155.02,1193.4,0,8.83,56.78,0,0.53,0.47,0,4.31,15.98,0,25.92,9.76,50.06,0,0,44.27,0.61,6.6
"16","Ireland","Beet pulp",0.125770747489689,4818690,144509000,"Import_kg",169,"Roots and tubers; nes",23,2438.41,46222.28,18272.75,517258.68,345.37,0.68,1.86,795.68,68.08,7.23,11576.45,42417.92,3.03,358.38,1589.8,1.75,1.72,28.72,3.93,519.81,1025.31,4.27,488.81,101.34,1078.96,0,0,1721.5,24.75,520.6
"17","Ireland","Blueberries",0.134028846153846,4818690,255000,"Import_kg",552,"Blueberries",136,2.25,29.22,13.03,572.11,0.38,0,0,0.24,0,0,3.04,94.76,0,0,0.47,0,0,0,0,0.24,0.24,0,1.11,1.86,5.76,0,0,3.32,0,0.2
"18","Ireland","Bran, maize",0.0538461538461538,4818690,18081000,"Import_kg",59,"Corn Flour",223,2477.62,59216.51,22859.34,508288.1,2.54,0,0.13,195.39,26.37,9.26,1483.51,31201.42,1.1,49.69,1372.02,1.87,0.72,12.44,1.46,0,401.19,0.39,2057.45,7445.83,12360.36,0,0,72.61,8.04,0
"19","Ireland","Bran, wheat",0.0374838709677419,4818690,216528000,"Import_kg",17,"Wheat Flour",222,41420.06,1375233.68,181339.01,8528999.77,22.38,0,3,4793.76,326.33,153.84,20619.07,157440.19,11.75,3869.67,22179.49,41.97,15.89,274.46,14.63,1246.73,5434.48,100.82,18581.14,10429.41,49509.75,0,0,1388.6,114.57,0
"20","Ireland","Brazil nuts, shelled",0.0297575757575758,4818690,202000,"Import_kg",229,"Brazil nuts; with shell",42,92.06,2120.12,9582.12,1474.93,0.16,0,0,23.03,0.36,0.57,92.83,1056.54,0.25,0.42,107.23,0,0,0.27,0,4.06,52.97,0.17,2272.83,3363.88,3437.14,0,0,0.45,0.54,6.9
"21","Ireland","Broad beans, horse beans, dry",0.052,4818690,37819000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,5048.63,362200.24,23972.83,830093.93,41.1,0,6.38,1495.65,121.88,52.71,18009.06,292302.54,12.41,275.2,5757.56,5.84,4.36,39.76,5.55,1445.92,2890.32,24.54,3803.45,4550.56,9108.67,0,0,157.36,45.35,407.51
"22","Ireland","Buckwheat",0.0421111111111111,4818690,88000,"Import_kg",89,"Buckwheat",9,14.3,461.31,117.09,2987.97,0,0,0,1.82,0.31,0.12,17.82,403.31,0,0.26,15.22,0,0,0.25,0,0,9.93,0,32.13,45.1,45.06,0,0,0.58,0,0
"23","Ireland","Cabbages and other brassicas",0.08324,4818690,34780000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,232.95,19693.24,2642.82,38001.5,531.74,2,0.54,1064.1,15.01,2.96,2476.09,19135.97,1.34,340.83,611.33,0.52,0.89,6.72,1.56,213.79,211.72,2.2,297.48,155.41,761.71,0,0,787.7,9.59,239.32
"24","Ireland","Cake, copra",0.0131048387096774,4818690,1000,"Import_kg",253,"Coconut Oil",70,1.26,1.66,140.28,0.7,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,136.98,9.18,2.85,0,0,0,0,0
"25","Ireland","Cake, linseed",0.0178426203877423,4818690,2000,"Import_kg",335,"Oilcrops; Other",62,1.21,44.48,90.46,63.31,0,0,0,0.79,0,0,1.67,28.73,0,0,1.28,0,0,0,0,0.1,0.77,0,10.22,23.41,61.42,0,0,0,0,0
"26","Ireland","Cake, palm kernel",0.012,4818690,81169000,"Import_kg",259,"Palmkernel Oil",68,123667.58,0,14037183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.07,0,0,11440304.14,1600238.86,224594.93,0,0,0,0,0
"27","Ireland","Cake, rapeseed",0.0137773983739837,4818690,201879000,"Import_kg",272,"Rape and Mustard Oil",66,272242.92,0,30404151.95,0,0,0,0,684.19,281.28,41.05,0,0,0,532.15,0,0,0,0,0,60.82,0,0,2538805.33,17987943.1,8440587.6,0,0,5.07,0,0
"28","Ireland","Cake, soybeans",0.014,4818690,568438000,"Import_kg",238,"Soyabean Oil",63,753403.88,0,84168262.34,7021.74,0,0,0,1310.73,243.42,275.25,0,0,0,1310.73,30.09,0,0,0,0,168.52,0,0,22299405.71,19709586.84,38165853.03,0,0,7.66,0,0
"29","Ireland","Cake, sunflower",0.0244,4818690,99132000,"Import_kg",269,"Sunflowerseed Oil",65,75432.33,0,8393860.86,0,0,0,0,56.21,28.95,3.09,0,0,0,78.69,0,0,0,0,0,0,0,0,884584.93,2484988.08,4816104.75,0,0,3.63,0,0
"30","Ireland","Carrots and turnips",0.0830718954248366,4818690,74383000,"Production_kg/Import_kg",426,"Carrots and turnips",96,561.81,24331.99,4350.99,109017.77,508.68,11.31,0.41,1232.6,28.82,4.8,5407.96,37734.57,1.09,877.15,2213.65,0.95,1.73,14.41,3.39,1943.67,226.08,2.66,600.82,272.53,1406.03,0,0,1658.41,23.32,427.38
"31","Ireland","Cashew nuts, shelled",0.0289438420348059,4818690,671000,"Import_kg",230,"Cashew nuts; with shell",43,261.83,8839.99,20247.99,11633.65,0.79,0,0,19.38,2.91,2.49,312.96,1279.73,1.02,44.47,226.36,0.26,0,0.63,0.21,0,145.61,0.64,3744.42,11448.79,3774.25,0,0,4.78,1.1,13.47
"32","Ireland","Cashew nuts, with shell",0.0289438420348059,4818690,2000,"Import_kg",217,"Cashew nuts; with shell",43,0.78,26.35,60.35,34.68,0,0,0,0,0,0,0.93,3.81,0,0.13,0.67,0,0,0,0,0,0.43,0,11.16,34.12,11.25,0,0,0,0,0
"33","Ireland","Cassava dried",0.108277777777778,4818690,98000,"Import_kg",128,"Cassava",17,2.61,34.32,8.92,583.08,0.6,0,0,0.73,0,0,7.06,27.8,0,0.17,0.74,0,0,0,0,0.45,0.39,0,1.63,1.64,0.83,0,0,1.18,0,0.39
"34","Ireland","Cauliflowers and broccoli",0.103835520801038,4818690,22972000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,131.6,14221.71,1484.48,18681.49,371.29,2.49,0.28,201.26,4.99,1.93,1360.3,8723.23,0.2,137.43,498.67,0.5,0.5,3.29,0.82,290.77,82.64,0.84,285.8,86.08,148.07,0,0,397.66,4.96,220.38
"35","Ireland","Cereal preparations nes",0.0486257263475995,4818690,50496000,"Import_kg",113,"Cereals; nes",13,7505.04,280684.14,99189.55,1583789.73,23.17,0,0,3128.94,477.89,81.93,9202.16,68038.72,17.46,168.1,8202.68,7.74,5.72,31.42,10.39,282.31,3965.33,199.13,9676.28,12693.38,23080.83,0,0,235.2,84.47,0
"36","Ireland","Cherries",0.1289,4818690,271000,"Import_kg",531,"Cherries",127,1.99,47.48,7.56,454.34,0.55,0,0,1.2,0,0,10.84,45.81,0,0,1.02,0,0,0,0,0.27,0.48,0,1.66,2.05,2.27,0,0,3.59,0,0.35
"37","Ireland","Cherries, sour",0.028,4818690,340000,"Import_kg",530,"Sour cherries",126,11.93,277.19,67.2,2803.86,2.52,0,0,3.44,0.1,0,43.6,302.39,0,1.39,4.16,0,0,0.1,0,1.54,2.27,0,17.14,20.66,22.68,0,0,21.93,0.1,2.77
"38","Ireland","Chestnut",0.059,4818690,52000,"Import_kg",220,"Chestnuts",44,4.79,93.22,53.35,952.38,0.32,0,0,0.68,0,0,11.95,224.97,0,0.34,2.31,0,0,0,0,0,1.35,0,15.31,28.08,32.15,0,0,0.62,0,0.37
"39","Ireland","Chick peas",0.04575,4818690,487000,"Import_kg",191,"Chick peas",33,77.81,4295.28,1112.01,12882.45,0.46,0,0,30.12,1.53,0.76,178.71,1686.25,0.2,4.43,68.57,0,0,0.39,0.12,32.4,21.87,2.49,136.19,301.21,587.72,0,0,2.32,0.66,0
"40","Ireland","Chillies and peppers, dry",4e-04,4818690,280000,"Import_kg",689,"Pimento",156,3493.13,148868.26,129665.95,596139.52,1095.8,9.86,0.8,3013.79,106.05,38.39,26467.77,322784.82,9.58,6591.52,2700.81,4.06,6.33,80.14,25.04,748.13,2229.86,31.63,38495.94,24719.72,89562.38,0,0,407.16,86.93,0
"41","Ireland","Chillies and peppers, green",0.0664142191142191,4818690,19855000,"Import_kg",401,"Chillies and peppers; green",88,243.15,11046.33,4122.98,42857.19,715.46,0.77,0.18,171.5,10.08,1.93,1749.1,19944.16,0.96,44.01,632.06,0.78,0.74,7.37,2.2,50.1,223.83,1.47,258.71,110.69,1132.09,0,0,547.63,5.48,102.71
"42","Ireland","Chocolate products nes",0.0115,4818690,83649000,"Import_kg",666,"Cocoa Beans",153,34416.66,2435733.73,6242096.01,8740021.26,0,0.5,4.83,16190.93,765.92,1027.97,151478.61,5585160.39,571.8,1245.34,88530.08,25.59,29.85,278.69,17.81,1811.4,75324.19,579.2,3474498.09,2398977.34,129817.24,0,0,585.69,600.48,0
"43","Ireland","Cider etc",0.0683571428571429,4818690,11596000,"Import_kg",517,"Fruit juice; nes",149,175.34,874.43,477.21,42823.15,264.07,0,0,35.66,0.93,0.26,380.38,1001.97,0.15,27.32,28.9,0,0.1,1.52,0,9.65,26.21,0.12,88.3,120.28,218.56,0,0,309.72,0.98,0
"44","Ireland","Cinnamon (cannella)",0.00115555555555556,4818690,75000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Ireland","Cloves",0.0013,4818690,68000,"Import_kg",698,"Cloves",157,260.16,4693.05,10131.49,49040.03,0.11,0,0,608.61,9.35,2.52,1107.23,23284.34,0.4,300.69,88.29,0,0.12,0.85,0.42,40.6,281.15,65.27,4289.96,1512.12,3914.37,0,0,36.14,4.57,0
"46","Ireland","Cocoa, beans",0.0115,4818690,140000,"Import_kg",661,"Cocoa Beans",153,57.6,4076.59,10447.15,14627.83,0,0,0,27.1,1.28,1.72,253.52,9347.66,0.96,2.08,148.17,0,0,0.47,0,3.03,126.07,0.97,5815.13,4015.07,217.27,0,0,0.98,1,0
"47","Ireland","Cocoa, butter",0.0115,4818690,4284000,"Import_kg",664,"Cocoa Beans",153,1762.62,124743.67,319682.71,447611.46,0,0,0.25,829.2,39.23,52.65,7757.83,286038.41,29.28,63.78,4533.98,1.31,1.53,14.27,0.91,92.77,3857.65,29.66,177942.95,122861.23,6648.46,0,0,30,30.75,0
"48","Ireland","Cocoa, paste",0.0115,4818690,2111000,"Import_kg",662,"Cocoa Beans",153,868.55,61469.16,157528.06,220566.71,0,0,0.12,408.6,19.33,25.94,3822.78,140949.37,14.43,31.43,2234.18,0.65,0.75,7.03,0.45,45.71,1900.91,14.62,87683.84,60541.56,3276.12,0,0,14.78,15.15,0
"49","Ireland","Cocoa, powder & cake",0.0115,4818690,544000,"Import_kg",665,"Cocoa Beans",153,223.82,15840.47,40594.63,56839.55,0,0,0,105.3,4.98,6.69,985.12,36322.34,3.72,8.1,575.74,0.17,0.19,1.81,0.12,11.78,489.86,3.77,22595.93,15601.43,844.25,0,0,3.81,3.91,0
"50","Ireland","Coconuts",0.04,4818690,151000,"Import_kg",249,"Coconuts - Incl Copra",58,24.87,262.84,2204.85,985.76,0.19,0,0,1.46,0.22,0.13,25.61,505.73,0,1.66,8.24,0,0,0,0,0.95,2.27,0.29,2338.39,208.58,53.51,0,0,4.15,0,3.25
"51","Ireland","Coconuts, desiccated",0.04,4818690,1361000,"Import_kg",250,"Coconuts - Incl Copra",58,224.19,2369.03,19872.81,8884.92,1.69,0,0,13.18,2.03,1.16,230.84,4558.3,0.36,14.96,74.31,0,0,0.48,0,8.54,20.47,2.65,21076.52,1880,482.27,0,0,37.45,0.72,29.3
"52","Ireland","Coffee, extracts",0.00312,4818690,4654000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,11144.11,422083.08,100296.97,2427558.11,0,0.15,1.61,3455.6,230.62,15.79,75625.15,721271.41,6.44,2569.34,11334.49,12.78,2.94,546.8,23.12,414.81,7553.23,34.05,18666.38,11020.28,37920.92,0,0,187.59,251.98,0
"53","Ireland","Coffee, green",0.00312,4818690,11003000,"Import_kg",656,"Coffee",152,13560.07,827326.56,1091774.73,2649330.27,73.19,0.29,1.27,7541.32,252.87,38.84,162900.33,0,15.12,2602.86,20801.76,10.54,36.57,811.48,1.7,3152.04,13674.61,27.88,2424.65,18184.87,1212.32,0,0,384.41,424.25,0
"54","Ireland","Coffee, roasted",0.00312,4818690,6556000,"Import_kg",657,"Coffee",152,8079.6,492952.19,650520.33,1578570.32,43.61,0.17,0.76,4493.4,150.67,23.14,97062.12,0,9.01,1550.88,12394.47,6.28,21.79,483.51,1.02,1878.11,8147.84,16.61,1444.7,10835.23,722.35,0,0,229.05,252.79,0
"55","Ireland","Coffee, substitutes containing coffee",0.00312,4818690,86000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,205.93,7799.56,1853.36,44858.19,0,0,0,63.86,4.26,0.29,1397.46,13328.18,0.12,47.48,209.45,0.24,0,10.1,0.43,7.67,139.57,0.63,344.93,203.64,700.73,0,0,3.47,4.66,0
"56","Ireland","Copra",0.04,4818690,9000,"Import_kg",251,"Coconuts - Incl Copra",58,1.48,15.67,131.41,58.75,0,0,0,0,0,0,1.53,30.14,0,0,0.49,0,0,0,0,0,0.14,0,139.37,12.43,3.19,0,0,0.25,0,0.19
"57","Ireland","Cranberries",0.0513333333333333,4818690,656000,"Import_kg",554,"Cranberries",137,12.2,103.43,34.48,3235.45,3.53,0,0,2.12,0,0,22.54,1219.93,0,0.53,3.45,0,0,0,0,1.46,1.59,0,2.92,4.77,14.59,0,0,23.11,0,0.53
"58","Ireland","Cucumbers and gherkins",0.0675,4818690,8526000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,36.59,1691.49,309.93,6632.62,25.91,0,0,41.94,1.17,0.5,373.68,1710.07,0.14,17.4,95.08,0,0,0.5,0.1,15.73,32.77,0.21,87.81,6.55,68.15,0,0,251.01,1.09,40.63
"59","Ireland","Currants",0.038,4818690,168000,"Production_kg/Import_kg",550,"Currants",135,11.49,165.15,23.17,2742.81,9.27,0,0,6.26,0.28,0,27.39,243.13,0,0.15,6.51,0,0,0,0,0.7,1.7,0,2.34,3.95,12.25,0,0,6.1,0.11,0.18
