"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ireland","Apples",0.121111111111111,4818690,19880000,"Production_kg",515,"Apples",119,191.22,1057.42,1003.49,44573.54,49.46,0,0,26.4,2.39,0.22,350.38,4825.82,0,19.84,36.98,0.15,0,0.64,0.14,552.53,15.9,0.12,132.85,28.95,223.12,0,0,287.86,0.88,34.06
"2","Ireland","Barley",0.04775,4818690,1479600000,"Production_kg",44,"Barley",3,221299.65,5880333.03,894849.11,47943663.41,428.7,0.16,13.5,35849.81,5001.88,1625.62,165584.31,5326563.36,411.12,13761.18,188073.41,169.12,83.18,3438.49,185.84,24307.13,49943.23,914.2,233425.65,142756.18,536300.26,0,0,7550.82,1178.06,0
"3","Ireland","Broad beans, horse beans, dry",0.052,4818690,37760000,"Production_kg",181,"Broad beans; horse beans; dry",32,5040.76,361635.19,23935.43,828798.93,41.04,0,6.37,1493.32,121.69,52.62,17980.96,291846.53,12.39,274.77,5748.58,5.83,4.36,39.7,5.55,1443.66,2885.81,24.5,3797.52,4543.46,9094.46,0,0,157.12,45.28,406.88
"4","Ireland","Cabbages and other brassicas",0.08324,4818690,25180000,"Production_kg",358,"Cabbages and other brassicas",78,168.65,14257.5,1913.35,27512.3,384.97,1.45,0.39,770.38,10.86,2.14,1792.64,13854.05,0.97,246.76,442.59,0.38,0.65,4.86,1.13,154.78,153.28,1.59,215.37,112.51,551.46,0,0,570.28,6.94,173.26
"5","Ireland","Carrots and turnips",0.0830718954248366,4818690,52990000,"Production_kg",426,"Carrots and turnips",96,400.23,17333.96,3099.62,77663.6,362.38,8.06,0.29,878.1,20.53,3.42,3852.6,26881.88,0.78,624.88,1576.99,0.68,1.23,10.26,2.41,1384.66,161.06,1.89,428.02,194.15,1001.65,0,0,1181.44,16.61,304.47
"6","Ireland","Cauliflowers and broccoli",0.103835520801038,4818690,9300000,"Production_kg",393,"Cauliflowers and broccoli",84,53.28,5757.53,600.98,7563.03,150.31,1.01,0.11,81.48,2.02,0.78,550.7,3531.52,0,55.64,201.88,0.2,0.2,1.33,0.33,117.72,33.46,0.34,115.7,34.85,59.94,0,0,160.99,2.01,89.22
"7","Ireland","Cucumbers and gherkins",0.0675,4818690,1730000,"Production_kg",397,"Cucumbers and gherkins",86,7.43,343.22,62.89,1345.82,5.26,0,0,8.51,0.24,0.1,75.82,346.99,0,3.53,19.29,0,0,0.1,0,3.19,6.65,0,17.82,1.33,13.83,0,0,50.93,0.22,8.24
"8","Ireland","Currants",0.038,4818690,150000,"Production_kg",550,"Currants",135,10.26,147.45,20.68,2448.93,8.27,0,0,5.59,0.25,0,24.45,217.08,0,0.14,5.82,0,0,0,0,0.62,1.52,0,2.09,3.52,10.94,0,0,5.45,0,0.16
"9","Ireland","Leeks, other alliaceous vegetables",0.083270092226614,4818690,2920000,"Production_kg",407,"Leeks; other alliaceous veg.",91,34.67,1558.94,216.7,6986.12,13.89,0,0,45.18,1.91,0.42,135.27,1353.56,0,9.76,53.82,0,0,1.67,0.13,5.35,42.21,0.45,54.82,26.44,122.01,0,0,62.48,0.63,20.38
"10","Ireland","Lettuce and chicory",0.0865961538461538,4818690,5680000,"Production_kg",372,"Lettuce and chicory",81,23.52,1951.27,337.82,3798.73,15.11,0.24,0.1,72.31,1.58,0.56,349.49,2411.26,0,34.5,91.84,0,0.1,0.56,0.11,43.9,18.57,0.32,49.68,10.1,114.23,0,0,127.37,1.43,23.14
"11","Ireland","Mushrooms and truffles",0.0389236263736264,4818690,68290000,"Production_kg",449,"Mushrooms and truffles",99,1111.04,97541.96,13768.54,184106.57,108.32,0,0.74,349.92,62,24.07,11751.17,87382.82,9.7,430.47,3772.56,3.21,11.06,137.27,4.37,1160.74,550.69,6.46,1555.21,592.95,32776.65,0,1.15,3300.58,33.96,109.23
"12","Ireland","Oats",0.0434605263157895,4818690,193030000,"Production_kg",75,"Oats",6,33674.57,1258671.57,568588.42,5975535.94,9.22,0,4.15,5427.64,487.66,314.54,37560.25,407862.82,57.7,2215.82,33494.03,48.08,11.51,115.14,10.97,0,16314.51,453.12,109546.88,202226.22,229278.82,0,0,972.27,184.48,0
"13","Ireland","Onions, dry",0.093304347826087,4818690,10290000,"Production_kg",403,"Onions",77,90.37,2634.06,321.66,19121.26,20.35,0,0,94.86,1.63,0.9,295.7,3249.92,0,22.99,119.37,0,0,0.55,0.25,13.96,27.31,0.15,77.82,55.69,127.4,0,0,206.48,1.19,18.31
"14","Ireland","Peas, dry",0.0623254069051863,4818690,2850000,"Production_kg",187,"Cow peas; dry",34,314.11,20561.24,1404.14,53416.66,0.91,0,0.38,91.67,7.34,3.98,946.39,10066.95,0.82,24.47,385.32,0.51,0.15,2.58,0.34,140.78,192.53,1.2,314.11,100.59,514.34,0,0,11.07,3.33,0
"15","Ireland","Potatoes",0.133867924528302,4818690,382370000,"Production_kg",116,"Potatoes",18,4753.45,121948.8,8056.4,1062083.68,948.01,0,0.88,543.7,62.44,24.63,22170.18,79895.47,5.24,623.24,2869.42,4.71,3.84,81.64,14.59,2074.66,1462.14,6.56,1742.71,82.99,2430.31,0,0,4526.76,62.52,1318.89
"16","Ireland","Pumpkins, squash and gourds",0.100019949494949,4818690,930000,"Production_kg",394,"Pumpkins; squash; and gourds",85,4.13,196.18,34.3,773,3.32,0,0,5.38,0.19,0,35.02,304.21,0,1.39,12.23,0,0,0.14,0,7.76,4.29,0,10.57,2.55,5.15,0,0,17.98,0.11,4.2
"17","Ireland","Rapeseed",0.0841,4818690,37490000,"Production_kg",270,"Rape and Mustardseed",56,4852.17,213143.91,352649.56,240943.28,32.84,0,1.5,3496.89,79.61,51.25,6827.27,65682.37,7.61,120.26,7067.79,8.35,1.21,40.39,3.67,1543.54,3422.88,20.57,18400.31,208314.87,93324.47,0,0,61.38,38.53,0
"18","Ireland","Raspberries",0.122789473684211,4818690,320000,"Production_kg",547,"Raspberries",133,2.92,59.49,33.8,639.26,1.52,0,0,1.76,0,0,8.17,202.81,0,0,3.76,0,0,0,0,0.67,1.19,0,1.03,3.46,20.28,0,0,4.61,0,0.22
"19","Ireland","Spinach",0.0856063829787234,4818690,3770000,"Production_kg",373,"Spinach",82,21.54,2348.76,410.69,2589.19,34.6,0.32,0.15,117.09,3.74,0.49,447.02,1846.11,0,92.53,48.31,0,0.17,0.62,0.18,17.64,59.71,0.64,42.5,9.14,79.97,0,0,83.27,1.67,25.59
"20","Ireland","Strawberries",0.127327819548872,4818690,5990000,"Production_kg",544,"Strawberries",132,33.84,851.8,364.48,7271.89,58.33,0,0,22.84,1.01,0.14,133.26,1488.83,0,2.19,23.65,0,0,0.46,0,5.56,12.69,0.38,17.08,45.4,129.36,0,0,87.85,0.39,4.88
"21","Ireland","Tomatoes",0.0714285714285714,4818690,3730000,"Production_kg",388,"Tomatoes",76,21.64,1032.87,273.05,3943.32,24.98,0,0,16.25,1.1,0.21,212.48,1241.74,0,12.08,43.69,0,0,0.87,0,7.26,14.09,0,31.43,33.05,88.32,0,0,101.86,0.58,7.04
"22","Ireland","Wheat",0.0442045454545455,4818690,595360000,"Production_kg",15,"Wheat",1,94140.1,3197843.54,513583.52,19383840.85,93.17,0,11.32,11889.9,1099.49,689.17,95620.48,1414276.26,131.37,2073.9,85629.86,92.97,57.3,1288.01,157.64,8720.44,38221.79,751.58,120185.53,79098.85,326177.94,0,0,3117.37,528.66,0
