"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Israel","Almonds, with shell",0.0296505238073522,8381516,10453000,"Production_kg/Import_kg",221,"Almonds; with shell",45,2504.32,89212.7,215171.48,75949.27,43.74,0,0.19,1020.9,13.14,15.23,3311.65,30494.67,4.27,20.29,2030.31,0.9,3.23,16.42,0.58,219.14,1352.28,8.79,16618.55,142065.23,49062.78,0,0,20.92,12.34,273.4
"2","Israel","Anise, badian, fennel, coriander",0.00195,8381516,908000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1931.02,87852.09,79615.95,259625.7,58.06,0.13,0,4518.19,178.3,25.76,8241.69,132654.68,5.21,411.11,2556.07,1.82,1.68,17.1,2.78,3043.62,1750,15.15,4678.9,60483.5,14601.15,0,0,55.34,37.4,0
"3","Israel","Apples",0.121111111111111,8381516,144534000,"Production_kg/Import_kg",515,"Apples",119,799.28,4419.86,4194.42,186310.44,206.72,0,0,110.35,9.98,0.91,1464.53,20171.17,0.41,82.94,154.59,0.65,0.4,2.67,0.57,2309.48,66.45,0.5,555.3,121.03,932.62,0,0,1203.2,3.66,142.38
"4","Israel","Apricots",0.03995,8381516,7006000,"Production_kg/Import_kg",526,"Apricots",125,103.36,2092.33,535.04,23819.12,13.98,0.27,0,35.57,1.66,0.46,610.26,2859.52,0.16,2.77,49.87,0,0.23,1.63,0.11,5.86,20.92,0.16,59.63,355.7,164.25,0,0,179.12,1.65,17.78
"5","Israel","Artichokes",0.1,8381516,2292000,"Production_kg",366,"Artichokes",79,15.18,715.64,47.86,3172.81,2.26,0,0,22.78,0.37,0,93.61,674.53,0,29.02,26.8,0,0,0.16,0,9.41,16.41,0,11.76,2.05,16.95,0,0,23.58,0.35,16.41
"6","Israel","Asparagus",0.0845294117647059,8381516,107000,"Production_kg",367,"Asparagus",80,0.31,32.58,3.06,45.99,0.33,0,0,0.32,0,0,3.27,36.75,0,0,1.27,0,0,0,0,0.24,0.21,0,0.68,0,1.06,0,0,1.4,0,0.71
"7","Israel","Avocados",0.048,8381516,138766000,"Production_kg",572,"Avocados",141,5024.69,55478.58,485908.95,149695.58,441.23,1.17,2.01,709.3,33.14,16.64,17592.19,151190.24,7.28,227.52,5855.03,2.17,4.84,47.77,10.53,489.79,1043.39,4.9,82487.78,273944.64,57394.8,0,0,2652.21,40.48,1310.7
"8","Israel","Bananas",0.04075,8381516,144012000,"Production_kg/Import_kg",486,"Bananas",117,4247.56,51261.67,9803.28,984303.62,448.9,1.55,0.79,415.4,33.68,6.96,14327.55,65930.18,3.89,267.61,1069.45,2.25,2.13,35.9,14.72,413.21,1194.67,11.38,4680.28,1096.28,2382.3,0,0,3071.41,34.95,1496.85
"9","Israel","Barley",0.04775,8381516,265791000,"Production_kg/Import_kg",44,"Barley",3,22855.1,607301.4,92417.06,4951463.41,44.27,0,1.39,3702.45,516.58,167.89,17101,550109.89,42.46,1421.21,19423.6,17.47,8.59,355.12,19.19,2510.36,5157.97,94.42,24107.43,14743.39,55387.32,0,0,779.82,121.67,0
"10","Israel","Beans, dry",0.1145,8381516,7307000,"Import_kg",176,"Beans",30,250.89,16211.77,1045.34,44161.71,1.38,0,0.31,106.53,5.55,2.22,890.29,9443.38,0.66,11.89,294.47,0.34,0.17,1.52,0.3,84.06,131.64,0.99,235.36,104.51,362.09,0,0,8.93,2.91,0
