"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Jamaica","Alfalfa meal and pellets",0.0651708222811671,2934847,564000,"Import_kg",862,"Mixed grain",12,102.69,3370.79,731.29,21731.2,0,0,0,7.25,0.98,0.77,101.63,3115.86,0.14,1.61,93.2,0.12,0,1.27,0,9.63,34.95,0.76,129.55,157.01,307.47,0,0,3.17,0.48,0
"2","Jamaica","Almonds shelled",0.0296505238073522,2934847,66000,"Import_kg",231,"Almonds; with shell",45,45.16,1608.67,3879.94,1369.51,0.79,0,0,18.41,0.24,0.27,59.72,549.88,0,0.37,36.61,0,0,0.3,0,3.95,24.38,0.16,299.66,2561.7,884.69,0,0,0.38,0.22,4.93
"3","Jamaica","Anise, badian, fennel, coriander",0.00195,2934847,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,607.35,27631.43,25040.98,81658.04,18.26,0,0,1421.07,56.08,8.1,2592.19,41722.84,1.64,129.3,803.94,0.57,0.53,5.38,0.87,957.29,550.42,4.77,1471.62,19023.4,4592.39,0,0,17.41,11.76,0
"4","Jamaica","Apples",0.121111111111111,2934847,1127000,"Import_kg",515,"Apples",119,17.8,98.42,93.4,4148.85,4.6,0,0,2.46,0.22,0,32.61,449.18,0,1.85,3.44,0,0,0,0,51.43,1.48,0,12.37,2.7,20.77,0,0,26.79,0,3.17
"5","Jamaica","Apricots, dry",0.03995,2934847,3000,"Import_kg",527,"Apricots",125,0.13,2.56,0.65,29.13,0,0,0,0,0,0,0.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0.43,0.2,0,0,0.22,0,0
"6","Jamaica","Asparagus",0.0845294117647059,2934847,227000,"Import_kg",367,"Asparagus",80,1.85,197.38,18.56,278.62,1.98,0,0,1.92,0,0,19.83,222.66,0,0.42,7.67,0,0,0,0,1.46,1.28,0,4.12,0.46,6.41,0,0,8.49,0,4.3
"7","Jamaica","Avocados",0.048,2934847,28000,"Import_kg",572,"Avocados",141,2.9,31.97,280.01,86.26,0.25,0,0,0.41,0,0,10.14,87.12,0,0.13,3.37,0,0,0,0,0.28,0.6,0,47.53,157.86,33.07,0,0,1.53,0,0.76
"8","Jamaica","Barley",0.04775,2934847,18000,"Import_kg",44,"Barley",3,4.42,117.46,17.87,957.64,0,0,0,0.72,0,0,3.31,106.39,0,0.27,3.76,0,0,0,0,0.49,1,0,4.66,2.85,10.71,0,0,0.15,0,0
"9","Jamaica","Beans, dry",0.1145,2934847,8359000,"Import_kg",176,"Beans",30,819.68,52964.25,3415.15,144277.36,4.51,0,1.02,348.04,18.14,7.26,2908.59,30851.74,2.17,38.85,962.05,1.12,0.55,4.97,0.96,274.62,430.07,3.24,768.91,341.43,1182.95,0,0,29.16,9.5,0
"10","Jamaica","Beans, green",0.0843965476190476,2934847,2000,"Import_kg",414,"Beans; green",92,0,3.68,0.44,6.04,0,0,0,0,0,0,0.24,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Jamaica","Beet pulp",0.125770747489689,2934847,48000,"Import_kg",169,"Roots and tubers; nes",23,1.33,25.21,9.97,282.1,0.19,0,0,0.43,0,0,6.31,23.13,0,0.2,0.87,0,0,0,0,0.28,0.56,0,0.27,0,0.59,0,0,0.94,0,0.28
"12","Jamaica","Blueberries",0.134028846153846,2934847,22000,"Import_kg",552,"Blueberries",136,0.32,4.14,1.85,81.04,0,0,0,0,0,0,0.43,13.42,0,0,0,0,0,0,0,0,0,0,0.16,0.26,0.82,0,0,0.47,0,0
