"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Jamaica","Alfalfa meal and pellets",0.0651708222811671,2934847,564000,"Import_kg",862,"Mixed grain",12,102.69,3370.79,731.29,21731.2,0,0,0,7.25,0.98,0.77,101.63,3115.86,0.14,1.61,93.2,0.12,0,1.27,0,9.63,34.95,0.76,129.55,157.01,307.47,0,0,3.17,0.48,0
"2","Jamaica","Almonds shelled",0.0296505238073522,2934847,66000,"Import_kg",231,"Almonds; with shell",45,45.16,1608.67,3879.94,1369.51,0.79,0,0,18.41,0.24,0.27,59.72,549.88,0,0.37,36.61,0,0,0.3,0,3.95,24.38,0.16,299.66,2561.7,884.69,0,0,0.38,0.22,4.93
"3","Jamaica","Anise, badian, fennel, coriander",0.00195,2934847,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,607.35,27631.43,25040.98,81658.04,18.26,0,0,1421.07,56.08,8.1,2592.19,41722.84,1.64,129.3,803.94,0.57,0.53,5.38,0.87,957.29,550.42,4.77,1471.62,19023.4,4592.39,0,0,17.41,11.76,0
"4","Jamaica","Apples",0.121111111111111,2934847,1127000,"Import_kg",515,"Apples",119,17.8,98.42,93.4,4148.85,4.6,0,0,2.46,0.22,0,32.61,449.18,0,1.85,3.44,0,0,0,0,51.43,1.48,0,12.37,2.7,20.77,0,0,26.79,0,3.17
"5","Jamaica","Apricots, dry",0.03995,2934847,3000,"Import_kg",527,"Apricots",125,0.13,2.56,0.65,29.13,0,0,0,0,0,0,0.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0.43,0.2,0,0,0.22,0,0
"6","Jamaica","Asparagus",0.0845294117647059,2934847,227000,"Import_kg",367,"Asparagus",80,1.85,197.38,18.56,278.62,1.98,0,0,1.92,0,0,19.83,222.66,0,0.42,7.67,0,0,0,0,1.46,1.28,0,4.12,0.46,6.41,0,0,8.49,0,4.3
"7","Jamaica","Avocados",0.048,2934847,2349000,"Production_kg/Import_kg",572,"Avocados",141,242.91,2682.02,23490.48,7236.79,21.33,0,0,34.29,1.6,0.8,850.47,7309.05,0.35,11,283.05,0.11,0.23,2.31,0.51,23.68,50.44,0.24,3987.74,13243.41,2774.66,0,0,128.22,1.96,63.36
"8","Jamaica","Bananas",0.04075,2934847,63653000,"Production_kg",486,"Bananas",117,5361.63,64706.82,12374.53,1242471.37,566.64,1.95,0.99,524.35,42.52,8.78,18085.44,83222.65,4.91,337.8,1349.95,2.85,2.69,45.32,18.58,521.59,1508.01,14.37,5907.84,1383.82,3007.14,0,0,3876.99,44.12,1889.44
"9","Jamaica","Barley",0.04775,2934847,18000,"Import_kg",44,"Barley",3,4.42,117.46,17.87,957.64,0,0,0,0.72,0,0,3.31,106.39,0,0.27,3.76,0,0,0,0,0.49,1,0,4.66,2.85,10.71,0,0,0.15,0,0
"10","Jamaica","Beans, dry",0.1145,2934847,8487000,"Production_kg/Import_kg",176,"Beans",30,832.23,53775.29,3467.45,146486.65,4.58,0,1.03,353.37,18.42,7.38,2953.13,31324.17,2.2,39.45,976.79,1.14,0.56,5.05,0.98,278.83,436.65,3.29,780.69,346.66,1201.06,0,0,29.61,9.65,0
"11","Jamaica","Beans, green",0.0843965476190476,2934847,2000,"Import_kg",414,"Beans; green",92,0,3.68,0.44,6.04,0,0,0,0,0,0,0.24,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
