"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kazakhstan","Almonds, with shell",0.0296505238073522,18319618,833000,"Import_kg",221,"Almonds; with shell",45,91.31,3252.65,7845.04,2769.07,1.59,0,0,37.22,0.48,0.56,120.74,1111.82,0.16,0.74,74.02,0,0.12,0.6,0,7.99,49.3,0.32,605.9,5179.62,1788.8,0,0,0.76,0.45,9.97
"2","Kazakhstan","Apples",0.121111111111111,18319618,144426000,"Import_kg",515,"Apples",119,365.41,2020.64,1917.58,85176.29,94.51,0,0,50.45,4.56,0.42,669.54,9221.74,0.19,37.92,70.67,0.3,0.18,1.22,0.26,1055.83,30.38,0.23,253.87,55.33,426.37,0,0,550.07,1.67,65.09
"3","Kazakhstan","Apricots",0.03995,18319618,36663000,"Import_kg",526,"Apricots",125,247.47,5009.5,1281,57028.2,33.48,0.64,0,85.16,3.98,1.1,1461.11,6846.32,0.39,6.64,119.39,0.12,0.56,3.91,0.27,14.03,50.1,0.39,142.77,851.62,393.25,0,0,428.85,3.96,42.58
"4","Kazakhstan","Artichokes",0.1,18319618,1000,"Import_kg",366,"Artichokes",79,0,0.14,0,0.63,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Kazakhstan","Barley",0.04775,18319618,38485000,"Import_kg",44,"Barley",3,1514.05,40231.08,6122.23,328012.93,2.93,0,0,245.27,34.22,11.12,1132.87,36442.39,2.81,94.15,1286.73,1.16,0.57,23.52,1.27,166.3,341.69,6.25,1597.01,976.69,3669.17,0,0,51.66,8.06,0
"6","Kazakhstan","Beans, dry",0.1145,18319618,3863000,"Import_kg",176,"Beans",30,60.69,3921.23,252.84,10681.63,0.33,0,0,25.77,1.34,0.54,215.34,2284.12,0.16,2.88,71.23,0,0,0.37,0,20.33,31.84,0.24,56.93,25.28,87.58,0,0,2.16,0.7,0
"7","Kazakhstan","Beans, green",0.0843965476190476,18319618,235000,"Import_kg",414,"Beans; green",92,0.73,69.31,8.27,113.73,0.35,0,0,0.96,0,0,4.42,34.06,0,0.25,1.62,0,0,0,0,0.12,0.46,0,0.74,0.28,1.43,0,0,1.26,0,0.19
"8","Kazakhstan","Buckwheat",0.0421111111111111,18319618,5860000,"Import_kg",89,"Buckwheat",9,250.48,8080.24,2050.92,52336.39,0,0,0,31.9,5.37,2.04,312.2,7064.27,0.48,4.6,266.62,0.3,0.22,4.34,0.16,0,173.95,0.99,562.86,789.98,789.22,0,0,10.13,1.67,0
"9","Kazakhstan","Cabbages and other brassicas",0.08324,18319618,59425000,"Import_kg",358,"Cabbages and other brassicas",78,104.69,8850.53,1187.74,17078.63,238.98,0.9,0.24,478.23,6.74,1.33,1112.8,8600.08,0.6,153.18,274.74,0.24,0.4,3.02,0.7,96.08,95.15,0.99,133.69,69.84,342.33,0,0,354.01,4.31,107.55
"10","Kazakhstan","Carrots and turnips",0.0830718954248366,18319618,37941000,"Import_kg",426,"Carrots and turnips",96,75.38,3264.56,583.76,14626.65,68.25,1.52,0,165.38,3.87,0.64,725.57,5062.76,0.15,117.69,297,0.13,0.23,1.93,0.45,260.78,30.33,0.36,80.61,36.57,188.64,0,0,222.51,3.13,57.34
"11","Kazakhstan","Cauliflowers and broccoli",0.103835520801038,18319618,6159000,"Import_kg",393,"Cauliflowers and broccoli",84,9.28,1002.94,104.69,1317.45,26.18,0.18,0,14.19,0.35,0.14,95.93,615.18,0,9.69,35.17,0,0,0.23,0,20.51,5.83,0,20.16,6.07,10.44,0,0,28.04,0.35,15.54
"12","Kazakhstan","Cherries",0.1289,18319618,8171000,"Import_kg",531,"Cherries",127,15.77,376.59,59.98,3603.26,4.33,0,0,9.55,0.18,0,85.99,363.32,0,0.52,8.1,0,0,0.24,0,2.11,3.81,0,13.15,16.26,17.99,0,0,28.5,0.24,2.77
"13","Kazakhstan","Cherries, sour",0.028,18319618,156000,"Import_kg",530,"Sour cherries",126,1.44,33.45,8.11,338.39,0.3,0,0,0.42,0,0,5.26,36.49,0,0.17,0.5,0,0,0,0,0.19,0.27,0,2.07,2.49,2.74,0,0,2.65,0,0.33
"14","Kazakhstan","Chick peas",0.04575,18319618,657000,"Import_kg",191,"Chick peas",33,27.61,1524.19,394.6,4571.38,0.16,0,0,10.69,0.54,0.27,63.42,598.37,0,1.57,24.33,0,0,0.14,0,11.5,7.76,0.88,48.33,106.88,208.56,0,0,0.82,0.23,0
"15","Kazakhstan","Chillies and peppers, dry",4e-04,18319618,14458000,"Import_kg",689,"Pimento",156,47443.58,2021924.24,1761118.98,8096749,14883.16,133.94,10.8,40933.15,1440.31,521.37,359484.52,4384053.75,130.17,89525.85,36682.27,55.08,85.93,1088.52,340.1,10161.06,30285.88,429.66,522850.69,335742.49,1216433.52,0,0,5530.05,1180.66,0
"16","Kazakhstan","Chillies and peppers, green",0.0664142191142191,18319618,18872000,"Import_kg",401,"Chillies and peppers; green",88,60.79,2761.71,1030.79,10714.8,178.87,0.19,0,42.88,2.52,0.48,437.3,4986.28,0.24,11,158.02,0.2,0.19,1.84,0.55,12.53,55.96,0.37,64.68,27.67,283.04,0,0,136.91,1.37,25.68
"17","Kazakhstan","Cucumbers and gherkins",0.0675,18319618,5931000,"Import_kg",397,"Cucumbers and gherkins",86,6.7,309.5,56.71,1213.61,4.74,0,0,7.67,0.21,0,68.37,312.9,0,3.18,17.4,0,0,0,0,2.88,6,0,16.07,1.2,12.47,0,0,45.93,0.2,7.43
"18","Kazakhstan","Eggplants (aubergines)",0.082,18319618,1902000,"Import_kg",399,"Eggplants (aubergines)",87,3.45,146.14,91.63,669.86,0.84,0,0,2.17,0,0,25.43,262.45,0,0.68,5.54,0,0,0.16,0,3.73,1.62,0,3.42,1.65,7.34,0,0,11.62,0.15,2.6
"19","Kazakhstan","Fruit, fresh nes",0.107099201828105,18319618,3691000,"Import_kg",619,"Fresh fruit; nes",147,16.93,287.32,143.29,3625.65,7.34,0,0,10.09,0.69,0,52.41,653.3,0,2.1,7.87,0,0,0.19,0,13.14,6,0,23.03,15.87,21.93,0,0,14.24,0.17,5.24
"20","Kazakhstan","Garlic",0.00732,18319618,2772000,"Import_kg",406,"Garlic",90,252.14,10503.2,517.42,52807.94,27.46,0,0,106.25,2.87,2.41,912.63,3281.55,1,36.01,419.22,0.29,0.17,1.11,2.09,47.96,80.62,2.76,185.01,21.7,495.08,0,0,135.21,3,26.87
"21","Kazakhstan","Grapes",0.1235,18319618,73429000,"Import_kg",560,"Grapes",122,199.66,1742.25,768.6,47404.56,16.68,0,0,48.51,2,0.23,588.09,6861.96,0.32,10.44,65.99,0.14,0.43,0.71,0.32,18.17,87.63,2.24,387.3,44.36,302.92,0,0,270.19,1.54,45.44
"22","Kazakhstan","Leeks, other alliaceous vegetables",0.083270092226614,18319618,6369000,"Import_kg",407,"Leeks; other alliaceous veg.",91,19.89,894.4,124.32,4008.09,7.97,0,0,25.92,1.09,0.24,77.6,776.57,0,5.6,30.88,0,0,0.96,0,3.07,24.22,0.26,31.45,15.17,70,0,0,35.85,0.36,11.69
"23","Kazakhstan","Lentils",0.0454634146341463,18319618,761000,"Import_kg",201,"Lentils",36,30,2111.12,95.54,5127.6,0.16,0,0,6.3,0.85,0.26,76.2,1053.05,0.11,1.05,29.81,0,0,0.2,0,18.06,7.01,0.11,12.97,16.13,40.02,0,0,1.05,0.25,0
"24","Kazakhstan","Linseed",0.0178426203877423,18319618,1573000,"Import_kg",333,"Oilcrops; Other",62,250.96,9201.29,18713.09,13097.11,1.11,0,0,163.07,8.27,2.09,346.49,5943.2,0.58,15.9,265.65,0.24,0.15,1.52,0.26,21.05,160.13,1.41,2115.13,4842.27,12705.82,0,0,2.77,2.09,11.16
"25","Kazakhstan","Maize",0.0869363057324841,18319618,7543000,"Import_kg",56,"Maize",4,167.35,4093.41,1621.12,34181.84,0.32,0,0,9.88,1.54,0.85,139.53,2452.81,0,4.43,103.67,0.13,0,1.22,0.17,0,51.94,0.11,280.26,609.9,1144.14,0,0,5.9,0.59,0
"26","Kazakhstan","Melons, other (inc.cantaloupes)",0.179843076923077,18319618,2025000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,1.75,33.26,9.35,395.46,1.43,0,0,0.94,0,0,15.72,42.15,0,0.75,1.01,0,0,0,0,0.47,0.66,0,2.34,0.16,3.67,0,0,5.68,0,2.93
"27","Kazakhstan","Millet",0.0477,18319618,101000,"Import_kg",79,"Millet",7,3.97,107.08,43.49,813.84,0,0,0,0.69,0,0,3,64.36,0,0.12,2.91,0,0,0,0,8.65,1.52,0,8.36,8.93,24.66,0,0,0.13,0,0
"28","Kazakhstan","Mushrooms and truffles",0.0389236263736264,18319618,1933000,"Import_kg",449,"Mushrooms and truffles",99,8.27,726.24,102.51,1370.74,0.81,0,0,2.61,0.46,0.18,87.49,650.6,0,3.21,28.09,0,0,1.02,0,8.64,4.1,0,11.58,4.41,244.03,0,0,24.57,0.25,0.81
"29","Kazakhstan","Mustard seed",0.0841,18319618,39000,"Import_kg",292,"Rape and Mustardseed",56,1.33,58.32,96.5,65.93,0,0,0,0.96,0,0,1.87,17.97,0,0,1.93,0,0,0,0,0.42,0.94,0,5.03,57,25.54,0,0,0,0,0
"30","Kazakhstan","Nuts nes",0.0310679900238414,18319618,610000,"Import_kg",234,"Nuts; nes",51,59.39,1553.01,4677.69,3389.87,0.19,0,0,13.09,0.48,0.37,50.43,402.27,0,3.89,54.16,0,0,0.19,0,5.16,21.54,0.53,1290.92,3498.7,2209.81,0,0,0.73,0.26,5.89
"31","Kazakhstan","Oats",0.0434605263157895,18319618,1497000,"Import_kg",75,"Oats",6,68.69,2567.57,1159.87,12189.52,0,0,0,11.07,0.99,0.64,76.62,832,0.12,4.52,68.32,0,0,0.23,0,0,33.28,0.92,223.47,412.52,467.71,0,0,1.98,0.38,0
"32","Kazakhstan","Oilseeds nes",0.0178426203877423,18319618,16438000,"Import_kg",339,"Oilcrops; Other",62,2622.58,96154.37,195553.58,136866,11.62,0,0.37,1704.14,86.41,21.79,3620.82,62107.05,6.07,166.21,2776.1,2.47,1.53,15.89,2.68,220.01,1673.37,14.7,22103.32,50602.16,132777.07,0,0,28.92,21.86,116.67
"33","Kazakhstan","Onions, dry",0.093304347826087,18319618,124257000,"Import_kg",403,"Onions",77,287.04,8366.5,1021.67,60734.38,64.64,0,0,301.32,5.17,2.86,939.22,10322.64,0.2,73.02,379.16,0.24,0.27,1.75,0.8,44.34,86.75,0.47,247.16,176.89,404.67,0,0,655.84,3.78,58.16
"34","Kazakhstan","Peaches and nectarines",0.105333333333333,18319618,57559000,"Import_kg",534,"Peaches and nectarines",128,143.41,2480.24,516.03,33433.99,43.73,0.1,0,30.76,1.92,0.47,623.42,3519.76,0.23,3.99,73.78,0,0.13,2.1,0,18.34,26.85,0.17,50.11,164.06,190.31,0,0,252.34,1.7,25.35
"35","Kazakhstan","Pears",0.04975,18319618,16074000,"Import_kg",521,"Pears",123,91.44,799.53,528.12,22277.52,7.57,0,0,20.41,3.34,0.4,190.48,3468.53,0.14,6.04,23.08,0,0,0.36,0,8.99,12.35,0,37.04,144.62,162.26,0,0,149.66,0.51,20.28
"36","Kazakhstan","Peas, dry",0.0623254069051863,18319618,3698000,"Import_kg",187,"Cow peas; dry",34,107.2,7017.53,479.23,18231.03,0.31,0,0.13,31.29,2.5,1.36,323,3435.84,0.28,8.35,131.51,0.17,0,0.88,0.11,48.05,65.71,0.41,107.2,34.33,175.54,0,0,3.78,1.14,0
"37","Kazakhstan","Peas, green",0.0753287037037037,18319618,267000,"Import_kg",417,"Peas; green",93,1.24,152,7.55,217.34,0.61,0,0,0.71,0,0,4.2,63.07,0,0.2,2.6,0,0,0,0,0.44,0.59,0,1.16,0.62,2.75,0,0,1.37,0,0.79
"38","Kazakhstan","Plums and sloes",0.0704444444444444,18319618,24319000,"Import_kg",536,"Plums and sloes",129,101.38,1388.2,554.03,23336.92,29.26,0,0,34.52,1.53,0.19,370.61,1570.37,0.11,1.26,46.35,0,0.15,1.16,0,3.58,13.19,0,63.13,503.15,163.95,0,0,157.5,0.97,12.25
"39","Kazakhstan","Potatoes",0.133867924528302,18319618,10404000,"Import_kg",116,"Potatoes",18,34.02,872.78,57.66,7601.3,6.78,0,0,3.89,0.45,0.18,158.67,571.81,0,4.46,20.54,0,0,0.58,0.1,14.85,10.46,0,12.47,0.59,17.39,0,0,32.4,0.45,9.44
