"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kazakhstan","Almonds, with shell",0.0296505238073522,18319618,85000,"Production_kg",221,"Almonds; with shell",45,9.32,331.9,800.51,282.56,0.16,0,0,3.8,0,0,12.32,113.45,0,0,7.55,0,0,0,0,0.82,5.03,0,61.83,528.53,182.53,0,0,0,0,1.02
"2","Kazakhstan","Apples",0.121111111111111,18319618,216540000,"Production_kg",515,"Apples",119,547.86,3029.58,2875.05,127706.05,141.7,0,0,75.64,6.84,0.62,1003.86,13826.28,0.28,56.85,105.96,0.44,0.28,1.83,0.39,1583.03,45.55,0.34,380.63,82.96,639.26,0,0,824.73,2.51,97.6
"3","Kazakhstan","Apricots",0.03995,18319618,22089000,"Production_kg",526,"Apricots",125,149.1,3018.16,771.79,34358.78,20.17,0.39,0,51.31,2.4,0.66,880.3,4124.82,0.24,4,71.93,0,0.34,2.35,0.16,8.45,30.18,0.23,86.02,513.09,236.93,0,0,258.38,2.38,25.65
"4","Kazakhstan","Artichokes",0.1,18319618,662000,"Production_kg",366,"Artichokes",79,2.01,94.57,6.32,419.27,0.3,0,0,3.01,0,0,12.37,89.14,0,3.83,3.54,0,0,0,0,1.24,2.17,0,1.55,0.27,2.24,0,0,3.12,0,2.17
"5","Kazakhstan","Barley",0.04775,18319618,3830069000,"Production_kg",44,"Barley",3,150679.99,4003840.54,609290.85,32644202.66,291.89,0.11,9.19,24409.66,3405.71,1106.86,112744.16,3626786.14,279.93,9369.81,128056.69,115.15,56.64,2341.23,126.54,16550.4,34005.68,622.46,158936.42,97200.79,365159.71,0,0,5141.25,802.13,0
"6","Kazakhstan","Beans, dry",0.1145,18319618,196388000,"Production_kg",176,"Beans",30,3085.12,199348.3,12854.04,543035.03,16.98,0,3.83,1309.98,68.27,27.34,10947.43,116120.63,8.17,146.24,3621,4.23,2.07,18.71,3.63,1033.62,1618.7,12.19,2894.06,1285.09,4452.4,0,0,109.76,35.77,0
"7","Kazakhstan","Beans, green",0.0843965476190476,18319618,3016000,"Production_kg",414,"Beans; green",92,9.31,889.47,106.2,1459.64,4.47,0,0,12.28,0.42,0,56.78,437.09,0,3.23,20.8,0,0.19,0.17,0,1.58,5.85,0,9.49,3.58,18.34,0,0,16.21,0.22,2.42
"8","Kazakhstan","Berries nes",0.109406559397488,18319618,13654000,"Production_kg",558,"Berries; nes",138,38.56,634.04,307.04,8738.27,31.55,0,0,24.96,1.05,0.29,112.63,1961.97,0,4.11,15.33,0,0,0.33,0,6.65,11.07,0.64,12.26,28.61,148.68,0,0,58.49,0.34,0.54
"9","Kazakhstan","Buckwheat",0.0421111111111111,18319618,44998000,"Production_kg",89,"Buckwheat",9,1923.38,62046.84,15748.67,401882.71,0,0,0.17,244.98,41.27,15.63,2397.3,54245.42,3.7,35.29,2047.33,2.33,1.66,33.31,1.22,0,1335.72,7.58,4322.13,6066.15,6060.32,0,0,77.8,12.83,0
"10","Kazakhstan","Cabbages and other brassicas",0.08324,18319618,581222000,"Production_kg",358,"Cabbages and other brassicas",78,1023.99,86564.96,11616.96,167042.05,2337.37,8.78,2.38,4677.41,65.97,13,10884.06,84115.4,5.9,1498.18,2687.21,2.31,3.92,29.54,6.87,939.74,930.64,9.66,1307.63,683.13,3348.24,0,0,3462.49,42.16,1051.97
"11","Kazakhstan","Carrots and turnips",0.0830718954248366,18319618,604258000,"Production_kg",426,"Carrots and turnips",96,1200.46,51992.29,9297.14,232947.78,1086.94,24.17,0.87,2633.81,61.59,10.26,11555.66,80630.75,2.34,1874.29,4730.1,2.04,3.7,30.78,7.24,4153.21,483.08,5.68,1283.81,582.35,3004.39,0,0,3543.68,49.82,913.23
"12","Kazakhstan","Cauliflowers and broccoli",0.103835520801038,18319618,2121000,"Production_kg",393,"Cauliflowers and broccoli",84,3.2,345.39,36.05,453.7,9.02,0,0,4.89,0.12,0,33.04,211.85,0,3.34,12.11,0,0,0,0,7.06,2.01,0,6.94,2.09,3.6,0,0,9.66,0.12,5.35
"13","Kazakhstan","Cereals nes",0.0486257263475995,18319618,388088000,"Production_kg",108,"Cereals; nes",13,15171.86,567418.75,200517.26,3201719.88,46.83,0,0,6325.32,966.09,165.62,18602.68,137544.09,35.29,339.81,16582.19,15.64,11.56,63.52,21,570.71,8016.14,402.55,19561.13,25660.37,46659.19,0,0,475.48,170.75,0
"14","Kazakhstan","Cherries",0.1289,18319618,492000,"Production_kg",531,"Cherries",127,0.95,22.68,3.61,216.96,0.26,0,0,0.58,0,0,5.18,21.88,0,0,0.49,0,0,0,0,0.13,0.23,0,0.79,0.98,1.08,0,0,1.72,0,0.17
"15","Kazakhstan","Cherries, sour",0.028,18319618,248000,"Production_kg",530,"Sour cherries",126,2.29,53.18,12.89,537.95,0.48,0,0,0.66,0,0,8.36,58.02,0,0.27,0.8,0,0,0,0,0.29,0.44,0,3.29,3.96,4.35,0,0,4.21,0,0.53
"16","Kazakhstan","Chick peas",0.04575,18319618,8774000,"Production_kg",191,"Chick peas",33,368.76,20355.06,5269.75,61049.16,2.2,0,0.39,142.75,7.25,3.61,846.91,7991.06,0.96,21,324.95,0.41,0.18,1.84,0.56,153.52,103.64,11.79,645.39,1427.4,2785.18,0,0,10.99,3.11,0
"17","Kazakhstan","Chicory roots",0.0013,18319618,2905000,"Production_kg",459,"Chicory roots",100,878.25,17077.11,2439.59,213585.87,60.99,0,0.28,500.12,9.76,4.03,3537.4,18296.9,0.94,609.9,744.07,0.49,0.37,4.88,2.94,0,268.35,2.84,585.5,48.79,1061.22,0,0,975.83,10.86,219.56
"18","Kazakhstan","Chillies and peppers, dry",4e-04,18319618,452000,"Production_kg",689,"Pimento",156,1483.23,63211.35,55057.81,253128.41,465.29,4.19,0.34,1279.69,45.03,16.3,11238.55,137058.53,4.07,2798.84,1146.8,1.72,2.69,34.03,10.63,317.66,946.83,13.43,16345.86,10496.31,38029.32,0,0,172.89,36.91,0
"19","Kazakhstan","Chillies and peppers, green",0.0664142191142191,18319618,213910000,"Production_kg",401,"Chillies and peppers; green",88,689.03,31303.41,11683.82,121449.97,2027.48,2.19,0.52,486,28.57,5.48,4956.65,56518.36,2.73,124.71,1791.16,2.22,2.11,20.87,6.24,141.97,634.28,4.15,733.14,313.69,3208.14,0,0,1551.89,15.54,291.07
"20","Kazakhstan","Cucumbers and gherkins",0.0675,18319618,494672000,"Production_kg",397,"Cucumbers and gherkins",86,558.45,25813.97,4729.82,101220.78,395.42,0.19,0.37,640.05,17.8,7.67,5702.71,26097.47,2.16,265.52,1450.96,1.05,1.27,7.63,1.6,240.02,500.04,3.16,1340.11,100.01,1040.09,0,0,3830.62,16.62,620.05
"21","Kazakhstan","Eggplants (aubergines)",0.082,18319618,108065000,"Production_kg",399,"Eggplants (aubergines)",87,196.22,8303.44,5205.87,38059.29,47.45,0,0.2,123.12,4.38,1.38,1444.66,14911.6,0.72,38.58,315.03,0.36,0.65,9.27,0.63,211.86,92.32,1.67,194.23,93.52,417.24,0,0,660.16,8.6,147.47
"22","Kazakhstan","Fruit, citrus nes",0.125066666666667,18319618,1082000,"Production_kg",512,"Citrus; Other",116,3.05,51.71,14.88,698.93,1.67,0,0,2.9,0,0,8.78,306.96,0,0.31,0.43,0,0,0,0,0.4,0.94,0,4.86,7.27,8.08,0,0,3.95,0,0.33
"23","Kazakhstan","Fruit, fresh nes",0.107099201828105,18319618,9339000,"Production_kg",619,"Fresh fruit; nes",147,42.84,726.98,362.56,9173.64,18.57,0,0,25.53,1.74,0.12,132.6,1652.98,0,5.31,19.91,0,0,0.48,0,33.24,15.19,0,58.26,40.14,55.48,0,0,36.03,0.43,13.25
"24","Kazakhstan","Garlic",0.00732,18319618,49125000,"Production_kg",406,"Garlic",90,4468.47,186136.2,9169.58,935855.08,486.67,0,0.13,1882.95,50.92,42.7,16173.57,58155.23,17.68,638.15,7429.42,5.17,2.95,19.62,37.09,849.89,1428.7,48.94,3278.67,384.65,8773.66,0,0,2396.11,53.1,476.23
"25","Kazakhstan","Grapes",0.1235,18319618,90405000,"Production_kg",560,"Grapes",122,245.82,2145.04,946.29,58363.99,20.53,0,0,59.73,2.46,0.29,724.05,8448.37,0.39,12.85,81.25,0.17,0.54,0.87,0.39,22.38,107.89,2.76,476.84,54.61,372.95,0,0,332.65,1.89,55.94
"26","Kazakhstan","Groundnuts, with shell",0.028,18319618,46000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,4.92,211.31,393.74,152.69,0,0,0,0.54,0,0,6.25,74.52,0,0,3.5,0,0,0.13,0,1.24,1.68,0,56.31,219.05,139.52,0,0,0,0,0
"27","Kazakhstan","Leeks, other alliaceous vegetables",0.083270092226614,18319618,92075000,"Production_kg",407,"Leeks; other alliaceous veg.",91,287.52,12930.07,1797.33,57943.87,115.21,0.71,0.51,374.76,15.8,3.51,1121.91,11226.62,0.51,80.98,446.35,0.34,0.61,13.89,1.12,44.36,350.08,3.73,454.7,219.3,1012.01,0,0,518.24,5.25,169
"28","Kazakhstan","Lentils",0.0454634146341463,18319618,75386000,"Production_kg",201,"Lentils",36,2971.7,209130.9,9464.29,507949.13,15.52,0,2.44,623.9,84.66,26.21,7548.81,104316.54,10.54,103.83,2953.52,3.54,2.13,19.77,5.52,1789.45,693.94,10.83,1285.29,1597.56,3964.48,0,0,104.03,24.47,0
"29","Kazakhstan","Linseed",0.0178426203877423,18319618,1007244000,"Production_kg",333,"Oilcrops; Other",62,160699.29,5891891.47,11982611.9,8386510.14,711.82,0.13,22.54,104421.7,5294.73,1335.38,221866.71,3805630.31,372.24,10184.3,170106.37,151.63,93.62,973.44,164.12,13481.48,102536.31,901.03,1354388.39,3100664.26,8135959.97,0,0,1772.05,1339.56,7149.04
"30","Kazakhstan","Maize",0.0869363057324841,18319618,895978000,"Production_kg",56,"Maize",4,19878.56,486226.23,192560.68,4060211.33,38.58,1.24,1.31,1173.82,183.06,100.95,16573.74,291350.89,10.15,525.75,12314.11,15,6.66,145.11,19.94,0,6169.62,13.64,33290.32,72445.48,135903.84,0,0,701.02,70.62,0
"31","Kazakhstan","Maize, green",0.101,18319618,966000,"Production_kg",446,"Maize; green",98,6.2,200.81,65.59,1316.95,0.43,0,0,0.64,0,0,13.21,83.53,0,1.53,8.31,0,0,0,0,1.2,2.01,0,12.79,21.09,29.88,0,0,3.56,0,2.45
"32","Kazakhstan","Melons, other (inc.cantaloupes)",0.179843076923077,18319618,1041153000,"Production_kg",568,"Other melons (inc. cantaloupes)",111,900.49,17102.6,4806.03,203326.23,733.7,1.59,0.48,482.26,16.86,3.58,8082.02,21669.44,1.23,383.83,518.63,0.88,0.72,15.01,2.99,240.17,341.29,1.08,1200.85,84.27,1885.54,0,0,2922.27,15.13,1506.33
"33","Kazakhstan","Millet",0.0477,18319618,42617000,"Production_kg",79,"Millet",7,1674.33,45181.07,18352.17,343401.28,1.33,0,0.16,290.57,35.08,11.07,1264.31,27158.02,4.97,52.72,1226.86,1.44,0.58,11.7,4.69,3647.96,642.56,5.32,3526.03,3769.88,10407.41,0,0,52.83,11.42,0
"34","Kazakhstan","Mushrooms and truffles",0.0389236263736264,18319618,516000,"Production_kg",449,"Mushrooms and truffles",99,2.21,193.86,27.36,365.91,0.22,0,0,0.7,0.12,0,23.36,173.67,0,0.86,7.5,0,0,0.27,0,2.31,1.09,0,3.09,1.18,65.14,0,0,6.56,0,0.22
"35","Kazakhstan","Mustard seed",0.0841,18319618,12829000,"Production_kg",292,"Rape and Mustardseed",56,436.74,19185.05,31741.93,21687.26,2.96,0,0.13,314.75,7.17,4.61,614.52,5912.06,0.68,10.82,636.17,0.75,0.11,3.64,0.33,138.93,308.09,1.85,1656.21,18750.39,8400.12,0,0,5.52,3.47,0
"36","Kazakhstan","Nuts nes",0.0310679900238414,18319618,62000,"Production_kg",234,"Nuts; nes",51,6.04,157.85,475.44,344.54,0,0,0,1.33,0,0,5.13,40.89,0,0.4,5.5,0,0,0,0,0.52,2.19,0,131.21,355.61,224.6,0,0,0,0,0.6
"37","Kazakhstan","Oats",0.0434605263157895,18319618,267006000,"Production_kg",75,"Oats",6,12252.11,457953.32,206874.42,2174130.69,3.35,0,1.51,1974.78,177.43,114.44,13665.87,148396.24,20.99,806.2,12186.42,17.49,4.19,41.89,3.99,0,5935.85,164.86,39857.39,73577.71,83420.49,0,0,353.75,67.12,0
"38","Kazakhstan","Oilseeds nes",0.0178426203877423,18319618,6338000,"Production_kg",339,"Oilcrops; Other",62,1011.19,37074.24,75399.6,52771.43,4.48,0,0.14,657.06,33.32,8.4,1396.08,23946.62,2.34,64.08,1070.38,0.95,0.59,6.13,1.03,84.83,645.2,5.67,8522.38,19510.67,51194.86,0,0,11.15,8.43,44.98
"39","Kazakhstan","Onions, dry",0.093304347826087,18319618,916205000,"Production_kg",403,"Onions",77,2116.51,61690.09,7533.27,447823.01,476.59,0,0.73,2221.74,38.16,21.12,6925.27,76113.68,1.48,538.39,2795.71,1.8,1.97,12.89,5.88,326.97,639.64,3.46,1822.44,1304.3,2983.8,0,0,4835.78,27.84,428.81
"40","Kazakhstan","Onions, shallots, green",0.083270092226614,18319618,4437000,"Production_kg",402,"Onions (inc. shallots); green",89,11.19,444.46,58.59,2282.86,6.2,0,0,13.26,0.55,0.16,62.39,587.54,0,3,15.25,0,0,0,0,2.16,12.22,0.12,11.34,9.96,26.83,0,0,25.95,0.21,4.44
"41","Kazakhstan","Peaches and nectarines",0.105333333333333,18319618,3657000,"Production_kg",534,"Peaches and nectarines",128,9.11,157.58,32.79,2124.22,2.78,0,0,1.95,0.12,0,39.61,223.63,0,0.25,4.69,0,0,0.13,0,1.17,1.71,0,3.18,10.42,12.09,0,0,16.03,0.11,1.61
"42","Kazakhstan","Pears",0.04975,18319618,13864000,"Production_kg",521,"Pears",123,78.86,689.6,455.51,19214.61,6.53,0,0,17.6,2.88,0.34,164.29,2991.64,0.12,5.21,19.91,0,0,0.31,0,7.76,10.65,0,31.94,124.74,139.95,0,0,129.08,0.44,17.49
"43","Kazakhstan","Peas, dry",0.0623254069051863,18319618,108130000,"Production_kg",187,"Cow peas; dry",34,3134.68,205193.36,14012.82,533077.82,9.08,0,3.82,914.79,73.2,39.72,9444.62,100464.31,8.23,244.15,3845.3,5.1,1.45,25.72,3.36,1404.92,1921.39,11.97,3134.68,1003.85,5132.91,0,0,110.46,33.24,0
"44","Kazakhstan","Peas, green",0.0753287037037037,18319618,2131000,"Production_kg",417,"Peas; green",93,9.91,1213.19,60.22,1734.66,4.9,0,0,5.64,0.3,0.13,33.48,503.41,0,1.56,20.75,0,0,0.29,0,3.54,4.68,0,9.27,4.94,21.93,0,0,10.94,0.2,6.28
"45","Kazakhstan","Plums and sloes",0.0704444444444444,18319618,9667000,"Production_kg",536,"Plums and sloes",129,40.3,551.82,220.23,9276.61,11.63,0,0,13.72,0.61,0,147.32,624.23,0,0.5,18.42,0,0,0.46,0,1.42,5.24,0,25.09,200,65.17,0,0,62.61,0.39,4.87
"46","Kazakhstan","Potatoes",0.133867924528302,18319618,3912103000,"Production_kg",116,"Potatoes",18,12792.29,328183.38,21681.03,2858233.99,2551.25,0.14,2.38,1463.17,168.04,66.28,59663.44,215011.26,14.1,1677.24,7722.06,12.69,10.34,219.7,39.27,5583.23,3934.85,17.67,4689.91,223.33,6540.35,0,0,12182.23,168.26,3549.34
"47","Kazakhstan","Quinces",0.133610628019324,18319618,928000,"Production_kg",523,"Quinces",124,2.14,11.92,4.87,549.74,0.43,0,0,0.42,0,0,7.54,88.46,0,0.14,0.81,0,0,0,0,0,0.3,0,0.38,1.44,1.9,0,0,3.2,0,1.27
"48","Kazakhstan","Rapeseed",0.0841,18319618,240793000,"Production_kg",270,"Rape and Mustardseed",56,8197.42,360092.37,595777.83,407057.55,55.48,0,2.53,5907.77,134.49,86.58,11534.21,110965.97,12.85,203.18,11940.56,14.11,2.04,68.24,6.2,2607.7,5782.73,34.76,31086.1,351934.03,157665.45,0,0,103.7,65.09,0
"49","Kazakhstan","Rice, paddy",0.0488821264103023,18319618,560668000,"Production_kg",27,"Rice (Milled Equivalent)",2,22170.92,465453.15,66802.56,4865549.98,2.17,0,1.19,2162.82,137.67,77.67,7843.97,104570.57,9.38,586.27,9780.72,11.12,3.4,209.36,13.94,0,3652.21,62.84,7857.47,11300.99,10518.37,0,0,735.5,53.74,0
"50","Kazakhstan","Rice, paddy (rice milled equivalent)",0.0488821264103023,18319618,373966000,"Production_kg",30,"Rice (Milled Equivalent)",2,14788.02,310457.62,44557.36,3245325.69,1.45,0,0.79,1442.61,91.83,51.8,5231.94,69748.65,6.25,391.05,6523.75,7.41,2.27,139.64,9.3,0,2436.03,41.91,5240.94,7537.77,7015.76,0,0,490.58,35.85,0
"51","Kazakhstan","Rye",0.03,18319618,23206000,"Production_kg",71,"Rye",5,1462.37,43617.72,6771.72,322115.23,0,0,0.16,124.86,11.66,11.19,1003.53,25193.84,1.55,4.22,1420.55,1.39,0.85,8.42,1.24,128.36,464.47,10.88,831.82,878.27,3238.61,0,0,47.08,6.52,0
"52","Kazakhstan","Safflower seed",0.0178426203877423,18319618,199789000,"Production_kg",280,"Oilcrops; Other",62,31875.05,1168669.27,2376776.68,1663482.21,141.19,0,4.47,20712.27,1050.22,264.87,44007.74,754854.91,73.84,2020.08,33740.96,30.08,18.57,193.08,32.55,2674.08,20338.3,178.72,268645.83,615023.38,1613785.05,0,0,351.49,265.71,1418.03
"53","Kazakhstan","Seed cotton",0.0307438953251282,18319618,344364000,"Production_kg",328,"Cottonseed",57,28828.64,1613853.48,1757538.11,2094126.99,550.28,1.35,14.25,7887.37,330.17,366.85,82542.23,733708.72,73.37,1528.56,49647.62,45.86,15.59,183.43,47.81,0,26902.65,133.35,593020.08,423044.22,1104720.77,0,0,386.73,280.03,0
