"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kenya","Alfalfa meal and pellets",0.0651708222811671,51392565,15000,"Import_kg",862,"Mixed grain",12,0.16,5.12,1.11,33.01,0,0,0,0,0,0,0.15,4.73,0,0,0.14,0,0,0,0,0,0,0,0.2,0.24,0.47,0,0,0,0,0
"2","Kenya","Almonds shelled",0.0296505238073522,51392565,92000,"Import_kg",231,"Almonds; with shell",45,3.59,128.05,308.85,109.02,0,0,0,1.47,0,0,4.75,43.77,0,0,2.91,0,0,0,0,0.31,1.94,0,23.85,203.92,70.42,0,0,0,0,0.39
"3","Kenya","Almonds, with shell",0.0296505238073522,51392565,11000,"Import_kg",221,"Almonds; with shell",45,0.43,15.31,36.93,13.03,0,0,0,0.18,0,0,0.57,5.23,0,0,0.35,0,0,0,0,0,0.23,0,2.85,24.38,8.42,0,0,0,0,0
"4","Kenya","Anise, badian, fennel, coriander",0.00195,51392565,578000,"Import_kg",711,"Anise; badian; fennel; coriander",161,200.47,9120.45,8265.41,26953.3,6.03,0,0,469.06,18.51,2.67,855.62,13771.68,0.54,42.68,265.36,0.19,0.17,1.78,0.29,315.98,181.68,1.57,485.74,6279.15,1515.83,0,0,5.75,3.88,0
"5","Kenya","Apples",0.121111111111111,51392565,15624000,"Import_kg",515,"Apples",119,14.09,77.92,73.95,3284.59,3.64,0,0,1.95,0.18,0,25.82,355.61,0,1.46,2.73,0,0,0,0,40.72,1.17,0,9.79,2.13,16.44,0,0,21.21,0,2.51
"6","Kenya","Apricots",0.03995,51392565,17000,"Import_kg",526,"Apricots",125,0,0.83,0.21,9.43,0,0,0,0,0,0,0.24,1.13,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
"7","Kenya","Apricots, dry",0.03995,51392565,8000,"Import_kg",527,"Apricots",125,0,0.39,0,4.44,0,0,0,0,0,0,0.11,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Kenya","Artichokes",0.1,51392565,10000,"Import_kg",366,"Artichokes",79,0,0.51,0,2.26,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Kenya","Asparagus",0.0845294117647059,51392565,2000,"Import_kg",367,"Asparagus",80,0,0,0,0.14,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Kenya","Avocados",0.048,51392565,46000,"Import_kg",572,"Avocados",141,0.27,3,26.27,8.09,0,0,0,0,0,0,0.95,8.17,0,0,0.32,0,0,0,0,0,0,0,4.46,14.81,3.1,0,0,0.14,0,0
"11","Kenya","Barley",0.04775,51392565,112000,"Import_kg",44,"Barley",3,1.57,41.74,6.35,340.28,0,0,0,0.25,0,0,1.18,37.81,0,0,1.33,0,0,0,0,0.17,0.35,0,1.66,1.01,3.81,0,0,0,0,0
"12","Kenya","Beans, dry",0.1145,51392565,75830000,"Import_kg",176,"Beans",30,424.63,27438.15,1769.22,74742.92,2.34,0,0.53,180.3,9.4,3.76,1506.8,15982.75,1.12,20.13,498.39,0.58,0.28,2.58,0.5,142.27,222.8,1.68,398.34,176.88,612.83,0,0,15.11,4.92,0
"13","Kenya","Beans, green",0.0843965476190476,51392565,1593000,"Import_kg",414,"Beans; green",92,1.75,167.47,20,274.82,0.84,0,0,2.31,0,0,10.69,82.29,0,0.61,3.92,0,0,0,0,0.3,1.1,0,1.79,0.67,3.45,0,0,3.05,0,0.46
"14","Kenya","Bran, maize",0.0538461538461538,51392565,12406000,"Import_kg",59,"Corn Flour",223,159.39,3809.61,1470.62,32700.02,0.16,0,0,12.57,1.7,0.6,95.44,2007.3,0,3.2,88.27,0.12,0,0.8,0,0,25.81,0,132.36,479.02,795.19,0,0,4.67,0.52,0
"15","Kenya","Bran, wheat",0.0374838709677419,51392565,13187000,"Import_kg",17,"Wheat Flour",222,236.52,7853.03,1035.5,48703.34,0.13,0,0,27.37,1.86,0.88,117.74,899.03,0,22.1,126.65,0.24,0,1.57,0,7.12,31.03,0.58,106.1,59.56,282.72,0,0,7.93,0.65,0
"16","Kenya","Brazil nuts, shelled",0.0297575757575758,51392565,2000,"Import_kg",229,"Brazil nuts; with shell",42,0,1.97,8.9,1.37,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,2.11,3.12,3.19,0,0,0,0,0
"17","Kenya","Broad beans, horse beans, dry",0.052,51392565,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,0.9,0,2.06,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Kenya","Cabbages and other brassicas",0.08324,51392565,1000,"Import_kg",358,"Cabbages and other brassicas",78,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Kenya","Cake, copra",0.0131048387096774,51392565,56000,"Import_kg",253,"Coconut Oil",70,6.61,8.73,736.56,3.66,0,0,0,0,0,0,0.93,0,0,0,0.21,0,0,0,0,0,0,0,719.24,48.23,14.97,0,0,0.13,0,0
"20","Kenya","Cake, cottonseed",0.014,51392565,18766000,"Import_kg",332,"Cottonseed Oil",67,2340,0,260734.56,52.16,0,0,0,14.78,1.74,0.64,0,0,0,3.91,0,0,0,0,0,0.52,0,0,67031.12,48708.41,136866.08,0,0,0,0,0
"21","Kenya","Cake, linseed",0.0178426203877423,51392565,27000,"Import_kg",335,"Oilcrops; Other",62,1.54,56.3,114.5,80.14,0,0,0,1,0,0,2.12,36.36,0,0,1.63,0,0,0,0,0.13,0.98,0,12.94,29.63,77.74,0,0,0,0,0
"22","Kenya","Cake, palm kernel",0.012,51392565,115000,"Import_kg",259,"Palmkernel Oil",68,16.43,0,1864.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519.76,212.58,29.84,0,0,0,0,0
