"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lao People's Democratic Republic","Almonds, with shell",0.0296505238073522,7061507,81000,"Import_kg",221,"Almonds; with shell",45,23.03,820.53,1979.04,698.54,0.4,0,0,9.39,0.12,0.14,30.46,280.47,0,0.19,18.67,0,0,0.15,0,2.02,12.44,0,152.85,1306.64,451.25,0,0,0.19,0.11,2.51
"2","Lao People's Democratic Republic","Apples",0.121111111111111,7061507,508000,"Import_kg",515,"Apples",119,3.33,18.44,17.5,777.24,0.86,0,0,0.46,0,0,6.11,84.15,0,0.35,0.64,0,0,0,0,9.63,0.28,0,2.32,0.5,3.89,0,0,5.02,0,0.59
"3","Lao People's Democratic Republic","Apricots",0.03995,7061507,2000,"Import_kg",526,"Apricots",125,0,0.71,0.18,8.07,0,0,0,0,0,0,0.21,0.97,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0
"4","Lao People's Democratic Republic","Asparagus",0.0845294117647059,7061507,4000,"Import_kg",367,"Asparagus",80,0,1.45,0.14,2.04,0,0,0,0,0,0,0.15,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Lao People's Democratic Republic","Avocados",0.048,7061507,9000,"Import_kg",572,"Avocados",141,0.39,4.27,37.41,11.52,0,0,0,0,0,0,1.35,11.64,0,0,0.45,0,0,0,0,0,0,0,6.35,21.09,4.42,0,0,0.2,0,0.1
"6","Lao People's Democratic Republic","Barley",0.04775,7061507,1745000,"Import_kg",44,"Barley",3,178.1,4732.43,720.17,38584.59,0.35,0,0,28.85,4.03,1.31,133.26,4286.77,0.33,11.07,151.36,0.14,0,2.77,0.15,19.56,40.19,0.74,187.86,114.89,431.61,0,0,6.08,0.95,0
"7","Lao People's Democratic Republic","Beans, green",0.0843965476190476,7061507,222000,"Import_kg",414,"Beans; green",92,1.78,169.85,20.28,278.73,0.85,0,0,2.35,0,0,10.84,83.47,0,0.62,3.97,0,0,0,0,0.3,1.12,0,1.81,0.68,3.5,0,0,3.1,0,0.46
"8","Lao People's Democratic Republic","Buckwheat",0.0421111111111111,7061507,546000,"Import_kg",89,"Buckwheat",9,60.55,1953.16,495.75,12650.79,0,0,0,7.71,1.3,0.49,75.46,1707.58,0.12,1.11,64.45,0,0,1.05,0,0,42.05,0.24,136.06,190.96,190.77,0,0,2.45,0.4,0
"9","Lao People's Democratic Republic","Cabbages and other brassicas",0.08324,7061507,410000,"Import_kg",358,"Cabbages and other brassicas",78,1.87,158.42,21.26,305.69,4.28,0,0,8.56,0.12,0,19.92,153.93,0,2.74,4.92,0,0,0,0,1.72,1.7,0,2.39,1.25,6.13,0,0,6.34,0,1.93
"10","Lao People's Democratic Republic","Carrots and turnips",0.0830718954248366,7061507,403000,"Import_kg",426,"Carrots and turnips",96,2.08,89.96,16.09,403.05,1.88,0,0,4.56,0.11,0,19.99,139.51,0,3.24,8.18,0,0,0,0,7.19,0.84,0,2.22,1.01,5.2,0,0,6.13,0,1.58
"11","Lao People's Democratic Republic","Cashew nuts, with shell",0.0289438420348059,7061507,149000,"Import_kg",217,"Cashew nuts; with shell",43,39.67,1339.51,3068.15,1762.83,0.12,0,0,2.94,0.44,0.38,47.42,193.92,0.15,6.74,34.3,0,0,0,0,0,22.06,0,567.39,1734.82,571.91,0,0,0.72,0.17,2.04
"12","Lao People's Democratic Republic","Cauliflowers and broccoli",0.103835520801038,7061507,788000,"Import_kg",393,"Cauliflowers and broccoli",84,3.08,332.9,34.75,437.29,8.69,0,0,4.71,0.12,0,31.84,204.19,0,3.22,11.67,0,0,0,0,6.81,1.93,0,6.69,2.02,3.47,0,0,9.31,0.12,5.16
"13","Lao People's Democratic Republic","Cherries",0.1289,7061507,26000,"Import_kg",531,"Cherries",127,0.13,3.11,0.5,29.74,0,0,0,0,0,0,0.71,3,0,0,0,0,0,0,0,0,0,0,0.11,0.13,0.15,0,0,0.24,0,0
"14","Lao People's Democratic Republic","Chestnut",0.059,7061507,1349000,"Import_kg",220,"Chestnuts",44,84.83,1650.25,944.39,16859.71,5.72,0,0,12.09,0.54,0.15,211.6,3982.61,0.21,6.03,40.96,0,0,0.35,0.21,0,23.96,0.42,271.01,497.02,569.22,0,0,10.99,0.66,6.48
"15","Lao People's Democratic Republic","Chick peas",0.04575,7061507,7000,"Import_kg",191,"Chick peas",33,0.76,42.13,10.91,126.36,0,0,0,0.3,0,0,1.75,16.54,0,0,0.67,0,0,0,0,0.32,0.21,0,1.34,2.95,5.76,0,0,0,0,0
"16","Lao People's Democratic Republic","Chillies and peppers, dry",4e-04,7061507,1000,"Import_kg",689,"Pimento",156,8.51,362.81,316.01,1452.85,2.67,0,0,7.34,0.26,0,64.5,786.66,0,16.06,6.58,0,0,0.2,0,1.82,5.43,0,93.82,60.24,218.27,0,0,0.99,0.21,0
"17","Lao People's Democratic Republic","Chillies and peppers, green",0.0664142191142191,7061507,48000,"Import_kg",401,"Chillies and peppers; green",88,0.4,18.22,6.8,70.7,1.18,0,0,0.28,0,0,2.89,32.9,0,0,1.04,0,0,0,0,0,0.37,0,0.43,0.18,1.87,0,0,0.9,0,0.17
"18","Lao People's Democratic Republic","Coconuts",0.04,7061507,46000,"Import_kg",249,"Coconuts - Incl Copra",58,5.17,54.64,458.34,204.92,0,0,0,0.3,0,0,5.32,105.13,0,0.34,1.71,0,0,0,0,0.2,0.47,0,486.11,43.36,11.12,0,0,0.86,0,0.68
"19","Lao People's Democratic Republic","Cucumbers and gherkins",0.0675,7061507,11000,"Import_kg",397,"Cucumbers and gherkins",86,0,1.49,0.27,5.84,0,0,0,0,0,0,0.33,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0
"20","Lao People's Democratic Republic","Eggplants (aubergines)",0.082,7061507,81000,"Import_kg",399,"Eggplants (aubergines)",87,0.38,16.15,10.12,74.01,0,0,0,0.24,0,0,2.81,29,0,0,0.61,0,0,0,0,0.41,0.18,0,0.38,0.18,0.81,0,0,1.28,0,0.29
"21","Lao People's Democratic Republic","Fruit, tropical fresh nes",0.1073859375,7061507,20135000,"Import_kg",603,"Fruit; tropical fresh; nes",146,248.68,3928.96,3174.75,55135.58,285.2,0.11,0,85.94,4.64,0.99,666.83,7718.69,0.29,26.04,95.43,0.73,0.78,2.79,0.41,21.03,74.7,0.58,1978.32,4375.37,1000.37,0,0,202.45,2.03,104.76
"22","Lao People's Democratic Republic","Garlic",0.00732,7061507,3951000,"Import_kg",406,"Garlic",90,932.36,38837.77,1913.25,195268.45,101.55,0,0,392.88,10.62,8.91,3374.65,12134.23,3.69,133.15,1550.17,1.08,0.62,4.09,7.74,177.33,298.1,10.21,684.1,80.26,1830.64,0,0,499.95,11.08,99.37
"23","Lao People's Democratic Republic","Ginger",0.02852,7061507,63000,"Import_kg",720,"Ginger",162,6.09,152.71,65.77,1274.02,0,0,0,2.22,0.17,0,28.25,184.66,0,0.77,2.75,0,0,0.12,0,1.29,4.59,1.04,81.3,14.98,29.06,0,0,1.46,0,0
"24","Lao People's Democratic Republic","Grapefruit (inc. pomelos)",0.15,7061507,1962000,"Import_kg",507,"Grapefruit",115,6.7,130.45,28.15,1487.54,7.29,0,0,3.44,0,0,35.22,187.29,0,1.35,3.86,0,0,0,0,1.43,1.42,0,2.22,2.13,4.08,0,0,16.59,0,8.29
"25","Lao People's Democratic Republic","Grapes",0.1235,7061507,12000,"Import_kg",560,"Grapes",122,0,0.74,0.33,20.1,0,0,0,0,0,0,0.25,2.91,0,0,0,0,0,0,0,0,0,0,0.16,0,0.13,0,0,0.11,0,0
"26","Lao People's Democratic Republic","Leeks, other alliaceous vegetables",0.083270092226614,7061507,541000,"Import_kg",407,"Leeks; other alliaceous veg.",91,4.38,197.09,27.4,883.25,1.76,0,0,5.71,0.24,0,17.1,171.13,0,1.23,6.8,0,0,0.21,0,0.68,5.34,0,6.93,3.34,15.43,0,0,7.9,0,2.58
"27","Lao People's Democratic Republic","Lemons and limes",0.0785,7061507,79000,"Import_kg",497,"Lemons; Limes",114,0.54,10.8,5.95,118.45,0.59,0,0,0.54,0,0,2.99,18.95,0,0,0.28,0,0,0,0,0,0.14,0,0.48,0.19,0.97,0,0,1.27,0,0.5
"28","Lao People's Democratic Republic","Lentils",0.0454634146341463,7061507,657000,"Import_kg",201,"Lentils",36,67.19,4728.37,213.98,11484.55,0.35,0,0,14.11,1.91,0.59,170.68,2358.56,0.24,2.35,66.78,0,0,0.45,0.12,40.46,15.69,0.24,29.06,36.12,89.64,0,0,2.35,0.55,0
"29","Lao People's Democratic Republic","Lettuce and chicory",0.0865961538461538,7061507,528000,"Import_kg",372,"Lettuce and chicory",81,1.49,123.78,21.43,240.97,0.96,0,0,4.59,0.1,0,22.17,152.95,0,2.19,5.83,0,0,0,0,2.78,1.18,0,3.15,0.64,7.25,0,0,8.08,0,1.47
"30","Lao People's Democratic Republic","Maize",0.0869363057324841,7061507,2197000,"Import_kg",56,"Maize",4,126.46,3093.07,1224.95,25828.57,0.25,0,0,7.47,1.16,0.64,105.43,1853.4,0,3.34,78.33,0,0,0.92,0.13,0,39.25,0,211.77,460.85,864.54,0,0,4.46,0.45,0
"31","Lao People's Democratic Republic","Mangoes, mangosteens, guavas",0.09628125,7061507,23246000,"Import_kg",571,"Mangos; mangosteens; guavas",140,209.84,2568.56,845.04,47170.05,295.8,0.44,0,60.44,1.81,0.46,614.49,9117.54,0.25,36.23,65.46,0.16,0.19,3.95,0.4,25.98,155.57,0.18,522.44,257.8,575.77,0,0,283.77,2.03,90.61
"32","Lao People's Democratic Republic","Melons, other (inc.cantaloupes)",0.179843076923077,7061507,139000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0.31,5.92,1.66,70.42,0.25,0,0,0.17,0,0,2.8,7.51,0,0.13,0.18,0,0,0,0,0,0.12,0,0.42,0,0.65,0,0,1.01,0,0.52
"33","Lao People's Democratic Republic","Mushrooms and truffles",0.0389236263736264,7061507,784000,"Import_kg",449,"Mushrooms and truffles",99,8.7,764.16,107.86,1442.31,0.85,0,0,2.74,0.49,0.19,92.06,684.57,0,3.37,29.55,0,0,1.08,0,9.09,4.31,0,12.18,4.65,256.78,0,0,25.86,0.27,0.86
"34","Lao People's Democratic Republic","Nutmeg, mace and cardamoms",0.021,7061507,1000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,0.27,5.94,13.44,34.08,0,0,0,0.12,0,0,0.43,11.78,0,0,0,0,0,0,0,0.53,0.14,0,8.12,3.43,1.16,0,0,0,0,0
"35","Lao People's Democratic Republic","Nuts nes",0.0310679900238414,7061507,2041000,"Import_kg",234,"Nuts; nes",51,515.52,13480.47,40603.49,29424.88,1.66,0,0,113.6,4.19,3.17,437.72,3491.8,0.81,33.76,470.12,0.36,0.14,1.66,0.16,44.79,186.99,4.59,11205.52,30369.56,19181.71,0,0,6.3,2.29,51.17
"36","Lao People's Democratic Republic","Oats",0.0434605263157895,7061507,38000,"Import_kg",75,"Oats",6,4.52,169.08,76.38,802.73,0,0,0,0.73,0,0,5.05,54.79,0,0.3,4.5,0,0,0,0,0,2.19,0,14.72,27.17,30.8,0,0,0.13,0,0
"37","Lao People's Democratic Republic","Oilseeds nes",0.0178426203877423,7061507,39000,"Import_kg",339,"Oilcrops; Other",62,16.14,591.84,1203.65,842.42,0,0,0,10.49,0.53,0.13,22.29,382.27,0,1.02,17.09,0,0,0,0,1.35,10.3,0,136.05,311.46,817.26,0,0,0.18,0.13,0.72
"38","Lao People's Democratic Republic","Olives",0.014,7061507,9000,"Import_kg",260,"Olives",61,0.89,8.67,143.95,54.03,0,0,0,0.69,0,0,0,25.95,0,6.69,0.15,0,0,0,0,0,0,0,10.58,58.99,6.81,0,0,0.68,0,0
"39","Lao People's Democratic Republic","Onions, shallots, green",0.083270092226614,7061507,8092000,"Import_kg",402,"Onions (inc. shallots); green",89,52.93,2102.91,277.2,10801.03,29.33,0.13,0,62.75,2.58,0.73,295.19,2779.85,0,14.21,72.16,0,0.11,0.44,0.22,10.23,57.8,0.55,53.67,47.13,126.95,0,0,122.78,1,20.99
"40","Lao People's Democratic Republic","Oranges",0.138371428571429,7061507,281000,"Import_kg",490,"Oranges; Mandarines",113,1.27,22.81,6.6,287.56,1.33,0,0,0.91,0,0,4.83,38.69,0,0,0.62,0,0,0,0,0.31,0.3,0,0.6,0.88,0.93,0,0,2.5,0,0.77
"41","Lao People's Democratic Republic","Papayas",0.151,7061507,13000,"Import_kg",600,"Papayas",145,0,0.91,0.17,9.4,0,0,0,0,0,0,0.21,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"42","Lao People's Democratic Republic","Peaches and nectarines",0.105333333333333,7061507,63000,"Import_kg",534,"Peaches and nectarines",128,0.41,7.04,1.47,94.94,0.12,0,0,0,0,0,1.77,9.99,0,0,0.21,0,0,0,0,0,0,0,0.14,0.47,0.54,0,0,0.72,0,0
"43","Lao People's Democratic Republic","Pears",0.04975,7061507,188000,"Import_kg",521,"Pears",123,2.77,24.26,16.02,675.96,0.23,0,0,0.62,0.1,0,5.78,105.24,0,0.18,0.7,0,0,0,0,0.27,0.37,0,1.12,4.39,4.92,0,0,4.54,0,0.62
"44","Lao People's Democratic Republic","Peas, dry",0.0623254069051863,7061507,5000,"Import_kg",187,"Cow peas; dry",34,0.38,24.62,1.68,63.95,0,0,0,0.11,0,0,1.13,12.05,0,0,0.46,0,0,0,0,0.17,0.23,0,0.38,0.12,0.62,0,0,0,0,0
"45","Lao People's Democratic Republic","Peas, green",0.0753287037037037,7061507,29000,"Import_kg",417,"Peas; green",93,0.35,42.83,2.13,61.24,0.17,0,0,0.2,0,0,1.18,17.77,0,0,0.73,0,0,0,0,0.12,0.17,0,0.33,0.17,0.77,0,0,0.39,0,0.22
"46","Lao People's Democratic Republic","Persimmons",0.142273055555556,7061507,71000,"Import_kg",587,"Persimmons",142,0.61,4.94,1.27,153.65,0.16,0,0,0.16,0,0,1.35,12.54,0,0,0.14,0,0,0,0,0,0,0,0.14,0.26,0.3,0,0,0.55,0,0.12
"47","Lao People's Democratic Republic","Pineapples",0.1096,7061507,5000,"Import_kg",574,"Pineapples",120,0,0.3,0.14,7.14,0,0,0,0,0,0,0.1,0.54,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0
"48","Lao People's Democratic Republic","Pistachios",0.0315019230769231,7061507,261000,"Import_kg",223,"Pistachios",47,70.9,2373.37,6122.43,2496.47,0.33,0,0,14.2,0.69,0.31,117.15,801.75,0.15,44.43,55.65,0,0,0.18,0.2,0,14.2,0.14,619.26,3450.65,1392.93,0,0,0.48,0.29,5.51
"49","Lao People's Democratic Republic","Plums and sloes",0.0704444444444444,7061507,44000,"Import_kg",536,"Plums and sloes",129,0.48,6.52,2.6,109.54,0.14,0,0,0.16,0,0,1.74,7.37,0,0,0.22,0,0,0,0,0,0,0,0.3,2.36,0.77,0,0,0.74,0,0
"50","Lao People's Democratic Republic","Potatoes",0.133867924528302,7061507,5220000,"Import_kg",116,"Potatoes",18,44.28,1136.05,75.05,9894.12,8.83,0,0,5.06,0.58,0.23,206.53,744.29,0,5.81,26.73,0,0,0.76,0.14,19.33,13.62,0,16.23,0.77,22.64,0,0,42.17,0.58,12.29
"51","Lao People's Democratic Republic","Pumpkins, squash and gourds",0.100019949494949,7061507,1898000,"Import_kg",394,"Pumpkins; squash; and gourds",85,5.75,273.21,47.77,1076.53,4.62,0,0,7.49,0.26,0,48.77,423.66,0,1.94,17.03,0,0,0.2,0,10.81,5.97,0,14.72,3.55,7.17,0,0,25.05,0.15,5.84
"52","Lao People's Democratic Republic","Rice, paddy",0.0488821264103023,7061507,1178000,"Import_kg",27,"Rice (Milled Equivalent)",2,120.85,2537.08,364.13,26521.04,0,0,0,11.79,0.75,0.42,42.76,569.99,0,3.2,53.31,0,0,1.14,0,0,19.91,0.34,42.83,61.6,57.33,0,0,4.01,0.29,0
"53","Lao People's Democratic Republic","Rice, paddy (rice milled equivalent)",0.0488821264103023,7061507,91839000,"Import_kg",30,"Rice (Milled Equivalent)",2,9421.59,197795.48,28387.91,2067627.66,0.92,0,0.51,919.1,58.5,33,3333.32,44437.52,3.98,249.14,4156.34,4.72,1.45,88.97,5.92,0,1552.02,26.7,3339.05,4802.38,4469.81,0,0,312.55,22.84,0
"54","Lao People's Democratic Republic","Roots and tubers nes",0.125770747489689,7061507,28000,"Import_kg",149,"Roots and tubers; nes",23,0.32,6.11,2.42,68.39,0,0,0,0.11,0,0,1.53,5.61,0,0,0.21,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0.23,0,0
"55","Lao People's Democratic Republic","Sesame seed",0.0154423214285714,7061507,1000,"Import_kg",289,"Sesameseed",59,0.53,18,44.44,15,0,0,0,0.74,0,0,0.44,10.96,0,0,0.55,0,0,0,0,0,0.32,0,7.41,20,21.59,0,0,0,0,0
"56","Lao People's Democratic Republic","Soybeans",0.071,7061507,171000,"Import_kg",236,"Soyabeans",53,13.79,1206.7,593.87,811.52,0.11,0,0,8.1,0.3,0.14,51.18,335.81,0,0.33,20.63,0,0,0,0,3.95,8.1,0,98.3,149.29,361.28,0,0,0.31,0.17,0
