"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lao People's Democratic Republic","Bananas",0.04075,7061507,1056465000,"Production_kg",486,"Bananas",117,36984.63,446348.81,85359.74,8570589.54,3908.72,13.48,6.85,3617,293.29,60.58,124753.71,574071.34,33.87,2330.18,9311.97,19.63,18.56,312.6,128.13,3597.96,10402.26,99.13,40752.39,9545.6,20743.33,0,0,26743.54,304.32,13033.42
"2","Lao People's Democratic Republic","Beans, dry",0.1145,7061507,4444000,"Production_kg",176,"Beans",30,181.11,11702.82,754.6,31879.09,1,0,0.22,76.9,4.01,1.61,642.67,6816.91,0.48,8.59,212.57,0.25,0.12,1.1,0.21,60.68,95.03,0.72,169.9,75.44,261.38,0,0,6.44,2.1,0
"3","Lao People's Democratic Republic","Cassava",0.108277777777778,7061507,2258702000,"Production_kg",125,"Cassava",17,41087.41,539808.83,140220.32,9170563.79,9512.14,3.03,7.53,11516.81,359.66,100.44,111073.4,437203.8,29.54,2717.75,11641.76,18.39,16.44,169.47,26,7001.17,6203.57,113.44,25700.49,25848.2,12997.95,0,0,18559.89,415.22,6203.57
"4","Lao People's Democratic Republic","Chillies and peppers, dry",4e-04,7061507,13867000,"Production_kg/Import_kg",689,"Pimento",156,118051.29,5031044.9,4382097.26,20146703.31,37032.96,333.28,26.88,101851.75,3583.83,1297.3,894485.91,10908604.21,323.9,222762.34,91274.52,137.05,213.82,2708.5,846.25,25283.22,75358.72,1069.1,1300981.15,835409.91,3026785.83,0,0,13760.13,2937.76,0
"5","Lao People's Democratic Republic","Chillies and peppers, green",0.0664142191142191,7061507,16876000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,141.03,6406.92,2391.35,24857.35,414.97,0.45,0.11,99.47,5.85,1.12,1014.49,11567.7,0.56,25.53,366.6,0.45,0.43,4.27,1.28,29.06,129.82,0.85,150.05,64.2,656.62,0,0,317.63,3.18,59.57
"6","Lao People's Democratic Republic","Coffee, green",0.00312,7061507,165888000,"Production_kg",656,"Coffee",152,139507.45,8511623.8,11232294.75,27256592.03,752.94,3.01,13.04,77585.91,2601.59,399.55,1675935.94,0,155.53,26778.47,214010.68,108.4,376.21,8348.63,17.53,32428.57,140685.8,286.87,24945.05,187087.89,12472.53,0,0,3954.84,4364.77,0
"7","Lao People's Democratic Republic","Fruit, fresh nes",0.107099201828105,7061507,46223000,"Production_kg",619,"Fresh fruit; nes",147,550.09,9334.67,4655.43,117792.74,238.38,0.3,0,327.86,22.29,1.53,1702.6,21224.88,0.69,68.23,255.71,0.38,0.35,6.11,0.55,426.76,195.05,1.28,748.09,515.43,712.37,0,0,462.64,5.57,170.11
"8","Lao People's Democratic Republic","Fruit, stone nes",0.110582805429864,7061507,12246000,"Production_kg",541,"Stone fruit; nes",130,75.8,1602.21,454.79,18510.32,12.68,0,0,15.68,0.46,0.21,314.17,2692.13,0.12,1.05,31.63,0,0,0.92,0,7.63,14.38,0.11,50.71,153.69,120.75,0,0,135.5,0.76,11.5
"9","Lao People's Democratic Republic","Grapefruit (inc. pomelos)",0.15,7061507,8294000,"Production_kg/Import_kg",507,"Grapefruit",115,28.32,551.47,119.02,6288.29,30.81,0,0,14.54,0.41,0,148.89,791.72,0,5.72,16.31,0,0,0.22,0,6.03,6,0,9.4,9,17.23,0,0,70.11,0.32,35.04
"10","Lao People's Democratic Republic","Groundnuts, with shell",0.028,7061507,53185000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,14758.19,633829.73,1181019.39,458009.03,38.2,0,3.13,1611.3,95,74.9,18733.53,223509.16,29.26,276,10507.88,20.53,4.55,385.52,14.54,3718.77,5044.36,39.46,168897.89,657031.35,418492.33,0,0,227.07,73.56,0
"11","Lao People's Democratic Republic","Lemons and limes",0.0785,7061507,7652000,"Production_kg/Import_kg",497,"Lemons; Limes",114,52.08,1046.44,576.36,11473.17,56.85,0,0,52.22,0.8,0.26,289.6,1835.94,0.26,6.27,27.09,0,0,0.62,0,7.04,13.8,0,46.47,18.41,93.87,0,0,123.04,0.51,48.31
"12","Lao People's Democratic Republic","Maize",0.0869363057324841,7061507,719197000,"Production_kg/Import_kg",56,"Maize",4,41395.62,1012530.05,400993.33,8455088.92,80.33,2.58,2.73,2444.39,381.22,210.22,34513.58,606716.61,21.14,1094.84,25643.23,31.24,13.87,302.18,41.51,0,12847.77,28.41,69324.63,150862.34,283009.67,0,0,1459.83,147.06,0
"13","Lao People's Democratic Republic","Mangoes, mangosteens, guavas",0.09628125,7061507,28504000,"Production_kg/Import_kg",571,"Mangos; mangosteens; guavas",140,257.3,3149.54,1036.18,57839.42,362.71,0.54,0.12,74.11,2.21,0.57,753.48,11179.84,0.31,44.42,80.27,0.19,0.23,4.85,0.49,31.86,190.76,0.22,640.6,316.11,706.01,0,0,347.96,2.48,111.1
"14","Lao People's Democratic Republic","Melons, other (inc.cantaloupes)",0.179843076923077,7061507,22163000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,49.73,944.49,265.41,11228.62,40.52,0,0,26.63,0.93,0.2,446.33,1196.69,0,21.2,28.64,0,0,0.83,0.17,13.26,18.85,0,66.32,4.65,104.13,0,0,161.38,0.84,83.19
"15","Lao People's Democratic Republic","Nutmeg, mace and cardamoms",0.021,7061507,3043000,"Production_kg/Import_kg",702,"Nutmeg; mace; and cardamoms",160,823.89,18086.14,40909.93,103694.58,15.39,0,0.16,358.85,32.66,5.71,1321.51,35842.25,2.41,77.98,299.08,0.46,0.38,2.31,0.38,1599.36,417.38,14.53,24713.37,10438.03,3536.34,0,0,25.98,6.84,0
"16","Lao People's Democratic Republic","Oranges",0.138371428571429,7061507,46853000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,211.93,3803.37,1100.2,47945.98,221.39,0.27,0.12,151.46,2.32,0.3,806.01,6451.53,0.21,12.94,103.81,0.33,0.2,8.48,0.33,52.11,50.83,0.14,100.7,147.45,155.84,0,0,416.81,2.04,128.51
"17","Lao People's Democratic Republic","Papayas",0.151,7061507,27644000,"Production_kg/Import_kg",600,"Papayas",145,89.29,1939.93,364.33,19991.24,123.31,0.22,0,55.12,1.5,0.29,442.16,3370.31,0,26.81,40.37,0,0,0.8,0,15.81,43.86,0.1,156.85,119.26,88.15,0,0,232.7,1.08,82.96
"18","Lao People's Democratic Republic","Pineapples",0.1096,7061507,43471000,"Production_kg/Import_kg",574,"Pineapples",120,265.52,2582.14,1193.35,62077.26,124.97,0,0,201.39,3.38,0.53,901.17,4676.95,0.63,26.04,53.85,0.39,0.24,1.74,0.56,916.95,66.47,5.21,109.53,148.85,337.01,0,0,489.31,1.8,230.29
"19","Lao People's Democratic Republic","Potatoes",0.133867924528302,7061507,21269000,"Production_kg/Import_kg",116,"Potatoes",18,180.43,4628.84,305.8,40313.79,35.98,0,0,20.64,2.37,0.93,841.52,3032.61,0.2,23.66,108.92,0.18,0.15,3.1,0.55,78.75,55.5,0.25,66.15,3.15,92.25,0,0,171.82,2.37,50.06
"20","Lao People's Democratic Republic","Pulses nes",0.0587825743767065,7061507,3781000,"Production_kg",211,"Pulses; nes",40,341.61,20598.24,6973.85,49703.6,1.88,0,0.31,174.57,9.55,4.31,937.29,8288.28,1.49,24.78,313.87,0.46,0.2,1.9,0.24,320.63,234.82,1.72,790.64,1451.71,1479.95,0,0,10.44,3.05,12.75
"21","Lao People's Democratic Republic","Rice, paddy",0.0488821264103023,7061507,3439178000,"Production_kg/Import_kg",27,"Rice (Milled Equivalent)",2,352818.75,7407026.14,1063067.83,77428320.98,34.49,1.04,18.93,34418.29,2190.84,1235.93,124825.7,1664092.13,149.23,9329.72,155646.28,176.91,54.17,3331.59,221.79,0,58119.78,999.99,125040.56,179839.21,167384.97,0,0,11704.42,855.23,0
"22","Lao People's Democratic Republic","Rice, paddy (rice milled equivalent)",0.0488821264103023,7061507,2384985000,"Production_kg/Import_kg",30,"Rice (Milled Equivalent)",2,244671.09,5136589.69,737211.29,53694628.23,23.92,0.72,13.13,23868.23,1519.3,857.09,86563.54,1154006.79,103.49,6469.93,107936.85,122.68,37.57,2310.38,153.8,0,40304.63,693.47,86712.54,124714.05,116077.34,0,0,8116.73,593.08,0
"23","Lao People's Democratic Republic","Roots and tubers nes",0.125770747489689,7061507,3151621000,"Production_kg/Import_kg",149,"Roots and tubers; nes",23,36289.24,687894.79,271940.98,7698010.03,5139.84,10.13,27.75,11841.53,1013.21,107.64,172284.49,631277.12,45.12,5333.54,23659.86,26.01,25.55,427.4,58.48,7735.95,15258.98,63.59,7274.63,1508.15,16057.41,0,0,25619.95,368.28,7747.77
"24","Lao People's Democratic Republic","Seed cotton",0.0307438953251282,7061507,5808000,"Production_kg",328,"Cottonseed",57,1261.4,70614.19,76901.11,91628.57,24.08,0,0.62,345.11,14.45,16.05,3611.64,32103.44,3.21,66.88,2172.33,2.01,0.68,8.03,2.09,0,1177.13,5.83,25947.61,18510.31,48337.08,0,0,16.92,12.25,0
"25","Lao People's Democratic Republic","Sesame seed",0.0154423214285714,7061507,16656000,"Production_kg/Import_kg",289,"Sesameseed",59,8746.43,299800.16,740140.67,249887.21,0,0,1.76,12390.83,181.53,98.84,7395.81,182527.64,36.6,601.15,9178.75,11.15,4.96,71.13,9.09,391.02,5315.45,18.63,123377.99,333162.58,359640.55,0,0,71.36,70.29,0
"26","Lao People's Democratic Republic","Soybeans",0.071,7061507,12579000,"Production_kg/Import_kg",236,"Soyabeans",53,1014.7,88766.84,43685.94,59696.28,8.24,0,0.67,595.77,21.85,10,3764.84,24702.59,3.37,24.41,1517.65,1.7,0.68,5.72,1.7,290.79,595.85,5.45,7230.77,10981.63,26575.95,0,0,22.47,12.71,0
"27","Lao People's Democratic Republic","Sugar cane",0.00989415983606557,7061507,1970566000,"Production_kg",156,"Sugar Cane",25,797240.34,564085.15,94014.19,203333892.93,4230.64,0,0,19742.98,1711.06,56.41,43716.6,4371659.9,22.56,5640.85,6580.99,28.2,40.9,141.02,0,0,2820.43,70.51,0,0,0,0,0,77608.71,253.84,51707.81
"28","Lao People's Democratic Republic","Sweet potatoes",0.10804347826087,7061507,229573000,"Production_kg/Import_kg",122,"Sweet Potatoes",19,3302.64,39401.43,7250.9,759783.86,722.21,11.38,1.26,1024.51,43.25,7.54,7794.23,67462.19,2.79,576.42,1223.19,2.62,1.37,22.46,7.14,370.11,598.79,3.88,2387.15,411.23,4152.45,0,0,2130.03,30.72,684.55
"29","Lao People's Democratic Republic","Tangerines, mandarins, clementines, satsumas",0.138371428571429,7061507,43305000,"Production_kg/Import_kg",495,"Oranges; Mandarines",113,195.88,3515.35,1016.88,44315.22,204.63,0.25,0.11,139.99,2.15,0.27,744.97,5962.98,0.2,11.96,95.95,0.3,0.19,7.84,0.31,48.16,46.98,0.13,93.07,136.28,144.04,0,0,385.25,1.88,118.78
"30","Lao People's Democratic Republic","Taro (cocoyam)",0.1,7061507,154644000,"Production_kg",136,"Taro (cocoyam)",22,2001.06,43826.86,3406.6,447590.7,106.49,0.15,0.72,871.39,23.68,6.23,11240.67,55843.92,2.72,356.87,2011.11,1.44,0.7,13.21,5.73,378.86,606.03,4.19,897.88,350.39,1817.66,0,0,1633.2,26.68,328.49
"31","Lao People's Democratic Republic","Tea",0.0019,7061507,8885000,"Production_kg/Import_kg",667,"Tea",154,412.65,248334.87,29800.18,123794.93,1490.01,0,2.06,11092.29,616.69,8.25,15268.04,0,4.13,1237.95,6530.59,3.64,14.48,66.22,0,165.06,1237.95,90.37,825.3,412.65,1650.6,0,0,1059.56,293.01,0
"32","Lao People's Democratic Republic","Vegetables, fresh nes",0.075156077445368,7061507,1527408000,"Production_kg/Import_kg",463,"Vegetables; fresh; nes",101,13617.12,918428.08,192139.17,2301267.75,13650.01,89.66,21.2,56983.34,1180.19,161.17,112188.25,1360788.2,46.31,13668.16,22747.37,26.34,57.25,295.94,62.83,6288.97,14798.58,185.62,19717.36,18848.08,37566.95,0,0,24398.68,469.79,7204.33
"33","Lao People's Democratic Republic","Watermelons",0.193615384615385,7061507,196775000,"Production_kg/Import_kg",567,"Watermelons",110,341.41,7270,2059.22,75290.15,92.11,0.59,0,117.76,14.29,1.14,1399.66,4116.22,0.48,54.45,521,0.49,0.4,1.92,0.83,59.01,140.69,0.55,230.28,532.52,719.62,0,0,1342.07,3.6,669.25
