"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lebanon","Alfalfa meal and pellets",0.0651708222811671,6859408,25608000,"Import_kg",862,"Mixed grain",12,1994.84,65482.73,14206.51,422161.91,0,0,0.22,140.85,19.07,14.91,1974.29,60530.44,2.64,31.34,1810.52,2.3,0.91,24.61,1.73,187.03,678.99,14.72,2516.8,3050.22,5973.07,0,0,61.58,9.4,0
"2","Lebanon","Almonds shelled",0.0296505238073522,6859408,3364000,"Import_kg",231,"Almonds; with shell",45,984.78,35081.46,84612.73,29865.83,17.2,0,0,401.45,5.17,5.99,1302.25,11991.54,1.68,7.98,798.39,0.35,1.27,6.46,0.23,86.17,531.76,3.46,6534.98,55864.87,19293.15,0,0,8.23,4.85,107.51
"3","Lebanon","Almonds, with shell",0.0296505238073522,6859408,1000,"Import_kg",221,"Almonds; with shell",45,0.29,10.43,25.15,8.88,0,0,0,0.12,0,0,0.39,3.56,0,0,0.24,0,0,0,0,0,0.16,0,1.94,16.61,5.74,0,0,0,0,0
"4","Lebanon","Anise, badian, fennel, coriander",0.00195,6859408,214000,"Import_kg",711,"Anise; badian; fennel; coriander",161,556.1,25299.73,22927.88,74767.27,16.72,0,0,1301.15,51.35,7.42,2373.45,38202.03,1.5,118.39,736.1,0.52,0.48,4.93,0.8,876.5,503.97,4.36,1347.43,17418.1,4204.85,0,0,15.94,10.77,0
"5","Lebanon","Apples",0.121111111111111,6859408,811000,"Import_kg",515,"Apples",119,5.48,30.3,28.76,1277.39,1.42,0,0,0.76,0,0,10.04,138.3,0,0.57,1.06,0,0,0,0,15.83,0.46,0,3.81,0.83,6.39,0,0,8.25,0,0.98
"6","Lebanon","Apricots",0.03995,6859408,3000,"Import_kg",526,"Apricots",125,0,1.09,0.28,12.46,0,0,0,0,0,0,0.32,1.5,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0
"7","Lebanon","Apricots, dry",0.03995,6859408,318000,"Import_kg",527,"Apricots",125,5.73,116.04,29.67,1321.05,0.78,0,0,1.97,0,0,33.85,158.59,0,0.15,2.77,0,0,0,0,0.32,1.16,0,3.31,19.73,9.11,0,0,9.93,0,0.99
"8","Lebanon","Asparagus",0.0845294117647059,6859408,67000,"Import_kg",367,"Asparagus",80,0.23,24.93,2.34,35.19,0.25,0,0,0.24,0,0,2.5,28.12,0,0,0.97,0,0,0,0,0.18,0.16,0,0.52,0,0.81,0,0,1.07,0,0.54
"9","Lebanon","Avocados",0.048,6859408,225000,"Import_kg",572,"Avocados",141,9.96,109.92,962.7,296.58,0.87,0,0,1.41,0,0,34.85,299.54,0,0.45,11.6,0,0,0,0,0.97,2.07,0,163.43,542.75,113.71,0,0,5.25,0,2.6
"10","Lebanon","Bananas",0.04075,6859408,373000,"Import_kg",486,"Bananas",117,13.44,162.23,31.03,3115.12,1.42,0,0,1.31,0.11,0,45.34,208.66,0,0.85,3.38,0,0,0.11,0,1.31,3.78,0,14.81,3.47,7.54,0,0,9.72,0.11,4.74
"11","Lebanon","Barley",0.04775,6859408,107214000,"Import_kg",44,"Barley",3,11264.98,299330.83,45551.15,2440510.86,21.82,0,0.69,1824.89,254.61,82.75,8428.86,271141.89,20.93,700.5,9573.64,8.61,4.23,175.03,9.46,1237.32,2542.3,46.54,11882.23,7266.82,27299.68,0,0,384.36,59.97,0
"12","Lebanon","Beans, dry",0.1145,6859408,7758000,"Import_kg",176,"Beans",30,325.49,21031.83,1356.14,57291.8,1.79,0,0.4,138.21,7.2,2.88,1154.99,12251.07,0.86,15.43,382.03,0.45,0.22,1.97,0.38,109.05,170.78,1.29,305.33,135.58,469.74,0,0,11.58,3.77,0
"13","Lebanon","Beet pulp",0.125770747489689,6859408,23505000,"Import_kg",169,"Roots and tubers; nes",23,278.62,5281.52,2087.91,59103.81,39.46,0,0.21,90.92,7.78,0.83,1322.77,4846.82,0.35,40.95,181.66,0.2,0.2,3.28,0.45,59.4,117.16,0.49,55.85,11.58,123.29,0,0,196.7,2.83,59.49
"14","Lebanon","Blueberries",0.134028846153846,6859408,152000,"Import_kg",552,"Blueberries",136,0.94,12.23,5.46,239.57,0.16,0,0,0,0,0,1.27,39.68,0,0,0.2,0,0,0,0,0,0,0,0.46,0.78,2.41,0,0,1.39,0,0
"15","Lebanon","Bran, maize",0.0538461538461538,6859408,44000,"Import_kg",59,"Corn Flour",223,4.24,101.23,39.08,868.93,0,0,0,0.33,0,0,2.54,53.34,0,0,2.35,0,0,0,0,0,0.69,0,3.52,12.73,21.13,0,0,0.12,0,0
"16","Lebanon","Bran, wheat",0.0374838709677419,6859408,1279000,"Import_kg",17,"Wheat Flour",222,171.87,5706.57,752.47,35391.33,0,0,0,19.89,1.35,0.64,85.56,653.3,0,16.06,92.03,0.17,0,1.14,0,5.17,22.55,0.42,77.1,43.28,205.44,0,0,5.76,0.48,0
"17","Lebanon","Brazil nuts, shelled",0.0297575757575758,6859408,204000,"Import_kg",229,"Brazil nuts; with shell",42,65.31,1504.12,6798.02,1046.39,0.11,0,0,16.34,0.26,0.41,65.86,749.56,0.17,0.3,76.08,0,0,0.19,0,2.88,37.58,0.12,1612.46,2386.5,2438.47,0,0,0.32,0.38,4.9
"18","Lebanon","Broad beans, horse beans, dry",0.052,6859408,4827000,"Import_kg",181,"Broad beans; horse beans; dry",32,452.67,32475.69,2149.46,74428.09,3.69,0,0.57,134.1,10.93,4.73,1614.73,26208.5,1.11,24.67,516.24,0.52,0.39,3.56,0.5,129.64,259.15,2.2,341.03,408.01,816.7,0,0,14.11,4.07,36.54
"19","Lebanon","Cake, cottonseed",0.014,6859408,46667000,"Import_kg",332,"Cottonseed Oil",67,43598.18,0,4857920.72,971.91,0,0,0,275.37,32.4,11.99,0,0,0,72.89,0,0,0,0,0,9.72,0,0,1248901.93,907519.2,2550043.91,0,0,0.97,0,0
"20","Lebanon","Cake, soybeans",0.014,6859408,183964000,"Import_kg",238,"Soyabean Oil",63,171285.24,0,19135528.21,1596.38,0,0,0,297.99,55.34,62.58,0,0,0,297.99,6.84,0,0,0,0,38.31,0,0,5069736.44,4480945.01,8676949.44,0,0,1.74,0,0
"21","Lebanon","Carrots and turnips",0.0830718954248366,6859408,1831000,"Import_kg",426,"Carrots and turnips",96,9.72,420.76,75.24,1885.19,8.8,0.2,0,21.31,0.5,0,93.52,652.52,0,15.17,38.28,0,0,0.25,0,33.61,3.91,0,10.39,4.71,24.31,0,0,28.68,0.4,7.39
"22","Lebanon","Cashew nuts, shelled",0.0289438420348059,6859408,1658000,"Import_kg",230,"Cashew nuts; with shell",43,454.49,15344.61,35146.84,20193.91,1.36,0,0,33.64,5.06,4.32,543.24,2221.38,1.77,77.19,392.92,0.45,0.13,1.09,0.36,0,252.76,1.11,6499.63,19873.02,6551.41,0,0,8.3,1.91,23.38
"23","Lebanon","Cassava dried",0.108277777777778,6859408,15000,"Import_kg",128,"Cassava",17,0.28,3.69,0.96,62.7,0,0,0,0,0,0,0.76,2.99,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0,0,0.13,0,0
"24","Lebanon","Cereal preparations nes",0.0486257263475995,6859408,66000,"Import_kg",113,"Cereals; nes",13,6.89,257.72,91.07,1454.21,0,0,0,2.87,0.44,0,8.45,62.47,0,0.15,7.53,0,0,0,0,0.26,3.64,0.18,8.88,11.65,21.19,0,0,0.22,0,0
"25","Lebanon","Cherries",0.1289,6859408,15000,"Import_kg",531,"Cherries",127,0,1.85,0.29,17.67,0,0,0,0,0,0,0.42,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
"26","Lebanon","Cherries, sour",0.028,6859408,1000,"Import_kg",530,"Sour cherries",126,0,0.57,0.14,5.79,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Lebanon","Chestnut",0.059,6859408,2088000,"Import_kg",220,"Chestnuts",44,135.17,2629.53,1504.8,26864.54,9.11,0,0,19.26,0.86,0.24,337.16,6345.95,0.34,9.61,65.27,0.11,0.11,0.55,0.34,0,38.18,0.67,431.83,791.95,907.01,0,0,17.52,1.06,10.32
"28","Lebanon","Chick peas",0.04575,6859408,16415000,"Import_kg",191,"Chick peas",33,1842.54,101705.71,26330.74,305037.16,10.98,0,1.94,713.28,36.24,18.03,4231.67,39927.98,4.8,104.93,1623.62,2.07,0.92,9.22,2.8,767.09,517.84,58.89,3224.75,7132.11,13916.38,0,0,54.91,15.53,0
"29","Lebanon","Chillies and peppers, dry",4e-04,6859408,374000,"Import_kg",689,"Pimento",156,3277.71,139687.66,121669.54,559376.01,1028.23,9.25,0.75,2827.93,99.51,36.02,24835.53,302878.91,8.99,6185.03,2534.25,3.81,5.94,75.2,23.5,701.99,2092.35,29.68,36121.92,23195.27,84039.13,0,0,382.05,81.57,0
"30","Lebanon","Chillies and peppers, green",0.0664142191142191,6859408,108000,"Import_kg",401,"Chillies and peppers; green",88,0.93,42.21,15.75,163.76,2.73,0,0,0.66,0,0,6.68,76.21,0,0.17,2.42,0,0,0,0,0.19,0.86,0,0.99,0.42,4.33,0,0,2.09,0,0.39
"31","Lebanon","Chocolate products nes",0.0115,6859408,15252000,"Import_kg",666,"Cocoa Beans",153,4408.36,311988.23,799537.5,1119491.72,0,0,0.62,2073.86,98.11,131.67,19402.59,715391.94,73.24,159.51,11339.64,3.28,3.82,35.7,2.28,232.02,9648.12,74.19,445041.46,307280.17,16628.03,0,0,75.02,76.91,0
"32","Lebanon","Cider etc",0.0683571428571429,6859408,18000,"Import_kg",517,"Fruit juice; nes",149,0.19,0.95,0.52,46.7,0.29,0,0,0,0,0,0.41,1.09,0,0,0,0,0,0,0,0,0,0,0,0.13,0.24,0,0,0.34,0,0
"33","Lebanon","Cinnamon (cannella)",0.00115555555555556,6859408,421000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Lebanon","Cloves",0.0013,6859408,19000,"Import_kg",698,"Cloves",157,51.07,921.18,1988.66,9625.82,0,0,0,119.46,1.83,0.49,217.33,4570.37,0,59.02,17.33,0,0,0.17,0,7.97,55.19,12.81,842.06,296.81,768.33,0,0,7.09,0.9,0
"35","Lebanon","Cocoa, beans",0.0115,6859408,45000,"Import_kg",661,"Cocoa Beans",153,13.01,920.5,2358.98,3302.99,0,0,0,6.12,0.29,0.39,57.25,2110.72,0.22,0.47,33.46,0,0,0.11,0,0.68,28.47,0.22,1313.06,906.61,49.06,0,0,0.22,0.23,0
"36","Lebanon","Cocoa, butter",0.0115,6859408,822000,"Import_kg",664,"Cocoa Beans",153,237.59,16814.47,43090.73,60334.53,0,0,0,111.77,5.29,7.1,1045.69,38555.74,3.95,8.6,611.14,0.18,0.21,1.92,0.12,12.5,519.98,4,23985.32,16560.73,896.16,0,0,4.04,4.15,0
"37","Lebanon","Cocoa, paste",0.0115,6859408,515000,"Import_kg",662,"Cocoa Beans",153,148.85,10534.61,26997.23,37800.83,0,0,0,70.03,3.31,4.45,655.15,24155.97,2.47,5.39,382.89,0.11,0.13,1.21,0,7.83,325.78,2.51,15027.3,10375.64,561.46,0,0,2.53,2.6,0
"38","Lebanon","Cocoa, powder & cake",0.0115,6859408,2296000,"Import_kg",665,"Cocoa Beans",153,663.62,46965.97,120360.48,168525.63,0,0,0,312.19,14.77,19.82,2920.82,107693.41,11.03,24.01,1707.04,0.49,0.58,5.37,0.34,34.93,1452.41,11.17,66995.49,46257.23,2503.14,0,0,11.29,11.58,0
"39","Lebanon","Coconuts",0.04,6859408,10395000,"Import_kg",249,"Coconuts - Incl Copra",58,1202.88,12711,106627.22,47671.86,9.09,0,0,70.71,10.87,6.25,1238.55,24457.47,1.94,80.25,398.73,0.24,0.12,2.56,0.16,45.84,109.81,14.21,113085.69,10087.13,2587.61,0,0,200.92,3.87,157.23
"40","Lebanon","Coconuts, desiccated",0.04,6859408,82000,"Import_kg",250,"Coconuts - Incl Copra",58,9.49,100.27,841.12,376.06,0,0,0,0.56,0,0,9.77,192.93,0,0.63,3.15,0,0,0,0,0.36,0.87,0.11,892.07,79.57,20.41,0,0,1.58,0,1.24
"41","Lebanon","Coffee, extracts",0.00312,6859408,12438000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,20922.42,792436.49,188301.74,4557599.52,0,0.28,3.02,6487.69,432.98,29.64,141981.84,1354145.23,12.09,4823.78,21279.84,24,5.52,1026.59,43.41,778.78,14180.75,63.93,35045.05,20689.94,71194.33,0,0,352.19,473.08,0
"42","Lebanon","Coffee, green",0.00312,6859408,25932000,"Import_kg",656,"Coffee",152,22450.66,1369759.18,1807591.5,4386350.72,121.17,0.48,2.1,12485.75,418.67,64.3,269705.13,0,25.03,4309.41,34440.33,17.44,60.54,1343.53,2.82,5218.67,22640.29,46.17,4014.36,30107.69,2007.18,0,0,636.44,702.41,0
"43","Lebanon","Coffee, roasted",0.00312,6859408,374000,"Import_kg",657,"Coffee",152,323.79,19755.13,26069.69,63261.42,1.75,0,0,180.07,6.04,0.93,3889.78,0,0.36,62.15,496.71,0.25,0.87,19.38,0,75.27,326.53,0.67,57.9,434.22,28.95,0,0,9.18,10.13,0
"44","Lebanon","Coffee, substitutes containing coffee",0.00312,6859408,2000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,3.36,127.42,30.28,732.85,0,0,0,1.04,0,0,22.83,217.74,0,0.78,3.42,0,0,0.17,0,0.13,2.28,0,5.64,3.33,11.45,0,0,0,0,0
"45","Lebanon","Copra",0.04,6859408,28000,"Import_kg",251,"Coconuts - Incl Copra",58,3.24,34.24,287.21,128.41,0,0,0,0.19,0,0,3.34,65.88,0,0.22,1.07,0,0,0,0,0.12,0.3,0,304.61,27.17,6.97,0,0,0.54,0,0.42
"46","Lebanon","Cranberries",0.0513333333333333,6859408,2000,"Import_kg",554,"Cranberries",137,0,0.22,0,6.93,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Lebanon","Currants",0.038,6859408,1000,"Import_kg",550,"Currants",135,0,0.69,0,11.47,0,0,0,0,0,0,0.11,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Lebanon","Dates",0.0393863636363636,6859408,5778000,"Import_kg",577,"Dates",121,425.17,3758.72,628.24,108986.93,14.45,0,0,88.76,3.53,0.65,1290.69,10565.06,0.49,4.28,171.9,0.15,0.26,3.52,0.38,17.32,86.26,0.6,34.22,38.5,20.32,0,0,80.83,2.87,37.07
"49","Lebanon","Figs",0.0504615384615385,6859408,24000,"Import_kg",569,"Figs",139,0.38,7.03,1.46,86.44,0,0,0,0.32,0,0,1.53,15.25,0,0,0.17,0,0,0,0,0,0.12,0,0.32,0.36,0.77,0,0,0.58,0,0
"50","Lebanon","Figs dried",0.0504615384615385,6859408,75000,"Import_kg",570,"Figs",139,1.17,21.97,4.55,270.14,0.18,0,0,1.01,0,0,4.79,47.67,0,0,0.53,0,0,0,0,0.1,0.37,0,1.01,1.13,2.41,0,0,1.82,0,0.16
"51","Lebanon","Flour, cassava",0.0546428571428571,6859408,316000,"Import_kg",126,"Flour of roots and tubers",24,28.08,340.24,26.98,6989.43,0,0,0,3.56,0.31,0,56.42,275.81,0,2.08,7.36,0,0,0.16,0,3.33,2.78,0,4.59,0.42,8.22,0,0,1.39,0,0
"52","Lebanon","Flour, cereals",0.057,6859408,343000,"Import_kg",111,"Millet Flour",224,31.74,680.61,270.64,6604.66,0,0,0,5.87,1.67,0.24,19.65,209.08,0,1.01,20,0,0,0.18,0,0,10.44,0,47.02,81.06,229.67,0,0,0.98,0,0
"53","Lebanon","Flour, maize",0.0538461538461538,6859408,9920000,"Import_kg",58,"Corn Flour",223,954.92,22823.09,8810.39,195903.2,0.98,0,0,75.31,10.16,3.57,571.77,12025.58,0.42,19.15,528.8,0.72,0.28,4.8,0.56,0,154.62,0.15,792.98,2869.76,4763.9,0,0,27.99,3.1,0
"54","Lebanon","Flour, mixed grain",0.057,6859408,60000,"Import_kg",104,"Millet Flour",224,5.55,119.06,47.34,1155.33,0,0,0,1.03,0.29,0,3.44,36.57,0,0.18,3.5,0,0,0,0,0,1.83,0,8.23,14.18,40.18,0,0,0.17,0,0
