"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Liberia","Almonds shelled",0.0296505238073522,4818973,21000,"Import_kg",231,"Almonds; with shell",45,8.75,311.73,751.85,265.38,0.15,0,0,3.57,0,0,11.57,106.55,0,0,7.09,0,0,0,0,0.77,4.73,0,58.07,496.4,171.43,0,0,0,0,0.96
"2","Liberia","Anise, badian, fennel, coriander",0.00195,4818973,3000,"Import_kg",711,"Anise; badian; fennel; coriander",161,11.1,504.84,457.51,1491.94,0.33,0,0,25.96,1.02,0.15,47.36,762.3,0,2.36,14.69,0,0,0,0,17.49,10.06,0,26.89,347.57,83.91,0,0,0.32,0.21,0
"3","Liberia","Apples",0.121111111111111,4818973,765000,"Import_kg",515,"Apples",119,7.36,40.69,38.61,1715.13,1.9,0,0,1.02,0,0,13.48,185.69,0,0.76,1.42,0,0,0,0,21.26,0.61,0,5.11,1.11,8.59,0,0,11.08,0,1.31
"4","Liberia","Avocados",0.048,4818973,6000,"Import_kg",572,"Avocados",141,0.38,4.17,36.54,11.26,0,0,0,0,0,0,1.32,11.37,0,0,0.44,0,0,0,0,0,0,0,6.2,20.6,4.32,0,0,0.2,0,0
"5","Liberia","Bananas",0.04075,4818973,27000,"Import_kg",486,"Bananas",117,1.39,16.72,3.2,320.97,0.15,0,0,0.14,0,0,4.67,21.5,0,0,0.35,0,0,0,0,0.13,0.39,0,1.53,0.36,0.78,0,0,1,0,0.49
"6","Liberia","Barley",0.04775,4818973,1000,"Import_kg",44,"Barley",3,0.15,3.97,0.6,32.4,0,0,0,0,0,0,0.11,3.6,0,0,0.13,0,0,0,0,0,0,0,0.16,0,0.36,0,0,0,0,0
"7","Liberia","Beans, dry",0.1145,4818973,487000,"Import_kg",176,"Beans",30,29.08,1879.27,121.18,5119.22,0.16,0,0,12.35,0.64,0.26,103.2,1094.68,0,1.38,34.14,0,0,0.18,0,9.74,15.26,0.11,27.28,12.11,41.97,0,0,1.03,0.34,0
"8","Liberia","Beans, green",0.0843965476190476,4818973,224000,"Import_kg",414,"Beans; green",92,2.63,251.14,29.99,412.12,1.26,0,0,3.47,0.12,0,16.03,123.41,0,0.91,5.87,0,0,0,0,0.45,1.65,0,2.68,1.01,5.18,0,0,4.58,0,0.68
"9","Liberia","Bran, maize",0.0538461538461538,4818973,93000,"Import_kg",59,"Corn Flour",223,12.74,304.56,117.57,2614.24,0,0,0,1,0.14,0,7.63,160.48,0,0.26,7.06,0,0,0,0,0,2.06,0,10.58,38.3,63.57,0,0,0.37,0,0
"10","Liberia","Cabbages and other brassicas",0.08324,4818973,49000,"Import_kg",358,"Cabbages and other brassicas",78,0.33,27.74,3.72,53.54,0.75,0,0,1.5,0,0,3.49,26.96,0,0.48,0.86,0,0,0,0,0.3,0.3,0,0.42,0.22,1.07,0,0,1.11,0,0.34
