"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Libya","Almonds, with shell",0.0296505238073522,6678559,1283000,"Import_kg",221,"Almonds; with shell",45,385.76,13742.07,33144.4,11699.01,6.74,0,0,157.26,2.02,2.35,510.12,4697.31,0.66,3.13,312.74,0.14,0.5,2.53,0,33.76,208.3,1.35,2559.87,21883.32,7557.49,0,0,3.22,1.9,42.11
"2","Libya","Apples",0.121111111111111,6678559,29103000,"Import_kg",515,"Apples",119,201.98,1116.9,1059.93,47080.9,52.24,0,0,27.89,2.52,0.23,370.09,5097.28,0.1,20.96,39.06,0.16,0.1,0.67,0.15,583.61,16.79,0.13,140.33,30.58,235.67,0,0,304.05,0.93,35.98
"3","Libya","Apricots",0.03995,6678559,2636000,"Import_kg",526,"Apricots",125,48.81,987.97,252.64,11247.1,6.6,0.13,0,16.8,0.78,0.22,288.16,1350.23,0,1.31,23.55,0,0.11,0.77,0,2.77,9.88,0,28.16,167.96,77.56,0,0,84.58,0.78,8.4
"4","Libya","Barley",0.04775,6678559,569236000,"Import_kg",44,"Barley",3,61429.22,1632285.71,248395.7,13308388.56,119,0,3.75,9951.33,1388.44,451.25,45963.54,1478568.17,114.12,3819.88,52206.15,46.95,23.09,954.47,51.59,6747.27,13863.44,253.77,64795.2,39626.82,148868.31,0,0,2095.99,327.01,0
"5","Libya","Beans, dry",0.1145,6678559,4249000,"Import_kg",176,"Beans",30,183.1,11830.9,762.86,32227.99,1.01,0,0.23,77.74,4.05,1.62,649.71,6891.52,0.48,8.68,214.9,0.25,0.12,1.11,0.22,61.34,96.07,0.72,171.76,76.27,264.24,0,0,6.51,2.12,0
"6","Libya","Broad beans, horse beans, dry",0.052,6678559,3435000,"Import_kg",181,"Broad beans; horse beans; dry",32,330.85,23736.23,1571.02,54398.91,2.69,0,0.42,98.02,7.99,3.45,1180.2,19155.59,0.81,18.03,377.31,0.38,0.29,2.61,0.36,94.76,189.41,1.61,249.25,298.21,596.92,0,0,10.31,2.97,26.71
"7","Libya","Cabbages and other brassicas",0.08324,6678559,242000,"Import_kg",358,"Cabbages and other brassicas",78,1.17,98.87,13.27,190.78,2.67,0,0,5.34,0,0,12.43,96.07,0,1.71,3.07,0,0,0,0,1.07,1.06,0,1.49,0.78,3.82,0,0,3.95,0,1.2
"8","Libya","Carrots and turnips",0.0830718954248366,6678559,531000,"Import_kg",426,"Carrots and turnips",96,2.89,125.33,22.41,561.52,2.62,0,0,6.35,0.15,0,27.85,194.36,0,4.52,11.4,0,0,0,0,10.01,1.16,0,3.09,1.4,7.24,0,0,8.54,0.12,2.2
"9","Libya","Cauliflowers and broccoli",0.103835520801038,6678559,69000,"Import_kg",393,"Cauliflowers and broccoli",84,0.29,30.82,3.22,40.49,0.8,0,0,0.44,0,0,2.95,18.9,0,0.3,1.08,0,0,0,0,0.63,0.18,0,0.62,0.19,0.32,0,0,0.86,0,0.48
"10","Libya","Chick peas",0.04575,6678559,1603000,"Import_kg",191,"Chick peas",33,184.81,10200.98,2640.95,30594.91,1.1,0,0.19,71.54,3.63,1.81,424.43,4004.74,0.48,10.52,162.85,0.21,0,0.92,0.28,76.94,51.94,5.91,323.44,715.34,1395.8,0,0,5.51,1.56,0
