"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Luxembourg","Almonds, with shell",0.0296505238073522,604245,18000,"Import_kg",221,"Almonds; with shell",45,59.82,2130.92,5139.56,1814.11,1.04,0,0,24.38,0.31,0.36,79.1,728.39,0.1,0.48,48.5,0,0,0.39,0,5.23,32.3,0.21,396.95,3393.35,1171.91,0,0,0.5,0.29,6.53
"2","Luxembourg","Anise, badian, fennel, coriander",0.00195,604245,32000,"Import_kg",711,"Anise; badian; fennel; coriander",161,943.98,42946.3,38920.08,126917.44,28.38,0,0,2208.71,87.16,12.59,4028.93,64847.94,2.55,200.97,1249.53,0.89,0.82,8.36,1.36,1487.87,855.49,7.41,2287.27,29567.22,7137.74,0,0,27.05,18.28,0
"3","Luxembourg","Apples",0.121111111111111,604245,6152000,"Import_kg",515,"Apples",119,471.9,2609.54,2476.44,110000.08,122.05,0,0,65.15,5.9,0.54,864.68,11909.32,0.24,48.97,91.27,0.38,0.24,1.57,0.34,1363.55,39.23,0.29,327.86,71.46,550.63,0,0,710.39,2.16,84.07
"4","Luxembourg","Apricots",0.03995,604245,644000,"Import_kg",526,"Apricots",125,131.79,2667.82,682.2,30370.43,17.83,0.34,0,45.35,2.12,0.59,778.11,3646.02,0.21,3.53,63.58,0,0.3,2.08,0.14,7.47,26.68,0.21,76.03,453.53,209.42,0,0,228.38,2.11,22.68
"5","Luxembourg","Artichokes",0.1,604245,405000,"Import_kg",366,"Artichokes",79,37.2,1754.06,117.3,7776.67,5.55,0,0,55.83,0.9,0.23,229.45,1653.3,0.15,71.13,65.69,0,0,0.39,0,23.06,40.22,0.17,28.82,5.03,41.56,0,0,57.79,0.86,40.22
"6","Luxembourg","Asparagus",0.0845294117647059,604245,501000,"Import_kg",367,"Asparagus",80,19.86,2115.9,198.98,2986.79,21.27,0,0,20.6,1.07,0.53,212.61,2386.81,0.15,4.53,82.23,0.12,0.12,0.88,0,15.69,13.73,0.15,44.14,4.9,68.66,0,0,91.06,0.64,46.1
"7","Luxembourg","Avocados",0.048,604245,2234000,"Import_kg",572,"Avocados",141,1122.07,12388.96,108508.69,33428.63,98.53,0.26,0.45,158.4,7.4,3.72,3928.52,33762.4,1.63,50.81,1307.49,0.49,1.08,10.67,2.35,109.37,233,1.09,18420.41,61174.78,12816.88,0,0,592.27,9.04,292.69
"8","Luxembourg","Bananas",0.04075,604245,6384000,"Import_kg",486,"Bananas",117,2611.82,31520.75,6028.03,605247.2,276.03,0.95,0.48,255.43,20.71,4.28,8809.99,40540.39,2.39,164.56,657.6,1.39,1.31,22.08,9.05,254.08,734.6,7,2877.9,674.1,1464.88,0,0,1888.6,21.49,920.41
"9","Luxembourg","Barley",0.04775,604245,5368000,"Import_kg",44,"Barley",3,6402.72,170132.01,25890.11,1387124.12,12.4,0,0.39,1037.22,144.72,47.03,4790.75,154110.14,11.89,398.14,5441.41,4.89,2.41,99.48,5.38,703.26,1444.98,26.45,6753.56,4130.28,15516.44,0,0,218.46,34.08,0
"10","Luxembourg","Beans, dry",0.1145,604245,222000,"Import_kg",176,"Beans",30,105.73,6832.1,440.54,18610.98,0.58,0,0.13,44.9,2.34,0.94,375.19,3979.7,0.28,5.01,124.1,0.14,0,0.64,0.12,35.42,55.48,0.42,99.19,44.04,152.59,0,0,3.76,1.23,0
"11","Luxembourg","Beans, green",0.0843965476190476,604245,459000,"Import_kg",414,"Beans; green",92,42.94,4104.08,490.02,6734.89,20.63,0,0,56.67,1.96,0.42,261.98,2016.76,0,14.93,95.95,0.11,0.9,0.79,0.13,7.29,27,0,43.8,16.5,84.61,0,0,74.81,1.02,11.16
"12","Luxembourg","Blueberries",0.134028846153846,604245,278000,"Import_kg",552,"Blueberries",136,19.57,254.02,113.28,4973.95,3.33,0,0,2.06,0,0,26.43,823.84,0,0.34,4.12,0,0,0.14,0,2.06,2.06,0.12,9.61,16.13,50.12,0,0,28.91,0,1.72
"13","Luxembourg","Broad beans, horse beans, dry",0.052,604245,17000,"Import_kg",181,"Broad beans; horse beans; dry",32,18.1,1298.39,85.94,2975.65,0.15,0,0,5.36,0.44,0.19,64.56,1047.82,0,0.99,20.64,0,0,0.14,0,5.18,10.36,0,13.63,16.31,32.65,0,0,0.56,0.16,1.46
"14","Luxembourg","Buckwheat",0.0421111111111111,604245,10000,"Import_kg",89,"Buckwheat",9,12.96,418.05,106.11,2707.76,0,0,0,1.65,0.28,0.11,16.15,365.49,0,0.24,13.79,0,0,0.22,0,0,9,0,29.12,40.87,40.83,0,0,0.52,0,0
"15","Luxembourg","Cabbages and other brassicas",0.08324,604245,1711000,"Import_kg",358,"Cabbages and other brassicas",78,91.39,7725.98,1036.82,14908.61,208.61,0.78,0.21,417.46,5.89,1.16,971.41,7507.35,0.53,133.71,239.83,0.21,0.35,2.64,0.61,83.87,83.06,0.86,116.71,60.97,298.83,0,0,309.03,3.76,93.89
"16","Luxembourg","Carrots and turnips",0.0830718954248366,604245,4182000,"Import_kg",426,"Carrots and turnips",96,251.89,10909.48,1950.81,48879.14,228.07,5.07,0.18,552.65,12.92,2.15,2424.71,16918.65,0.49,393.28,992.51,0.43,0.78,6.46,1.52,871.46,101.37,1.19,269.38,122.19,630.41,0,0,743.57,10.45,191.62
"17","Luxembourg","Cashew nuts, with shell",0.0289438420348059,604245,6000,"Import_kg",217,"Cashew nuts; with shell",43,18.67,630.37,1443.86,829.58,0,0,0,1.38,0.21,0.18,22.32,91.26,0,3.17,16.14,0,0,0,0,0,10.38,0,267.01,816.4,269.14,0,0,0.34,0,0.96
"18","Luxembourg","Cauliflowers and broccoli",0.103835520801038,604245,1526000,"Import_kg",393,"Cauliflowers and broccoli",84,69.72,7533.96,786.4,9896.54,196.69,1.32,0.15,106.62,2.64,1.02,720.62,4621.14,0.1,72.8,264.17,0.27,0.26,1.74,0.44,154.04,43.78,0.44,151.4,45.6,78.44,0,0,210.66,2.63,116.74
"19","Luxembourg","Cherries",0.1289,604245,477000,"Import_kg",531,"Cherries",127,27.92,666.52,106.15,6377.38,7.67,0,0,16.9,0.31,0,152.19,643.05,0,0.92,14.33,0,0,0.42,0,3.74,6.74,0,23.27,28.78,31.85,0,0,50.45,0.42,4.9
"20","Luxembourg","Cherries, sour",0.028,604245,4000,"Import_kg",530,"Sour cherries",126,1.12,26.01,6.3,263.06,0.24,0,0,0.32,0,0,4.09,28.37,0,0.13,0.39,0,0,0,0,0.14,0.21,0,1.61,1.94,2.13,0,0,2.06,0,0.26
"21","Luxembourg","Chestnut",0.059,604245,169000,"Import_kg",220,"Chestnuts",44,124.2,2416.06,1382.64,24683.64,8.37,0,0,17.7,0.79,0.22,309.79,5830.78,0.31,8.83,59.97,0.1,0,0.51,0.31,0,35.08,0.62,396.78,727.66,833.38,0,0,16.09,0.97,9.48
