"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Luxembourg","Apples",0.121111111111111,604245,1930000,"Production_kg",515,"Apples",119,148.05,818.66,776.91,34509.13,38.29,0,0,20.44,1.85,0.17,271.27,3736.18,0,15.36,28.63,0.12,0,0.49,0.11,427.77,12.31,0,102.85,22.42,172.74,0,0,222.86,0.68,26.37
"2","Luxembourg","Asparagus",0.0845294117647059,604245,40000,"Production_kg",367,"Asparagus",80,1.59,168.93,15.89,238.47,1.7,0,0,1.64,0,0,16.97,190.56,0,0.36,6.57,0,0,0,0,1.25,1.1,0,3.52,0.39,5.48,0,0,7.27,0,3.68
"3","Luxembourg","Barley",0.04775,604245,36050000,"Production_kg",44,"Barley",3,42998.92,1142559.41,173870.81,9315541.06,83.3,0,2.62,6965.68,971.87,315.86,32173.33,1034960.96,79.88,2673.82,36543.01,32.86,16.16,668.11,36.11,4722.92,9704.06,177.63,45355.03,27737.79,104204.12,0,0,1467.14,228.9,0
"4","Luxembourg","Beans, green",0.0843965476190476,604245,30000,"Production_kg",414,"Beans; green",92,2.81,268.24,32.03,440.19,1.35,0,0,3.7,0.13,0,17.12,131.81,0,0.98,6.27,0,0,0,0,0.48,1.76,0,2.86,1.08,5.53,0,0,4.89,0,0.73
"5","Luxembourg","Broad beans, horse beans, dry",0.052,604245,150000,"Production_kg",181,"Broad beans; horse beans; dry",32,159.69,11456.34,758.26,26255.75,1.3,0,0.2,47.31,3.86,1.67,569.62,9245.49,0.39,8.7,182.11,0.18,0.14,1.26,0.18,45.73,91.42,0.78,120.3,143.93,288.11,0,0,4.98,1.43,12.89
"6","Luxembourg","Cabbages and other brassicas",0.08324,604245,870000,"Production_kg",358,"Cabbages and other brassicas",78,46.47,3928.46,527.2,7580.65,106.07,0.4,0.11,212.27,2.99,0.59,493.94,3817.3,0.27,67.99,121.95,0.1,0.18,1.34,0.31,42.65,42.23,0.44,59.34,31,151.95,0,0,157.13,1.91,47.74
"7","Luxembourg","Carrots and turnips",0.0830718954248366,604245,630000,"Production_kg",426,"Carrots and turnips",96,37.95,1643.46,293.88,7363.43,34.36,0.76,0,83.25,1.95,0.32,365.27,2548.72,0,59.25,149.52,0,0.12,0.97,0.23,131.28,15.27,0.18,40.58,18.41,94.97,0,0,112.01,1.57,28.87
"8","Luxembourg","Cauliflowers and broccoli",0.103835520801038,604245,90000,"Production_kg",393,"Cauliflowers and broccoli",84,4.11,444.34,46.38,583.68,11.6,0,0,6.29,0.16,0,42.5,272.54,0,4.29,15.58,0,0,0.1,0,9.08,2.58,0,8.93,2.69,4.63,0,0,12.42,0.15,6.89
"9","Luxembourg","Cereals nes",0.0486257263475995,604245,750000,"Production_kg",108,"Cereals; nes",13,888.94,33245.9,11748.6,187593.48,2.74,0,0,370.61,56.6,9.7,1089.96,8058.91,2.07,19.91,971.57,0.92,0.68,3.72,1.23,33.44,469.68,23.59,1146.12,1503.48,2733.83,0,0,27.86,10,0
"10","Luxembourg","Cherries",0.1289,604245,10000,"Production_kg",531,"Cherries",127,0.59,13.97,2.23,133.7,0.16,0,0,0.35,0,0,3.19,13.48,0,0,0.3,0,0,0,0,0,0.14,0,0.49,0.6,0.67,0,0,1.06,0,0.1
"11","Luxembourg","Cucumbers and gherkins",0.0675,604245,10000,"Production_kg",397,"Cucumbers and gherkins",86,0.34,15.82,2.9,62.04,0.24,0,0,0.39,0,0,3.5,16,0,0.16,0.89,0,0,0,0,0.15,0.31,0,0.82,0,0.64,0,0,2.35,0,0.38
"12","Luxembourg","Fruit, stone nes",0.110582805429864,604245,10000,"Production_kg",541,"Stone fruit; nes",130,0.72,15.29,4.34,176.65,0.12,0,0,0.15,0,0,3,25.69,0,0,0.3,0,0,0,0,0,0.14,0,0.48,1.47,1.15,0,0,1.29,0,0.11
"13","Luxembourg","Grain, mixed",0.0651708222811671,604245,1240000,"Production_kg",103,"Mixed grain",12,1096.55,35995.35,7809.21,232059.12,0,0,0.12,77.43,10.48,8.19,1085.25,33273.11,1.45,17.23,995.23,1.26,0.5,13.53,0.95,102.81,373.23,8.09,1383.47,1676.68,3283.35,0,0,33.85,5.17,0
"14","Luxembourg","Grapes",0.1235,604245,10160000,"Production_kg",560,"Grapes",122,837.57,7308.71,3224.25,198860.97,69.97,0,0,203.51,8.39,0.97,2467.02,28785.74,1.32,43.79,276.84,0.59,1.82,2.97,1.33,76.24,367.6,9.4,1624.71,186.07,1270.72,0,0,1133.43,6.45,190.61
