"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malawi","Anise, badian, fennel, coriander",0.00195,18143217,88000,"Production_kg",711,"Anise; badian; fennel; coriander",161,86.46,3933.3,3564.55,11623.92,2.6,0,0,202.29,7.98,1.15,369,5939.2,0.23,18.41,114.44,0,0,0.77,0.12,136.27,78.35,0.68,209.48,2707.96,653.72,0,0,2.48,1.67,0
"2","Malawi","Apples",0.121111111111111,18143217,2978000,"Production_kg",515,"Apples",119,7.61,42.07,39.92,1773.37,1.97,0,0,1.05,0,0,13.94,192,0,0.79,1.47,0,0,0,0,21.98,0.63,0,5.29,1.15,8.88,0,0,11.45,0,1.36
"3","Malawi","Avocados",0.048,18143217,93341000,"Production_kg",572,"Avocados",141,1561.37,17239.43,150991.52,46516.46,137.11,0.36,0.62,220.41,10.3,5.17,5466.6,46980.91,2.26,70.7,1819.39,0.68,1.5,14.84,3.27,152.2,324.22,1.52,25632.28,85125.66,17834.88,0,0,824.15,12.58,407.29
"4","Malawi","Bananas",0.04075,18143217,433517000,"Production_kg",486,"Bananas",117,5906.84,71286.7,13632.87,1368815.19,624.26,2.15,1.09,577.67,46.84,9.67,19924.51,91685.36,5.41,372.16,1487.22,3.14,2.97,49.93,20.46,574.63,1661.35,15.83,6508.59,1524.54,3312.93,0,0,4271.23,48.6,2081.58
"5","Malawi","Beans, dry",0.1145,18143217,191286000,"Production_kg",176,"Beans",30,3034.19,196057.24,12641.84,534070.03,16.7,0,3.76,1288.35,67.14,26.89,10766.7,114203.59,8.03,143.83,3561.22,4.16,2.03,18.4,3.57,1016.56,1591.98,11.99,2846.28,1263.88,4378.9,0,0,107.95,35.18,0
"6","Malawi","Cabbages and other brassicas",0.08324,18143217,186900000,"Production_kg",358,"Cabbages and other brassicas",78,332.48,28106.81,3771.91,54236.94,758.92,2.85,0.77,1518.71,21.42,4.22,3533.95,27311.46,1.92,486.45,872.51,0.75,1.27,9.59,2.23,305.12,302.17,3.14,424.58,221.81,1087.14,0,0,1124.24,13.69,341.56
"7","Malawi","Carrots and turnips",0.0830718954248366,18143217,4e+06,"Production_kg",426,"Carrots and turnips",96,8.02,347.52,62.14,1557.03,7.27,0.16,0,17.6,0.41,0,77.24,538.94,0,12.53,31.62,0,0,0.21,0,27.76,3.23,0,8.58,3.89,20.08,0,0,23.69,0.33,6.1
"8","Malawi","Cashew nuts, with shell",0.0289438420348059,18143217,214000,"Production_kg",217,"Cashew nuts; with shell",43,22.18,748.79,1715.09,985.42,0,0,0,1.64,0.25,0.21,26.51,108.4,0,3.77,19.17,0,0,0,0,0,12.33,0,317.17,969.76,319.7,0,0,0.41,0,1.14
"9","Malawi","Cassava",0.108277777777778,18143217,5667887000,"Production_kg",125,"Cassava",17,40128.61,527212.05,136948.19,8956562.93,9290.16,2.95,7.36,11248.06,351.27,98.09,108481.43,427001.37,28.85,2654.33,11370.09,17.96,16.06,165.52,25.39,6837.79,6058.8,110.79,25100.76,25245.01,12694.64,0,0,18126.79,405.53,6058.8
"10","Malawi","Chick peas",0.04575,18143217,1339000,"Production_kg",191,"Chick peas",33,56.82,3136.59,812.04,9407.3,0.34,0,0,22,1.12,0.56,130.5,1231.37,0.15,3.24,50.07,0,0,0.28,0,23.66,15.97,1.82,99.45,219.95,429.18,0,0,1.69,0.48,0
"11","Malawi","Chillies and peppers, dry",4e-04,18143217,1083000,"Production_kg",689,"Pimento",156,3588.39,152928.08,133202.09,612396.97,1125.69,10.13,0.82,3095.98,108.94,39.43,27189.58,331587.56,9.85,6771.28,2774.46,4.17,6.5,82.33,25.72,768.53,2290.67,32.5,39545.77,25393.86,92004.85,0,0,418.26,89.3,0
"12","Malawi","Chillies and peppers, green",0.0664142191142191,18143217,1687000,"Production_kg",401,"Chillies and peppers; green",88,5.49,249.27,93.04,967.13,16.15,0,0,3.87,0.23,0,39.47,450.07,0,0.99,14.26,0,0,0.17,0,1.13,5.05,0,5.84,2.5,25.55,0,0,12.36,0.12,2.32
"13","Malawi","Coffee, green",0.00312,18143217,11071000,"Production_kg",656,"Coffee",152,3623.7,221089.13,291758.47,707989.04,19.56,0,0.34,2015.29,67.58,10.38,43532.38,0,4.04,695.57,5558.92,2.82,9.77,216.86,0.46,842.33,3654.31,7.45,647.95,4859.6,323.97,0,0,102.73,113.37,0
"14","Malawi","Cow peas, dry",0.0623254069051863,18143217,41656000,"Production_kg",195,"Cow peas; dry",34,1219.34,79817.25,5450.79,207359.57,3.53,0,1.48,355.84,28.48,15.45,3673.82,39079.17,3.2,94.97,1495.77,1.98,0.56,10.01,1.31,546.49,747.39,4.66,1219.34,390.48,1996.63,0,0,42.97,12.93,0
"15","Malawi","Cucumbers and gherkins",0.0675,18143217,21924000,"Production_kg",397,"Cucumbers and gherkins",86,24.99,1155.21,211.66,4529.75,17.7,0,0,28.64,0.8,0.34,255.2,1167.89,0,11.88,64.93,0,0,0.34,0,10.74,22.38,0.14,59.97,4.48,46.55,0,0,171.42,0.74,27.75
"16","Malawi","Eggplants (aubergines)",0.082,18143217,29911000,"Production_kg",399,"Eggplants (aubergines)",87,54.84,2320.63,1454.93,10636.74,13.26,0,0,34.41,1.22,0.39,403.75,4167.47,0.2,10.78,88.04,0.1,0.18,2.59,0.17,59.21,25.8,0.47,54.28,26.14,116.61,0,0,184.5,2.4,41.22
"17","Malawi","Fruit, citrus nes",0.125066666666667,18143217,2674000,"Production_kg",512,"Citrus; Other",116,7.6,129.04,37.12,1744.08,4.16,0,0,7.23,0,0,21.92,765.98,0,0.77,1.06,0,0,0,0,0.99,2.36,0,12.14,18.15,20.15,0,0,9.86,0,0.82
"18","Malawi","Fruit, fresh nes",0.107099201828105,18143217,252677000,"Production_kg",619,"Fresh fruit; nes",147,1170.37,19860.48,9904.92,250616.24,507.18,0.64,0.2,697.55,47.43,3.26,3622.46,45158.12,1.47,145.17,544.06,0.81,0.74,13.01,1.16,907.98,414.99,2.72,1591.65,1096.64,1515.65,0,0,984.32,11.86,361.93
"19","Malawi","Fruit, tropical fresh nes",0.1073859375,18143217,18975000,"Production_kg",603,"Fruit; tropical fresh; nes",146,91.21,1441.09,1164.46,20222.98,104.61,0,0,31.52,1.7,0.36,244.58,2831.11,0.11,9.55,35,0.27,0.28,1.02,0.15,7.71,27.4,0.21,725.62,1604.83,366.92,0,0,74.25,0.74,38.43
"20","Malawi","Garlic",0.00732,18143217,645000,"Production_kg",406,"Garlic",90,59.24,2467.69,121.56,12407.03,6.45,0,0,24.96,0.68,0.57,214.42,770.99,0.23,8.46,98.5,0,0,0.26,0.49,11.27,18.94,0.65,43.47,5.1,116.32,0,0,31.77,0.7,6.31
"21","Malawi","Grapes",0.1235,18143217,244000,"Production_kg",560,"Grapes",122,0.67,5.85,2.58,159.05,0,0,0,0.16,0,0,1.97,23.02,0,0,0.22,0,0,0,0,0,0.29,0,1.3,0.15,1.02,0,0,0.91,0,0.15
"22","Malawi","Groundnuts, with shell",0.028,18143217,3.5e+08,"Production_kg",242,"Groundnuts (Shelled Eq)",54,37800.28,1623433.81,3024955.63,1173102.65,97.83,0,8.03,4127.04,243.33,191.84,47982.36,572476.02,74.94,706.91,26913.92,52.59,11.66,987.44,37.23,9524.91,12920.16,101.07,432599.69,1682860.32,1071888.19,0,0,581.61,188.41,0
"23","Malawi","Lemons and limes",0.0785,18143217,15184000,"Production_kg",497,"Lemons; Limes",114,40.22,808.18,445.13,8860.9,43.9,0,0,40.33,0.62,0.2,223.67,1417.93,0.2,4.84,20.92,0,0,0.48,0,5.44,10.66,0,35.89,14.21,72.5,0,0,95.03,0.39,37.31
"24","Malawi","Lentils",0.0454634146341463,18143217,789000,"Production_kg",201,"Lentils",36,31.4,2210.07,100.02,5367.95,0.16,0,0,6.59,0.89,0.28,79.77,1102.41,0.11,1.1,31.21,0,0,0.21,0,18.91,7.33,0.11,13.58,16.88,41.9,0,0,1.1,0.26,0
"25","Malawi","Maize",0.0869363057324841,18143217,3.03e+09,"Production_kg",56,"Maize",4,67878.5,1660297,657529.15,13864239.11,131.73,4.24,4.47,4008.2,625.1,344.71,56593.67,994864.07,34.66,1795.26,42048.5,51.23,22.74,495.5,68.07,0,21067.15,46.58,113675.12,247376.65,464065.35,0,0,2393.76,241.13,0
"26","Malawi","Mangoes, mangosteens, guavas",0.09628125,18143217,2083471000,"Production_kg",571,"Mangos; mangosteens; guavas",140,7319.87,89600.8,29478.03,1645465.16,10318.66,15.38,3.46,2108.45,62.99,16.21,21435.67,318053.5,8.88,1263.72,2283.59,5.51,6.57,137.85,13.96,906.45,5426.79,6.35,18224.47,8992.96,20085.08,0,0,9899.08,70.69,3160.66
"27","Malawi","Millet",0.0477,18143217,34479000,"Production_kg",79,"Millet",7,1367.78,36908.84,14992.06,280527.74,1.09,0,0.13,237.37,28.66,9.04,1032.83,22185.64,4.06,43.07,1002.23,1.17,0.48,9.56,3.83,2980.05,524.91,4.34,2880.45,3079.65,8501.91,0,0,43.16,9.33,0
"28","Malawi","Nutmeg, mace and cardamoms",0.021,18143217,62000,"Production_kg",702,"Nutmeg; mace; and cardamoms",160,6.53,143.42,324.42,822.3,0.12,0,0,2.85,0.26,0,10.48,284.23,0,0.62,2.37,0,0,0,0,12.68,3.31,0.12,195.98,82.77,28.04,0,0,0.21,0,0
"29","Malawi","Nuts nes",0.0310679900238414,18143217,4726000,"Production_kg",234,"Nuts; nes",51,464.6,12148.96,36592.93,26518.47,1.5,0,0,102.38,3.78,2.86,394.48,3146.9,0.73,30.43,423.69,0.32,0.13,1.49,0.15,40.37,168.52,4.14,10098.71,27369.84,17287.06,0,0,5.68,2.06,46.11
"30","Malawi","Okra",0.0853823529411765,18143217,4157000,"Production_kg",430,"Okra",97,8.64,495.14,41.09,1740.82,5.33,0,0,19.38,0.16,0.11,59.93,724.54,0,2.88,14.18,0,0,0.24,0,3.3,9.39,0.21,6.98,4.56,7.25,0,0,24.09,0.2,4.43
"31","Malawi","Onions, dry",0.093304347826087,18143217,170679000,"Production_kg",403,"Onions",77,398.12,11603.93,1417.01,84235.65,89.65,0,0.14,417.91,7.18,3.97,1302.65,14317.01,0.28,101.27,525.87,0.34,0.37,2.42,1.11,61.5,120.32,0.65,342.8,245.34,561.25,0,0,909.61,5.24,80.66
