"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malaysia","Alfalfa meal and pellets",0.0651708222811671,31528033,773000,"Import_kg",862,"Mixed grain",12,13.1,430.05,93.3,2772.51,0,0,0,0.93,0.13,0,12.97,397.53,0,0.21,11.89,0,0,0.16,0,1.23,4.46,0,16.53,20.03,39.23,0,0,0.4,0,0
"2","Malaysia","Almonds shelled",0.0296505238073522,31528033,5169000,"Import_kg",231,"Almonds; with shell",45,329.22,11727.84,28286.29,9984.24,5.75,0,0,134.21,1.73,2,435.35,4008.81,0.56,2.67,266.9,0.12,0.42,2.16,0,28.81,177.77,1.16,2184.66,18675.79,6449.76,0,0,2.75,1.62,35.94
"3","Malaysia","Almonds, with shell",0.0296505238073522,31528033,270000,"Import_kg",221,"Almonds; with shell",45,17.2,612.6,1477.52,521.52,0.3,0,0,7.01,0,0.1,22.74,209.4,0,0.14,13.94,0,0,0.11,0,1.5,9.29,0,114.11,975.52,336.9,0,0,0.14,0,1.88
"4","Malaysia","Anise, badian, fennel, coriander",0.00195,31528033,25465000,"Import_kg",711,"Anise; badian; fennel; coriander",161,14396.97,654991.43,593585.98,1935669.5,432.84,0.99,0.49,33685.92,1329.32,192.09,61446.87,989022.33,38.86,3065.09,19057.06,13.59,12.52,127.51,20.71,22692.06,13047.36,112.98,34884.09,450941.72,108860.57,0,0,412.61,278.83,0
"5","Malaysia","Apples",0.121111111111111,31528033,105791000,"Import_kg",515,"Apples",119,155.53,860.03,816.16,36252.8,40.23,0,0,21.47,1.94,0.18,284.97,3924.96,0,16.14,30.08,0.13,0,0.52,0.11,449.39,12.93,0,108.05,23.55,181.47,0,0,234.12,0.71,27.71
"6","Malaysia","Apricots",0.03995,31528033,126000,"Import_kg",526,"Apricots",125,0.49,10,2.56,113.88,0,0,0,0.17,0,0,2.92,13.67,0,0,0.24,0,0,0,0,0,0.1,0,0.29,1.7,0.79,0,0,0.86,0,0
"7","Malaysia","Apricots, dry",0.03995,31528033,315000,"Import_kg",527,"Apricots",125,1.24,25.01,6.4,284.7,0.17,0,0,0.43,0,0,7.29,34.18,0,0,0.6,0,0,0,0,0,0.25,0,0.71,4.25,1.96,0,0,2.14,0,0.21
"8","Malaysia","Artichokes",0.1,31528033,3000,"Import_kg",366,"Artichokes",79,0,0.25,0,1.1,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Malaysia","Asparagus",0.0845294117647059,31528033,1165000,"Import_kg",367,"Asparagus",80,0.89,94.3,8.87,133.11,0.95,0,0,0.92,0,0,9.48,106.37,0,0.2,3.66,0,0,0,0,0.7,0.61,0,1.97,0.22,3.06,0,0,4.06,0,2.05
"10","Malaysia","Avocados",0.048,31528033,3914000,"Import_kg",572,"Avocados",141,37.68,416,3643.5,1122.46,3.31,0,0,5.32,0.25,0.12,131.91,1133.67,0,1.71,43.9,0,0,0.36,0,3.67,7.82,0,618.52,2054.12,430.36,0,0,19.89,0.3,9.83
