"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mali","Bambara beans",0.028,19077749,26076000,"Production_kg",203,"Bambara beans",37,1667.86,86590.79,27480.67,264256.54,9.76,0,0,240.71,25.93,13.58,6126.32,23431.34,3.95,137.86,1259.81,1.96,0.81,10,0,0,927.46,0,0,0,0,0,0,83.04,14.03,122.04
"2","Mali","Bananas",0.04075,19077749,196421000,"Production_kg",486,"Bananas",117,2545.21,30716.9,5874.3,589812.22,268.99,0.93,0.47,248.91,20.18,4.17,8585.32,39506.53,2.33,160.36,640.83,1.35,1.28,21.51,8.82,247.6,715.86,6.82,2804.5,656.91,1427.52,0,0,1840.44,20.94,896.94
"3","Mali","Beans, dry",0.1145,19077749,159814000,"Production_kg",176,"Beans",30,2410.8,155776.41,10044.51,424342.96,13.27,0,2.99,1023.65,53.35,21.37,8554.64,90739.95,6.38,114.28,2829.55,3.31,1.61,14.62,2.84,807.7,1264.9,9.53,2261.5,1004.21,3479.23,0,0,85.77,27.95,0
"4","Mali","Beans, green",0.0843965476190476,19077749,3433000,"Production_kg",414,"Beans; green",92,10.17,972.22,116.08,1595.43,4.89,0,0,13.42,0.46,0,62.06,477.75,0,3.54,22.73,0,0.21,0.19,0,1.73,6.4,0,10.38,3.91,20.04,0,0,17.72,0.24,2.64
"5","Mali","Cabbages and other brassicas",0.08324,19077749,78294000,"Production_kg",358,"Cabbages and other brassicas",78,132.46,11197.42,1502.69,21607.35,302.35,1.14,0.31,605.04,8.53,1.68,1407.88,10880.56,0.76,193.79,347.6,0.3,0.51,3.82,0.89,121.56,120.38,1.25,169.15,88.37,433.1,0,0,447.88,5.45,136.08
"6","Mali","Carrots and turnips",0.0830718954248366,19077749,15941000,"Production_kg",426,"Carrots and turnips",96,30.41,1317.11,235.52,5901.21,27.54,0.61,0,66.72,1.56,0.26,292.74,2042.6,0,47.48,119.83,0,0,0.78,0.18,105.21,12.24,0.14,32.52,14.75,76.11,0,0,89.77,1.26,23.13
"7","Mali","Cashew nuts, with shell",0.0289438420348059,19077749,167621000,"Production_kg",217,"Cashew nuts; with shell",43,16520.59,557775.37,1277584.54,734046.99,49.58,0.29,1.08,1222.91,183.78,156.86,19746.6,80747.07,64.23,2805.91,14282.52,16.19,4.63,39.62,13.21,0,9187.76,40.3,236261.06,722382.69,238143.13,0,0,301.84,69.3,849.97
"8","Mali","Cashewapple",0.1073859375,19077749,167621000,"Production_kg",591,"Cashewapple",143,435.69,5850.05,2700.03,96597.49,1680.02,0.21,0,68.73,5.6,0,912.28,6545.52,0,61.36,208.91,0.18,0.7,4.07,0,0,81.82,0,0,0,0,0,0,707.65,2.05,0
"9","Mali","Cassava",0.108277777777778,19077749,70312000,"Production_kg",125,"Cassava",17,473.42,6219.86,1615.67,105666.38,109.6,0,0,132.7,4.14,1.16,1279.83,5037.61,0.34,31.31,134.14,0.21,0.19,1.95,0.3,80.67,71.48,1.31,296.13,297.83,149.77,0,0,213.85,4.78,71.48
"10","Mali","Cereals nes",0.0486257263475995,19077749,169000,"Production_kg",108,"Cereals; nes",13,6.34,237.27,83.85,1338.84,0,0,0,2.65,0.4,0,7.78,57.52,0,0.14,6.93,0,0,0,0,0.24,3.35,0.17,8.18,10.73,19.51,0,0,0.2,0,0
"11","Mali","Chillies and peppers, dry",4e-04,19077749,4154000,"Production_kg",689,"Pimento",156,13089.56,557843.57,485888.09,2233871.72,4106.22,36.95,2.98,11293.35,397.38,143.84,99180.83,1209548.88,35.91,24699.95,10120.54,15.2,23.71,300.32,93.83,2803.41,8355.79,118.54,144253.13,92630.47,335610.8,0,0,1525.73,325.74,0
"12","Mali","Chillies and peppers, green",0.0664142191142191,19077749,42850000,"Production_kg",401,"Chillies and peppers; green",88,132.54,6021.44,2247.47,23361.81,390,0.42,0,93.49,5.5,1.05,953.45,10871.73,0.53,23.99,344.54,0.43,0.41,4.02,1.2,27.31,122.01,0.8,141.03,60.34,617.11,0,0,298.52,2.99,55.99
"13","Mali","Cow peas, dry",0.0623254069051863,19077749,215436000,"Production_kg",195,"Cow peas; dry",34,5997.28,392576.83,26809.39,1019886.8,17.36,0,7.3,1750.18,140.06,76,18069.48,192208.76,15.74,467.11,7356.85,9.76,2.78,49.22,6.42,2687.9,3676.02,22.9,5997.28,1920.58,9820.31,0,0,211.34,63.6,0
"14","Mali","Cucumbers and gherkins",0.0675,19077749,72944000,"Production_kg",397,"Cucumbers and gherkins",86,79.08,3655.24,669.74,14332.81,55.99,0,0,90.63,2.52,1.09,807.5,3695.39,0.31,37.6,205.45,0.15,0.18,1.08,0.23,33.99,70.81,0.45,189.76,14.16,147.28,0,0,542.41,2.35,87.8
"15","Mali","Dates",0.0393863636363636,19077749,670000,"Production_kg",577,"Dates",121,17.73,156.71,26.19,4543.93,0.6,0,0,3.7,0.15,0,53.81,440.48,0,0.18,7.17,0,0,0.15,0,0.72,3.6,0,1.43,1.6,0.85,0,0,3.37,0.12,1.55
"16","Mali","Eggplants (aubergines)",0.082,19077749,81644000,"Production_kg",399,"Eggplants (aubergines)",87,142.35,6024.02,3776.78,27611.44,34.43,0,0.14,89.32,3.18,1,1048.08,10818.14,0.52,27.99,228.55,0.26,0.47,6.72,0.45,153.7,66.98,1.21,140.91,67.85,302.7,0,0,478.94,6.24,106.99
"17","Mali","Fonio",0.0477,19077749,40538000,"Production_kg",94,"Fonio",10,1547.68,36130.37,10257.03,329710.18,0,0,0.13,165.43,28.73,10.87,1269.54,15181.96,1.95,42.73,758.44,0.96,0.55,7.54,3.27,0,1462.58,0,0,0,0,0,0,49.11,8.19,0
"18","Mali","Fruit, fresh nes",0.107099201828105,19077749,1499000,"Production_kg",619,"Fresh fruit; nes",147,6.6,112.05,55.88,1413.94,2.86,0,0,3.94,0.27,0,20.44,254.78,0,0.82,3.07,0,0,0,0,5.12,2.34,0,8.98,6.19,8.55,0,0,5.55,0,2.04
"19","Mali","Garlic",0.00732,19077749,14956000,"Production_kg",406,"Garlic",90,1306.36,54416.8,2680.72,273596.65,142.28,0,0,550.48,14.89,12.48,4728.33,17001.65,5.17,186.56,2171.99,1.51,0.86,5.74,10.84,248.47,417.68,14.31,958.52,112.45,2564.97,0,0,700.5,15.52,139.23
"20","Mali","Ginger",0.02852,19077749,17137000,"Production_kg",720,"Ginger",162,613.13,15375.39,6622.08,128275.06,8.77,0,0,224,17.36,5.7,2844.11,18592.93,1.75,77.45,276.39,0.23,0.41,12.36,1.47,129.76,462.05,104.88,8185.86,1508.67,2926,0,0,146.6,7.02,0
