"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mauritius","Almonds, with shell",0.0296505238073522,1267185,4000,"Import_kg",221,"Almonds; with shell",45,6.34,225.8,544.61,192.23,0.11,0,0,2.58,0,0,8.38,77.18,0,0,5.14,0,0,0,0,0.55,3.42,0,42.06,359.57,124.18,0,0,0,0,0.69
"2","Mauritius","Anise, badian, fennel, coriander",0.00195,1267185,852000,"Import_kg",711,"Anise; badian; fennel; coriander",161,11984.61,545240.85,494124.52,1611328.08,360.31,0.82,0.4,28041.5,1106.58,159.9,51150.81,823301.42,32.35,2551.51,15863.85,11.31,10.42,106.15,17.24,18889.77,10861.14,94.05,29038.9,375381.77,90619.86,0,0,343.48,232.11,0
"3","Mauritius","Apples",0.121111111111111,1267185,5775000,"Import_kg",515,"Apples",119,211.23,1168.08,1108.5,49238.15,54.63,0,0,29.16,2.64,0.24,387.05,5330.84,0.11,21.92,40.85,0.17,0.11,0.7,0.15,610.35,17.56,0.13,146.75,31.99,246.47,0,0,317.98,0.97,37.63
"4","Mauritius","Apricots",0.03995,1267185,22000,"Import_kg",526,"Apricots",125,2.15,43.46,11.11,494.72,0.29,0,0,0.74,0,0,12.68,59.39,0,0,1.04,0,0,0,0,0.12,0.43,0,1.24,7.39,3.41,0,0,3.72,0,0.37
"5","Mauritius","Artichokes",0.1,1267185,3000,"Import_kg",366,"Artichokes",79,0.13,6.2,0.41,27.47,0,0,0,0.2,0,0,0.81,5.84,0,0.25,0.23,0,0,0,0,0,0.14,0,0.1,0,0.15,0,0,0.2,0,0.14
"6","Mauritius","Asparagus",0.0845294117647059,1267185,18000,"Import_kg",367,"Asparagus",80,0.34,36.25,3.41,51.17,0.36,0,0,0.35,0,0,3.64,40.89,0,0,1.41,0,0,0,0,0.27,0.24,0,0.76,0,1.18,0,0,1.56,0,0.79
"7","Mauritius","Avocados",0.048,1267185,148000,"Import_kg",572,"Avocados",141,35.45,391.37,3427.8,1056.02,3.11,0,0,5,0.23,0.12,124.1,1066.56,0,1.61,41.3,0,0,0.34,0,3.46,7.36,0,581.9,1932.52,404.89,0,0,18.71,0.29,9.25
"8","Mauritius","Bambara beans",0.028,1267185,1000,"Import_kg",203,"Bambara beans",37,0.96,49.99,15.87,152.57,0,0,0,0.14,0,0,3.54,13.53,0,0,0.73,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0
"9","Mauritius","Bananas",0.04075,1267185,7266000,"Production_kg",486,"Bananas",117,1417.49,17106.93,3271.53,328479.56,149.81,0.52,0.26,138.63,11.24,2.32,4781.36,22002.07,1.3,89.31,356.89,0.75,0.71,11.98,4.91,137.9,398.68,3.8,1561.89,365.85,795.02,0,0,1024.98,11.66,499.52
"10","Mauritius","Barley",0.04775,1267185,20000,"Import_kg",44,"Barley",3,11.38,302.26,46,2464.37,0,0,0,1.84,0.26,0,8.51,273.79,0,0.71,9.67,0,0,0.18,0,1.25,2.57,0,12,7.34,27.57,0,0,0.39,0,0
"11","Mauritius","Beans, dry",0.1145,1267185,1979000,"Import_kg",176,"Beans",30,449.45,29041.55,1872.61,79110.67,2.47,0,0.56,190.84,9.95,3.98,1594.85,16916.74,1.19,21.3,527.52,0.62,0.3,2.73,0.53,150.58,235.82,1.78,421.61,187.22,648.64,0,0,15.99,5.21,0
"12","Mauritius","Beans, green",0.0843965476190476,1267185,1473000,"Production_kg/Import_kg",414,"Beans; green",92,65.71,6280.28,749.85,10306.08,31.57,0,0,86.71,2.99,0.64,400.89,3086.16,0,22.84,146.83,0.17,1.37,1.2,0.19,11.16,41.32,0.12,67.03,25.25,129.47,0,0,114.48,1.56,17.08
"13","Mauritius","Broad beans, horse beans, dry",0.052,1267185,1069000,"Import_kg",181,"Broad beans; horse beans; dry",32,542.66,38931.88,2576.77,89224.45,4.42,0,0.69,160.76,13.1,5.67,1935.74,31418.77,1.33,29.58,618.86,0.63,0.47,4.27,0.6,155.42,310.67,2.64,408.82,489.13,979.07,0,0,16.91,4.87,43.8
"14","Mauritius","Cabbages and other brassicas",0.08324,1267185,3590000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,91.44,7729.85,1037.34,14916.08,208.72,0.78,0.21,417.67,5.89,1.16,971.9,7511.11,0.53,133.78,239.96,0.21,0.35,2.64,0.61,83.91,83.1,0.86,116.77,61,298.98,0,0,309.18,3.76,93.94
"15","Mauritius","Carrots and turnips",0.0830718954248366,1267185,5260000,"Production_kg",426,"Carrots and turnips",96,151.07,6543.03,1170.01,29315.57,136.79,3.04,0.11,331.45,7.75,1.29,1454.23,10147.06,0.29,235.87,595.26,0.26,0.47,3.87,0.91,522.66,60.79,0.71,161.56,73.29,378.09,0,0,445.96,6.27,114.93
"16","Mauritius","Cashew nuts, with shell",0.0289438420348059,1267185,7000,"Import_kg",217,"Cashew nuts; with shell",43,10.39,350.68,803.24,461.51,0,0,0,0.77,0.12,0,12.42,50.77,0,1.76,8.98,0,0,0,0,0,5.78,0,148.54,454.18,149.73,0,0,0.19,0,0.53
"17","Mauritius","Cassava",0.108277777777778,1267185,715000,"Production_kg",125,"Cassava",17,72.48,952.24,247.35,16177.09,16.78,0,0,20.32,0.63,0.18,195.94,771.24,0,4.79,20.54,0,0,0.3,0,12.35,10.94,0.2,45.34,45.6,22.93,0,0,32.74,0.73,10.94
"18","Mauritius","Cauliflowers and broccoli",0.103835520801038,1267185,946000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,20.61,2227.07,232.46,2925.45,58.14,0.39,0,31.52,0.78,0.3,213.02,1366.03,0,21.52,78.09,0,0,0.52,0.13,45.53,12.94,0.13,44.76,13.48,23.19,0,0,62.27,0.78,34.51
"19","Mauritius","Cherries",0.1289,1267185,31000,"Import_kg",531,"Cherries",127,0.87,20.66,3.29,197.63,0.24,0,0,0.52,0,0,4.72,19.93,0,0,0.44,0,0,0,0,0.12,0.21,0,0.72,0.89,0.99,0,0,1.56,0,0.15
"20","Mauritius","Cherries, sour",0.028,1267185,54000,"Import_kg",530,"Sour cherries",126,7.2,167.41,40.58,1693.4,1.52,0,0,2.08,0,0,26.33,182.63,0,0.84,2.51,0,0,0,0,0.93,1.37,0,10.35,12.48,13.7,0,0,13.24,0,1.67
"21","Mauritius","Chick peas",0.04575,1267185,775000,"Import_kg",191,"Chick peas",33,470.9,25992.78,6729.31,77957.91,2.81,0,0.5,182.29,9.26,4.61,1081.48,10204.34,1.23,26.82,414.95,0.53,0.23,2.36,0.72,196.04,132.34,15.05,824.15,1822.74,3556.59,0,0,14.03,3.97,0
