"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Montenegro","Apples",0.121111111111111,627809,1490000,"Production_kg",515,"Apples",119,110,608.3,577.28,25641.8,28.45,0,0,15.19,1.37,0.13,201.56,2776.15,0,11.41,21.28,0,0,0.37,0,317.85,9.14,0,76.43,16.66,128.36,0,0,165.6,0.5,19.6
"2","Montenegro","Barley",0.04775,627809,990000,"Production_kg",44,"Barley",3,1136.51,30199.12,4595.6,246220.12,2.2,0,0,184.11,25.69,8.35,850.38,27355.17,2.11,70.67,965.87,0.87,0.43,17.66,0.95,124.83,256.49,4.69,1198.78,733.14,2754.23,0,0,38.78,6.05,0
"3","Montenegro","Beans, dry",0.1145,627809,322000,"Production_kg",176,"Beans",30,147.61,9537.67,614.99,25981.11,0.81,0,0.18,62.67,3.27,1.31,523.77,5555.71,0.39,7,173.24,0.2,0,0.9,0.17,49.45,77.45,0.58,138.46,61.48,213.02,0,0,5.25,1.71,0
"4","Montenegro","Beans, green",0.0843965476190476,627809,529000,"Production_kg",414,"Beans; green",92,47.63,4552.44,543.55,7470.66,22.88,0,0,62.86,2.17,0.46,290.6,2237.09,0,16.56,106.44,0.13,0.99,0.87,0.14,8.09,29.95,0,48.59,18.3,93.85,0,0,82.98,1.13,12.38
"5","Montenegro","Berries nes",0.109406559397488,627809,5e+05,"Production_kg",558,"Berries; nes",138,41.2,677.51,328.1,9337.36,33.71,0,0,26.67,1.12,0.31,120.35,2096.48,0,4.4,16.38,0,0,0.35,0,7.11,11.83,0.69,13.1,30.57,158.87,0,0,62.5,0.37,0.58
"6","Montenegro","Cabbages and other brassicas",0.08324,627809,11101000,"Production_kg",358,"Cabbages and other brassicas",78,570.69,48244.86,6474.43,93096.8,1302.68,4.9,1.33,2606.84,36.76,7.25,6065.96,46879.66,3.29,834.98,1497.65,1.29,2.18,16.46,3.83,523.74,518.67,5.38,728.78,380.73,1866.06,0,0,1929.73,23.5,586.29
"7","Montenegro","Cherries",0.1289,627809,2090000,"Production_kg",531,"Cherries",127,117.73,2810.79,447.66,26894.01,32.33,0,0,71.28,1.31,0.18,641.79,2711.78,0.15,3.87,60.43,0,0,1.78,0.13,15.75,28.41,0.18,98.14,121.38,134.3,0,0,212.75,1.76,20.66
"8","Montenegro","Chillies and peppers, green",0.0664142191142191,627809,4565000,"Production_kg",401,"Chillies and peppers; green",88,429.08,19493.52,7275.85,75630.33,1262.57,1.37,0.32,302.65,17.79,3.41,3086.65,35195.58,1.7,77.66,1115.41,1.38,1.31,13,3.88,88.41,394.99,2.59,456.55,195.34,1997.8,0,0,966.41,9.68,181.26
"9","Montenegro","Figs",0.0504615384615385,627809,3921000,"Production_kg",569,"Figs",139,670.38,12550.09,2599.13,154303.49,104.76,0.13,0,578.17,10.69,4.77,2737.34,27228.99,0.99,27.41,300.14,0.6,0.89,5.2,1.38,58.17,210.41,1.58,577.58,643.59,1377.95,0,0,1036.93,9.11,92.83
"10","Montenegro","Fruit, fresh nes",0.107099201828105,627809,497000,"Production_kg",619,"Fresh fruit; nes",147,66.53,1128.93,563.03,14245.79,28.83,0,0,39.65,2.7,0.19,205.91,2566.93,0,8.25,30.93,0,0,0.74,0,51.61,23.59,0.15,90.47,62.34,86.15,0,0,55.95,0.67,20.57
"11","Montenegro","Garlic",0.00732,627809,1056000,"Production_kg",406,"Garlic",90,2802.91,116756.5,5751.74,587028.02,305.27,0,0,1181.1,31.94,26.78,10145.09,36478.67,11.09,400.29,4660.21,3.24,1.85,12.31,23.27,533.11,896.17,30.7,2056.59,241.28,5503.4,0,0,1502.99,33.31,298.72
"12","Montenegro","Grapes",0.1235,627809,20860000,"Production_kg",560,"Grapes",122,1655.1,14442.65,6371.4,392966.64,138.26,0.12,0,402.15,16.58,1.92,4875.04,56883.13,2.62,86.54,547.05,1.16,3.6,5.87,2.64,150.66,726.41,18.58,3210.57,367.69,2511.06,0,0,2239.76,12.75,376.66
"13","Montenegro","Kiwi fruit",0.145,627809,5e+05,"Production_kg",592,"Kiwi fruit",144,33.69,579.46,370.75,7549.52,49.86,0,0,17.59,0.32,0.13,182.82,1373.14,0,2.43,24.4,0,0,0.21,0,3.52,8.51,0,34.42,33.5,127.06,0,0,45.35,0.35,13.73
"14","Montenegro","Maize",0.0869363057324841,627809,2810000,"Production_kg",56,"Maize",4,1819.21,44497.56,17622.42,371575,3.53,0.11,0.12,107.42,16.75,9.24,1516.77,26663.32,0.93,48.11,1126.94,1.37,0.61,13.28,1.82,0,564.62,1.25,3046.6,6629.93,12437.4,0,0,64.16,6.46,0
"15","Montenegro","Melons, other (inc.cantaloupes)",0.179843076923077,627809,1780000,"Production_kg",568,"Other melons (inc. cantaloupes)",111,44.92,853.21,239.76,10143.5,36.6,0,0,24.06,0.84,0.18,403.19,1081.04,0,19.15,25.87,0,0,0.75,0.15,11.98,17.03,0,59.91,4.2,94.07,0,0,145.79,0.75,75.15
"16","Montenegro","Mushrooms and truffles",0.0389236263736264,627809,6e+05,"Production_kg",449,"Mushrooms and truffles",99,74.92,6577.9,928.5,12415.52,7.3,0,0,23.6,4.18,1.62,792.46,5892.8,0.65,29.03,254.41,0.22,0.75,9.26,0.29,78.28,37.14,0.44,104.88,39.99,2210.35,0,0,222.58,2.29,7.37
"17","Montenegro","Oats",0.0434605263157895,627809,610000,"Production_kg",75,"Oats",6,816.79,30529.44,13791.28,144938.36,0.22,0,0.1,131.65,11.83,7.63,911.03,9892.83,1.4,53.75,812.41,1.17,0.28,2.79,0.27,0,395.71,10.99,2657.09,4905.06,5561.22,0,0,23.58,4.47,0
"18","Montenegro","Olives",0.014,627809,310000,"Production_kg",260,"Olives",61,345.65,3359.47,55770.77,20932.78,2.82,0.15,0,268.05,9.45,0.78,29.98,10051.97,0.84,2592.35,58.2,0,0.2,0.76,0,29.8,14.11,0,4098.38,22853.23,2639.96,0,0,262.44,10.01,0
"19","Montenegro","Onions, dry",0.093304347826087,627809,1140000,"Production_kg",403,"Onions",77,76.85,2239.84,273.52,16259.51,17.3,0,0,80.67,1.39,0.77,251.44,2763.53,0,19.55,101.51,0,0,0.47,0.21,11.87,23.22,0.13,66.17,47.36,108.34,0,0,175.58,1.01,15.57
"20","Montenegro","Oranges",0.138371428571429,627809,9618000,"Production_kg",490,"Oranges; Mandarines",113,489.34,8781.84,2540.32,110705.56,511.19,0.61,0.28,349.72,5.36,0.68,1861.04,14896.35,0.49,29.88,239.69,0.76,0.47,19.58,0.77,120.31,117.36,0.32,232.5,340.45,359.83,0,0,962.41,4.71,296.72
"21","Montenegro","Peaches and nectarines",0.105333333333333,627809,980000,"Production_kg",534,"Peaches and nectarines",128,71.25,1232.24,256.38,16610.77,21.73,0,0,15.28,0.96,0.23,309.73,1748.7,0.11,1.98,36.65,0,0,1.04,0,9.11,13.34,0,24.9,81.51,94.55,0,0,125.37,0.85,12.6
"22","Montenegro","Pears",0.04975,627809,3951000,"Production_kg",521,"Pears",123,655.82,5734.61,3787.94,159786.06,54.32,0,0,146.37,23.94,2.87,1366.19,24878.1,1.04,43.33,165.56,0.35,0.55,2.61,0.37,64.51,88.55,0.61,265.65,1037.29,1163.79,0,0,1073.43,3.64,145.47
"23","Montenegro","Peas, dry",0.0623254069051863,627809,1394000,"Production_kg",187,"Cow peas; dry",34,1179.23,77191.37,5271.46,200537.71,3.41,0,1.44,344.13,27.54,14.94,3552.96,37793.51,3.09,91.85,1446.56,1.92,0.55,9.68,1.26,528.52,722.81,4.5,1179.23,377.64,1930.94,0,0,41.56,12.51,0
"24","Montenegro","Peas, green",0.0753287037037037,627809,281000,"Production_kg",417,"Peas; green",93,38.13,4668.1,231.73,6674.63,18.87,0,0,21.71,1.15,0.48,128.84,1937.03,0,6.01,79.86,0.18,0,1.1,0,13.61,18.02,0.19,35.65,19.01,84.37,0,0,42.08,0.77,24.16
"25","Montenegro","Plums and sloes",0.0704444444444444,627809,12118000,"Production_kg",536,"Plums and sloes",129,1474.14,20184.95,8055.71,339326.37,425.46,0.81,0.14,501.87,22.29,2.74,5388.74,22833.65,1.56,18.27,673.94,1.26,2.12,16.83,0.79,52.06,191.8,1.42,917.91,7315.9,2383.83,0,0,2290.05,14.14,178.1
"26","Montenegro","Potatoes",0.133867924528302,627809,26560000,"Production_kg",116,"Potatoes",18,2534.28,65016.45,4295.23,566245.09,505.43,0,0.47,289.87,33.29,13.13,11819.93,42595.91,2.79,332.28,1529.82,2.51,2.05,43.53,7.78,1106.09,779.53,3.5,929.12,44.24,1295.71,0,0,2413.42,33.33,703.16
"27","Montenegro","Raspberries",0.122789473684211,627809,5e+05,"Production_kg",547,"Raspberries",133,35.02,713.47,405.38,7666.53,18.23,0,0,21.08,0.97,0.27,97.94,2432.27,0,0.65,45.08,0,0,0.52,0,7.98,14.27,0.43,12.32,41.51,243.23,0,0,55.31,0.44,2.59
"28","Montenegro","Rye",0.03,627809,410000,"Production_kg",71,"Rye",5,753.93,22487.2,3491.18,166067.14,0,0,0,64.37,6.01,5.77,517.37,12988.73,0.8,2.18,732.37,0.72,0.44,4.34,0.64,66.18,239.46,5.61,428.85,452.79,1669.67,0,0,24.27,3.36,0
