"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Myanmar","Beans, dry",0.1145,53708320,560000,"Import_kg",176,"Beans",30,3,193.89,12.5,528.17,0,0,0,1.27,0,0,10.65,112.94,0,0.14,3.52,0,0,0,0,1.01,1.57,0,2.81,1.25,4.33,0,0,0.11,0,0
"2","Myanmar","Cashew nuts, with shell",0.0289438420348059,53708320,1758000,"Import_kg",217,"Cashew nuts; with shell",43,61.55,2077.95,4759.55,2734.64,0.18,0,0,4.56,0.68,0.58,73.56,300.82,0.24,10.45,53.21,0,0,0.15,0,0,34.23,0.15,880.17,2691.18,887.18,0,0,1.12,0.26,3.17
"3","Myanmar","Cassava",0.108277777777778,53708320,16000,"Import_kg",125,"Cassava",17,0,0.5,0.13,8.54,0,0,0,0,0,0,0.1,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Myanmar","Chillies and peppers, dry",4e-04,53708320,6919000,"Import_kg",689,"Pimento",156,7744.39,330046.27,287474.05,1321662.7,2429.43,21.86,1.76,6681.67,235.11,85.11,58680.01,715625.53,21.25,14613.64,5987.79,8.99,14.03,177.68,55.52,1658.63,4943.68,70.13,85346.88,54804.51,198563,0,0,902.69,192.72,0
"5","Myanmar","Coconuts",0.04,53708320,7000,"Import_kg",249,"Coconuts - Incl Copra",58,0.1,1.09,9.17,4.1,0,0,0,0,0,0,0.11,2.1,0,0,0,0,0,0,0,0,0,0,9.73,0.87,0.22,0,0,0,0,0
"6","Myanmar","Coffee, green",0.00312,53708320,130000,"Import_kg",656,"Coffee",152,14.37,876.99,1157.32,2808.38,0,0,0,7.99,0.27,0,172.68,0,0,2.76,22.05,0,0,0.86,0,3.34,14.5,0,2.57,19.28,1.29,0,0,0.41,0.45,0
"7","Myanmar","Fruit, tropical fresh nes",0.1073859375,53708320,25000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0,0.64,0.52,9,0,0,0,0,0,0,0.11,1.26,0,0,0,0,0,0,0,0,0,0,0.32,0.71,0.16,0,0,0,0,0
"8","Myanmar","Garlic",0.00732,53708320,50000,"Import_kg",406,"Garlic",90,1.55,64.62,3.18,324.9,0.17,0,0,0.65,0,0,5.61,20.19,0,0.22,2.58,0,0,0,0,0.3,0.5,0,1.14,0.13,3.05,0,0,0.83,0,0.17
"9","Myanmar","Maize",0.0869363057324841,53708320,12146000,"Import_kg",56,"Maize",4,91.92,2248.27,890.39,18774.11,0.18,0,0,5.43,0.85,0.47,76.64,1347.18,0,2.43,56.94,0,0,0.67,0,0,28.53,0,153.93,334.98,628.41,0,0,3.24,0.33,0
"10","Myanmar","Mangoes, mangosteens, guavas",0.09628125,53708320,820000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0.97,11.91,3.92,218.77,1.37,0,0,0.28,0,0,2.85,42.29,0,0.17,0.3,0,0,0,0,0.12,0.72,0,2.42,1.2,2.67,0,0,1.32,0,0.42
