"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Netherlands","Apples",0.121111111111111,17059560,2.73e+08,"Production_kg",515,"Apples",119,741.73,4101.62,3892.41,172895.85,191.84,0,0,102.4,9.27,0.85,1359.08,18718.82,0.38,76.97,143.46,0.6,0.37,2.47,0.53,2143.19,61.66,0.46,515.32,112.31,865.47,0,0,1116.57,3.4,132.13
"2","Netherlands","Asparagus",0.0845294117647059,17059560,18150000,"Production_kg",367,"Asparagus",80,25.49,2715.06,255.32,3832.55,27.29,0,0,26.43,1.37,0.68,272.81,3062.69,0.19,5.81,105.52,0.16,0.16,1.13,0.11,20.14,17.62,0.2,56.64,6.29,88.1,0,0,116.84,0.83,59.16
"3","Netherlands","Barley",0.04775,17059560,242370000,"Production_kg",44,"Barley",3,10239.45,272080.63,41404.31,2218333.91,19.84,0,0.62,1658.76,231.44,75.22,7661.52,246457.93,19.02,636.72,8702.08,7.83,3.85,159.1,8.6,1124.68,2310.85,42.3,10800.51,6605.27,24814.4,0,0,349.37,54.51,0
"4","Netherlands","Beans, green",0.0843965476190476,17059560,49150000,"Production_kg",414,"Beans; green",92,162.87,15565.83,1858.53,25543.85,78.24,0.11,0.22,214.92,7.42,1.58,993.62,7649.12,0.17,56.61,363.93,0.43,3.4,2.99,0.47,27.65,102.41,0.29,166.14,62.59,320.89,0,0,283.73,3.88,42.33
"5","Netherlands","Blueberries",0.134028846153846,17059560,11060000,"Production_kg",552,"Blueberries",136,27.57,357.95,159.63,7009.02,4.69,0,0,2.9,0.14,0,37.25,1160.91,0,0.48,5.8,0,0,0.2,0,2.9,2.9,0.16,13.54,22.73,70.62,0,0,40.73,0.12,2.42
"6","Netherlands","Cabbages and other brassicas",0.08324,17059560,245290000,"Production_kg",358,"Cabbages and other brassicas",78,464.07,39230.92,5264.76,75702.84,1059.29,3.98,1.08,2119.79,29.9,5.89,4932.62,38120.79,2.67,678.97,1217.83,1.05,1.78,13.39,3.11,425.89,421.76,4.38,592.61,309.59,1517.41,0,0,1569.19,19.11,476.75
"7","Netherlands","Carrots and turnips",0.0830718954248366,17059560,615830000,"Production_kg",426,"Carrots and turnips",96,1313.82,56901.8,10175.05,254944.47,1189.58,26.45,0.95,2882.51,67.41,11.23,12646.83,88244.51,2.56,2051.27,5176.75,2.23,4.05,33.69,7.92,4545.38,528.7,6.21,1405.04,637.34,3288.09,0,0,3878.3,54.53,999.46
"8","Netherlands","Cauliflowers and broccoli",0.103835520801038,17059560,65710000,"Production_kg",393,"Cauliflowers and broccoli",84,106.33,11490.68,1199.41,15094.04,299.99,2.01,0.22,162.61,4.03,1.56,1099.08,7048.09,0.16,111.04,402.91,0.41,0.4,2.66,0.67,234.94,66.77,0.68,230.92,69.55,119.63,0,0,321.3,4.01,178.06
"9","Netherlands","Cherries",0.1289,17059560,7940000,"Production_kg",531,"Cherries",127,16.46,392.97,62.59,3760.01,4.52,0,0,9.97,0.18,0,89.73,379.13,0,0.54,8.45,0,0,0.25,0,2.2,3.97,0,13.72,16.97,18.78,0,0,29.74,0.25,2.89
"10","Netherlands","Cherries, sour",0.028,17059560,4270000,"Production_kg",530,"Sour cherries",126,42.31,983.32,238.38,9946.43,8.94,0,0,12.22,0.36,0.15,154.65,1072.71,0,4.92,14.75,0,0,0.36,0,5.45,8.05,0.1,60.79,73.3,80.45,0,0,77.78,0.36,9.83
"11","Netherlands","Chillies and peppers, green",0.0664142191142191,17059560,3.75e+08,"Production_kg",401,"Chillies and peppers; green",88,1297.14,58930.54,21995.49,228636.83,3816.85,4.13,0.98,914.92,53.79,10.32,9331.2,106399.19,5.14,234.78,3371.97,4.18,3.97,39.29,11.74,267.27,1194.08,7.82,1380.19,590.54,6039.52,0,0,2921.52,29.25,547.96
"12","Netherlands","Cucumbers and gherkins",0.0675,17059560,410250000,"Production_kg",397,"Cucumbers and gherkins",86,497.35,22989.77,4212.35,90146.64,352.16,0.17,0.33,570.03,15.85,6.83,5078.8,23242.26,1.92,236.47,1292.21,0.93,1.13,6.79,1.43,213.76,445.34,2.81,1193.5,89.07,926.3,0,0,3411.53,14.8,552.22
"13","Netherlands","Currants",0.038,17059560,7480000,"Production_kg",550,"Currants",135,144.52,2076.93,291.35,34494.41,116.54,0,0,78.75,3.47,0.3,344.42,3057.71,0.11,1.92,81.92,0,0,0.15,0,8.77,21.35,0.26,29.42,49.62,154.04,0,0,76.71,1.35,2.31
"14","Netherlands","Eggplants (aubergines)",0.082,17059560,6.4e+07,"Production_kg",399,"Eggplants (aubergines)",87,124.79,5280.82,3310.83,24204.95,30.18,0,0.13,78.3,2.79,0.88,918.77,9483.48,0.46,24.53,200.35,0.23,0.42,5.89,0.4,134.74,58.71,1.06,123.53,59.48,265.35,0,0,419.85,5.47,93.79
"15","Netherlands","Garlic",0.00732,17059560,2470000,"Production_kg",406,"Garlic",90,241.27,10050.18,495.1,50530.27,26.28,0,0,101.67,2.75,2.31,873.27,3140.02,0.95,34.46,401.14,0.28,0.16,1.06,2,45.89,77.14,2.64,177.03,20.77,473.72,0,0,129.37,2.87,25.71
"16","Netherlands","Grapes",0.1235,17059560,1600000,"Production_kg",560,"Grapes",122,4.67,40.77,17.98,1109.23,0.39,0,0,1.14,0,0,13.76,160.56,0,0.24,1.54,0,0,0,0,0.43,2.05,0,9.06,1.04,7.09,0,0,6.32,0,1.06
