"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Nicaragua","Almonds, with shell",0.0296505238073522,6465501,2000,"Import_kg",221,"Almonds; with shell",45,0.62,22.13,53.37,18.84,0,0,0,0.25,0,0,0.82,7.56,0,0,0.5,0,0,0,0,0,0.34,0,4.12,35.24,12.17,0,0,0,0,0
"2","Nicaragua","Anise, badian, fennel, coriander",0.00195,6465501,29000,"Import_kg",711,"Anise; badian; fennel; coriander",161,79.95,3637.35,3296.34,10749.3,2.4,0,0,187.07,7.38,1.07,341.23,5492.31,0.22,17.02,105.83,0,0,0.71,0.12,126.02,72.46,0.63,193.72,2504.2,604.53,0,0,2.29,1.55,0
"3","Nicaragua","Apples",0.121111111111111,6465501,3320000,"Import_kg",515,"Apples",119,23.8,131.61,124.9,5547.86,6.16,0,0,3.29,0.3,0,43.61,600.65,0,2.47,4.6,0,0,0,0,68.77,1.98,0,16.54,3.6,27.77,0,0,35.83,0.11,4.24
"4","Nicaragua","Artichokes",0.1,6465501,1000,"Import_kg",366,"Artichokes",79,0,0.4,0,1.79,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Nicaragua","Asparagus",0.0845294117647059,6465501,4000,"Import_kg",367,"Asparagus",80,0,1.58,0.15,2.23,0,0,0,0,0,0,0.16,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Nicaragua","Avocados",0.048,6465501,179000,"Import_kg",572,"Avocados",141,8.4,92.77,812.54,250.32,0.74,0,0,1.19,0,0,29.42,252.82,0,0.38,9.79,0,0,0,0,0.82,1.74,0,137.94,458.09,95.98,0,0,4.44,0,2.19
"7","Nicaragua","Bananas",0.04075,6465501,1173000,"Import_kg",486,"Bananas",117,44.85,541.27,103.51,10393.19,4.74,0,0,4.39,0.36,0,151.28,696.15,0,2.83,11.29,0,0,0.38,0.16,4.36,12.61,0.12,49.42,11.58,25.15,0,0,32.43,0.37,15.81
"8","Nicaragua","Beans, dry",0.1145,6465501,160000,"Import_kg",176,"Beans",30,7.12,460.18,29.67,1253.57,0,0,0,3.02,0.16,0,25.27,268.06,0,0.34,8.36,0,0,0,0,2.39,3.74,0,6.68,2.97,10.28,0,0,0.25,0,0
"9","Nicaragua","Cabbages and other brassicas",0.08324,6465501,257000,"Import_kg",358,"Cabbages and other brassicas",78,1.28,108.45,14.55,209.28,2.93,0,0,5.86,0,0,13.64,105.39,0,1.88,3.37,0,0,0,0,1.18,1.17,0,1.64,0.86,4.19,0,0,4.34,0,1.32
"10","Nicaragua","Carrots and turnips",0.0830718954248366,6465501,981000,"Import_kg",426,"Carrots and turnips",96,5.52,239.17,42.77,1071.57,5,0.11,0,12.12,0.28,0,53.16,370.9,0,8.62,21.76,0,0,0.14,0,19.1,2.22,0,5.91,2.68,13.82,0,0,16.3,0.23,4.2
